year,gender,agecat,total_survey_pop,currently_on_art,hivpos,pct_on_art,hiv_prev
2011,Female,15-20,60,1,8,12.5,13.33333333
2011,Female,20-25,152,8,53,15.09433962,34.86842105
2011,Female,25-30,112,13,62,20.96774194,55.35714286
2011,Female,30-35,84,13,41,31.70731707,48.80952381
2011,Female,35-40,56,15,25,60,44.64285714
2011,Female,40-45,47,8,15,53.33333333,31.91489362
2011,Female,45-50,52,10,21,47.61904762,40.38461538
2011,Male,15-20,55,1,1,100,1.818181818
2011,Male,20-25,89,0,5,0,5.617977528
2011,Male,25-30,64,0,5,0,7.8125
2011,Male,30-35,51,5,21,23.80952381,41.17647059
2011,Male,35-40,31,6,18,33.33333333,58.06451613
2011,Male,40-45,25,5,8,62.5,32
2011,Male,45-50,30,6,18,33.33333333,60
2016,Female,10-15,359,0,12,0,3.342618384
2016,Female,15-20,1053,40,74,54.05405405,7.027540361
2016,Female,20-25,922,124,205,60.48780488,22.23427332
2016,Female,25-30,823,231,326,70.85889571,39.61117861
2016,Female,30-35,754,313,396,79.04040404,52.5198939
2016,Female,35-40,574,269,323,83.28173375,56.271777
2016,Female,40-45,435,196,228,85.96491228,52.4137931
2016,Female,45-50,405,142,170,83.52941176,41.97530864
2016,Female,50-55,364,121,138,87.68115942,37.91208791
2016,Female,55-60,301,78,91,85.71428571,30.23255814
2016,Female,60-65,298,60,68,88.23529412,22.81879195
2016,Female,65-70,187,18,20,90,10.69518717
2016,Female,70-75,190,15,16,93.75,8.421052632
2016,Female,75-80,102,6,7,85.71428571,6.862745098
2016,Female,80+,120,1,1,100,0.833333333
2016,Male,10-15,343,0,15,0,4.373177843
2016,Male,15-20,1049,24,40,60,3.813155386
2016,Male,20-25,663,12,30,40,4.524886878
2016,Male,25-30,583,36,82,43.90243902,14.0651801
2016,Male,30-35,479,88,139,63.30935252,29.01878914
2016,Male,35-40,422,130,188,69.14893617,44.54976303
2016,Male,40-45,303,106,137,77.37226277,45.21452145
2016,Male,45-50,240,103,127,81.1023622,52.91666667
2016,Male,50-55,195,70,86,81.39534884,44.1025641
2016,Male,55-60,179,51,59,86.44067797,32.96089385
2016,Male,60-65,166,51,55,92.72727273,33.13253012
2016,Male,65-70,136,22,27,81.48148148,19.85294118
2016,Male,70-75,82,12,13,92.30769231,15.85365854
2016,Male,75-80,65,5,6,83.33333333,9.230769231
2016,Male,80+,46,3,3,100,6.52173913
2021,Female,15-20,975,39,55,70.90909091,5.641025641
2021,Female,20-25,857,114,140,81.42857143,16.33605601
2021,Female,25-30,810,219,252,86.9047619,31.11111111
2021,Female,30-35,747,297,324,91.66666667,43.37349398
2021,Female,35-40,662,325,345,94.20289855,52.11480363
2021,Female,40-45,477,264,278,94.96402878,58.28092243
2021,Female,45-50,387,185,188,98.40425532,48.57881137
2021,Female,50-55,357,155,157,98.72611465,43.97759104
2021,Female,55-60,363,118,127,92.91338583,34.9862259
2021,Female,60-65,285,57,61,93.44262295,21.40350877
2021,Female,65-70,215,44,44,100,20.46511628
2021,Female,70-75,162,24,26,92.30769231,16.04938272
2021,Female,75-80,119,16,16,100,13.44537815
2021,Female,80+,129,6,7,85.71428571,5.426356589
2021,Male,15-20,950,25,28,89.28571429,2.947368421
2021,Male,20-25,742,18,28,64.28571429,3.773584906
2021,Male,25-30,562,20,33,60.60606061,5.871886121
2021,Male,30-35,456,57,88,64.77272727,19.29824561
2021,Male,35-40,443,109,131,83.20610687,29.57110609
2021,Male,40-45,348,123,138,89.13043478,39.65517241
2021,Male,45-50,270,129,139,92.8057554,51.48148148
2021,Male,50-55,190,94,100,94,52.63157895
2021,Male,55-60,172,60,65,92.30769231,37.79069767
2021,Male,60-65,209,61,66,92.42424242,31.57894737
2021,Male,65-70,119,32,33,96.96969697,27.73109244
2021,Male,70-75,93,16,17,94.11764706,18.27956989
2021,Male,75-80,48,7,7,100,14.58333333
2021,Male,80+,52,5,5,100,9.615384615
