Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6168
2048.0,0,Male,[0:5),6168
2048.0,1,Male,[0:200),69313
2048.0,0,Male,[0:200),69313
2048.0,1,Male,[5:10),6068
2048.0,0,Male,[5:10),6068
2048.0,1,Male,[10:15),6335
2048.0,0,Male,[10:15),6335
2048.0,1,Male,[15:20),6086
2048.0,0,Male,[15:20),6086
2048.0,1,Male,[20:25),6114
2048.0,0,Male,[20:25),6114
2048.0,1,Male,[25:30),5643
2048.0,0,Male,[25:30),5643
2048.0,1,Male,[30:35),5539
2048.0,0,Male,[30:35),5539
2048.0,1,Male,[35:40),5129
2048.0,0,Male,[35:40),5129
2048.0,1,Male,[40:45),4808
2048.0,0,Male,[40:45),4808
2048.0,1,Male,[45:50),4267
2048.0,0,Male,[45:50),4267
2048.0,1,Male,[50:55),4022
2048.0,0,Male,[50:55),4022
2048.0,1,Male,[55:60),3409
2048.0,0,Male,[55:60),3409
2048.0,1,Male,[60:65),2530
2048.0,0,Male,[60:65),2530
2048.0,1,Male,[65:70),1553
2048.0,0,Male,[65:70),1553
2048.0,1,Male,[70:75),856
2048.0,0,Male,[70:75),856
2048.0,1,Male,[75:80),478
2048.0,0,Male,[75:80),478
2048.0,1,Female,[0:5),6244
2048.0,0,Female,[0:5),6244
2048.0,1,Female,[0:200),73884
2048.0,0,Female,[0:200),73884
2048.0,1,Female,[5:10),6127
2048.0,0,Female,[5:10),6127
2048.0,1,Female,[10:15),6248
2048.0,0,Female,[10:15),6248
2048.0,1,Female,[15:20),6214
2048.0,0,Female,[15:20),6214
2048.0,1,Female,[20:25),6010
2048.0,0,Female,[20:25),6010
2048.0,1,Female,[25:30),5970
2048.0,0,Female,[25:30),5970
2048.0,1,Female,[30:35),5697
2048.0,0,Female,[30:35),5697
2048.0,1,Female,[35:40),5327
2048.0,0,Female,[35:40),5327
2048.0,1,Female,[40:45),4887
2048.0,0,Female,[40:45),4887
2048.0,1,Female,[45:50),4560
2048.0,0,Female,[45:50),4560
2048.0,1,Female,[50:55),4338
2048.0,0,Female,[50:55),4338
2048.0,1,Female,[55:60),4029
2048.0,0,Female,[55:60),4029
2048.0,1,Female,[60:65),3033
2048.0,0,Female,[60:65),3033
2048.0,1,Female,[65:70),1959
2048.0,0,Female,[65:70),1959
2048.0,1,Female,[70:75),1370
2048.0,0,Female,[70:75),1370
2048.0,1,Female,[75:80),951
2048.0,0,Female,[75:80),951
2049.0,1,Male,[0:5),6193
2049.0,0,Male,[0:5),6193
2049.0,1,Male,[0:200),69973
2049.0,0,Male,[0:200),69973
2049.0,1,Male,[5:10),6062
2049.0,0,Male,[5:10),6062
2049.0,1,Male,[10:15),6270
2049.0,0,Male,[10:15),6270
2049.0,1,Male,[15:20),6107
2049.0,0,Male,[15:20),6107
2049.0,1,Male,[20:25),6113
2049.0,0,Male,[20:25),6113
2049.0,1,Male,[25:30),5721
2049.0,0,Male,[25:30),5721
2049.0,1,Male,[30:35),5554
2049.0,0,Male,[30:35),5554
2049.0,1,Male,[35:40),5178
2049.0,0,Male,[35:40),5178
2049.0,1,Male,[40:45),4863
2049.0,0,Male,[40:45),4863
2049.0,1,Male,[45:50),4353
2049.0,0,Male,[45:50),4353
2049.0,1,Male,[50:55),4045
2049.0,0,Male,[50:55),4045
2049.0,1,Male,[55:60),3483
2049.0,0,Male,[55:60),3483
2049.0,1,Male,[60:65),2596
2049.0,0,Male,[60:65),2596
2049.0,1,Male,[65:70),1688
2049.0,0,Male,[65:70),1688
2049.0,1,Male,[70:75),930
2049.0,0,Male,[70:75),930
2049.0,1,Male,[75:80),494
2049.0,0,Male,[75:80),494
2049.0,1,Female,[0:5),6269
2049.0,0,Female,[0:5),6269
2049.0,1,Female,[0:200),74729
2049.0,0,Female,[0:200),74729
2049.0,1,Female,[5:10),6112
2049.0,0,Female,[5:10),6112
2049.0,1,Female,[10:15),6291
2049.0,0,Female,[10:15),6291
2049.0,1,Female,[15:20),6177
2049.0,0,Female,[15:20),6177
2049.0,1,Female,[20:25),6042
2049.0,0,Female,[20:25),6042
2049.0,1,Female,[25:30),5968
2049.0,0,Female,[25:30),5968
2049.0,1,Female,[30:35),5763
2049.0,0,Female,[30:35),5763
2049.0,1,Female,[35:40),5365
2049.0,0,Female,[35:40),5365
2049.0,1,Female,[40:45),5025
2049.0,0,Female,[40:45),5025
2049.0,1,Female,[45:50),4569
2049.0,0,Female,[45:50),4569
2049.0,1,Female,[50:55),4339
2049.0,0,Female,[50:55),4339
2049.0,1,Female,[55:60),4108
2049.0,0,Female,[55:60),4108
2049.0,1,Female,[60:65),3251
2049.0,0,Female,[60:65),3251
2049.0,1,Female,[65:70),2104
2049.0,0,Female,[65:70),2104
2049.0,1,Female,[70:75),1385
2049.0,0,Female,[70:75),1385
2049.0,1,Female,[75:80),1015
2049.0,0,Female,[75:80),1015
2050.0,1,Male,[0:5),6192
2050.0,0,Male,[0:5),6192
2050.0,1,Male,[0:200),70581
2050.0,0,Male,[0:200),70581
2050.0,1,Male,[5:10),6052
2050.0,0,Male,[5:10),6052
