Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0044364114360828134
2048.0,0,Male,[15:20),0.0044364114360828134
2048.0,1,Male,[20:25),0.018809290153745502
2048.0,0,Male,[20:25),0.018809290153745502
2048.0,1,Male,[25:30),0.0482013113592061
2048.0,0,Male,[25:30),0.0482013113592061
2048.0,1,Male,[30:35),0.09911536378407655
2048.0,0,Male,[30:35),0.09911536378407655
2048.0,1,Male,[35:40),0.14154806005069215
2048.0,0,Male,[35:40),0.14154806005069215
2048.0,1,Male,[40:45),0.18011647254575708
2048.0,0,Male,[40:45),0.18011647254575708
2048.0,1,Male,[45:50),0.2502929458636044
2048.0,0,Male,[45:50),0.2502929458636044
2048.0,1,Male,[50:55),0.3677274987568374
2048.0,0,Male,[50:55),0.3677274987568374
2048.0,1,Male,[55:60),0.4549721325902024
2048.0,0,Male,[55:60),0.4549721325902024
2048.0,1,Male,[60:65),0.5553359683794467
2048.0,0,Male,[60:65),0.5553359683794467
2048.0,1,Male,[65:200),0.6025039123630673
2048.0,0,Male,[65:200),0.6025039123630673
2048.0,1,Female,[15:20),0.03636948825233344
2048.0,0,Female,[15:20),0.03636948825233344
2048.0,1,Female,[20:25),0.12179700499168053
2048.0,0,Female,[20:25),0.12179700499168053
2048.0,1,Female,[25:30),0.19061976549413737
2048.0,0,Female,[25:30),0.19061976549413737
2048.0,1,Female,[30:35),0.23380726698262244
2048.0,0,Female,[30:35),0.23380726698262244
2048.0,1,Female,[35:40),0.3035479632063075
2048.0,0,Female,[35:40),0.3035479632063075
2048.0,1,Female,[40:45),0.3544096582770616
2048.0,0,Female,[40:45),0.3544096582770616
2048.0,1,Female,[45:50),0.4232456140350877
2048.0,0,Female,[45:50),0.4232456140350877
2048.0,1,Female,[50:55),0.49608114338404796
2048.0,0,Female,[50:55),0.49608114338404796
2048.0,1,Female,[55:60),0.580789277736411
2048.0,0,Female,[55:60),0.580789277736411
2048.0,1,Female,[60:65),0.6567754698318496
2048.0,0,Female,[60:65),0.6567754698318496
2048.0,1,Female,[65:200),0.6111538461538462
2048.0,0,Female,[65:200),0.6111538461538462
2049.0,1,Male,[15:20),0.004257409530047486
2049.0,0,Male,[15:20),0.004257409530047486
2049.0,1,Male,[20:25),0.01750368068051693
2049.0,0,Male,[20:25),0.01750368068051693
2049.0,1,Male,[25:30),0.0508652333508128
2049.0,0,Male,[25:30),0.0508652333508128
2049.0,1,Male,[30:35),0.09776737486496219
2049.0,0,Male,[30:35),0.09776737486496219
2049.0,1,Male,[35:40),0.13422170722286597
2049.0,0,Male,[35:40),0.13422170722286597
2049.0,1,Male,[40:45),0.18445404071560764
2049.0,0,Male,[40:45),0.18445404071560764
2049.0,1,Male,[45:50),0.24511830921203767
2049.0,0,Male,[45:50),0.24511830921203767
2049.0,1,Male,[50:55),0.3488257107540173
2049.0,0,Male,[50:55),0.3488257107540173
2049.0,1,Male,[55:60),0.446167097329888
2049.0,0,Male,[55:60),0.446167097329888
2049.0,1,Male,[60:65),0.5489214175654854
