Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6030
2048.0,0,Male,[0:5),6030
2048.0,1,Male,[0:200),68602
2048.0,0,Male,[0:200),68602
2048.0,1,Male,[5:10),5911
2048.0,0,Male,[5:10),5911
2048.0,1,Male,[10:15),6169
2048.0,0,Male,[10:15),6169
2048.0,1,Male,[15:20),5949
2048.0,0,Male,[15:20),5949
2048.0,1,Male,[20:25),5933
2048.0,0,Male,[20:25),5933
2048.0,1,Male,[25:30),5690
2048.0,0,Male,[25:30),5690
2048.0,1,Male,[30:35),5626
2048.0,0,Male,[30:35),5626
2048.0,1,Male,[35:40),5165
2048.0,0,Male,[35:40),5165
2048.0,1,Male,[40:45),4699
2048.0,0,Male,[40:45),4699
2048.0,1,Male,[45:50),4171
2048.0,0,Male,[45:50),4171
2048.0,1,Male,[50:55),3976
2048.0,0,Male,[50:55),3976
2048.0,1,Male,[55:60),3368
2048.0,0,Male,[55:60),3368
2048.0,1,Male,[60:65),2545
2048.0,0,Male,[60:65),2545
2048.0,1,Male,[65:70),1658
2048.0,0,Male,[65:70),1658
2048.0,1,Male,[70:75),910
2048.0,0,Male,[70:75),910
2048.0,1,Male,[75:80),510
2048.0,0,Male,[75:80),510
2048.0,1,Female,[0:5),6183
2048.0,0,Female,[0:5),6183
2048.0,1,Female,[0:200),73740
2048.0,0,Female,[0:200),73740
2048.0,1,Female,[5:10),6015
2048.0,0,Female,[5:10),6015
2048.0,1,Female,[10:15),6288
2048.0,0,Female,[10:15),6288
2048.0,1,Female,[15:20),6239
2048.0,0,Female,[15:20),6239
2048.0,1,Female,[20:25),6028
2048.0,0,Female,[20:25),6028
2048.0,1,Female,[25:30),5775
2048.0,0,Female,[25:30),5775
2048.0,1,Female,[30:35),5767
2048.0,0,Female,[30:35),5767
2048.0,1,Female,[35:40),5308
2048.0,0,Female,[35:40),5308
2048.0,1,Female,[40:45),4918
2048.0,0,Female,[40:45),4918
2048.0,1,Female,[45:50),4522
2048.0,0,Female,[45:50),4522
2048.0,1,Female,[50:55),4353
2048.0,0,Female,[50:55),4353
2048.0,1,Female,[55:60),4086
2048.0,0,Female,[55:60),4086
2048.0,1,Female,[60:65),2980
2048.0,0,Female,[60:65),2980
2048.0,1,Female,[65:70),2012
2048.0,0,Female,[65:70),2012
2048.0,1,Female,[70:75),1367
2048.0,0,Female,[70:75),1367
2048.0,1,Female,[75:80),956
2048.0,0,Female,[75:80),956
2049.0,1,Male,[0:5),6105
2049.0,0,Male,[0:5),6105
2049.0,1,Male,[0:200),69233
2049.0,0,Male,[0:200),69233
2049.0,1,Male,[5:10),5862
2049.0,0,Male,[5:10),5862
2049.0,1,Male,[10:15),6175
2049.0,0,Male,[10:15),6175
2049.0,1,Male,[15:20),5991
2049.0,0,Male,[15:20),5991
2049.0,1,Male,[20:25),5906
2049.0,0,Male,[20:25),5906
2049.0,1,Male,[25:30),5648
2049.0,0,Male,[25:30),5648
2049.0,1,Male,[30:35),5736
2049.0,0,Male,[30:35),5736
2049.0,1,Male,[35:40),5179
2049.0,0,Male,[35:40),5179
2049.0,1,Male,[40:45),4803
2049.0,0,Male,[40:45),4803
2049.0,1,Male,[45:50),4269
2049.0,0,Male,[45:50),4269
2049.0,1,Male,[50:55),3956
2049.0,0,Male,[50:55),3956
2049.0,1,Male,[55:60),3404
2049.0,0,Male,[55:60),3404
2049.0,1,Male,[60:65),2657
2049.0,0,Male,[60:65),2657
2049.0,1,Male,[65:70),1764
2049.0,0,Male,[65:70),1764
2049.0,1,Male,[70:75),946
2049.0,0,Male,[70:75),946
2049.0,1,Male,[75:80),516
2049.0,0,Male,[75:80),516
2049.0,1,Female,[0:5),6234
2049.0,0,Female,[0:5),6234
2049.0,1,Female,[0:200),74593
2049.0,0,Female,[0:200),74593
2049.0,1,Female,[5:10),5973
2049.0,0,Female,[5:10),5973
2049.0,1,Female,[10:15),6314
2049.0,0,Female,[10:15),6314
2049.0,1,Female,[15:20),6184
2049.0,0,Female,[15:20),6184
2049.0,1,Female,[20:25),6118
2049.0,0,Female,[20:25),6118
2049.0,1,Female,[25:30),5768
2049.0,0,Female,[25:30),5768
2049.0,1,Female,[30:35),5804
2049.0,0,Female,[30:35),5804
2049.0,1,Female,[35:40),5368
2049.0,0,Female,[35:40),5368
2049.0,1,Female,[40:45),4985
2049.0,0,Female,[40:45),4985
2049.0,1,Female,[45:50),4556
2049.0,0,Female,[45:50),4556
2049.0,1,Female,[50:55),4394
2049.0,0,Female,[50:55),4394
2049.0,1,Female,[55:60),4112
2049.0,0,Female,[55:60),4112
2049.0,1,Female,[60:65),3214
2049.0,0,Female,[60:65),3214
2049.0,1,Female,[65:70),2110
2049.0,0,Female,[65:70),2110
2049.0,1,Female,[70:75),1460
2049.0,0,Female,[70:75),1460
2049.0,1,Female,[75:80),988
2049.0,0,Female,[75:80),988
2050.0,1,Male,[0:5),6107
2050.0,0,Male,[0:5),6107
2050.0,1,Male,[0:200),69926
2050.0,0,Male,[0:200),69926
2050.0,1,Male,[5:10),5860
2050.0,0,Male,[5:10),5860
2050.0,1,Male,[10:15),6207
2050.0,0,Male,[10:15),6207
2050.0,1,Male,[15:20),5956
2050.0,0,Male,[15:20),5956
2050.0,1,Male,[20:25),5944
2050.0,0,Male,[20:25),5944
2050.0,1,Male,[25:30),5675
2050.0,0,Male,[25:30),5675
2050.0,1,Male,[30:35),5721
2050.0,0,Male,[30:35),5721
2050.0,1,Male,[35:40),5265
2050.0,0,Male,[35:40),5265
2050.0,1,Male,[40:45),4949
2050.0,0,Male,[40:45),4949
2050.0,1,Male,[45:50),4303
2050.0,0,Male,[45:50),4303
2050.0,1,Male,[50:55),3945
2050.0,0,Male,[50:55),3945
2050.0,1,Male,[55:60),3462
2050.0,0,Male,[55:60),3462
2050.0,1,Male,[60:65),2769
2050.0,0,Male,[60:65),2769
2050.0,1,Male,[65:70),1857
2050.0,0,Male,[65:70),1857
2050.0,1,Male,[70:75),1045
2050.0,0,Male,[70:75),1045
2050.0,1,Male,[75:80),529
2050.0,0,Male,[75:80),529
2050.0,1,Female,[0:5),6208
2050.0,0,Female,[0:5),6208
2050.0,1,Female,[0:200),75367
2050.0,0,Female,[0:200),75367
2050.0,1,Female,[5:10),6015
2050.0,0,Female,[5:10),6015
2050.0,1,Female,[10:15),6289
2050.0,0,Female,[10:15),6289
2050.0,1,Female,[15:20),6093
2050.0,0,Female,[15:20),6093
2050.0,1,Female,[20:25),6147
2050.0,0,Female,[20:25),6147
2050.0,1,Female,[25:30),5810
2050.0,0,Female,[25:30),5810
2050.0,1,Female,[30:35),5840
2050.0,0,Female,[30:35),5840
2050.0,1,Female,[35:40),5467
2050.0,0,Female,[35:40),5467
2050.0,1,Female,[40:45),4993
2050.0,0,Female,[40:45),4993
2050.0,1,Female,[45:50),4674
2050.0,0,Female,[45:50),4674
2050.0,1,Female,[50:55),4371
2050.0,0,Female,[50:55),4371
2050.0,1,Female,[55:60),4211
2050.0,0,Female,[55:60),4211
2050.0,1,Female,[60:65),3405
2050.0,0,Female,[60:65),3405
2050.0,1,Female,[65:70),2239
2050.0,0,Female,[65:70),2239
2050.0,1,Female,[70:75),1542
2050.0,0,Female,[70:75),1542
2050.0,1,Female,[75:80),1008
2050.0,0,Female,[75:80),1008
2039.0,1,Male,[0:5),6130
2039.0,0,Male,[0:5),6130
2039.0,1,Male,[0:200),62076
2039.0,0,Male,[0:200),62076
2039.0,1,Male,[5:10),5934
2039.0,0,Male,[5:10),5934
2039.0,1,Male,[10:15),6086
2039.0,0,Male,[10:15),6086
2039.0,1,Male,[15:20),5842
2039.0,0,Male,[15:20),5842
2039.0,1,Male,[20:25),5840
2039.0,0,Male,[20:25),5840
2039.0,1,Male,[25:30),5257
2039.0,0,Male,[25:30),5257
2039.0,1,Male,[30:35),5005
2039.0,0,Male,[30:35),5005
2039.0,1,Male,[35:40),4526
2039.0,0,Male,[35:40),4526
2039.0,1,Male,[40:45),4242
2039.0,0,Male,[40:45),4242
2039.0,1,Male,[45:50),3903
2039.0,0,Male,[45:50),3903
2039.0,1,Male,[50:55),3319
2039.0,0,Male,[50:55),3319
2039.0,1,Male,[55:60),2359
2039.0,0,Male,[55:60),2359
2039.0,1,Male,[60:65),1532
2039.0,0,Male,[60:65),1532
2039.0,1,Male,[65:70),1028
2039.0,0,Male,[65:70),1028
2039.0,1,Male,[70:75),650
2039.0,0,Male,[70:75),650
2039.0,1,Male,[75:80),291
2039.0,0,Male,[75:80),291
2039.0,1,Female,[0:5),6246
2039.0,0,Female,[0:5),6246
2039.0,1,Female,[0:200),65838
2039.0,0,Female,[0:200),65838
2039.0,1,Female,[5:10),6145
2039.0,0,Female,[5:10),6145
2039.0,1,Female,[10:15),6270
2039.0,0,Female,[10:15),6270
2039.0,1,Female,[15:20),5907
2039.0,0,Female,[15:20),5907
2039.0,1,Female,[20:25),5878
2039.0,0,Female,[20:25),5878
2039.0,1,Female,[25:30),5338
2039.0,0,Female,[25:30),5338
2039.0,1,Female,[30:35),5085
2039.0,0,Female,[30:35),5085
2039.0,1,Female,[35:40),4707
2039.0,0,Female,[35:40),4707
2039.0,1,Female,[40:45),4507
2039.0,0,Female,[40:45),4507
2039.0,1,Female,[45:50),4391
2039.0,0,Female,[45:50),4391
2039.0,1,Female,[50:55),3566
2039.0,0,Female,[50:55),3566
2039.0,1,Female,[55:60),2415
2039.0,0,Female,[55:60),2415
2039.0,1,Female,[60:65),1815
2039.0,0,Female,[60:65),1815
2039.0,1,Female,[65:70),1379
2039.0,0,Female,[65:70),1379
2039.0,1,Female,[70:75),1020
2039.0,0,Female,[70:75),1020
2039.0,1,Female,[75:80),651
2039.0,0,Female,[75:80),651
2040.0,1,Male,[0:5),6179
2040.0,0,Male,[0:5),6179
2040.0,1,Male,[0:200),62921
2040.0,0,Male,[0:200),62921
2040.0,1,Male,[5:10),5910
2040.0,0,Male,[5:10),5910
2040.0,1,Male,[10:15),6109
2040.0,0,Male,[10:15),6109
2040.0,1,Male,[15:20),5857
2040.0,0,Male,[15:20),5857
2040.0,1,Male,[20:25),5851
2040.0,0,Male,[20:25),5851
2040.0,1,Male,[25:30),5326
2040.0,0,Male,[25:30),5326
2040.0,1,Male,[30:35),5152
2040.0,0,Male,[30:35),5152
2040.0,1,Male,[35:40),4544
2040.0,0,Male,[35:40),4544
2040.0,1,Male,[40:45),4242
2040.0,0,Male,[40:45),4242
2040.0,1,Male,[45:50),3988
2040.0,0,Male,[45:50),3988
2040.0,1,Male,[50:55),3427
2040.0,0,Male,[50:55),3427
2040.0,1,Male,[55:60),2494
