Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.006555723651033787
2048.0,0,Male,[15:20),0.006555723651033787
2048.0,1,Male,[20:25),0.02056295297488623
2048.0,0,Male,[20:25),0.02056295297488623
2048.0,1,Male,[25:30),0.05184534270650264
2048.0,0,Male,[25:30),0.05184534270650264
2048.0,1,Male,[30:35),0.09118378954852471
2048.0,0,Male,[30:35),0.09118378954852471
2048.0,1,Male,[35:40),0.13785091965150048
2048.0,0,Male,[35:40),0.13785091965150048
2048.0,1,Male,[40:45),0.19536071504575442
2048.0,0,Male,[40:45),0.19536071504575442
2048.0,1,Male,[45:50),0.26756173579477344
2048.0,0,Male,[45:50),0.26756173579477344
2048.0,1,Male,[50:55),0.34783702213279677
2048.0,0,Male,[50:55),0.34783702213279677
2048.0,1,Male,[55:60),0.44685273159144895
2048.0,0,Male,[55:60),0.44685273159144895
2048.0,1,Male,[60:65),0.5512770137524557
2048.0,0,Male,[60:65),0.5512770137524557
2048.0,1,Male,[65:200),0.612759643916914
2048.0,0,Male,[65:200),0.612759643916914
2048.0,1,Female,[15:20),0.035262061227760856
2048.0,0,Female,[15:20),0.035262061227760856
2048.0,1,Female,[20:25),0.1074983410749834
2048.0,0,Female,[20:25),0.1074983410749834
2048.0,1,Female,[25:30),0.16952380952380952
2048.0,0,Female,[25:30),0.16952380952380952
2048.0,1,Female,[30:35),0.22992890584359285
2048.0,0,Female,[30:35),0.22992890584359285
2048.0,1,Female,[35:40),0.27392614920874153
2048.0,0,Female,[35:40),0.27392614920874153
2048.0,1,Female,[40:45),0.34993899959333064
2048.0,0,Female,[40:45),0.34993899959333064
2048.0,1,Female,[45:50),0.3998230871295887
2048.0,0,Female,[45:50),0.3998230871295887
2048.0,1,Female,[50:55),0.48747989892028487
2048.0,0,Female,[50:55),0.48747989892028487
2048.0,1,Female,[55:60),0.5665687714145864
2048.0,0,Female,[55:60),0.5665687714145864
2048.0,1,Female,[60:65),0.6614093959731544
2048.0,0,Female,[60:65),0.6614093959731544
2048.0,1,Female,[65:200),0.5941644562334217
2048.0,0,Female,[65:200),0.5941644562334217
2049.0,1,Male,[15:20),0.005842096478050409
2049.0,0,Male,[15:20),0.005842096478050409
2049.0,1,Male,[20:25),0.020656959024720624
2049.0,0,Male,[20:25),0.020656959024720624
2049.0,1,Male,[25:30),0.051522662889518414
2049.0,0,Male,[25:30),0.051522662889518414
2049.0,1,Male,[30:35),0.08838912133891214
2049.0,0,Male,[30:35),0.08838912133891214
2049.0,1,Male,[35:40),0.1345819656304306
2049.0,0,Male,[35:40),0.1345819656304306
2049.0,1,Male,[40:45),0.19237976264834478
2049.0,0,Male,[40:45),0.19237976264834478
2049.0,1,Male,[45:50),0.2644647458421176
2049.0,0,Male,[45:50),0.2644647458421176
2049.0,1,Male,[50:55),0.3384732052578362
2049.0,0,Male,[50:55),0.3384732052578362
2049.0,1,Male,[55:60),0.43683901292596944
2049.0,0,Male,[55:60),0.43683901292596944
2049.0,1,Male,[60:65),0.5336846066992849
2049.0,0,Male,[60:65),0.5336846066992849
2049.0,1,Male,[65:200),0.6143421795595708
2049.0,0,Male,[65:200),0.6143421795595708
2049.0,1,Female,[15:20),0.03719275549805951
2049.0,0,Female,[15:20),0.03719275549805951
2049.0,1,Female,[20:25),0.10706113108859104
2049.0,0,Female,[20:25),0.10706113108859104
2049.0,1,Female,[25:30),0.16799583911234398
2049.0,0,Female,[25:30),0.16799583911234398
2049.0,1,Female,[30:35),0.22708476912474157
2049.0,0,Female,[30:35),0.22708476912474157
2049.0,1,Female,[35:40),0.27030551415797316
2049.0,0,Female,[35:40),0.27030551415797316
2049.0,1,Female,[40:45),0.3370110330992979
2049.0,0,Female,[40:45),0.3370110330992979
2049.0,1,Female,[45:50),0.396180860403863
2049.0,0,Female,[45:50),0.396180860403863
2049.0,1,Female,[50:55),0.47724169321802457
2049.0,0,Female,[50:55),0.47724169321802457
2049.0,1,Female,[55:60),0.5445038910505836
2049.0,0,Female,[55:60),0.5445038910505836
2049.0,1,Female,[60:65),0.6440572495332918
2049.0,0,Female,[60:65),0.6440572495332918
2049.0,1,Female,[65:200),0.6090860118513198
2049.0,0,Female,[65:200),0.6090860118513198
2050.0,1,Male,[15:20),0.0052048354600402955
2050.0,0,Male,[15:20),0.0052048354600402955
2050.0,1,Male,[20:25),0.02237550471063257
2050.0,0,Male,[20:25),0.02237550471063257
2050.0,1,Male,[25:30),0.05039647577092511
2050.0,0,Male,[25:30),0.05039647577092511
2050.0,1,Male,[30:35),0.08617374584862786
2050.0,0,Male,[30:35),0.08617374584862786
2050.0,1,Male,[35:40),0.1339031339031339
2050.0,0,Male,[35:40),0.1339031339031339
2050.0,1,Male,[40:45),0.19034148312790464
2050.0,0,Male,[40:45),0.19034148312790464
2050.0,1,Male,[45:50),0.25424122705089475
2050.0,0,Male,[45:50),0.25424122705089475
2050.0,1,Male,[50:55),0.32598225602027886
2050.0,0,Male,[50:55),0.32598225602027886
2050.0,1,Male,[55:60),0.427787406123628
2050.0,0,Male,[55:60),0.427787406123628
2050.0,1,Male,[60:65),0.5102925243770314
2050.0,0,Male,[60:65),0.5102925243770314
2050.0,1,Male,[65:200),0.6149348923731066
2050.0,0,Male,[65:200),0.6149348923731066
2050.0,1,Female,[15:20),0.03807648120794354
2050.0,0,Female,[15:20),0.03807648120794354
2050.0,1,Female,[20:25),0.10476655278997885
2050.0,0,Female,[20:25),0.10476655278997885
2050.0,1,Female,[25:30),0.16712564543889846
2050.0,0,Female,[25:30),0.16712564543889846
2050.0,1,Female,[30:35),0.22345890410958905
2050.0,0,Female,[30:35),0.22345890410958905
2050.0,1,Female,[35:40),0.2694347905615511
2050.0,0,Female,[35:40),0.2694347905615511
2050.0,1,Female,[40:45),0.33226517123973565
2050.0,0,Female,[40:45),0.33226517123973565
2050.0,1,Female,[45:50),0.38532306375695335
2050.0,0,Female,[45:50),0.38532306375695335
2050.0,1,Female,[50:55),0.4625943719972546
2050.0,0,Female,[50:55),0.4625943719972546
2050.0,1,Female,[55:60),0.5317026834481121
2050.0,0,Female,[55:60),0.5317026834481121
2050.0,1,Female,[60:65),0.6299559471365639
2050.0,0,Female,[60:65),0.6299559471365639
2050.0,1,Female,[65:200),0.6206365503080082
2050.0,0,Female,[65:200),0.6206365503080082
2011.5,1,Male,[15:20),0.019885762640152318
2011.5,0,Male,[15:20),0.019885762640152318
2011.5,1,Male,[20:25),0.09640221402214022
2011.5,0,Male,[20:25),0.09640221402214022
2011.5,1,Male,[25:30),0.22982749026154703
2011.5,0,Male,[25:30),0.22982749026154703
2011.5,1,Male,[30:35),0.3524261218533382
2011.5,0,Male,[30:35),0.3524261218533382
2011.5,1,Male,[35:40),0.4231635872014421
2011.5,0,Male,[35:40),0.4231635872014421
2011.5,1,Male,[40:45),0.4368271954674221
2011.5,0,Male,[40:45),0.4368271954674221
2011.5,1,Male,[45:50),0.36148382004735596
