Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6270
2048.0,0,Male,[0:5),6270
2048.0,1,Male,[0:200),70800
2048.0,0,Male,[0:200),70800
2048.0,1,Male,[5:10),6231
2048.0,0,Male,[5:10),6231
2048.0,1,Male,[10:15),6334
2048.0,0,Male,[10:15),6334
2048.0,1,Male,[15:20),6264
2048.0,0,Male,[15:20),6264
2048.0,1,Male,[20:25),6073
2048.0,0,Male,[20:25),6073
2048.0,1,Male,[25:30),5994
2048.0,0,Male,[25:30),5994
2048.0,1,Male,[30:35),5658
2048.0,0,Male,[30:35),5658
2048.0,1,Male,[35:40),5247
2048.0,0,Male,[35:40),5247
2048.0,1,Male,[40:45),4834
2048.0,0,Male,[40:45),4834
2048.0,1,Male,[45:50),4386
2048.0,0,Male,[45:50),4386
2048.0,1,Male,[50:55),4097
2048.0,0,Male,[50:55),4097
2048.0,1,Male,[55:60),3607
2048.0,0,Male,[55:60),3607
2048.0,1,Male,[60:65),2608
2048.0,0,Male,[60:65),2608
2048.0,1,Male,[65:70),1527
2048.0,0,Male,[65:70),1527
2048.0,1,Male,[70:75),908
2048.0,0,Male,[70:75),908
2048.0,1,Male,[75:80),475
2048.0,0,Male,[75:80),475
2048.0,1,Female,[0:5),6221
2048.0,0,Female,[0:5),6221
2048.0,1,Female,[0:200),75977
2048.0,0,Female,[0:200),75977
2048.0,1,Female,[5:10),6265
2048.0,0,Female,[5:10),6265
2048.0,1,Female,[10:15),6475
2048.0,0,Female,[10:15),6475
2048.0,1,Female,[15:20),6473
2048.0,0,Female,[15:20),6473
2048.0,1,Female,[20:25),6306
2048.0,0,Female,[20:25),6306
2048.0,1,Female,[25:30),6007
2048.0,0,Female,[25:30),6007
2048.0,1,Female,[30:35),5850
2048.0,0,Female,[30:35),5850
2048.0,1,Female,[35:40),5525
2048.0,0,Female,[35:40),5525
2048.0,1,Female,[40:45),5075
2048.0,0,Female,[40:45),5075
2048.0,1,Female,[45:50),4736
2048.0,0,Female,[45:50),4736
2048.0,1,Female,[50:55),4534
2048.0,0,Female,[50:55),4534
2048.0,1,Female,[55:60),4110
2048.0,0,Female,[55:60),4110
2048.0,1,Female,[60:65),3138
2048.0,0,Female,[60:65),3138
2048.0,1,Female,[65:70),2041
2048.0,0,Female,[65:70),2041
2048.0,1,Female,[70:75),1332
2048.0,0,Female,[70:75),1332
2048.0,1,Female,[75:80),937
2048.0,0,Female,[75:80),937
2049.0,1,Male,[0:5),6325
2049.0,0,Male,[0:5),6325
2049.0,1,Male,[0:200),71558
2049.0,0,Male,[0:200),71558
2049.0,1,Male,[5:10),6161
2049.0,0,Male,[5:10),6161
2049.0,1,Male,[10:15),6441
2049.0,0,Male,[10:15),6441
2049.0,1,Male,[15:20),6265
2049.0,0,Male,[15:20),6265
2049.0,1,Male,[20:25),6065
2049.0,0,Male,[20:25),6065
2049.0,1,Male,[25:30),5954
2049.0,0,Male,[25:30),5954
2049.0,1,Male,[30:35),5697
2049.0,0,Male,[30:35),5697
2049.0,1,Male,[35:40),5330
2049.0,0,Male,[35:40),5330
2049.0,1,Male,[40:45),4894
2049.0,0,Male,[40:45),4894
2049.0,1,Male,[45:50),4459
2049.0,0,Male,[45:50),4459
2049.0,1,Male,[50:55),4164
2049.0,0,Male,[50:55),4164
2049.0,1,Male,[55:60),3684
2049.0,0,Male,[55:60),3684
2049.0,1,Male,[60:65),2741
2049.0,0,Male,[60:65),2741
2049.0,1,Male,[65:70),1609
2049.0,0,Male,[65:70),1609
2049.0,1,Male,[70:75),970
2049.0,0,Male,[70:75),970
2049.0,1,Male,[75:80),486
2049.0,0,Male,[75:80),486
2049.0,1,Female,[0:5),6231
2049.0,0,Female,[0:5),6231
2049.0,1,Female,[0:200),76823
2049.0,0,Female,[0:200),76823
2049.0,1,Female,[5:10),6208
2049.0,0,Female,[5:10),6208
2049.0,1,Female,[10:15),6529
2049.0,0,Female,[10:15),6529
2049.0,1,Female,[15:20),6457
2049.0,0,Female,[15:20),6457
2049.0,1,Female,[20:25),6310
2049.0,0,Female,[20:25),6310
2049.0,1,Female,[25:30),6055
2049.0,0,Female,[25:30),6055
2049.0,1,Female,[30:35),5896
2049.0,0,Female,[30:35),5896
2049.0,1,Female,[35:40),5603
2049.0,0,Female,[35:40),5603
2049.0,1,Female,[40:45),5167
2049.0,0,Female,[40:45),5167
2049.0,1,Female,[45:50),4788
2049.0,0,Female,[45:50),4788
2049.0,1,Female,[50:55),4607
2049.0,0,Female,[50:55),4607
2049.0,1,Female,[55:60),4105
2049.0,0,Female,[55:60),4105
2049.0,1,Female,[60:65),3353
2049.0,0,Female,[60:65),3353
2049.0,1,Female,[65:70),2168
2049.0,0,Female,[65:70),2168
2049.0,1,Female,[70:75),1376
2049.0,0,Female,[70:75),1376
2049.0,1,Female,[75:80),980
2049.0,0,Female,[75:80),980
2050.0,1,Male,[0:5),6305
2050.0,0,Male,[0:5),6305
2050.0,1,Male,[0:200),72299
2050.0,0,Male,[0:200),72299
2050.0,1,Male,[5:10),6189
2050.0,0,Male,[5:10),6189
2050.0,1,Male,[10:15),6455
2050.0,0,Male,[10:15),6455
2050.0,1,Male,[15:20),6229
2050.0,0,Male,[15:20),6229
2050.0,1,Male,[20:25),6090
2050.0,0,Male,[20:25),6090
2050.0,1,Male,[25:30),5956
2050.0,0,Male,[25:30),5956
2050.0,1,Male,[30:35),5764
2050.0,0,Male,[30:35),5764
