Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5988
2048.0,0,Male,[0:5),5988
2048.0,1,Male,[0:200),67238
2048.0,0,Male,[0:200),67238
2048.0,1,Male,[5:10),5923
2048.0,0,Male,[5:10),5923
2048.0,1,Male,[10:15),5931
2048.0,0,Male,[10:15),5931
2048.0,1,Male,[15:20),5802
2048.0,0,Male,[15:20),5802
2048.0,1,Male,[20:25),5749
2048.0,0,Male,[20:25),5749
2048.0,1,Male,[25:30),5643
2048.0,0,Male,[25:30),5643
2048.0,1,Male,[30:35),5391
2048.0,0,Male,[30:35),5391
2048.0,1,Male,[35:40),5076
2048.0,0,Male,[35:40),5076
2048.0,1,Male,[40:45),4609
2048.0,0,Male,[40:45),4609
2048.0,1,Male,[45:50),4137
2048.0,0,Male,[45:50),4137
2048.0,1,Male,[50:55),3859
2048.0,0,Male,[50:55),3859
2048.0,1,Male,[55:60),3369
2048.0,0,Male,[55:60),3369
2048.0,1,Male,[60:65),2500
2048.0,0,Male,[60:65),2500
2048.0,1,Male,[65:70),1525
2048.0,0,Male,[65:70),1525
2048.0,1,Male,[70:75),911
2048.0,0,Male,[70:75),911
2048.0,1,Male,[75:80),522
2048.0,0,Male,[75:80),522
2048.0,1,Female,[0:5),6121
2048.0,0,Female,[0:5),6121
2048.0,1,Female,[0:200),71795
2048.0,0,Female,[0:200),71795
2048.0,1,Female,[5:10),5885
2048.0,0,Female,[5:10),5885
2048.0,1,Female,[10:15),6047
2048.0,0,Female,[10:15),6047
2048.0,1,Female,[15:20),5919
2048.0,0,Female,[15:20),5919
2048.0,1,Female,[20:25),6080
2048.0,0,Female,[20:25),6080
2048.0,1,Female,[25:30),5723
2048.0,0,Female,[25:30),5723
2048.0,1,Female,[30:35),5462
2048.0,0,Female,[30:35),5462
2048.0,1,Female,[35:40),5076
2048.0,0,Female,[35:40),5076
2048.0,1,Female,[40:45),4731
2048.0,0,Female,[40:45),4731
2048.0,1,Female,[45:50),4437
2048.0,0,Female,[45:50),4437
2048.0,1,Female,[50:55),4432
2048.0,0,Female,[50:55),4432
2048.0,1,Female,[55:60),3742
2048.0,0,Female,[55:60),3742
2048.0,1,Female,[60:65),2928
2048.0,0,Female,[60:65),2928
2048.0,1,Female,[65:70),1963
2048.0,0,Female,[65:70),1963
2048.0,1,Female,[70:75),1371
2048.0,0,Female,[70:75),1371
2048.0,1,Female,[75:80),942
2048.0,0,Female,[75:80),942
2049.0,1,Male,[0:5),5995
2049.0,0,Male,[0:5),5995
2049.0,1,Male,[0:200),67828
2049.0,0,Male,[0:200),67828
2049.0,1,Male,[5:10),5904
2049.0,0,Male,[5:10),5904
2049.0,1,Male,[10:15),5948
2049.0,0,Male,[10:15),5948
2049.0,1,Male,[15:20),5789
2049.0,0,Male,[15:20),5789
2049.0,1,Male,[20:25),5797
2049.0,0,Male,[20:25),5797
2049.0,1,Male,[25:30),5576
2049.0,0,Male,[25:30),5576
2049.0,1,Male,[30:35),5523
2049.0,0,Male,[30:35),5523
2049.0,1,Male,[35:40),5030
2049.0,0,Male,[35:40),5030
2049.0,1,Male,[40:45),4750
2049.0,0,Male,[40:45),4750
2049.0,1,Male,[45:50),4182
2049.0,0,Male,[45:50),4182
2049.0,1,Male,[50:55),3874
2049.0,0,Male,[50:55),3874
2049.0,1,Male,[55:60),3399
2049.0,0,Male,[55:60),3399
2049.0,1,Male,[60:65),2612
2049.0,0,Male,[60:65),2612
2049.0,1,Male,[65:70),1647
2049.0,0,Male,[65:70),1647
2049.0,1,Male,[70:75),934
2049.0,0,Male,[70:75),934
2049.0,1,Male,[75:80),548
2049.0,0,Male,[75:80),548
2049.0,1,Female,[0:5),6048
2049.0,0,Female,[0:5),6048
2049.0,1,Female,[0:200),72484
2049.0,0,Female,[0:200),72484
2049.0,1,Female,[5:10),5907
2049.0,0,Female,[5:10),5907
2049.0,1,Female,[10:15),6038
2049.0,0,Female,[10:15),6038
2049.0,1,Female,[15:20),5946
2049.0,0,Female,[15:20),5946
2049.0,1,Female,[20:25),6019
2049.0,0,Female,[20:25),6019
2049.0,1,Female,[25:30),5782
2049.0,0,Female,[25:30),5782
2049.0,1,Female,[30:35),5508
2049.0,0,Female,[30:35),5508
2049.0,1,Female,[35:40),5197
2049.0,0,Female,[35:40),5197
2049.0,1,Female,[40:45),4779
2049.0,0,Female,[40:45),4779
2049.0,1,Female,[45:50),4468
2049.0,0,Female,[45:50),4468
2049.0,1,Female,[50:55),4416
2049.0,0,Female,[50:55),4416
2049.0,1,Female,[55:60),3849
2049.0,0,Female,[55:60),3849
2049.0,1,Female,[60:65),3072
2049.0,0,Female,[60:65),3072
2049.0,1,Female,[65:70),2079
2049.0,0,Female,[65:70),2079
2049.0,1,Female,[70:75),1428
2049.0,0,Female,[70:75),1428
2049.0,1,Female,[75:80),968
2049.0,0,Female,[75:80),968
2050.0,1,Male,[0:5),6030
2050.0,0,Male,[0:5),6030
2050.0,1,Male,[0:200),68460
2050.0,0,Male,[0:200),68460
2050.0,1,Male,[5:10),5894
2050.0,0,Male,[5:10),5894
2050.0,1,Male,[10:15),5955
2050.0,0,Male,[10:15),5955
2050.0,1,Male,[15:20),5757
2050.0,0,Male,[15:20),5757
2050.0,1,Male,[20:25),5800
2050.0,0,Male,[20:25),5800
2050.0,1,Male,[25:30),5623
2050.0,0,Male,[25:30),5623
2050.0,1,Male,[30:35),5539
2050.0,0,Male,[30:35),5539
2050.0,1,Male,[35:40),5120
2050.0,0,Male,[35:40),5120
2050.0,1,Male,[40:45),4777
2050.0,0,Male,[40:45),4777
2050.0,1,Male,[45:50),4248
2050.0,0,Male,[45:50),4248
2050.0,1,Male,[50:55),3906
2050.0,0,Male,[50:55),3906
2050.0,1,Male,[55:60),3403
2050.0,0,Male,[55:60),3403
2050.0,1,Male,[60:65),2771
2050.0,0,Male,[60:65),2771
2050.0,1,Male,[65:70),1760
2050.0,0,Male,[65:70),1760
2050.0,1,Male,[70:75),991
2050.0,0,Male,[70:75),991
2050.0,1,Male,[75:80),543
2050.0,0,Male,[75:80),543
2050.0,1,Female,[0:5),5984
2050.0,0,Female,[0:5),5984
2050.0,1,Female,[0:200),73212
2050.0,0,Female,[0:200),73212
2050.0,1,Female,[5:10),5928
2050.0,0,Female,[5:10),5928
2050.0,1,Female,[10:15),5970
2050.0,0,Female,[10:15),5970
2050.0,1,Female,[15:20),6061
2050.0,0,Female,[15:20),6061
