Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6219
2048.0,0,Male,[0:5),6219
2048.0,1,Male,[0:200),68572
2048.0,0,Male,[0:200),68572
2048.0,1,Male,[5:10),5902
2048.0,0,Male,[5:10),5902
2048.0,1,Male,[10:15),6173
2048.0,0,Male,[10:15),6173
2048.0,1,Male,[15:20),6063
2048.0,0,Male,[15:20),6063
2048.0,1,Male,[20:25),5971
2048.0,0,Male,[20:25),5971
2048.0,1,Male,[25:30),5747
2048.0,0,Male,[25:30),5747
2048.0,1,Male,[30:35),5486
2048.0,0,Male,[30:35),5486
2048.0,1,Male,[35:40),5105
2048.0,0,Male,[35:40),5105
2048.0,1,Male,[40:45),4594
2048.0,0,Male,[40:45),4594
2048.0,1,Male,[45:50),4224
2048.0,0,Male,[45:50),4224
2048.0,1,Male,[50:55),4006
2048.0,0,Male,[50:55),4006
2048.0,1,Male,[55:60),3468
2048.0,0,Male,[55:60),3468
2048.0,1,Male,[60:65),2489
2048.0,0,Male,[60:65),2489
2048.0,1,Male,[65:70),1509
2048.0,0,Male,[65:70),1509
2048.0,1,Male,[70:75),841
2048.0,0,Male,[70:75),841
2048.0,1,Male,[75:80),475
2048.0,0,Male,[75:80),475
2048.0,1,Female,[0:5),6191
2048.0,0,Female,[0:5),6191
2048.0,1,Female,[0:200),73600
2048.0,0,Female,[0:200),73600
2048.0,1,Female,[5:10),6064
2048.0,0,Female,[5:10),6064
2048.0,1,Female,[10:15),6247
2048.0,0,Female,[10:15),6247
2048.0,1,Female,[15:20),6075
2048.0,0,Female,[15:20),6075
2048.0,1,Female,[20:25),6137
2048.0,0,Female,[20:25),6137
2048.0,1,Female,[25:30),5843
2048.0,0,Female,[25:30),5843
2048.0,1,Female,[30:35),5784
2048.0,0,Female,[30:35),5784
2048.0,1,Female,[35:40),5360
2048.0,0,Female,[35:40),5360
2048.0,1,Female,[40:45),4915
2048.0,0,Female,[40:45),4915
2048.0,1,Female,[45:50),4549
2048.0,0,Female,[45:50),4549
2048.0,1,Female,[50:55),4361
2048.0,0,Female,[50:55),4361
2048.0,1,Female,[55:60),3894
2048.0,0,Female,[55:60),3894
2048.0,1,Female,[60:65),3087
2048.0,0,Female,[60:65),3087
2048.0,1,Female,[65:70),1941
2048.0,0,Female,[65:70),1941
2048.0,1,Female,[70:75),1340
2048.0,0,Female,[70:75),1340
2048.0,1,Female,[75:80),920
2048.0,0,Female,[75:80),920
2049.0,1,Male,[0:5),6237
2049.0,0,Male,[0:5),6237
2049.0,1,Male,[0:200),69288
2049.0,0,Male,[0:200),69288
2049.0,1,Male,[5:10),5914
2049.0,0,Male,[5:10),5914
2049.0,1,Male,[10:15),6123
2049.0,0,Male,[10:15),6123
2049.0,1,Male,[15:20),6133
2049.0,0,Male,[15:20),6133
2049.0,1,Male,[20:25),5999
2049.0,0,Male,[20:25),5999
2049.0,1,Male,[25:30),5756
2049.0,0,Male,[25:30),5756
2049.0,1,Male,[30:35),5537
2049.0,0,Male,[30:35),5537
2049.0,1,Male,[35:40),5155
2049.0,0,Male,[35:40),5155
2049.0,1,Male,[40:45),4672
2049.0,0,Male,[40:45),4672
2049.0,1,Male,[45:50),4244
2049.0,0,Male,[45:50),4244
2049.0,1,Male,[50:55),4060
2049.0,0,Male,[50:55),4060
2049.0,1,Male,[55:60),3477
2049.0,0,Male,[55:60),3477
2049.0,1,Male,[60:65),2661
2049.0,0,Male,[60:65),2661
2049.0,1,Male,[65:70),1640
2049.0,0,Male,[65:70),1640
2049.0,1,Male,[70:75),866
2049.0,0,Male,[70:75),866
2049.0,1,Male,[75:80),503
2049.0,0,Male,[75:80),503
2049.0,1,Female,[0:5),6139
2049.0,0,Female,[0:5),6139
2049.0,1,Female,[0:200),74370
2049.0,0,Female,[0:200),74370
2049.0,1,Female,[5:10),6059
2049.0,0,Female,[5:10),6059
2049.0,1,Female,[10:15),6251
2049.0,0,Female,[10:15),6251
2049.0,1,Female,[15:20),6129
2049.0,0,Female,[15:20),6129
2049.0,1,Female,[20:25),6126
2049.0,0,Female,[20:25),6126
2049.0,1,Female,[25:30),5848
2049.0,0,Female,[25:30),5848
2049.0,1,Female,[30:35),5851
2049.0,0,Female,[30:35),5851
2049.0,1,Female,[35:40),5368
2049.0,0,Female,[35:40),5368
2049.0,1,Female,[40:45),5000
2049.0,0,Female,[40:45),5000
2049.0,1,Female,[45:50),4625
2049.0,0,Female,[45:50),4625
2049.0,1,Female,[50:55),4393
2049.0,0,Female,[50:55),4393
2049.0,1,Female,[55:60),3943
2049.0,0,Female,[55:60),3943
2049.0,1,Female,[60:65),3253
2049.0,0,Female,[60:65),3253
2049.0,1,Female,[65:70),2096
2049.0,0,Female,[65:70),2096
2049.0,1,Female,[70:75),1410
2049.0,0,Female,[70:75),1410
2049.0,1,Female,[75:80),960
2049.0,0,Female,[75:80),960
2050.0,1,Male,[0:5),6209
2050.0,0,Male,[0:5),6209
2050.0,1,Male,[0:200),69875
2050.0,0,Male,[0:200),69875
2050.0,1,Male,[5:10),5919
2050.0,0,Male,[5:10),5919
2050.0,1,Male,[10:15),6115
2050.0,0,Male,[10:15),6115
2050.0,1,Male,[15:20),6105
2050.0,0,Male,[15:20),6105
2050.0,1,Male,[20:25),5982
2050.0,0,Male,[20:25),5982
2050.0,1,Male,[25:30),5808
2050.0,0,Male,[25:30),5808
2050.0,1,Male,[30:35),5614
2050.0,0,Male,[30:35),5614
2050.0,1,Male,[35:40),5209
2050.0,0,Male,[35:40),5209
2050.0,1,Male,[40:45),4730
2050.0,0,Male,[40:45),4730
2050.0,1,Male,[45:50),4255
2050.0,0,Male,[45:50),4255
2050.0,1,Male,[50:55),4090
2050.0,0,Male,[50:55),4090
2050.0,1,Male,[55:60),3566
2050.0,0,Male,[55:60),3566
2050.0,1,Male,[60:65),2786
2050.0,0,Male,[60:65),2786
2050.0,1,Male,[65:70),1699
2050.0,0,Male,[65:70),1699
2050.0,1,Male,[70:75),951
2050.0,0,Male,[70:75),951
2050.0,1,Male,[75:80),516
2050.0,0,Male,[75:80),516
2050.0,1,Female,[0:5),6161
2050.0,0,Female,[0:5),6161
2050.0,1,Female,[0:200),75193
2050.0,0,Female,[0:200),75193
2050.0,1,Female,[5:10),6025
2050.0,0,Female,[5:10),6025
2050.0,1,Female,[10:15),6307
2050.0,0,Female,[10:15),6307
2050.0,1,Female,[15:20),6104
2050.0,0,Female,[15:20),6104
2050.0,1,Female,[20:25),6075
2050.0,0,Female,[20:25),6075
2050.0,1,Female,[25:30),5902
2050.0,0,Female,[25:30),5902
2050.0,1,Female,[30:35),5851
2050.0,0,Female,[30:35),5851
2050.0,1,Female,[35:40),5477
2050.0,0,Female,[35:40),5477
2050.0,1,Female,[40:45),5130
2050.0,0,Female,[40:45),5130
2050.0,1,Female,[45:50),4640
2050.0,0,Female,[45:50),4640
2050.0,1,Female,[50:55),4399
2050.0,0,Female,[50:55),4399
2050.0,1,Female,[55:60),4018
2050.0,0,Female,[55:60),4018
2050.0,1,Female,[60:65),3381
2050.0,0,Female,[60:65),3381
2050.0,1,Female,[65:70),2308
2050.0,0,Female,[65:70),2308
2050.0,1,Female,[70:75),1450
2050.0,0,Female,[70:75),1450
2050.0,1,Female,[75:80),991
2050.0,0,Female,[75:80),991
2039.0,1,Male,[0:5),6104
2039.0,0,Male,[0:5),6104
2039.0,1,Male,[0:200),61863
2039.0,0,Male,[0:200),61863
2039.0,1,Male,[5:10),6093
2039.0,0,Male,[5:10),6093
2039.0,1,Male,[10:15),6177
2039.0,0,Male,[10:15),6177
2039.0,1,Male,[15:20),5987
2039.0,0,Male,[15:20),5987
2039.0,1,Male,[20:25),5644
2039.0,0,Male,[20:25),5644
2039.0,1,Male,[25:30),5202
2039.0,0,Male,[25:30),5202
2039.0,1,Male,[30:35),4840
2039.0,0,Male,[30:35),4840
2039.0,1,Male,[35:40),4496
2039.0,0,Male,[35:40),4496
2039.0,1,Male,[40:45),4312
2039.0,0,Male,[40:45),4312
2039.0,1,Male,[45:50),4005
2039.0,0,Male,[45:50),4005
2039.0,1,Male,[50:55),3336
2039.0,0,Male,[50:55),3336
2039.0,1,Male,[55:60),2251
2039.0,0,Male,[55:60),2251
2039.0,1,Male,[60:65),1447
2039.0,0,Male,[60:65),1447
2039.0,1,Male,[65:70),1008
2039.0,0,Male,[65:70),1008
2039.0,1,Male,[70:75),552
2039.0,0,Male,[70:75),552
2039.0,1,Male,[75:80),279
2039.0,0,Male,[75:80),279
2039.0,1,Female,[0:5),6196
2039.0,0,Female,[0:5),6196
2039.0,1,Female,[0:200),65513
2039.0,0,Female,[0:200),65513
2039.0,1,Female,[5:10),6072
2039.0,0,Female,[5:10),6072
2039.0,1,Female,[10:15),6315
2039.0,0,Female,[10:15),6315
2039.0,1,Female,[15:20),6013
2039.0,0,Female,[15:20),6013
2039.0,1,Female,[20:25),5924
2039.0,0,Female,[20:25),5924
2039.0,1,Female,[25:30),5348
2039.0,0,Female,[25:30),5348
2039.0,1,Female,[30:35),5113
2039.0,0,Female,[30:35),5113
2039.0,1,Female,[35:40),4748
2039.0,0,Female,[35:40),4748
2039.0,1,Female,[40:45),4468
2039.0,0,Female,[40:45),4468
2039.0,1,Female,[45:50),4189
2039.0,0,Female,[45:50),4189
2039.0,1,Female,[50:55),3652
2039.0,0,Female,[50:55),3652
2039.0,1,Female,[55:60),2408
2039.0,0,Female,[55:60),2408
2039.0,1,Female,[60:65),1736
2039.0,0,Female,[60:65),1736
2039.0,1,Female,[65:70),1318
2039.0,0,Female,[65:70),1318
2039.0,1,Female,[70:75),979
2039.0,0,Female,[70:75),979
2039.0,1,Female,[75:80),601
2039.0,0,Female,[75:80),601
2040.0,1,Male,[0:5),6121
2040.0,0,Male,[0:5),6121
2040.0,1,Male,[0:200),62673
2040.0,0,Male,[0:200),62673
2040.0,1,Male,[5:10),6067
2040.0,0,Male,[5:10),6067
2040.0,1,Male,[10:15),6154
2040.0,0,Male,[10:15),6154
2040.0,1,Male,[15:20),6027
2040.0,0,Male,[15:20),6027
2040.0,1,Male,[20:25),5722
2040.0,0,Male,[20:25),5722
2040.0,1,Male,[25:30),5263
2040.0,0,Male,[25:30),5263
2040.0,1,Male,[30:35),4914
2040.0,0,Male,[30:35),4914
2040.0,1,Male,[35:40),4492
2040.0,0,Male,[35:40),4492
2040.0,1,Male,[40:45),4372
2040.0,0,Male,[40:45),4372
2040.0,1,Male,[45:50),4078
2040.0,0,Male,[45:50),4078
2040.0,1,Male,[50:55),3476
2040.0,0,Male,[50:55),3476
2040.0,1,Male,[55:60),2382
2040.0,0,Male,[55:60),2382
2040.0,1,Male,[60:65),1561
2040.0,0,Male,[60:65),1561
2040.0,1,Male,[65:70),1008
2040.0,0,Male,[65:70),1008
2040.0,1,Male,[70:75),598
2040.0,0,Male,[70:75),598
2040.0,1,Male,[75:80),308
2040.0,0,Male,[75:80),308
2040.0,1,Female,[0:5),6248
2040.0,0,Female,[0:5),6248
2040.0,1,Female,[0:200),66510
2040.0,0,Female,[0:200),66510
2040.0,1,Female,[5:10),6046
2040.0,0,Female,[5:10),6046
2040.0,1,Female,[10:15),6276
2040.0,0,Female,[10:15),6276
2040.0,1,Female,[15:20),6073
2040.0,0,Female,[15:20),6073
2040.0,1,Female,[20:25),5916
2040.0,0,Female,[20:25),5916
2040.0,1,Female,[25:30),5441
2040.0,0,Female,[25:30),5441
2040.0,1,Female,[30:35),5242
2040.0,0,Female,[30:35),5242
2040.0,1,Female,[35:40),4760
2040.0,0,Female,[35:40),4760
2040.0,1,Female,[40:45),4526
2040.0,0,Female,[40:45),4526
2040.0,1,Female,[45:50),4262
2040.0,0,Female,[45:50),4262
2040.0,1,Female,[50:55),3769
2040.0,0,Female,[50:55),3769
2040.0,1,Female,[55:60),2630
2040.0,0,Female,[55:60),2630
2040.0,1,Female,[60:65),1824
2040.0,0,Female,[60:65),1824
2040.0,1,Female,[65:70),1362
2040.0,0,Female,[65:70),1362
2040.0,1,Female,[70:75),998
2040.0,0,Female,[70:75),998
2040.0,1,Female,[75:80),689
2040.0,0,Female,[75:80),689
2041.0,1,Male,[0:5),6016
2041.0,0,Male,[0:5),6016
2041.0,1,Male,[0:200),63401
2041.0,0,Male,[0:200),63401
2041.0,1,Male,[5:10),6019
2041.0,0,Male,[5:10),6019
2041.0,1,Male,[10:15),6213
2041.0,0,Male,[10:15),6213
2041.0,1,Male,[15:20),6027
2041.0,0,Male,[15:20),6027
2041.0,1,Male,[20:25),5791
2041.0,0,Male,[20:25),5791
2041.0,1,Male,[25:30),5344
2041.0,0,Male,[25:30),5344
2041.0,1,Male,[30:35),5036
2041.0,0,Male,[30:35),5036
2041.0,1,Male,[35:40),4535
2041.0,0,Male,[35:40),4535
2041.0,1,Male,[40:45),4357
2041.0,0,Male,[40:45),4357
2041.0,1,Male,[45:50),4081
2041.0,0,Male,[45:50),4081
2041.0,1,Male,[50:55),3649
2041.0,0,Male,[50:55),3649
2041.0,1,Male,[55:60),2550
2041.0,0,Male,[55:60),2550
2041.0,1,Male,[60:65),1612
2041.0,0,Male,[60:65),1612
2041.0,1,Male,[65:70),1058
2041.0,0,Male,[65:70),1058
2041.0,1,Male,[70:75),665
2041.0,0,Male,[70:75),665
2041.0,1,Male,[75:80),312
2041.0,0,Male,[75:80),312
2041.0,1,Female,[0:5),6272
2041.0,0,Female,[0:5),6272
2041.0,1,Female,[0:200),67454
2041.0,0,Female,[0:200),67454
2041.0,1,Female,[5:10),6018
2041.0,0,Female,[5:10),6018
2041.0,1,Female,[10:15),6250
2041.0,0,Female,[10:15),6250
2041.0,1,Female,[15:20),6078
2041.0,0,Female,[15:20),6078
2041.0,1,Female,[20:25),5974
2041.0,0,Female,[20:25),5974
2041.0,1,Female,[25:30),5470
2041.0,0,Female,[25:30),5470
2041.0,1,Female,[30:35),5388
2041.0,0,Female,[30:35),5388
2041.0,1,Female,[35:40),4821
2041.0,0,Female,[35:40),4821
2041.0,1,Female,[40:45),4537
2041.0,0,Female,[40:45),4537
2041.0,1,Female,[45:50),4307
2041.0,0,Female,[45:50),4307
2041.0,1,Female,[50:55),3889
2041.0,0,Female,[50:55),3889
2041.0,1,Female,[55:60),2925
2041.0,0,Female,[55:60),2925
2041.0,1,Female,[60:65),1877
2041.0,0,Female,[60:65),1877
2041.0,1,Female,[65:70),1402
2041.0,0,Female,[65:70),1402
2041.0,1,Female,[70:75),1035
2041.0,0,Female,[70:75),1035
2041.0,1,Female,[75:80),745
2041.0,0,Female,[75:80),745
2042.0,1,Male,[0:5),6075
2042.0,0,Male,[0:5),6075
2042.0,1,Male,[0:200),64136
2042.0,0,Male,[0:200),64136
2042.0,1,Male,[5:10),5976
2042.0,0,Male,[5:10),5976
2042.0,1,Male,[10:15),6184
2042.0,0,Male,[10:15),6184
2042.0,1,Male,[15:20),6104
2042.0,0,Male,[15:20),6104
2042.0,1,Male,[20:25),5745
2042.0,0,Male,[20:25),5745
2042.0,1,Male,[25:30),5450
2042.0,0,Male,[25:30),5450
2042.0,1,Male,[30:35),5142
2042.0,0,Male,[30:35),5142
2042.0,1,Male,[35:40),4523
2042.0,0,Male,[35:40),4523
2042.0,1,Male,[40:45),4429
2042.0,0,Male,[40:45),4429
2042.0,1,Male,[45:50),4109
2042.0,0,Male,[45:50),4109
2042.0,1,Male,[50:55),3733
