Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6340
2048.0,0,Male,[0:5),6340
2048.0,1,Male,[0:200),71059
2048.0,0,Male,[0:200),71059
2048.0,1,Male,[5:10),6130
2048.0,0,Male,[5:10),6130
2048.0,1,Male,[10:15),6444
2048.0,0,Male,[10:15),6444
2048.0,1,Male,[15:20),6318
2048.0,0,Male,[15:20),6318
2048.0,1,Male,[20:25),6020
2048.0,0,Male,[20:25),6020
2048.0,1,Male,[25:30),5908
2048.0,0,Male,[25:30),5908
2048.0,1,Male,[30:35),5571
2048.0,0,Male,[30:35),5571
2048.0,1,Male,[35:40),5308
2048.0,0,Male,[35:40),5308
2048.0,1,Male,[40:45),4930
2048.0,0,Male,[40:45),4930
2048.0,1,Male,[45:50),4418
2048.0,0,Male,[45:50),4418
2048.0,1,Male,[50:55),4053
2048.0,0,Male,[50:55),4053
2048.0,1,Male,[55:60),3475
2048.0,0,Male,[55:60),3475
2048.0,1,Male,[60:65),2642
2048.0,0,Male,[60:65),2642
2048.0,1,Male,[65:70),1681
2048.0,0,Male,[65:70),1681
2048.0,1,Male,[70:75),962
2048.0,0,Male,[70:75),962
2048.0,1,Male,[75:80),514
2048.0,0,Male,[75:80),514
2048.0,1,Female,[0:5),6376
2048.0,0,Female,[0:5),6376
2048.0,1,Female,[0:200),76267
2048.0,0,Female,[0:200),76267
2048.0,1,Female,[5:10),6355
2048.0,0,Female,[5:10),6355
2048.0,1,Female,[10:15),6363
2048.0,0,Female,[10:15),6363
2048.0,1,Female,[15:20),6416
2048.0,0,Female,[15:20),6416
2048.0,1,Female,[20:25),6200
2048.0,0,Female,[20:25),6200
2048.0,1,Female,[25:30),6154
2048.0,0,Female,[25:30),6154
2048.0,1,Female,[30:35),5911
2048.0,0,Female,[30:35),5911
2048.0,1,Female,[35:40),5511
2048.0,0,Female,[35:40),5511
2048.0,1,Female,[40:45),5160
2048.0,0,Female,[40:45),5160
2048.0,1,Female,[45:50),4707
2048.0,0,Female,[45:50),4707
2048.0,1,Female,[50:55),4560
2048.0,0,Female,[50:55),4560
2048.0,1,Female,[55:60),4068
2048.0,0,Female,[55:60),4068
2048.0,1,Female,[60:65),2955
2048.0,0,Female,[60:65),2955
2048.0,1,Female,[65:70),2118
2048.0,0,Female,[65:70),2118
2048.0,1,Female,[70:75),1380
2048.0,0,Female,[70:75),1380
2048.0,1,Female,[75:80),1032
2048.0,0,Female,[75:80),1032
2049.0,1,Male,[0:5),6375
2049.0,0,Male,[0:5),6375
2049.0,1,Male,[0:200),71780
2049.0,0,Male,[0:200),71780
2049.0,1,Male,[5:10),6135
2049.0,0,Male,[5:10),6135
2049.0,1,Male,[10:15),6439
2049.0,0,Male,[10:15),6439
2049.0,1,Male,[15:20),6341
2049.0,0,Male,[15:20),6341
2049.0,1,Male,[20:25),6059
2049.0,0,Male,[20:25),6059
2049.0,1,Male,[25:30),5957
2049.0,0,Male,[25:30),5957
2049.0,1,Male,[30:35),5604
2049.0,0,Male,[30:35),5604
2049.0,1,Male,[35:40),5323
2049.0,0,Male,[35:40),5323
2049.0,1,Male,[40:45),4954
2049.0,0,Male,[40:45),4954
2049.0,1,Male,[45:50),4530
2049.0,0,Male,[45:50),4530
2049.0,1,Male,[50:55),4010
2049.0,0,Male,[50:55),4010
2049.0,1,Male,[55:60),3586
2049.0,0,Male,[55:60),3586
2049.0,1,Male,[60:65),2776
2049.0,0,Male,[60:65),2776
2049.0,1,Male,[65:70),1769
2049.0,0,Male,[65:70),1769
2049.0,1,Male,[70:75),1039
2049.0,0,Male,[70:75),1039
2049.0,1,Male,[75:80),518
2049.0,0,Male,[75:80),518
2049.0,1,Female,[0:5),6491
2049.0,0,Female,[0:5),6491
2049.0,1,Female,[0:200),77162
2049.0,0,Female,[0:200),77162
2049.0,1,Female,[5:10),6256
2049.0,0,Female,[5:10),6256
2049.0,1,Female,[10:15),6420
2049.0,0,Female,[10:15),6420
2049.0,1,Female,[15:20),6385
2049.0,0,Female,[15:20),6385
2049.0,1,Female,[20:25),6295
2049.0,0,Female,[20:25),6295
2049.0,1,Female,[25:30),6118
2049.0,0,Female,[25:30),6118
2049.0,1,Female,[30:35),5945
2049.0,0,Female,[30:35),5945
2049.0,1,Female,[35:40),5596
2049.0,0,Female,[35:40),5596
2049.0,1,Female,[40:45),5274
2049.0,0,Female,[40:45),5274
2049.0,1,Female,[45:50),4712
2049.0,0,Female,[45:50),4712
2049.0,1,Female,[50:55),4595
2049.0,0,Female,[50:55),4595
2049.0,1,Female,[55:60),4138
2049.0,0,Female,[55:60),4138
2049.0,1,Female,[60:65),3188
2049.0,0,Female,[60:65),3188
2049.0,1,Female,[65:70),2212
2049.0,0,Female,[65:70),2212
2049.0,1,Female,[70:75),1423
2049.0,0,Female,[70:75),1423
2049.0,1,Female,[75:80),1092
2049.0,0,Female,[75:80),1092
2050.0,1,Male,[0:5),6366
2050.0,0,Male,[0:5),6366
2050.0,1,Male,[0:200),72381
2050.0,0,Male,[0:200),72381
2050.0,1,Male,[5:10),6145
2050.0,0,Male,[5:10),6145
2050.0,1,Male,[10:15),6401
2050.0,0,Male,[10:15),6401
2050.0,1,Male,[15:20),6382
2050.0,0,Male,[15:20),6382
2050.0,1,Male,[20:25),6083
2050.0,0,Male,[20:25),6083
2050.0,1,Male,[25:30),5931
2050.0,0,Male,[25:30),5931
2050.0,1,Male,[30:35),5729
2050.0,0,Male,[30:35),5729
2050.0,1,Male,[35:40),5297
2050.0,0,Male,[35:40),5297
2050.0,1,Male,[40:45),5048
2050.0,0,Male,[40:45),5048
2050.0,1,Male,[45:50),4581
2050.0,0,Male,[45:50),4581
2050.0,1,Male,[50:55),4049
2050.0,0,Male,[50:55),4049
2050.0,1,Male,[55:60),3646
2050.0,0,Male,[55:60),3646
2050.0,1,Male,[60:65),2811
2050.0,0,Male,[60:65),2811
2050.0,1,Male,[65:70),1919
2050.0,0,Male,[65:70),1919
2050.0,1,Male,[70:75),1064
2050.0,0,Male,[70:75),1064
2050.0,1,Male,[75:80),546
2050.0,0,Male,[75:80),546
2050.0,1,Female,[0:5),6467
2050.0,0,Female,[0:5),6467
2050.0,1,Female,[0:200),77973
2050.0,0,Female,[0:200),77973
2050.0,1,Female,[5:10),6310
2050.0,0,Female,[5:10),6310
2050.0,1,Female,[10:15),6417
2050.0,0,Female,[10:15),6417
2050.0,1,Female,[15:20),6344
2050.0,0,Female,[15:20),6344
2050.0,1,Female,[20:25),6302
2050.0,0,Female,[20:25),6302
2050.0,1,Female,[25:30),6112
2050.0,0,Female,[25:30),6112
2050.0,1,Female,[30:35),6002
2050.0,0,Female,[30:35),6002
2050.0,1,Female,[35:40),5657
2050.0,0,Female,[35:40),5657
2050.0,1,Female,[40:45),5401
2050.0,0,Female,[40:45),5401
2050.0,1,Female,[45:50),4766
2050.0,0,Female,[45:50),4766
2050.0,1,Female,[50:55),4561
2050.0,0,Female,[50:55),4561
2050.0,1,Female,[55:60),4247
2050.0,0,Female,[55:60),4247
2050.0,1,Female,[60:65),3410
2050.0,0,Female,[60:65),3410
2050.0,1,Female,[65:70),2278
2050.0,0,Female,[65:70),2278
2050.0,1,Female,[70:75),1541
2050.0,0,Female,[70:75),1541
2050.0,1,Female,[75:80),1063
2050.0,0,Female,[75:80),1063
2039.0,1,Male,[0:5),6360
2039.0,0,Male,[0:5),6360
2039.0,1,Male,[0:200),64220
2039.0,0,Male,[0:200),64220
2039.0,1,Male,[5:10),6291
2039.0,0,Male,[5:10),6291
2039.0,1,Male,[10:15),6239
2039.0,0,Male,[10:15),6239
2039.0,1,Male,[15:20),6157
2039.0,0,Male,[15:20),6157
2039.0,1,Male,[20:25),5717
2039.0,0,Male,[20:25),5717
2039.0,1,Male,[25:30),5411
2039.0,0,Male,[25:30),5411
2039.0,1,Male,[30:35),5172
2039.0,0,Male,[30:35),5172
2039.0,1,Male,[35:40),4789
2039.0,0,Male,[35:40),4789
2039.0,1,Male,[40:45),4314
2039.0,0,Male,[40:45),4314
2039.0,1,Male,[45:50),4078
2039.0,0,Male,[45:50),4078
2039.0,1,Male,[50:55),3470
2039.0,0,Male,[50:55),3470
2039.0,1,Male,[55:60),2408
2039.0,0,Male,[55:60),2408
2039.0,1,Male,[60:65),1607
2039.0,0,Male,[60:65),1607
2039.0,1,Male,[65:70),1054
2039.0,0,Male,[65:70),1054
2039.0,1,Male,[70:75),652
2039.0,0,Male,[70:75),652
2039.0,1,Male,[75:80),325
2039.0,0,Male,[75:80),325
2039.0,1,Female,[0:5),6337
2039.0,0,Female,[0:5),6337
2039.0,1,Female,[0:200),68077
2039.0,0,Female,[0:200),68077
2039.0,1,Female,[5:10),6311
2039.0,0,Female,[5:10),6311
2039.0,1,Female,[10:15),6473
2039.0,0,Female,[10:15),6473
2039.0,1,Female,[15:20),6286
2039.0,0,Female,[15:20),6286
