Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6175
2048.0,0,Male,[0:5),6175
2048.0,1,Male,[0:200),69515
2048.0,0,Male,[0:200),69515
2048.0,1,Male,[5:10),5928
2048.0,0,Male,[5:10),5928
2048.0,1,Male,[10:15),6229
2048.0,0,Male,[10:15),6229
2048.0,1,Male,[15:20),6126
2048.0,0,Male,[15:20),6126
2048.0,1,Male,[20:25),6028
2048.0,0,Male,[20:25),6028
2048.0,1,Male,[25:30),5867
2048.0,0,Male,[25:30),5867
2048.0,1,Male,[30:35),5648
2048.0,0,Male,[30:35),5648
2048.0,1,Male,[35:40),5217
2048.0,0,Male,[35:40),5217
2048.0,1,Male,[40:45),4709
2048.0,0,Male,[40:45),4709
2048.0,1,Male,[45:50),4253
2048.0,0,Male,[45:50),4253
2048.0,1,Male,[50:55),4117
2048.0,0,Male,[50:55),4117
2048.0,1,Male,[55:60),3477
2048.0,0,Male,[55:60),3477
2048.0,1,Male,[60:65),2580
2048.0,0,Male,[60:65),2580
2048.0,1,Male,[65:70),1525
2048.0,0,Male,[65:70),1525
2048.0,1,Male,[70:75),881
2048.0,0,Male,[70:75),881
2048.0,1,Male,[75:80),459
2048.0,0,Male,[75:80),459
2048.0,1,Female,[0:5),6131
2048.0,0,Female,[0:5),6131
2048.0,1,Female,[0:200),73729
2048.0,0,Female,[0:200),73729
2048.0,1,Female,[5:10),6056
2048.0,0,Female,[5:10),6056
2048.0,1,Female,[10:15),6235
2048.0,0,Female,[10:15),6235
2048.0,1,Female,[15:20),6144
2048.0,0,Female,[15:20),6144
2048.0,1,Female,[20:25),6106
2048.0,0,Female,[20:25),6106
2048.0,1,Female,[25:30),5728
2048.0,0,Female,[25:30),5728
2048.0,1,Female,[30:35),5617
2048.0,0,Female,[30:35),5617
2048.0,1,Female,[35:40),5368
2048.0,0,Female,[35:40),5368
2048.0,1,Female,[40:45),4981
2048.0,0,Female,[40:45),4981
2048.0,1,Female,[45:50),4504
2048.0,0,Female,[45:50),4504
2048.0,1,Female,[50:55),4450
2048.0,0,Female,[50:55),4450
2048.0,1,Female,[55:60),3978
2048.0,0,Female,[55:60),3978
2048.0,1,Female,[60:65),3119
2048.0,0,Female,[60:65),3119
2048.0,1,Female,[65:70),2090
2048.0,0,Female,[65:70),2090
2048.0,1,Female,[70:75),1335
2048.0,0,Female,[70:75),1335
2048.0,1,Female,[75:80),926
2048.0,0,Female,[75:80),926
2049.0,1,Male,[0:5),6131
2049.0,0,Male,[0:5),6131
2049.0,1,Male,[0:200),70079
2049.0,0,Male,[0:200),70079
2049.0,1,Male,[5:10),5904
2049.0,0,Male,[5:10),5904
2049.0,1,Male,[10:15),6200
2049.0,0,Male,[10:15),6200
2049.0,1,Male,[15:20),6175
2049.0,0,Male,[15:20),6175
2049.0,1,Male,[20:25),5992
2049.0,0,Male,[20:25),5992
2049.0,1,Male,[25:30),5891
2049.0,0,Male,[25:30),5891
2049.0,1,Male,[30:35),5663
2049.0,0,Male,[30:35),5663
2049.0,1,Male,[35:40),5355
2049.0,0,Male,[35:40),5355
2049.0,1,Male,[40:45),4756
2049.0,0,Male,[40:45),4756
2049.0,1,Male,[45:50),4293
2049.0,0,Male,[45:50),4293
2049.0,1,Male,[50:55),4093
2049.0,0,Male,[50:55),4093
2049.0,1,Male,[55:60),3579
2049.0,0,Male,[55:60),3579
2049.0,1,Male,[60:65),2641
2049.0,0,Male,[60:65),2641
2049.0,1,Male,[65:70),1726
2049.0,0,Male,[65:70),1726
2049.0,1,Male,[70:75),890
2049.0,0,Male,[70:75),890
2049.0,1,Male,[75:80),482
2049.0,0,Male,[75:80),482
2049.0,1,Female,[0:5),6090
2049.0,0,Female,[0:5),6090
2049.0,1,Female,[0:200),74490
2049.0,0,Female,[0:200),74490
2049.0,1,Female,[5:10),6110
2049.0,0,Female,[5:10),6110
2049.0,1,Female,[10:15),6158
2049.0,0,Female,[10:15),6158
2049.0,1,Female,[15:20),6133
2049.0,0,Female,[15:20),6133
2049.0,1,Female,[20:25),6181
2049.0,0,Female,[20:25),6181
2049.0,1,Female,[25:30),5731
2049.0,0,Female,[25:30),5731
2049.0,1,Female,[30:35),5670
2049.0,0,Female,[30:35),5670
2049.0,1,Female,[35:40),5442
2049.0,0,Female,[35:40),5442
2049.0,1,Female,[40:45),5114
2049.0,0,Female,[40:45),5114
2049.0,1,Female,[45:50),4535
2049.0,0,Female,[45:50),4535
2049.0,1,Female,[50:55),4376
2049.0,0,Female,[50:55),4376
2049.0,1,Female,[55:60),4090
2049.0,0,Female,[55:60),4090
2049.0,1,Female,[60:65),3302
2049.0,0,Female,[60:65),3302
2049.0,1,Female,[65:70),2177
2049.0,0,Female,[65:70),2177
2049.0,1,Female,[70:75),1436
2049.0,0,Female,[70:75),1436
2049.0,1,Female,[75:80),947
2049.0,0,Female,[75:80),947
2050.0,1,Male,[0:5),6077
2050.0,0,Male,[0:5),6077
2050.0,1,Male,[0:200),70778
2050.0,0,Male,[0:200),70778
2050.0,1,Male,[5:10),5968
2050.0,0,Male,[5:10),5968
2050.0,1,Male,[10:15),6185
2050.0,0,Male,[10:15),6185
2050.0,1,Male,[15:20),6133
2050.0,0,Male,[15:20),6133
2050.0,1,Male,[20:25),6046
2050.0,0,Male,[20:25),6046
2050.0,1,Male,[25:30),5942
2050.0,0,Male,[25:30),5942
2050.0,1,Male,[30:35),5664
2050.0,0,Male,[30:35),5664
2050.0,1,Male,[35:40),5398
2050.0,0,Male,[35:40),5398
2050.0,1,Male,[40:45),4898
2050.0,0,Male,[40:45),4898
2050.0,1,Male,[45:50),4336
2050.0,0,Male,[45:50),4336
2050.0,1,Male,[50:55),4091
2050.0,0,Male,[50:55),4091
2050.0,1,Male,[55:60),3608
2050.0,0,Male,[55:60),3608
2050.0,1,Male,[60:65),2808
2050.0,0,Male,[60:65),2808
2050.0,1,Male,[65:70),1829
2050.0,0,Male,[65:70),1829
2050.0,1,Male,[70:75),957
2050.0,0,Male,[70:75),957
2050.0,1,Male,[75:80),517
2050.0,0,Male,[75:80),517
2050.0,1,Female,[0:5),6157
2050.0,0,Female,[0:5),6157
2050.0,1,Female,[0:200),75279
2050.0,0,Female,[0:200),75279
2050.0,1,Female,[5:10),6027
2050.0,0,Female,[5:10),6027
2050.0,1,Female,[10:15),6195
2050.0,0,Female,[10:15),6195
2050.0,1,Female,[15:20),6080
2050.0,0,Female,[15:20),6080
2050.0,1,Female,[20:25),6230
2050.0,0,Female,[20:25),6230
2050.0,1,Female,[25:30),5760
2050.0,0,Female,[25:30),5760
2050.0,1,Female,[30:35),5759
2050.0,0,Female,[30:35),5759
2050.0,1,Female,[35:40),5398
2050.0,0,Female,[35:40),5398
2050.0,1,Female,[40:45),5157
2050.0,0,Female,[40:45),5157
2050.0,1,Female,[45:50),4686
2050.0,0,Female,[45:50),4686
2050.0,1,Female,[50:55),4314
2050.0,0,Female,[50:55),4314
2050.0,1,Female,[55:60),4188
2050.0,0,Female,[55:60),4188
2050.0,1,Female,[60:65),3470
2050.0,0,Female,[60:65),3470
2050.0,1,Female,[65:70),2333
2050.0,0,Female,[65:70),2333
2050.0,1,Female,[70:75),1542
2050.0,0,Female,[70:75),1542
2050.0,1,Female,[75:80),962
2050.0,0,Female,[75:80),962
2039.0,1,Male,[0:5),6172
2039.0,0,Male,[0:5),6172
2039.0,1,Male,[0:200),63018
2039.0,0,Male,[0:200),63018
2039.0,1,Male,[5:10),6118
2039.0,0,Male,[5:10),6118
2039.0,1,Male,[10:15),6176
2039.0,0,Male,[10:15),6176
2039.0,1,Male,[15:20),6075
2039.0,0,Male,[15:20),6075
2039.0,1,Male,[20:25),5775
2039.0,0,Male,[20:25),5775
2039.0,1,Male,[25:30),5452
2039.0,0,Male,[25:30),5452
2039.0,1,Male,[30:35),5008
2039.0,0,Male,[30:35),5008
2039.0,1,Male,[35:40),4528
2039.0,0,Male,[35:40),4528
2039.0,1,Male,[40:45),4391
2039.0,0,Male,[40:45),4391
2039.0,1,Male,[45:50),4091
2039.0,0,Male,[45:50),4091
2039.0,1,Male,[50:55),3319
2039.0,0,Male,[50:55),3319
2039.0,1,Male,[55:60),2379
2039.0,0,Male,[55:60),2379
2039.0,1,Male,[60:65),1471
2039.0,0,Male,[60:65),1471
2039.0,1,Male,[65:70),959
2039.0,0,Male,[65:70),959
2039.0,1,Male,[70:75),618
2039.0,0,Male,[70:75),618
2039.0,1,Male,[75:80),327
2039.0,0,Male,[75:80),327
2039.0,1,Female,[0:5),6103
2039.0,0,Female,[0:5),6103
2039.0,1,Female,[0:200),65878
2039.0,0,Female,[0:200),65878
2039.0,1,Female,[5:10),6093
