Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6114
2048.0,0,Male,[0:5),6114
2048.0,1,Male,[0:200),69195
2048.0,0,Male,[0:200),69195
2048.0,1,Male,[5:10),5997
2048.0,0,Male,[5:10),5997
2048.0,1,Male,[10:15),6244
2048.0,0,Male,[10:15),6244
2048.0,1,Male,[15:20),5992
2048.0,0,Male,[15:20),5992
2048.0,1,Male,[20:25),6016
2048.0,0,Male,[20:25),6016
2048.0,1,Male,[25:30),5824
2048.0,0,Male,[25:30),5824
2048.0,1,Male,[30:35),5561
2048.0,0,Male,[30:35),5561
2048.0,1,Male,[35:40),5140
2048.0,0,Male,[35:40),5140
2048.0,1,Male,[40:45),4680
2048.0,0,Male,[40:45),4680
2048.0,1,Male,[45:50),4163
2048.0,0,Male,[45:50),4163
2048.0,1,Male,[50:55),4149
2048.0,0,Male,[50:55),4149
2048.0,1,Male,[55:60),3465
2048.0,0,Male,[55:60),3465
2048.0,1,Male,[60:65),2537
2048.0,0,Male,[60:65),2537
2048.0,1,Male,[65:70),1641
2048.0,0,Male,[65:70),1641
2048.0,1,Male,[70:75),884
2048.0,0,Male,[70:75),884
2048.0,1,Male,[75:80),465
2048.0,0,Male,[75:80),465
2048.0,1,Female,[0:5),6121
2048.0,0,Female,[0:5),6121
2048.0,1,Female,[0:200),73228
2048.0,0,Female,[0:200),73228
2048.0,1,Female,[5:10),6078
2048.0,0,Female,[5:10),6078
2048.0,1,Female,[10:15),6156
2048.0,0,Female,[10:15),6156
2048.0,1,Female,[15:20),6084
2048.0,0,Female,[15:20),6084
2048.0,1,Female,[20:25),5950
2048.0,0,Female,[20:25),5950
2048.0,1,Female,[25:30),5818
2048.0,0,Female,[25:30),5818
2048.0,1,Female,[30:35),5684
2048.0,0,Female,[30:35),5684
2048.0,1,Female,[35:40),5262
2048.0,0,Female,[35:40),5262
2048.0,1,Female,[40:45),4983
2048.0,0,Female,[40:45),4983
2048.0,1,Female,[45:50),4571
2048.0,0,Female,[45:50),4571
2048.0,1,Female,[50:55),4231
2048.0,0,Female,[50:55),4231
2048.0,1,Female,[55:60),4049
2048.0,0,Female,[55:60),4049
2048.0,1,Female,[60:65),3027
2048.0,0,Female,[60:65),3027
2048.0,1,Female,[65:70),2051
2048.0,0,Female,[65:70),2051
2048.0,1,Female,[70:75),1330
2048.0,0,Female,[70:75),1330
2048.0,1,Female,[75:80),869
2048.0,0,Female,[75:80),869
2049.0,1,Male,[0:5),6081
2049.0,0,Male,[0:5),6081
2049.0,1,Male,[0:200),69762
2049.0,0,Male,[0:200),69762
2049.0,1,Male,[5:10),5972
2049.0,0,Male,[5:10),5972
2049.0,1,Male,[10:15),6186
2049.0,0,Male,[10:15),6186
2049.0,1,Male,[15:20),6041
2049.0,0,Male,[15:20),6041
2049.0,1,Male,[20:25),6079
2049.0,0,Male,[20:25),6079
2049.0,1,Male,[25:30),5787
2049.0,0,Male,[25:30),5787
2049.0,1,Male,[30:35),5609
2049.0,0,Male,[30:35),5609
2049.0,1,Male,[35:40),5244
2049.0,0,Male,[35:40),5244
2049.0,1,Male,[40:45),4733
2049.0,0,Male,[40:45),4733
2049.0,1,Male,[45:50),4213
2049.0,0,Male,[45:50),4213
2049.0,1,Male,[50:55),4077
2049.0,0,Male,[50:55),4077
2049.0,1,Male,[55:60),3560
