Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004672897196261682
2048.0,0,Male,[15:20),0.004672897196261682
2048.0,1,Male,[20:25),0.020279255319148936
2048.0,0,Male,[20:25),0.020279255319148936
2048.0,1,Male,[25:30),0.05889423076923077
2048.0,0,Male,[25:30),0.05889423076923077
2048.0,1,Male,[30:35),0.09440748066894443
2048.0,0,Male,[30:35),0.09440748066894443
2048.0,1,Male,[35:40),0.1573929961089494
2048.0,0,Male,[35:40),0.1573929961089494
2048.0,1,Male,[40:45),0.19316239316239317
2048.0,0,Male,[40:45),0.19316239316239317
2048.0,1,Male,[45:50),0.24789815037232765
2048.0,0,Male,[45:50),0.24789815037232765
2048.0,1,Male,[50:55),0.35092793444203424
2048.0,0,Male,[50:55),0.35092793444203424
2048.0,1,Male,[55:60),0.4597402597402597
2048.0,0,Male,[55:60),0.4597402597402597
2048.0,1,Male,[60:65),0.5463145447378794
2048.0,0,Male,[60:65),0.5463145447378794
2048.0,1,Male,[65:200),0.6048898279504981
2048.0,0,Male,[65:200),0.6048898279504981
2048.0,1,Female,[15:20),0.03632478632478633
2048.0,0,Female,[15:20),0.03632478632478633
2048.0,1,Female,[20:25),0.12
2048.0,0,Female,[20:25),0.12
2048.0,1,Female,[25:30),0.17359917497421795
2048.0,0,Female,[25:30),0.17359917497421795
2048.0,1,Female,[30:35),0.2376847290640394
2048.0,0,Female,[30:35),0.2376847290640394
2048.0,1,Female,[35:40),0.282212086659065
2048.0,0,Female,[35:40),0.282212086659065
2048.0,1,Female,[40:45),0.3355408388520971
2048.0,0,Female,[40:45),0.3355408388520971
2048.0,1,Female,[45:50),0.4036315904616058
2048.0,0,Female,[45:50),0.4036315904616058
2048.0,1,Female,[50:55),0.502245332072796
2048.0,0,Female,[50:55),0.502245332072796
2048.0,1,Female,[55:60),0.5752037540133367
2048.0,0,Female,[55:60),0.5752037540133367
2048.0,1,Female,[60:65),0.6293359762140733
2048.0,0,Female,[60:65),0.6293359762140733
2048.0,1,Female,[65:200),0.5772919064058305
2048.0,0,Female,[65:200),0.5772919064058305
2049.0,1,Male,[15:20),0.003972852176791922
2049.0,0,Male,[15:20),0.003972852176791922
2049.0,1,Male,[20:25),0.019575588090146406
2049.0,0,Male,[20:25),0.019575588090146406
2049.0,1,Male,[25:30),0.055469155002592016
2049.0,0,Male,[25:30),0.055469155002592016
2049.0,1,Male,[30:35),0.09324300231770369
2049.0,0,Male,[30:35),0.09324300231770369
2049.0,1,Male,[35:40),0.15408085430968727
2049.0,0,Male,[35:40),0.15408085430968727
2049.0,1,Male,[40:45),0.1903655186984999
2049.0,0,Male,[40:45),0.1903655186984999
2049.0,1,Male,[45:50),0.2399715167339188
2049.0,0,Male,[45:50),0.2399715167339188
2049.0,1,Male,[50:55),0.33529556046112335
2049.0,0,Male,[50:55),0.33529556046112335
2049.0,1,Male,[55:60),0.44410112359550563
2049.0,0,Male,[55:60),0.44410112359550563
2049.0,1,Male,[60:65),0.5382308845577212
2049.0,0,Male,[60:65),0.5382308845577212
2049.0,1,Male,[65:200),0.6073462414578588
2049.0,0,Male,[65:200),0.6073462414578588
2049.0,1,Female,[15:20),0.036211699164345405
2049.0,0,Female,[15:20),0.036211699164345405
2049.0,1,Female,[20:25),0.1152428810720268
2049.0,0,Female,[20:25),0.1152428810720268
2049.0,1,Female,[25:30),0.1749266102572958
2049.0,0,Female,[25:30),0.1749266102572958
2049.0,1,Female,[30:35),0.23216783216783216
2049.0,0,Female,[30:35),0.23216783216783216
2049.0,1,Female,[35:40),0.2749721500185667
2049.0,0,Female,[35:40),0.2749721500185667
2049.0,1,Female,[40:45),0.3326021934197408
2049.0,0,Female,[40:45),0.3326021934197408
2049.0,1,Female,[45:50),0.38936719758932414
2049.0,0,Female,[45:50),0.38936719758932414
2049.0,1,Female,[50:55),0.49135109864422627
2049.0,0,Female,[50:55),0.49135109864422627
2049.0,1,Female,[55:60),0.5560206845604531
2049.0,0,Female,[55:60),0.5560206845604531
2049.0,1,Female,[60:65),0.6208501396214707
2049.0,0,Female,[60:65),0.6208501396214707
2049.0,1,Female,[65:200),0.5954198473282443
2049.0,0,Female,[65:200),0.5954198473282443
2050.0,1,Male,[15:20),0.004636529226693161
2050.0,0,Male,[15:20),0.004636529226693161
2050.0,1,Male,[20:25),0.016909425749204756
2050.0,0,Male,[20:25),0.016909425749204756
2050.0,1,Male,[25:30),0.054623287671232874
2050.0,0,Male,[25:30),0.054623287671232874
2050.0,1,Male,[30:35),0.09721492380451918
2050.0,0,Male,[30:35),0.09721492380451918
2050.0,1,Male,[35:40),0.14209726443768997
2050.0,0,Male,[35:40),0.14209726443768997
2050.0,1,Male,[40:45),0.18891635764318088
2050.0,0,Male,[40:45),0.18891635764318088
2050.0,1,Male,[45:50),0.2400281557954012
2050.0,0,Male,[45:50),0.2400281557954012
2050.0,1,Male,[50:55),0.31365853658536585
2050.0,0,Male,[50:55),0.31365853658536585
2050.0,1,Male,[55:60),0.43547044129891754
2050.0,0,Male,[55:60),0.43547044129891754
2050.0,1,Male,[60:65),0.5267341040462428
2050.0,0,Male,[60:65),0.5267341040462428
2050.0,1,Male,[65:200),0.6046573875802997
2050.0,0,Male,[65:200),0.6046573875802997
2050.0,1,Female,[15:20),0.03517422748191979
2050.0,0,Female,[15:20),0.03517422748191979
2050.0,1,Female,[20:25),0.11165048543689321
2050.0,0,Female,[20:25),0.11165048543689321
2050.0,1,Female,[25:30),0.17154163799036476
2050.0,0,Female,[25:30),0.17154163799036476
2050.0,1,Female,[30:35),0.22662742382271467
2050.0,0,Female,[30:35),0.22662742382271467
2050.0,1,Female,[35:40),0.2739600513102437
2050.0,0,Female,[35:40),0.2739600513102437
2050.0,1,Female,[40:45),0.3278752436647174
2050.0,0,Female,[40:45),0.3278752436647174
2050.0,1,Female,[45:50),0.38016351118760755
2050.0,0,Female,[45:50),0.38016351118760755
2050.0,1,Female,[50:55),0.47567442932902926
2050.0,0,Female,[50:55),0.47567442932902926
2050.0,1,Female,[55:60),0.5506564280406242
2050.0,0,Female,[55:60),0.5506564280406242
2050.0,1,Female,[60:65),0.6051103368176539
2050.0,0,Female,[60:65),0.6051103368176539
2050.0,1,Female,[65:200),0.6075138504155124
2050.0,0,Female,[65:200),0.6075138504155124
2011.5,1,Male,[15:20),0.017717346518335394
2011.5,0,Male,[15:20),0.017717346518335394
2011.5,1,Male,[20:25),0.09080717488789238
2011.5,0,Male,[20:25),0.09080717488789238
2011.5,1,Male,[25:30),0.2481118881118881
2011.5,0,Male,[25:30),0.2481118881118881
2011.5,1,Male,[30:35),0.3876967095851216
2011.5,0,Male,[30:35),0.3876967095851216
2011.5,1,Male,[35:40),0.46448339483394835
2011.5,0,Male,[35:40),0.46448339483394835
2011.5,1,Male,[40:45),0.4681712962962963
2011.5,0,Male,[40:45),0.4681712962962963
2011.5,1,Male,[45:50),0.3632286995515695
2011.5,0,Male,[45:50),0.3632286995515695
2011.5,1,Male,[50:55),0.2844175491679274
2011.5,0,Male,[50:55),0.2844175491679274
2011.5,1,Male,[55:60),0.2019047619047619
2011.5,0,Male,[55:60),0.2019047619047619
2011.5,1,Male,[60:65),0.17370892018779344
2011.5,0,Male,[60:65),0.17370892018779344
2011.5,1,Male,[65:200),0.12391573729863693
2011.5,0,Male,[65:200),0.12391573729863693
2011.5,1,Female,[15:20),0.11991434689507495
2011.5,0,Female,[15:20),0.11991434689507495
2011.5,1,Female,[20:25),0.29572156949678563
2011.5,0,Female,[20:25),0.29572156949678563
2011.5,1,Female,[25:30),0.4707053469852105
2011.5,0,Female,[25:30),0.4707053469852105
2011.5,1,Female,[30:35),0.5333070555774537
2011.5,0,Female,[30:35),0.5333070555774537
