Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6321
2048.0,0,Male,[0:5),6321
2048.0,1,Male,[0:200),70159
2048.0,0,Male,[0:200),70159
2048.0,1,Male,[5:10),6070
2048.0,0,Male,[5:10),6070
2048.0,1,Male,[10:15),6283
2048.0,0,Male,[10:15),6283
2048.0,1,Male,[15:20),6156
2048.0,0,Male,[15:20),6156
2048.0,1,Male,[20:25),6122
2048.0,0,Male,[20:25),6122
2048.0,1,Male,[25:30),5764
2048.0,0,Male,[25:30),5764
2048.0,1,Male,[30:35),5578
2048.0,0,Male,[30:35),5578
2048.0,1,Male,[35:40),5138
2048.0,0,Male,[35:40),5138
2048.0,1,Male,[40:45),4790
2048.0,0,Male,[40:45),4790
2048.0,1,Male,[45:50),4308
2048.0,0,Male,[45:50),4308
2048.0,1,Male,[50:55),4005
2048.0,0,Male,[50:55),4005
2048.0,1,Male,[55:60),3588
2048.0,0,Male,[55:60),3588
2048.0,1,Male,[60:65),2653
2048.0,0,Male,[60:65),2653
2048.0,1,Male,[65:70),1643
2048.0,0,Male,[65:70),1643
2048.0,1,Male,[70:75),961
2048.0,0,Male,[70:75),961
2048.0,1,Male,[75:80),501
2048.0,0,Male,[75:80),501
2048.0,1,Female,[0:5),6182
2048.0,0,Female,[0:5),6182
2048.0,1,Female,[0:200),74724
2048.0,0,Female,[0:200),74724
2048.0,1,Female,[5:10),6144
2048.0,0,Female,[5:10),6144
2048.0,1,Female,[10:15),6332
2048.0,0,Female,[10:15),6332
2048.0,1,Female,[15:20),6187
2048.0,0,Female,[15:20),6187
2048.0,1,Female,[20:25),6217
2048.0,0,Female,[20:25),6217
2048.0,1,Female,[25:30),5966
2048.0,0,Female,[25:30),5966
2048.0,1,Female,[30:35),5714
2048.0,0,Female,[30:35),5714
2048.0,1,Female,[35:40),5387
2048.0,0,Female,[35:40),5387
2048.0,1,Female,[40:45),5055
2048.0,0,Female,[40:45),5055
2048.0,1,Female,[45:50),4634
2048.0,0,Female,[45:50),4634
2048.0,1,Female,[50:55),4531
2048.0,0,Female,[50:55),4531
2048.0,1,Female,[55:60),3860
2048.0,0,Female,[55:60),3860
2048.0,1,Female,[60:65),3104
2048.0,0,Female,[60:65),3104
2048.0,1,Female,[65:70),2072
2048.0,0,Female,[65:70),2072
2048.0,1,Female,[70:75),1419
2048.0,0,Female,[70:75),1419
2048.0,1,Female,[75:80),958
2048.0,0,Female,[75:80),958
2049.0,1,Male,[0:5),6249
2049.0,0,Male,[0:5),6249
2049.0,1,Male,[0:200),70772
2049.0,0,Male,[0:200),70772
2049.0,1,Male,[5:10),6036
2049.0,0,Male,[5:10),6036
2049.0,1,Male,[10:15),6351
2049.0,0,Male,[10:15),6351
2049.0,1,Male,[15:20),6117
2049.0,0,Male,[15:20),6117
2049.0,1,Male,[20:25),6150
2049.0,0,Male,[20:25),6150
2049.0,1,Male,[25:30),5868
2049.0,0,Male,[25:30),5868
2049.0,1,Male,[30:35),5542
2049.0,0,Male,[30:35),5542
2049.0,1,Male,[35:40),5271
2049.0,0,Male,[35:40),5271
2049.0,1,Male,[40:45),4790
2049.0,0,Male,[40:45),4790
2049.0,1,Male,[45:50),4393
2049.0,0,Male,[45:50),4393
2049.0,1,Male,[50:55),3994
2049.0,0,Male,[50:55),3994
2049.0,1,Male,[55:60),3620
2049.0,0,Male,[55:60),3620
2049.0,1,Male,[60:65),2839
2049.0,0,Male,[60:65),2839
2049.0,1,Male,[65:70),1732
2049.0,0,Male,[65:70),1732
2049.0,1,Male,[70:75),998
2049.0,0,Male,[70:75),998
2049.0,1,Male,[75:80),515
2049.0,0,Male,[75:80),515
2049.0,1,Female,[0:5),6242
2049.0,0,Female,[0:5),6242
2049.0,1,Female,[0:200),75532
2049.0,0,Female,[0:200),75532
2049.0,1,Female,[5:10),6095
2049.0,0,Female,[5:10),6095
2049.0,1,Female,[10:15),6369
2049.0,0,Female,[10:15),6369
2049.0,1,Female,[15:20),6188
2049.0,0,Female,[15:20),6188
2049.0,1,Female,[20:25),6147
2049.0,0,Female,[20:25),6147
2049.0,1,Female,[25:30),5994
2049.0,0,Female,[25:30),5994
2049.0,1,Female,[30:35),5806
2049.0,0,Female,[30:35),5806
2049.0,1,Female,[35:40),5434
2049.0,0,Female,[35:40),5434
2049.0,1,Female,[40:45),5212
2049.0,0,Female,[40:45),5212
2049.0,1,Female,[45:50),4596
2049.0,0,Female,[45:50),4596
2049.0,1,Female,[50:55),4540
2049.0,0,Female,[50:55),4540
2049.0,1,Female,[55:60),3957
2049.0,0,Female,[55:60),3957
2049.0,1,Female,[60:65),3305
2049.0,0,Female,[60:65),3305
2049.0,1,Female,[65:70),2183
2049.0,0,Female,[65:70),2183
2049.0,1,Female,[70:75),1476
2049.0,0,Female,[70:75),1476
2049.0,1,Female,[75:80),976
2049.0,0,Female,[75:80),976
2050.0,1,Male,[0:5),6281
2050.0,0,Male,[0:5),6281
2050.0,1,Male,[0:200),71425
2050.0,0,Male,[0:200),71425
2050.0,1,Male,[5:10),6031
2050.0,0,Male,[5:10),6031
2050.0,1,Male,[10:15),6299
