Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6069
2048.0,0,Male,[0:5),6069
2048.0,1,Male,[0:200),67681
2048.0,0,Male,[0:200),67681
2048.0,1,Male,[5:10),5944
2048.0,0,Male,[5:10),5944
2048.0,1,Male,[10:15),6039
2048.0,0,Male,[10:15),6039
2048.0,1,Male,[15:20),5930
2048.0,0,Male,[15:20),5930
2048.0,1,Male,[20:25),5814
2048.0,0,Male,[20:25),5814
2048.0,1,Male,[25:30),5605
2048.0,0,Male,[25:30),5605
2048.0,1,Male,[30:35),5414
2048.0,0,Male,[30:35),5414
2048.0,1,Male,[35:40),5033
2048.0,0,Male,[35:40),5033
2048.0,1,Male,[40:45),4583
2048.0,0,Male,[40:45),4583
2048.0,1,Male,[45:50),4170
2048.0,0,Male,[45:50),4170
2048.0,1,Male,[50:55),3831
2048.0,0,Male,[50:55),3831
2048.0,1,Male,[55:60),3449
2048.0,0,Male,[55:60),3449
2048.0,1,Male,[60:65),2494
2048.0,0,Male,[60:65),2494
2048.0,1,Male,[65:70),1636
2048.0,0,Male,[65:70),1636
2048.0,1,Male,[70:75),900
2048.0,0,Male,[70:75),900
2048.0,1,Male,[75:80),456
2048.0,0,Male,[75:80),456
2048.0,1,Female,[0:5),6023
2048.0,0,Female,[0:5),6023
2048.0,1,Female,[0:200),72317
2048.0,0,Female,[0:200),72317
2048.0,1,Female,[5:10),5985
2048.0,0,Female,[5:10),5985
2048.0,1,Female,[10:15),6090
2048.0,0,Female,[10:15),6090
2048.0,1,Female,[15:20),5890
2048.0,0,Female,[15:20),5890
2048.0,1,Female,[20:25),5980
2048.0,0,Female,[20:25),5980
2048.0,1,Female,[25:30),5807
2048.0,0,Female,[25:30),5807
2048.0,1,Female,[30:35),5726
2048.0,0,Female,[30:35),5726
2048.0,1,Female,[35:40),5189
2048.0,0,Female,[35:40),5189
2048.0,1,Female,[40:45),4769
2048.0,0,Female,[40:45),4769
2048.0,1,Female,[45:50),4556
2048.0,0,Female,[45:50),4556
2048.0,1,Female,[50:55),4309
2048.0,0,Female,[50:55),4309
2048.0,1,Female,[55:60),3923
2048.0,0,Female,[55:60),3923
2048.0,1,Female,[60:65),2963
2048.0,0,Female,[60:65),2963
2048.0,1,Female,[65:70),1922
2048.0,0,Female,[65:70),1922
2048.0,1,Female,[70:75),1356
2048.0,0,Female,[70:75),1356
2048.0,1,Female,[75:80),865
2048.0,0,Female,[75:80),865
2049.0,1,Male,[0:5),6079
2049.0,0,Male,[0:5),6079
2049.0,1,Male,[0:200),68348
2049.0,0,Male,[0:200),68348
2049.0,1,Male,[5:10),5921
2049.0,0,Male,[5:10),5921
2049.0,1,Male,[10:15),6055
2049.0,0,Male,[10:15),6055
2049.0,1,Male,[15:20),5948
2049.0,0,Male,[15:20),5948
2049.0,1,Male,[20:25),5864
2049.0,0,Male,[20:25),5864
2049.0,1,Male,[25:30),5617
2049.0,0,Male,[25:30),5617
2049.0,1,Male,[30:35),5514
2049.0,0,Male,[30:35),5514
2049.0,1,Male,[35:40),5038
2049.0,0,Male,[35:40),5038
2049.0,1,Male,[40:45),4709
2049.0,0,Male,[40:45),4709
2049.0,1,Male,[45:50),4176
2049.0,0,Male,[45:50),4176
2049.0,1,Male,[50:55),3845
2049.0,0,Male,[50:55),3845
2049.0,1,Male,[55:60),3438
2049.0,0,Male,[55:60),3438
2049.0,1,Male,[60:65),2664
2049.0,0,Male,[60:65),2664
2049.0,1,Male,[65:70),1725
2049.0,0,Male,[65:70),1725
2049.0,1,Male,[70:75),948
2049.0,0,Male,[70:75),948
2049.0,1,Male,[75:80),486
2049.0,0,Male,[75:80),486
2049.0,1,Female,[0:5),5957
2049.0,0,Female,[0:5),5957
2049.0,1,Female,[0:200),73023
2049.0,0,Female,[0:200),73023
2049.0,1,Female,[5:10),6011
2049.0,0,Female,[5:10),6011
2049.0,1,Female,[10:15),6001
2049.0,0,Female,[10:15),6001
2049.0,1,Female,[15:20),5940
2049.0,0,Female,[15:20),5940
2049.0,1,Female,[20:25),5973
2049.0,0,Female,[20:25),5973
2049.0,1,Female,[25:30),5844
2049.0,0,Female,[25:30),5844
2049.0,1,Female,[30:35),5774
2049.0,0,Female,[30:35),5774
2049.0,1,Female,[35:40),5261
2049.0,0,Female,[35:40),5261
2049.0,1,Female,[40:45),4852
2049.0,0,Female,[40:45),4852
2049.0,1,Female,[45:50),4571
2049.0,0,Female,[45:50),4571
2049.0,1,Female,[50:55),4348
2049.0,0,Female,[50:55),4348
2049.0,1,Female,[55:60),3952
2049.0,0,Female,[55:60),3952
2049.0,1,Female,[60:65),3184
2049.0,0,Female,[60:65),3184
2049.0,1,Female,[65:70),2060
2049.0,0,Female,[65:70),2060
2049.0,1,Female,[70:75),1400
2049.0,0,Female,[70:75),1400
2049.0,1,Female,[75:80),894
2049.0,0,Female,[75:80),894
2050.0,1,Male,[0:5),6122
