Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6003
2048.0,0,Male,[0:5),6003
2048.0,1,Male,[0:200),68386
2048.0,0,Male,[0:200),68386
2048.0,1,Male,[5:10),5793
2048.0,0,Male,[5:10),5793
2048.0,1,Male,[10:15),6097
2048.0,0,Male,[10:15),6097
2048.0,1,Male,[15:20),6031
2048.0,0,Male,[15:20),6031
2048.0,1,Male,[20:25),5862
2048.0,0,Male,[20:25),5862
2048.0,1,Male,[25:30),5659
2048.0,0,Male,[25:30),5659
2048.0,1,Male,[30:35),5549
2048.0,0,Male,[30:35),5549
2048.0,1,Male,[35:40),5108
2048.0,0,Male,[35:40),5108
2048.0,1,Male,[40:45),4668
2048.0,0,Male,[40:45),4668
2048.0,1,Male,[45:50),4248
2048.0,0,Male,[45:50),4248
2048.0,1,Male,[50:55),3943
2048.0,0,Male,[50:55),3943
2048.0,1,Male,[55:60),3470
2048.0,0,Male,[55:60),3470
2048.0,1,Male,[60:65),2664
2048.0,0,Male,[60:65),2664
2048.0,1,Male,[65:70),1594
2048.0,0,Male,[65:70),1594
2048.0,1,Male,[70:75),899
2048.0,0,Male,[70:75),899
2048.0,1,Male,[75:80),477
2048.0,0,Male,[75:80),477
2048.0,1,Female,[0:5),6147
2048.0,0,Female,[0:5),6147
2048.0,1,Female,[0:200),72755
2048.0,0,Female,[0:200),72755
2048.0,1,Female,[5:10),5949
2048.0,0,Female,[5:10),5949
2048.0,1,Female,[10:15),6323
2048.0,0,Female,[10:15),6323
2048.0,1,Female,[15:20),6029
2048.0,0,Female,[15:20),6029
2048.0,1,Female,[20:25),5928
2048.0,0,Female,[20:25),5928
2048.0,1,Female,[25:30),5797
2048.0,0,Female,[25:30),5797
2048.0,1,Female,[30:35),5585
2048.0,0,Female,[30:35),5585
2048.0,1,Female,[35:40),5205
2048.0,0,Female,[35:40),5205
2048.0,1,Female,[40:45),4822
2048.0,0,Female,[40:45),4822
2048.0,1,Female,[45:50),4607
2048.0,0,Female,[45:50),4607
2048.0,1,Female,[50:55),4341
2048.0,0,Female,[50:55),4341
2048.0,1,Female,[55:60),3844
2048.0,0,Female,[55:60),3844
2048.0,1,Female,[60:65),2999
2048.0,0,Female,[60:65),2999
2048.0,1,Female,[65:70),1993
2048.0,0,Female,[65:70),1993
2048.0,1,Female,[70:75),1319
2048.0,0,Female,[70:75),1319
2048.0,1,Female,[75:80),936
2048.0,0,Female,[75:80),936
2049.0,1,Male,[0:5),5923
2049.0,0,Male,[0:5),5923
2049.0,1,Male,[0:200),68895
2049.0,0,Male,[0:200),68895
2049.0,1,Male,[5:10),5719
2049.0,0,Male,[5:10),5719
2049.0,1,Male,[10:15),6117
2049.0,0,Male,[10:15),6117
2049.0,1,Male,[15:20),6023
2049.0,0,Male,[15:20),6023
2049.0,1,Male,[20:25),5916
2049.0,0,Male,[20:25),5916
2049.0,1,Male,[25:30),5740
2049.0,0,Male,[25:30),5740
2049.0,1,Male,[30:35),5522
2049.0,0,Male,[30:35),5522
2049.0,1,Male,[35:40),5115
2049.0,0,Male,[35:40),5115
2049.0,1,Male,[40:45),4819
2049.0,0,Male,[40:45),4819
2049.0,1,Male,[45:50),4287
2049.0,0,Male,[45:50),4287
2049.0,1,Male,[50:55),3955
2049.0,0,Male,[50:55),3955
2049.0,1,Male,[55:60),3524
2049.0,0,Male,[55:60),3524
2049.0,1,Male,[60:65),2736
2049.0,0,Male,[60:65),2736
