Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6221
2048.0,0,Male,[0:5),6221
2048.0,1,Male,[0:200),70491
2048.0,0,Male,[0:200),70491
2048.0,1,Male,[5:10),6140
2048.0,0,Male,[5:10),6140
2048.0,1,Male,[10:15),6271
2048.0,0,Male,[10:15),6271
2048.0,1,Male,[15:20),6258
2048.0,0,Male,[15:20),6258
2048.0,1,Male,[20:25),6103
2048.0,0,Male,[20:25),6103
2048.0,1,Male,[25:30),5871
2048.0,0,Male,[25:30),5871
2048.0,1,Male,[30:35),5664
2048.0,0,Male,[30:35),5664
2048.0,1,Male,[35:40),5319
2048.0,0,Male,[35:40),5319
2048.0,1,Male,[40:45),4784
2048.0,0,Male,[40:45),4784
2048.0,1,Male,[45:50),4303
2048.0,0,Male,[45:50),4303
2048.0,1,Male,[50:55),4091
2048.0,0,Male,[50:55),4091
2048.0,1,Male,[55:60),3497
2048.0,0,Male,[55:60),3497
2048.0,1,Male,[60:65),2640
2048.0,0,Male,[60:65),2640
2048.0,1,Male,[65:70),1663
2048.0,0,Male,[65:70),1663
2048.0,1,Male,[70:75),930
2048.0,0,Male,[70:75),930
2048.0,1,Male,[75:80),472
2048.0,0,Male,[75:80),472
2048.0,1,Female,[0:5),6384
2048.0,0,Female,[0:5),6384
2048.0,1,Female,[0:200),75635
2048.0,0,Female,[0:200),75635
2048.0,1,Female,[5:10),6281
2048.0,0,Female,[5:10),6281
2048.0,1,Female,[10:15),6451
2048.0,0,Female,[10:15),6451
2048.0,1,Female,[15:20),6244
2048.0,0,Female,[15:20),6244
2048.0,1,Female,[20:25),6283
2048.0,0,Female,[20:25),6283
2048.0,1,Female,[25:30),5952
2048.0,0,Female,[25:30),5952
2048.0,1,Female,[30:35),5823
2048.0,0,Female,[30:35),5823
2048.0,1,Female,[35:40),5442
2048.0,0,Female,[35:40),5442
2048.0,1,Female,[40:45),5165
2048.0,0,Female,[40:45),5165
2048.0,1,Female,[45:50),4535
2048.0,0,Female,[45:50),4535
2048.0,1,Female,[50:55),4561
2048.0,0,Female,[50:55),4561
2048.0,1,Female,[55:60),4038
2048.0,0,Female,[55:60),4038
2048.0,1,Female,[60:65),3189
2048.0,0,Female,[60:65),3189
2048.0,1,Female,[65:70),2070
2048.0,0,Female,[65:70),2070
2048.0,1,Female,[70:75),1350
2048.0,0,Female,[70:75),1350
2048.0,1,Female,[75:80),946
2048.0,0,Female,[75:80),946
2049.0,1,Male,[0:5),6213
2049.0,0,Male,[0:5),6213
2049.0,1,Male,[0:200),71054
2049.0,0,Male,[0:200),71054
2049.0,1,Male,[5:10),6048
2049.0,0,Male,[5:10),6048
2049.0,1,Male,[10:15),6374
2049.0,0,Male,[10:15),6374
2049.0,1,Male,[15:20),6201
2049.0,0,Male,[15:20),6201
2049.0,1,Male,[20:25),6182
2049.0,0,Male,[20:25),6182
2049.0,1,Male,[25:30),5841
2049.0,0,Male,[25:30),5841
2049.0,1,Male,[30:35),5742
2049.0,0,Male,[30:35),5742
2049.0,1,Male,[35:40),5348
2049.0,0,Male,[35:40),5348
2049.0,1,Male,[40:45),4880
2049.0,0,Male,[40:45),4880
2049.0,1,Male,[45:50),4332
2049.0,0,Male,[45:50),4332
2049.0,1,Male,[50:55),4108
2049.0,0,Male,[50:55),4108
2049.0,1,Male,[55:60),3569
2049.0,0,Male,[55:60),3569
2049.0,1,Male,[60:65),2730
2049.0,0,Male,[60:65),2730
2049.0,1,Male,[65:70),1755
2049.0,0,Male,[65:70),1755
2049.0,1,Male,[70:75),976
2049.0,0,Male,[70:75),976
