Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6295
2048.0,0,Male,[0:5),6295
2048.0,1,Male,[0:200),70063
2048.0,0,Male,[0:200),70063
2048.0,1,Male,[5:10),6140
2048.0,0,Male,[5:10),6140
2048.0,1,Male,[10:15),6241
2048.0,0,Male,[10:15),6241
2048.0,1,Male,[15:20),6091
2048.0,0,Male,[15:20),6091
2048.0,1,Male,[20:25),6175
2048.0,0,Male,[20:25),6175
2048.0,1,Male,[25:30),5855
2048.0,0,Male,[25:30),5855
2048.0,1,Male,[30:35),5655
2048.0,0,Male,[30:35),5655
2048.0,1,Male,[35:40),5266
2048.0,0,Male,[35:40),5266
2048.0,1,Male,[40:45),4783
2048.0,0,Male,[40:45),4783
2048.0,1,Male,[45:50),4345
2048.0,0,Male,[45:50),4345
2048.0,1,Male,[50:55),3893
2048.0,0,Male,[50:55),3893
2048.0,1,Male,[55:60),3469
2048.0,0,Male,[55:60),3469
2048.0,1,Male,[60:65),2495
2048.0,0,Male,[60:65),2495
2048.0,1,Male,[65:70),1637
2048.0,0,Male,[65:70),1637
2048.0,1,Male,[70:75),948
2048.0,0,Male,[70:75),948
2048.0,1,Male,[75:80),474
2048.0,0,Male,[75:80),474
2048.0,1,Female,[0:5),6129
2048.0,0,Female,[0:5),6129
2048.0,1,Female,[0:200),74476
2048.0,0,Female,[0:200),74476
2048.0,1,Female,[5:10),6131
2048.0,0,Female,[5:10),6131
2048.0,1,Female,[10:15),6301
2048.0,0,Female,[10:15),6301
2048.0,1,Female,[15:20),6201
2048.0,0,Female,[15:20),6201
2048.0,1,Female,[20:25),6209
2048.0,0,Female,[20:25),6209
2048.0,1,Female,[25:30),5842
2048.0,0,Female,[25:30),5842
2048.0,1,Female,[30:35),5740
2048.0,0,Female,[30:35),5740
2048.0,1,Female,[35:40),5335
2048.0,0,Female,[35:40),5335
2048.0,1,Female,[40:45),5065
2048.0,0,Female,[40:45),5065
2048.0,1,Female,[45:50),4592
