Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6115
2048.0,0,Male,[0:5),6115
2048.0,1,Male,[0:200),67959
2048.0,0,Male,[0:200),67959
2048.0,1,Male,[5:10),6004
2048.0,0,Male,[5:10),6004
2048.0,1,Male,[10:15),6089
2048.0,0,Male,[10:15),6089
2048.0,1,Male,[15:20),6005
2048.0,0,Male,[15:20),6005
2048.0,1,Male,[20:25),5886
2048.0,0,Male,[20:25),5886
2048.0,1,Male,[25:30),5637
2048.0,0,Male,[25:30),5637
2048.0,1,Male,[30:35),5353
2048.0,0,Male,[30:35),5353
2048.0,1,Male,[35:40),5034
2048.0,0,Male,[35:40),5034
2048.0,1,Male,[40:45),4495
2048.0,0,Male,[40:45),4495
2048.0,1,Male,[45:50),4237
2048.0,0,Male,[45:50),4237
2048.0,1,Male,[50:55),3902
2048.0,0,Male,[50:55),3902
2048.0,1,Male,[55:60),3348
2048.0,0,Male,[55:60),3348
2048.0,1,Male,[60:65),2677
2048.0,0,Male,[60:65),2677
2048.0,1,Male,[65:70),1559
2048.0,0,Male,[65:70),1559
2048.0,1,Male,[70:75),893
2048.0,0,Male,[70:75),893
2048.0,1,Male,[75:80),436
2048.0,0,Male,[75:80),436
2048.0,1,Female,[0:5),6198
2048.0,0,Female,[0:5),6198
2048.0,1,Female,[0:200),72734
2048.0,0,Female,[0:200),72734
2048.0,1,Female,[5:10),5983
2048.0,0,Female,[5:10),5983
2048.0,1,Female,[10:15),6106
2048.0,0,Female,[10:15),6106
2048.0,1,Female,[15:20),6033
2048.0,0,Female,[15:20),6033
2048.0,1,Female,[20:25),5899
2048.0,0,Female,[20:25),5899
2048.0,1,Female,[25:30),5898
2048.0,0,Female,[25:30),5898
2048.0,1,Female,[30:35),5617
2048.0,0,Female,[30:35),5617
2048.0,1,Female,[35:40),5269
2048.0,0,Female,[35:40),5269
2048.0,1,Female,[40:45),4916
2048.0,0,Female,[40:45),4916
2048.0,1,Female,[45:50),4477
2048.0,0,Female,[45:50),4477
2048.0,1,Female,[50:55),4244
2048.0,0,Female,[50:55),4244
2048.0,1,Female,[55:60),3941
2048.0,0,Female,[55:60),3941
2048.0,1,Female,[60:65),2972
2048.0,0,Female,[60:65),2972
2048.0,1,Female,[65:70),2017
2048.0,0,Female,[65:70),2017
2048.0,1,Female,[70:75),1310
2048.0,0,Female,[70:75),1310
2048.0,1,Female,[75:80),967
2048.0,0,Female,[75:80),967
2049.0,1,Male,[0:5),6142
2049.0,0,Male,[0:5),6142
2049.0,1,Male,[0:200),68594
2049.0,0,Male,[0:200),68594
2049.0,1,Male,[5:10),5923
2049.0,0,Male,[5:10),5923
2049.0,1,Male,[10:15),6116
2049.0,0,Male,[10:15),6116
2049.0,1,Male,[15:20),6041
2049.0,0,Male,[15:20),6041
2049.0,1,Male,[20:25),5863
2049.0,0,Male,[20:25),5863
2049.0,1,Male,[25:30),5725
2049.0,0,Male,[25:30),5725
2049.0,1,Male,[30:35),5316
2049.0,0,Male,[30:35),5316
2049.0,1,Male,[35:40),5143
2049.0,0,Male,[35:40),5143
2049.0,1,Male,[40:45),4599
2049.0,0,Male,[40:45),4599
2049.0,1,Male,[45:50),4208
2049.0,0,Male,[45:50),4208
2049.0,1,Male,[50:55),3931
2049.0,0,Male,[50:55),3931
2049.0,1,Male,[55:60),3395
2049.0,0,Male,[55:60),3395
2049.0,1,Male,[60:65),2794
2049.0,0,Male,[60:65),2794
2049.0,1,Male,[65:70),1682
2049.0,0,Male,[65:70),1682
2049.0,1,Male,[70:75),965
2049.0,0,Male,[70:75),965
2049.0,1,Male,[75:80),442
2049.0,0,Male,[75:80),442
2049.0,1,Female,[0:5),6182
2049.0,0,Female,[0:5),6182
2049.0,1,Female,[0:200),73545
2049.0,0,Female,[0:200),73545
2049.0,1,Female,[5:10),5981
2049.0,0,Female,[5:10),5981
2049.0,1,Female,[10:15),6185
2049.0,0,Female,[10:15),6185
2049.0,1,Female,[15:20),5997
2049.0,0,Female,[15:20),5997
2049.0,1,Female,[20:25),5883
2049.0,0,Female,[20:25),5883
2049.0,1,Female,[25:30),5848
2049.0,0,Female,[25:30),5848
2049.0,1,Female,[30:35),5745
2049.0,0,Female,[30:35),5745
2049.0,1,Female,[35:40),5364
2049.0,0,Female,[35:40),5364
2049.0,1,Female,[40:45),4958
2049.0,0,Female,[40:45),4958
2049.0,1,Female,[45:50),4585
2049.0,0,Female,[45:50),4585
2049.0,1,Female,[50:55),4197
2049.0,0,Female,[50:55),4197
2049.0,1,Female,[55:60),3975
2049.0,0,Female,[55:60),3975
2049.0,1,Female,[60:65),3169
2049.0,0,Female,[60:65),3169
2049.0,1,Female,[65:70),2190
2049.0,0,Female,[65:70),2190
2049.0,1,Female,[70:75),1346
2049.0,0,Female,[70:75),1346
2049.0,1,Female,[75:80),1004
2049.0,0,Female,[75:80),1004
2050.0,1,Male,[0:5),6105
2050.0,0,Male,[0:5),6105
2050.0,1,Male,[0:200),69258
2050.0,0,Male,[0:200),69258
2050.0,1,Male,[5:10),5969
2050.0,0,Male,[5:10),5969
2050.0,1,Male,[10:15),6133
2050.0,0,Male,[10:15),6133
2050.0,1,Male,[15:20),6037
2050.0,0,Male,[15:20),6037
2050.0,1,Male,[20:25),5859
2050.0,0,Male,[20:25),5859
2050.0,1,Male,[25:30),5692
2050.0,0,Male,[25:30),5692
2050.0,1,Male,[30:35),5426
2050.0,0,Male,[30:35),5426
2050.0,1,Male,[35:40),5178
2050.0,0,Male,[35:40),5178
2050.0,1,Male,[40:45),4709
2050.0,0,Male,[40:45),4709
2050.0,1,Male,[45:50),4227
2050.0,0,Male,[45:50),4227
2050.0,1,Male,[50:55),3906
2050.0,0,Male,[50:55),3906
2050.0,1,Male,[55:60),3532
2050.0,0,Male,[55:60),3532
2050.0,1,Male,[60:65),2817
2050.0,0,Male,[60:65),2817
2050.0,1,Male,[65:70),1871
2050.0,0,Male,[65:70),1871
2050.0,1,Male,[70:75),1014
2050.0,0,Male,[70:75),1014
2050.0,1,Male,[75:80),475
2050.0,0,Male,[75:80),475
2050.0,1,Female,[0:5),6143
2050.0,0,Female,[0:5),6143
2050.0,1,Female,[0:200),74316
2050.0,0,Female,[0:200),74316
2050.0,1,Female,[5:10),6053
2050.0,0,Female,[5:10),6053
2050.0,1,Female,[10:15),6161
2050.0,0,Female,[10:15),6161
2050.0,1,Female,[15:20),5988
2050.0,0,Female,[15:20),5988
2050.0,1,Female,[20:25),5909
2050.0,0,Female,[20:25),5909
2050.0,1,Female,[25:30),5780
2050.0,0,Female,[25:30),5780
2050.0,1,Female,[30:35),5775
2050.0,0,Female,[30:35),5775
2050.0,1,Female,[35:40),5469
2050.0,0,Female,[35:40),5469
2050.0,1,Female,[40:45),5006
2050.0,0,Female,[40:45),5006
2050.0,1,Female,[45:50),4642
2050.0,0,Female,[45:50),4642
2050.0,1,Female,[50:55),4194
2050.0,0,Female,[50:55),4194
2050.0,1,Female,[55:60),4058
2050.0,0,Female,[55:60),4058
2050.0,1,Female,[60:65),3356
2050.0,0,Female,[60:65),3356
2050.0,1,Female,[65:70),2332
2050.0,0,Female,[65:70),2332
2050.0,1,Female,[70:75),1451
2050.0,0,Female,[70:75),1451
2050.0,1,Female,[75:80),998
2050.0,0,Female,[75:80),998
2039.0,1,Male,[0:5),6076
2039.0,0,Male,[0:5),6076
2039.0,1,Male,[0:200),61358
2039.0,0,Male,[0:200),61358
2039.0,1,Male,[5:10),6005
2039.0,0,Male,[5:10),6005
2039.0,1,Male,[10:15),6026
2039.0,0,Male,[10:15),6026
2039.0,1,Male,[15:20),5891
2039.0,0,Male,[15:20),5891
2039.0,1,Male,[20:25),5457
2039.0,0,Male,[20:25),5457
2039.0,1,Male,[25:30),5210
2039.0,0,Male,[25:30),5210
2039.0,1,Male,[30:35),4829
2039.0,0,Male,[30:35),4829
2039.0,1,Male,[35:40),4444
2039.0,0,Male,[35:40),4444
2039.0,1,Male,[40:45),4201
2039.0,0,Male,[40:45),4201
2039.0,1,Male,[45:50),3923
2039.0,0,Male,[45:50),3923
2039.0,1,Male,[50:55),3460
2039.0,0,Male,[50:55),3460
2039.0,1,Male,[55:60),2263
2039.0,0,Male,[55:60),2263
2039.0,1,Male,[60:65),1573
2039.0,0,Male,[60:65),1573
2039.0,1,Male,[65:70),958
2039.0,0,Male,[65:70),958
2039.0,1,Male,[70:75),612
2039.0,0,Male,[70:75),612
2039.0,1,Male,[75:80),273
