Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6175
2048.0,0,Male,[0:5),6175
2048.0,1,Male,[0:200),69233
2048.0,0,Male,[0:200),69233
2048.0,1,Male,[5:10),5882
2048.0,0,Male,[5:10),5882
2048.0,1,Male,[10:15),6191
2048.0,0,Male,[10:15),6191
2048.0,1,Male,[15:20),6024
2048.0,0,Male,[15:20),6024
2048.0,1,Male,[20:25),6141
2048.0,0,Male,[20:25),6141
2048.0,1,Male,[25:30),5779
2048.0,0,Male,[25:30),5779
2048.0,1,Male,[30:35),5537
2048.0,0,Male,[30:35),5537
2048.0,1,Male,[35:40),5079
2048.0,0,Male,[35:40),5079
2048.0,1,Male,[40:45),4692
2048.0,0,Male,[40:45),4692
2048.0,1,Male,[45:50),4334
2048.0,0,Male,[45:50),4334
2048.0,1,Male,[50:55),4111
2048.0,0,Male,[50:55),4111
2048.0,1,Male,[55:60),3454
2048.0,0,Male,[55:60),3454
2048.0,1,Male,[60:65),2543
2048.0,0,Male,[60:65),2543
2048.0,1,Male,[65:70),1653
2048.0,0,Male,[65:70),1653
2048.0,1,Male,[70:75),882
2048.0,0,Male,[70:75),882
2048.0,1,Male,[75:80),488
2048.0,0,Male,[75:80),488
2048.0,1,Female,[0:5),6160
2048.0,0,Female,[0:5),6160
2048.0,1,Female,[0:200),74066
2048.0,0,Female,[0:200),74066
2048.0,1,Female,[5:10),6122
2048.0,0,Female,[5:10),6122
2048.0,1,Female,[10:15),6283
2048.0,0,Female,[10:15),6283
2048.0,1,Female,[15:20),6241
2048.0,0,Female,[15:20),6241
2048.0,1,Female,[20:25),6093
2048.0,0,Female,[20:25),6093
2048.0,1,Female,[25:30),5932
2048.0,0,Female,[25:30),5932
2048.0,1,Female,[30:35),5617
2048.0,0,Female,[30:35),5617
2048.0,1,Female,[35:40),5357
2048.0,0,Female,[35:40),5357
2048.0,1,Female,[40:45),4986
2048.0,0,Female,[40:45),4986
2048.0,1,Female,[45:50),4607
2048.0,0,Female,[45:50),4607
2048.0,1,Female,[50:55),4412
2048.0,0,Female,[50:55),4412
2048.0,1,Female,[55:60),3936
2048.0,0,Female,[55:60),3936
2048.0,1,Female,[60:65),3018
2048.0,0,Female,[60:65),3018
2048.0,1,Female,[65:70),2068
2048.0,0,Female,[65:70),2068
2048.0,1,Female,[70:75),1376
2048.0,0,Female,[70:75),1376
2048.0,1,Female,[75:80),932
2048.0,0,Female,[75:80),932
2049.0,1,Male,[0:5),6152
2049.0,0,Male,[0:5),6152
2049.0,1,Male,[0:200),69835
2049.0,0,Male,[0:200),69835
2049.0,1,Male,[5:10),5875
2049.0,0,Male,[5:10),5875
2049.0,1,Male,[10:15),6220
2049.0,0,Male,[10:15),6220
2049.0,1,Male,[15:20),5968
2049.0,0,Male,[15:20),5968
2049.0,1,Male,[20:25),6139
2049.0,0,Male,[20:25),6139
2049.0,1,Male,[25:30),5834
2049.0,0,Male,[25:30),5834
2049.0,1,Male,[30:35),5564
2049.0,0,Male,[30:35),5564
2049.0,1,Male,[35:40),5177
2049.0,0,Male,[35:40),5177
2049.0,1,Male,[40:45),4749
2049.0,0,Male,[40:45),4749
2049.0,1,Male,[45:50),4316
2049.0,0,Male,[45:50),4316
2049.0,1,Male,[50:55),4122
2049.0,0,Male,[50:55),4122
2049.0,1,Male,[55:60),3502
2049.0,0,Male,[55:60),3502
2049.0,1,Male,[60:65),2705
2049.0,0,Male,[60:65),2705
2049.0,1,Male,[65:70),1759
2049.0,0,Male,[65:70),1759
2049.0,1,Male,[70:75),945
2049.0,0,Male,[70:75),945
2049.0,1,Male,[75:80),517
2049.0,0,Male,[75:80),517
2049.0,1,Female,[0:5),6151
2049.0,0,Female,[0:5),6151
2049.0,1,Female,[0:200),74879
2049.0,0,Female,[0:200),74879
2049.0,1,Female,[5:10),6128
2049.0,0,Female,[5:10),6128
2049.0,1,Female,[10:15),6282
2049.0,0,Female,[10:15),6282
2049.0,1,Female,[15:20),6226
2049.0,0,Female,[15:20),6226
2049.0,1,Female,[20:25),6125
2049.0,0,Female,[20:25),6125
2049.0,1,Female,[25:30),5920
2049.0,0,Female,[25:30),5920
2049.0,1,Female,[30:35),5692
2049.0,0,Female,[30:35),5692
2049.0,1,Female,[35:40),5413
2049.0,0,Female,[35:40),5413
2049.0,1,Female,[40:45),5120
2049.0,0,Female,[40:45),5120
2049.0,1,Female,[45:50),4622
2049.0,0,Female,[45:50),4622
2049.0,1,Female,[50:55),4415
2049.0,0,Female,[50:55),4415
2049.0,1,Female,[55:60),4030
2049.0,0,Female,[55:60),4030
2049.0,1,Female,[60:65),3162
2049.0,0,Female,[60:65),3162
2049.0,1,Female,[65:70),2225
2049.0,0,Female,[65:70),2225
2049.0,1,Female,[70:75),1435
2049.0,0,Female,[70:75),1435
2049.0,1,Female,[75:80),961
2049.0,0,Female,[75:80),961
2050.0,1,Male,[0:5),6100
2050.0,0,Male,[0:5),6100
2050.0,1,Male,[0:200),70440
2050.0,0,Male,[0:200),70440
2050.0,1,Male,[5:10),5876
2050.0,0,Male,[5:10),5876
2050.0,1,Male,[10:15),6265
2050.0,0,Male,[10:15),6265
2050.0,1,Male,[15:20),5947
2050.0,0,Male,[15:20),5947
2050.0,1,Male,[20:25),6157
2050.0,0,Male,[20:25),6157
2050.0,1,Male,[25:30),5864
2050.0,0,Male,[25:30),5864
2050.0,1,Male,[30:35),5659
2050.0,0,Male,[30:35),5659
2050.0,1,Male,[35:40),5208
2050.0,0,Male,[35:40),5208
2050.0,1,Male,[40:45),4844
2050.0,0,Male,[40:45),4844
2050.0,1,Male,[45:50),4312
2050.0,0,Male,[45:50),4312
2050.0,1,Male,[50:55),4145
2050.0,0,Male,[50:55),4145
2050.0,1,Male,[55:60),3564
2050.0,0,Male,[55:60),3564
2050.0,1,Male,[60:65),2762
2050.0,0,Male,[60:65),2762
2050.0,1,Male,[65:70),1893
2050.0,0,Male,[65:70),1893
2050.0,1,Male,[70:75),997
2050.0,0,Male,[70:75),997
2050.0,1,Male,[75:80),529
2050.0,0,Male,[75:80),529
2050.0,1,Female,[0:5),6152
2050.0,0,Female,[0:5),6152
2050.0,1,Female,[0:200),75692
2050.0,0,Female,[0:200),75692
2050.0,1,Female,[5:10),6086
2050.0,0,Female,[5:10),6086
2050.0,1,Female,[10:15),6304
2050.0,0,Female,[10:15),6304
2050.0,1,Female,[15:20),6237
2050.0,0,Female,[15:20),6237
2050.0,1,Female,[20:25),6090
2050.0,0,Female,[20:25),6090
2050.0,1,Female,[25:30),5934
2050.0,0,Female,[25:30),5934
2050.0,1,Female,[30:35),5820
2050.0,0,Female,[30:35),5820
2050.0,1,Female,[35:40),5518
2050.0,0,Female,[35:40),5518
2050.0,1,Female,[40:45),5125
2050.0,0,Female,[40:45),5125
2050.0,1,Female,[45:50),4621
2050.0,0,Female,[45:50),4621
2050.0,1,Female,[50:55),4515
2050.0,0,Female,[50:55),4515
2050.0,1,Female,[55:60),4001
2050.0,0,Female,[55:60),4001
2050.0,1,Female,[60:65),3424
2050.0,0,Female,[60:65),3424
2050.0,1,Female,[65:70),2359
2050.0,0,Female,[65:70),2359
2050.0,1,Female,[70:75),1497
2050.0,0,Female,[70:75),1497
2050.0,1,Female,[75:80),978
2050.0,0,Female,[75:80),978
2039.0,1,Male,[0:5),6188
2039.0,0,Male,[0:5),6188
2039.0,1,Male,[0:200),62734
2039.0,0,Male,[0:200),62734
2039.0,1,Male,[5:10),5924
2039.0,0,Male,[5:10),5924
2039.0,1,Male,[10:15),6303
2039.0,0,Male,[10:15),6303
2039.0,1,Male,[15:20),6036
2039.0,0,Male,[15:20),6036
2039.0,1,Male,[20:25),5689
2039.0,0,Male,[20:25),5689
2039.0,1,Male,[25:30),5258
2039.0,0,Male,[25:30),5258
2039.0,1,Male,[30:35),4944
2039.0,0,Male,[30:35),4944
2039.0,1,Male,[35:40),4569
2039.0,0,Male,[35:40),4569
2039.0,1,Male,[40:45),4469
2039.0,0,Male,[40:45),4469
2039.0,1,Male,[45:50),4012
2039.0,0,Male,[45:50),4012
2039.0,1,Male,[50:55),3367
2039.0,0,Male,[50:55),3367
2039.0,1,Male,[55:60),2402
2039.0,0,Male,[55:60),2402
2039.0,1,Male,[60:65),1566
2039.0,0,Male,[60:65),1566
2039.0,1,Male,[65:70),1009
2039.0,0,Male,[65:70),1009
2039.0,1,Male,[70:75),579
2039.0,0,Male,[70:75),579
2039.0,1,Male,[75:80),263
2039.0,0,Male,[75:80),263
2039.0,1,Female,[0:5),6220
2039.0,0,Female,[0:5),6220
2039.0,1,Female,[0:200),66119
2039.0,0,Female,[0:200),66119
2039.0,1,Female,[5:10),6182
