Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6449
2048.0,0,Male,[0:5),6449
2048.0,1,Male,[0:200),71446
2048.0,0,Male,[0:200),71446
2048.0,1,Male,[5:10),6219
2048.0,0,Male,[5:10),6219
2048.0,1,Male,[10:15),6441
2048.0,0,Male,[10:15),6441
2048.0,1,Male,[15:20),6291
2048.0,0,Male,[15:20),6291
2048.0,1,Male,[20:25),6325
2048.0,0,Male,[20:25),6325
2048.0,1,Male,[25:30),6006
2048.0,0,Male,[25:30),6006
2048.0,1,Male,[30:35),5705
2048.0,0,Male,[30:35),5705
2048.0,1,Male,[35:40),5321
2048.0,0,Male,[35:40),5321
2048.0,1,Male,[40:45),4899
2048.0,0,Male,[40:45),4899
2048.0,1,Male,[45:50),4323
2048.0,0,Male,[45:50),4323
2048.0,1,Male,[50:55),4045
2048.0,0,Male,[50:55),4045
2048.0,1,Male,[55:60),3477
2048.0,0,Male,[55:60),3477
2048.0,1,Male,[60:65),2627
2048.0,0,Male,[60:65),2627
2048.0,1,Male,[65:70),1592
2048.0,0,Male,[65:70),1592
2048.0,1,Male,[70:75),921
2048.0,0,Male,[70:75),921
2048.0,1,Male,[75:80),510
2048.0,0,Male,[75:80),510
2048.0,1,Female,[0:5),6268
2048.0,0,Female,[0:5),6268
2048.0,1,Female,[0:200),77138
2048.0,0,Female,[0:200),77138
2048.0,1,Female,[5:10),6437
2048.0,0,Female,[5:10),6437
2048.0,1,Female,[10:15),6599
2048.0,0,Female,[10:15),6599
2048.0,1,Female,[15:20),6527
2048.0,0,Female,[15:20),6527
2048.0,1,Female,[20:25),6316
2048.0,0,Female,[20:25),6316
2048.0,1,Female,[25:30),6145
2048.0,0,Female,[25:30),6145
2048.0,1,Female,[30:35),6059
2048.0,0,Female,[30:35),6059
2048.0,1,Female,[35:40),5475
2048.0,0,Female,[35:40),5475
2048.0,1,Female,[40:45),5186
2048.0,0,Female,[40:45),5186
2048.0,1,Female,[45:50),4822
2048.0,0,Female,[45:50),4822
2048.0,1,Female,[50:55),4642
2048.0,0,Female,[50:55),4642
2048.0,1,Female,[55:60),4109
2048.0,0,Female,[55:60),4109
2048.0,1,Female,[60:65),3129
2048.0,0,Female,[60:65),3129
2048.0,1,Female,[65:70),2169
2048.0,0,Female,[65:70),2169
2048.0,1,Female,[70:75),1342
2048.0,0,Female,[70:75),1342
2048.0,1,Female,[75:80),933
2048.0,0,Female,[75:80),933
2049.0,1,Male,[0:5),6374
2049.0,0,Male,[0:5),6374
2049.0,1,Male,[0:200),72114
2049.0,0,Male,[0:200),72114
2049.0,1,Male,[5:10),6257
2049.0,0,Male,[5:10),6257
2049.0,1,Male,[10:15),6473
2049.0,0,Male,[10:15),6473
2049.0,1,Male,[15:20),6339
2049.0,0,Male,[15:20),6339
