Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0033381020505484026
2048.0,0,Male,[15:20),0.0033381020505484026
2048.0,1,Male,[20:25),0.01691699604743083
2048.0,0,Male,[20:25),0.01691699604743083
2048.0,1,Male,[25:30),0.04595404595404595
2048.0,0,Male,[25:30),0.04595404595404595
2048.0,1,Male,[30:35),0.07905346187554776
2048.0,0,Male,[30:35),0.07905346187554776
2048.0,1,Male,[35:40),0.13587671490321368
2048.0,0,Male,[35:40),0.13587671490321368
2048.0,1,Male,[40:45),0.16574811185956317
2048.0,0,Male,[40:45),0.16574811185956317
2048.0,1,Male,[45:50),0.260235947258848
2048.0,0,Male,[45:50),0.260235947258848
2048.0,1,Male,[50:55),0.3624227441285538
2048.0,0,Male,[50:55),0.3624227441285538
2048.0,1,Male,[55:60),0.45297670405522
2048.0,0,Male,[55:60),0.45297670405522
2048.0,1,Male,[60:65),0.570232204035021
2048.0,0,Male,[60:65),0.570232204035021
2048.0,1,Male,[65:200),0.6292947558770343
2048.0,0,Male,[65:200),0.6292947558770343
2048.0,1,Female,[15:20),0.02604565650375364
2048.0,0,Female,[15:20),0.02604565650375364
2048.0,1,Female,[20:25),0.08866371120962635
2048.0,0,Female,[20:25),0.08866371120962635
2048.0,1,Female,[25:30),0.1388120423108218
2048.0,0,Female,[25:30),0.1388120423108218
2048.0,1,Female,[30:35),0.18996534081531605
2048.0,0,Female,[30:35),0.18996534081531605
2048.0,1,Female,[35:40),0.24584474885844748
2048.0,0,Female,[35:40),0.24584474885844748
2048.0,1,Female,[40:45),0.3177786347859622
2048.0,0,Female,[40:45),0.3177786347859622
2048.0,1,Female,[45:50),0.38842803815844046
2048.0,0,Female,[45:50),0.38842803815844046
2048.0,1,Female,[50:55),0.46423955191727706
2048.0,0,Female,[50:55),0.46423955191727706
2048.0,1,Female,[55:60),0.54611827695303
2048.0,0,Female,[55:60),0.54611827695303
2048.0,1,Female,[60:65),0.6302333013742409
2048.0,0,Female,[60:65),0.6302333013742409
2048.0,1,Female,[65:200),0.5890486725663717
2048.0,0,Female,[65:200),0.5890486725663717
2049.0,1,Male,[15:20),0.003155071777882947
2049.0,0,Male,[15:20),0.003155071777882947
2049.0,1,Male,[20:25),0.01536
2049.0,0,Male,[20:25),0.01536
2049.0,1,Male,[25:30),0.045678606638186
2049.0,0,Male,[25:30),0.045678606638186
2049.0,1,Male,[30:35),0.08001391546355888
2049.0,0,Male,[30:35),0.08001391546355888
2049.0,1,Male,[35:40),0.13049168068797906
2049.0,0,Male,[35:40),0.13049168068797906
2049.0,1,Male,[40:45),0.16887550200803214
2049.0,0,Male,[40:45),0.16887550200803214
2049.0,1,Male,[45:50),0.24151376146788991
2049.0,0,Male,[45:50),0.24151376146788991
2049.0,1,Male,[50:55),0.34296296296296297
2049.0,0,Male,[50:55),0.34296296296296297
2049.0,1,Male,[55:60),0.4483338000560067
2049.0,0,Male,[55:60),0.4483338000560067
2049.0,1,Male,[60:65),0.5467442706438705
2049.0,0,Male,[60:65),0.5467442706438705
2049.0,1,Male,[65:200),0.6359512333427843
