Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6274
2048.0,0,Male,[0:5),6274
2048.0,1,Male,[0:200),69609
2048.0,0,Male,[0:200),69609
2048.0,1,Male,[5:10),5922
2048.0,0,Male,[5:10),5922
2048.0,1,Male,[10:15),6417
2048.0,0,Male,[10:15),6417
2048.0,1,Male,[15:20),6103
2048.0,0,Male,[15:20),6103
2048.0,1,Male,[20:25),6077
2048.0,0,Male,[20:25),6077
2048.0,1,Male,[25:30),5764
2048.0,0,Male,[25:30),5764
2048.0,1,Male,[30:35),5665
2048.0,0,Male,[30:35),5665
2048.0,1,Male,[35:40),5216
2048.0,0,Male,[35:40),5216
2048.0,1,Male,[40:45),4745
2048.0,0,Male,[40:45),4745
2048.0,1,Male,[45:50),4184
2048.0,0,Male,[45:50),4184
2048.0,1,Male,[50:55),3973
2048.0,0,Male,[50:55),3973
2048.0,1,Male,[55:60),3415
2048.0,0,Male,[55:60),3415
2048.0,1,Male,[60:65),2565
2048.0,0,Male,[60:65),2565
2048.0,1,Male,[65:70),1605
2048.0,0,Male,[65:70),1605
2048.0,1,Male,[70:75),894
2048.0,0,Male,[70:75),894
2048.0,1,Male,[75:80),477
2048.0,0,Male,[75:80),477
2048.0,1,Female,[0:5),6237
2048.0,0,Female,[0:5),6237
2048.0,1,Female,[0:200),74631
2048.0,0,Female,[0:200),74631
2048.0,1,Female,[5:10),6142
2048.0,0,Female,[5:10),6142
2048.0,1,Female,[10:15),6369
2048.0,0,Female,[10:15),6369
2048.0,1,Female,[15:20),6231
2048.0,0,Female,[15:20),6231
2048.0,1,Female,[20:25),6075
2048.0,0,Female,[20:25),6075
2048.0,1,Female,[25:30),6078
2048.0,0,Female,[25:30),6078
2048.0,1,Female,[30:35),5767
2048.0,0,Female,[30:35),5767
2048.0,1,Female,[35:40),5390
2048.0,0,Female,[35:40),5390
2048.0,1,Female,[40:45),4985
2048.0,0,Female,[40:45),4985
2048.0,1,Female,[45:50),4529
2048.0,0,Female,[45:50),4529
2048.0,1,Female,[50:55),4420
2048.0,0,Female,[50:55),4420
2048.0,1,Female,[55:60),4099
2048.0,0,Female,[55:60),4099
2048.0,1,Female,[60:65),3092
2048.0,0,Female,[60:65),3092
2048.0,1,Female,[65:70),2089
2048.0,0,Female,[65:70),2089
2048.0,1,Female,[70:75),1287
2048.0,0,Female,[70:75),1287
2048.0,1,Female,[75:80),928
2048.0,0,Female,[75:80),928
2049.0,1,Male,[0:5),6256
2049.0,0,Male,[0:5),6256
2049.0,1,Male,[0:200),70229
2049.0,0,Male,[0:200),70229
2049.0,1,Male,[5:10),5966
2049.0,0,Male,[5:10),5966
2049.0,1,Male,[10:15),6362
2049.0,0,Male,[10:15),6362
2049.0,1,Male,[15:20),6067
2049.0,0,Male,[15:20),6067
2049.0,1,Male,[20:25),6139
2049.0,0,Male,[20:25),6139
2049.0,1,Male,[25:30),5738
2049.0,0,Male,[25:30),5738
2049.0,1,Male,[30:35),5702
2049.0,0,Male,[30:35),5702
2049.0,1,Male,[35:40),5311
2049.0,0,Male,[35:40),5311
2049.0,1,Male,[40:45),4833
2049.0,0,Male,[40:45),4833
2049.0,1,Male,[45:50),4192
2049.0,0,Male,[45:50),4192
2049.0,1,Male,[50:55),4047
2049.0,0,Male,[50:55),4047
2049.0,1,Male,[55:60),3415
2049.0,0,Male,[55:60),3415
2049.0,1,Male,[60:65),2715
2049.0,0,Male,[60:65),2715
2049.0,1,Male,[65:70),1688
2049.0,0,Male,[65:70),1688
2049.0,1,Male,[70:75),962
2049.0,0,Male,[70:75),962
2049.0,1,Male,[75:80),504
2049.0,0,Male,[75:80),504
2049.0,1,Female,[0:5),6176
2049.0,0,Female,[0:5),6176
2049.0,1,Female,[0:200),75399
2049.0,0,Female,[0:200),75399
2049.0,1,Female,[5:10),6188
2049.0,0,Female,[5:10),6188
2049.0,1,Female,[10:15),6360
2049.0,0,Female,[10:15),6360
2049.0,1,Female,[15:20),6190
2049.0,0,Female,[15:20),6190
2049.0,1,Female,[20:25),6148
2049.0,0,Female,[20:25),6148
2049.0,1,Female,[25:30),6044
2049.0,0,Female,[25:30),6044
2049.0,1,Female,[30:35),5837
2049.0,0,Female,[30:35),5837
2049.0,1,Female,[35:40),5409
2049.0,0,Female,[35:40),5409
2049.0,1,Female,[40:45),5084
2049.0,0,Female,[40:45),5084
2049.0,1,Female,[45:50),4633
2049.0,0,Female,[45:50),4633
2049.0,1,Female,[50:55),4426
2049.0,0,Female,[50:55),4426
2049.0,1,Female,[55:60),4113
2049.0,0,Female,[55:60),4113
2049.0,1,Female,[60:65),3268
2049.0,0,Female,[60:65),3268
2049.0,1,Female,[65:70),2245
2049.0,0,Female,[65:70),2245
2049.0,1,Female,[70:75),1367
2049.0,0,Female,[70:75),1367
2049.0,1,Female,[75:80),955
2049.0,0,Female,[75:80),955
2050.0,1,Male,[0:5),6257
2050.0,0,Male,[0:5),6257
2050.0,1,Male,[0:200),70908
2050.0,0,Male,[0:200),70908
2050.0,1,Male,[5:10),6044
2050.0,0,Male,[5:10),6044
2050.0,1,Male,[10:15),6213
2050.0,0,Male,[10:15),6213
2050.0,1,Male,[15:20),6174
2050.0,0,Male,[15:20),6174
2050.0,1,Male,[20:25),6132
2050.0,0,Male,[20:25),6132
2050.0,1,Male,[25:30),5762
2050.0,0,Male,[25:30),5762
2050.0,1,Male,[30:35),5757
2050.0,0,Male,[30:35),5757
2050.0,1,Male,[35:40),5310
2050.0,0,Male,[35:40),5310
2050.0,1,Male,[40:45),4913
2050.0,0,Male,[40:45),4913
2050.0,1,Male,[45:50),4315
2050.0,0,Male,[45:50),4315
2050.0,1,Male,[50:55),3980
2050.0,0,Male,[50:55),3980
2050.0,1,Male,[55:60),3508
2050.0,0,Male,[55:60),3508
2050.0,1,Male,[60:65),2817
2050.0,0,Male,[60:65),2817
2050.0,1,Male,[65:70),1808
2050.0,0,Male,[65:70),1808
2050.0,1,Male,[70:75),1031
2050.0,0,Male,[70:75),1031
2050.0,1,Male,[75:80),543
2050.0,0,Male,[75:80),543
2050.0,1,Female,[0:5),6128
2050.0,0,Female,[0:5),6128
2050.0,1,Female,[0:200),76168
2050.0,0,Female,[0:200),76168
2050.0,1,Female,[5:10),6177
2050.0,0,Female,[5:10),6177
2050.0,1,Female,[10:15),6330
2050.0,0,Female,[10:15),6330
2050.0,1,Female,[15:20),6297
2050.0,0,Female,[15:20),6297
2050.0,1,Female,[20:25),6072
2050.0,0,Female,[20:25),6072
2050.0,1,Female,[25:30),6057
2050.0,0,Female,[25:30),6057
2050.0,1,Female,[30:35),5947
2050.0,0,Female,[30:35),5947
2050.0,1,Female,[35:40),5420
2050.0,0,Female,[35:40),5420
2050.0,1,Female,[40:45),5150
2050.0,0,Female,[40:45),5150
2050.0,1,Female,[45:50),4742
2050.0,0,Female,[45:50),4742
2050.0,1,Female,[50:55),4431
2050.0,0,Female,[50:55),4431
2050.0,1,Female,[55:60),4192
2050.0,0,Female,[55:60),4192
2050.0,1,Female,[60:65),3403
2050.0,0,Female,[60:65),3403
2050.0,1,Female,[65:70),2371
2050.0,0,Female,[65:70),2371
2050.0,1,Female,[70:75),1488
2050.0,0,Female,[70:75),1488
2050.0,1,Female,[75:80),966
2050.0,0,Female,[75:80),966
2039.0,1,Male,[0:5),6350
2039.0,0,Male,[0:5),6350
2039.0,1,Male,[0:200),62763
2039.0,0,Male,[0:200),62763
2039.0,1,Male,[5:10),6038
2039.0,0,Male,[5:10),6038
2039.0,1,Male,[10:15),6294
2039.0,0,Male,[10:15),6294
2039.0,1,Male,[15:20),5932
2039.0,0,Male,[15:20),5932
2039.0,1,Male,[20:25),5814
2039.0,0,Male,[20:25),5814
2039.0,1,Male,[25:30),5412
2039.0,0,Male,[25:30),5412
2039.0,1,Male,[30:35),5042
2039.0,0,Male,[30:35),5042
2039.0,1,Male,[35:40),4420
2039.0,0,Male,[35:40),4420
2039.0,1,Male,[40:45),4357
2039.0,0,Male,[40:45),4357
2039.0,1,Male,[45:50),3913
2039.0,0,Male,[45:50),3913
2039.0,1,Male,[50:55),3384
2039.0,0,Male,[50:55),3384
2039.0,1,Male,[55:60),2280
2039.0,0,Male,[55:60),2280
2039.0,1,Male,[60:65),1537
2039.0,0,Male,[60:65),1537
2039.0,1,Male,[65:70),969
2039.0,0,Male,[65:70),969
2039.0,1,Male,[70:75),621
2039.0,0,Male,[70:75),621
2039.0,1,Male,[75:80),276
2039.0,0,Male,[75:80),276
2039.0,1,Female,[0:5),6321
2039.0,0,Female,[0:5),6321
2039.0,1,Female,[0:200),66571
2039.0,0,Female,[0:200),66571
2039.0,1,Female,[5:10),6137
2039.0,0,Female,[5:10),6137
