Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004096346059315091
2048.0,0,Male,[15:20),0.004096346059315091
2048.0,1,Male,[20:25),0.01859470133289452
2048.0,0,Male,[20:25),0.01859470133289452
2048.0,1,Male,[25:30),0.05187369882026371
2048.0,0,Male,[25:30),0.05187369882026371
2048.0,1,Male,[30:35),0.1029126213592233
2048.0,0,Male,[30:35),0.1029126213592233
2048.0,1,Male,[35:40),0.13976226993865032
2048.0,0,Male,[35:40),0.13976226993865032
2048.0,1,Male,[40:45),0.19367755532139094
2048.0,0,Male,[40:45),0.19367755532139094
2048.0,1,Male,[45:50),0.25836520076481834
2048.0,0,Male,[45:50),0.25836520076481834
2048.0,1,Male,[50:55),0.3644601057135666
2048.0,0,Male,[50:55),0.3644601057135666
2048.0,1,Male,[55:60),0.4623718887262079
2048.0,0,Male,[55:60),0.4623718887262079
2048.0,1,Male,[60:65),0.5571150097465887
2048.0,0,Male,[60:65),0.5571150097465887
2048.0,1,Male,[65:200),0.6056552143508666
2048.0,0,Male,[65:200),0.6056552143508666
2048.0,1,Female,[15:20),0.0335419675814476
2048.0,0,Female,[15:20),0.0335419675814476
2048.0,1,Female,[20:25),0.10205761316872428
2048.0,0,Female,[20:25),0.10205761316872428
2048.0,1,Female,[25:30),0.175715695952616
2048.0,0,Female,[25:30),0.175715695952616
2048.0,1,Female,[30:35),0.22160568753251259
2048.0,0,Female,[30:35),0.22160568753251259
2048.0,1,Female,[35:40),0.2727272727272727
2048.0,0,Female,[35:40),0.2727272727272727
2048.0,1,Female,[40:45),0.322567703109328
2048.0,0,Female,[40:45),0.322567703109328
2048.0,1,Female,[45:50),0.4086994921616251
2048.0,0,Female,[45:50),0.4086994921616251
2048.0,1,Female,[50:55),0.49140271493212667
2048.0,0,Female,[50:55),0.49140271493212667
2048.0,1,Female,[55:60),0.5508660648938766
2048.0,0,Female,[55:60),0.5508660648938766
2048.0,1,Female,[60:65),0.6413324708926261
2048.0,0,Female,[60:65),0.6413324708926261
2048.0,1,Female,[65:200),0.624113475177305
2048.0,0,Female,[65:200),0.624113475177305
2049.0,1,Male,[15:20),0.00510960936212296
2049.0,0,Male,[15:20),0.00510960936212296
2049.0,1,Male,[20:25),0.017429548786447303
2049.0,0,Male,[20:25),0.017429548786447303
2049.0,1,Male,[25:30),0.053154409201812476
2049.0,0,Male,[25:30),0.053154409201812476
2049.0,1,Male,[30:35),0.09821115398105927
2049.0,0,Male,[30:35),0.09821115398105927
2049.0,1,Male,[35:40),0.14535868951233288
2049.0,0,Male,[35:40),0.14535868951233288
2049.0,1,Male,[40:45),0.18808193668528864
2049.0,0,Male,[40:45),0.18808193668528864
2049.0,1,Male,[45:50),0.2452290076335878
2049.0,0,Male,[45:50),0.2452290076335878
2049.0,1,Male,[50:55),0.35532493204843096
2049.0,0,Male,[50:55),0.35532493204843096
2049.0,1,Male,[55:60),0.4448023426061493
2049.0,0,Male,[55:60),0.4448023426061493
2049.0,1,Male,[60:65),0.543646408839779
2049.0,0,Male,[60:65),0.543646408839779
2049.0,1,Male,[65:200),0.6069994262765347
2049.0,0,Male,[65:200),0.6069994262765347
2049.0,1,Female,[15:20),0.03651050080775444
2049.0,0,Female,[15:20),0.03651050080775444
2049.0,1,Female,[20:25),0.10312296681847756
2049.0,0,Female,[20:25),0.10312296681847756
2049.0,1,Female,[25:30),0.17041694242223693
2049.0,0,Female,[25:30),0.17041694242223693
2049.0,1,Female,[30:35),0.2225458283364742
2049.0,0,Female,[30:35),0.2225458283364742
2049.0,1,Female,[35:40),0.27139951931965245
2049.0,0,Female,[35:40),0.27139951931965245
2049.0,1,Female,[40:45),0.31156569630212433
2049.0,0,Female,[40:45),0.31156569630212433
2049.0,1,Female,[45:50),0.40297863155622704
2049.0,0,Female,[45:50),0.40297863155622704
2049.0,1,Female,[50:55),0.4796656122910077
2049.0,0,Female,[50:55),0.4796656122910077
2049.0,1,Female,[55:60),0.5412107950401167
2049.0,0,Female,[55:60),0.5412107950401167
2049.0,1,Female,[60:65),0.6282129742962056
2049.0,0,Female,[60:65),0.6282129742962056
2049.0,1,Female,[65:200),0.6338946224877784
2049.0,0,Female,[65:200),0.6338946224877784
2050.0,1,Male,[15:20),0.004859086491739553
2050.0,0,Male,[15:20),0.004859086491739553
2050.0,1,Male,[20:25),0.018754076973255054
2050.0,0,Male,[20:25),0.018754076973255054
2050.0,1,Male,[25:30),0.05067684831655675
2050.0,0,Male,[25:30),0.05067684831655675
2050.0,1,Male,[30:35),0.09536216779572694
2050.0,0,Male,[30:35),0.09536216779572694
2050.0,1,Male,[35:40),0.1440677966101695
2050.0,0,Male,[35:40),0.1440677966101695
2050.0,1,Male,[40:45),0.18379808670873193
2050.0,0,Male,[40:45),0.18379808670873193
2050.0,1,Male,[45:50),0.24055619930475086
2050.0,0,Male,[45:50),0.24055619930475086
2050.0,1,Male,[50:55),0.33442211055276383
2050.0,0,Male,[50:55),0.33442211055276383
2050.0,1,Male,[55:60),0.4321550741163056
2050.0,0,Male,[55:60),0.4321550741163056
2050.0,1,Male,[60:65),0.5378061767838126
2050.0,0,Male,[60:65),0.5378061767838126
2050.0,1,Male,[65:200),0.6044015029522276
2050.0,0,Male,[65:200),0.6044015029522276
2050.0,1,Female,[15:20),0.0350960774972209
2050.0,0,Female,[15:20),0.0350960774972209
2050.0,1,Female,[20:25),0.10111989459815547
2050.0,0,Female,[20:25),0.10111989459815547
2050.0,1,Female,[25:30),0.16740960871718671
2050.0,0,Female,[25:30),0.16740960871718671
2050.0,1,Female,[30:35),0.2254918446275433
2050.0,0,Female,[30:35),0.2254918446275433
2050.0,1,Female,[35:40),0.26476014760147604
2050.0,0,Female,[35:40),0.26476014760147604
2050.0,1,Female,[40:45),0.30524271844660195
2050.0,0,Female,[40:45),0.30524271844660195
2050.0,1,Female,[45:50),0.3907633909742725
2050.0,0,Female,[45:50),0.3907633909742725
2050.0,1,Female,[50:55),0.46129541864139023
2050.0,0,Female,[50:55),0.46129541864139023
2050.0,1,Female,[55:60),0.5353053435114504
2050.0,0,Female,[55:60),0.5353053435114504
2050.0,1,Female,[60:65),0.6126946811636791
2050.0,0,Female,[60:65),0.6126946811636791
2050.0,1,Female,[65:200),0.6442803160425971
2050.0,0,Female,[65:200),0.6442803160425971
