Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6071
2048.0,0,Male,[0:5),6071
2048.0,1,Male,[0:200),69018
2048.0,0,Male,[0:200),69018
2048.0,1,Male,[5:10),6058
2048.0,0,Male,[5:10),6058
2048.0,1,Male,[10:15),6230
2048.0,0,Male,[10:15),6230
2048.0,1,Male,[15:20),6019
2048.0,0,Male,[15:20),6019
2048.0,1,Male,[20:25),6043
2048.0,0,Male,[20:25),6043
2048.0,1,Male,[25:30),5794
2048.0,0,Male,[25:30),5794
2048.0,1,Male,[30:35),5462
2048.0,0,Male,[30:35),5462
2048.0,1,Male,[35:40),4972
2048.0,0,Male,[35:40),4972
2048.0,1,Male,[40:45),4565
2048.0,0,Male,[40:45),4565
2048.0,1,Male,[45:50),4213
2048.0,0,Male,[45:50),4213
2048.0,1,Male,[50:55),4108
2048.0,0,Male,[50:55),4108
2048.0,1,Male,[55:60),3535
2048.0,0,Male,[55:60),3535
2048.0,1,Male,[60:65),2731
2048.0,0,Male,[60:65),2731
2048.0,1,Male,[65:70),1554
2048.0,0,Male,[65:70),1554
2048.0,1,Male,[70:75),869
2048.0,0,Male,[70:75),869
2048.0,1,Male,[75:80),502
2048.0,0,Male,[75:80),502
2048.0,1,Female,[0:5),6175
2048.0,0,Female,[0:5),6175
2048.0,1,Female,[0:200),73761
2048.0,0,Female,[0:200),73761
2048.0,1,Female,[5:10),6187
2048.0,0,Female,[5:10),6187
2048.0,1,Female,[10:15),6254
2048.0,0,Female,[10:15),6254
2048.0,1,Female,[15:20),6170
2048.0,0,Female,[15:20),6170
2048.0,1,Female,[20:25),6049
2048.0,0,Female,[20:25),6049
2048.0,1,Female,[25:30),5791
2048.0,0,Female,[25:30),5791
2048.0,1,Female,[30:35),5692
2048.0,0,Female,[30:35),5692
2048.0,1,Female,[35:40),5387
2048.0,0,Female,[35:40),5387
2048.0,1,Female,[40:45),4871
2048.0,0,Female,[40:45),4871
2048.0,1,Female,[45:50),4564
2048.0,0,Female,[45:50),4564
2048.0,1,Female,[50:55),4378
2048.0,0,Female,[50:55),4378
2048.0,1,Female,[55:60),4015
2048.0,0,Female,[55:60),4015
2048.0,1,Female,[60:65),2990
2048.0,0,Female,[60:65),2990
2048.0,1,Female,[65:70),2017
2048.0,0,Female,[65:70),2017
2048.0,1,Female,[70:75),1294
2048.0,0,Female,[70:75),1294
2048.0,1,Female,[75:80),950
2048.0,0,Female,[75:80),950
2049.0,1,Male,[0:5),6066
2049.0,0,Male,[0:5),6066
2049.0,1,Male,[0:200),69698
2049.0,0,Male,[0:200),69698
2049.0,1,Male,[5:10),6090
2049.0,0,Male,[5:10),6090
2049.0,1,Male,[10:15),6164
2049.0,0,Male,[10:15),6164
2049.0,1,Male,[15:20),6056
2049.0,0,Male,[15:20),6056
2049.0,1,Male,[20:25),6045
2049.0,0,Male,[20:25),6045
2049.0,1,Male,[25:30),5780
2049.0,0,Male,[25:30),5780
2049.0,1,Male,[30:35),5565
2049.0,0,Male,[30:35),5565
2049.0,1,Male,[35:40),5061
2049.0,0,Male,[35:40),5061
2049.0,1,Male,[40:45),4628
2049.0,0,Male,[40:45),4628
2049.0,1,Male,[45:50),4259
2049.0,0,Male,[45:50),4259
2049.0,1,Male,[50:55),4070
2049.0,0,Male,[50:55),4070
2049.0,1,Male,[55:60),3614
2049.0,0,Male,[55:60),3614
2049.0,1,Male,[60:65),2834
2049.0,0,Male,[60:65),2834
2049.0,1,Male,[65:70),1720
2049.0,0,Male,[65:70),1720
2049.0,1,Male,[70:75),923
2049.0,0,Male,[70:75),923
2049.0,1,Male,[75:80),510
2049.0,0,Male,[75:80),510
2049.0,1,Female,[0:5),6077
2049.0,0,Female,[0:5),6077
2049.0,1,Female,[0:200),74509
2049.0,0,Female,[0:200),74509
2049.0,1,Female,[5:10),6200
2049.0,0,Female,[5:10),6200
2049.0,1,Female,[10:15),6326
2049.0,0,Female,[10:15),6326
2049.0,1,Female,[15:20),6089
2049.0,0,Female,[15:20),6089
2049.0,1,Female,[20:25),6130
2049.0,0,Female,[20:25),6130
2049.0,1,Female,[25:30),5803
2049.0,0,Female,[25:30),5803
2049.0,1,Female,[30:35),5718
2049.0,0,Female,[30:35),5718
2049.0,1,Female,[35:40),5468
2049.0,0,Female,[35:40),5468
2049.0,1,Female,[40:45),4922
2049.0,0,Female,[40:45),4922
2049.0,1,Female,[45:50),4591
2049.0,0,Female,[45:50),4591
2049.0,1,Female,[50:55),4428
2049.0,0,Female,[50:55),4428
2049.0,1,Female,[55:60),4077
2049.0,0,Female,[55:60),4077
2049.0,1,Female,[60:65),3169
2049.0,0,Female,[60:65),3169
2049.0,1,Female,[65:70),2185
2049.0,0,Female,[65:70),2185
2049.0,1,Female,[70:75),1345
2049.0,0,Female,[70:75),1345
2049.0,1,Female,[75:80),955
2049.0,0,Female,[75:80),955
2050.0,1,Male,[0:5),6059
2050.0,0,Male,[0:5),6059
2050.0,1,Male,[0:200),70394
2050.0,0,Male,[0:200),70394
2050.0,1,Male,[5:10),6107
2050.0,0,Male,[5:10),6107
2050.0,1,Male,[10:15),6168
2050.0,0,Male,[10:15),6168
2050.0,1,Male,[15:20),6047
2050.0,0,Male,[15:20),6047
2050.0,1,Male,[20:25),6001
2050.0,0,Male,[20:25),6001
2050.0,1,Male,[25:30),5833
2050.0,0,Male,[25:30),5833
2050.0,1,Male,[30:35),5696
2050.0,0,Male,[30:35),5696
2050.0,1,Male,[35:40),5075
2050.0,0,Male,[35:40),5075
2050.0,1,Male,[40:45),4758
2050.0,0,Male,[40:45),4758
2050.0,1,Male,[45:50),4267
2050.0,0,Male,[45:50),4267
2050.0,1,Male,[50:55),4020
2050.0,0,Male,[50:55),4020
2050.0,1,Male,[55:60),3640
2050.0,0,Male,[55:60),3640
2050.0,1,Male,[60:65),2992
2050.0,0,Male,[60:65),2992
2050.0,1,Male,[65:70),1877
2050.0,0,Male,[65:70),1877
2050.0,1,Male,[70:75),988
2050.0,0,Male,[70:75),988
2050.0,1,Male,[75:80),523
2050.0,0,Male,[75:80),523
2050.0,1,Female,[0:5),6056
2050.0,0,Female,[0:5),6056
2050.0,1,Female,[0:200),75291
2050.0,0,Female,[0:200),75291
2050.0,1,Female,[5:10),6126
2050.0,0,Female,[5:10),6126
2050.0,1,Female,[10:15),6402
2050.0,0,Female,[10:15),6402
2050.0,1,Female,[15:20),5995
2050.0,0,Female,[15:20),5995
2050.0,1,Female,[20:25),6191
2050.0,0,Female,[20:25),6191
2050.0,1,Female,[25:30),5878
2050.0,0,Female,[25:30),5878
2050.0,1,Female,[30:35),5720
2050.0,0,Female,[30:35),5720
2050.0,1,Female,[35:40),5464
2050.0,0,Female,[35:40),5464
2050.0,1,Female,[40:45),5028
2050.0,0,Female,[40:45),5028
2050.0,1,Female,[45:50),4651
2050.0,0,Female,[45:50),4651
2050.0,1,Female,[50:55),4445
2050.0,0,Female,[50:55),4445
2050.0,1,Female,[55:60),4192
2050.0,0,Female,[55:60),4192
2050.0,1,Female,[60:65),3355
2050.0,0,Female,[60:65),3355
2050.0,1,Female,[65:70),2327
2050.0,0,Female,[65:70),2327
2050.0,1,Female,[70:75),1409
2050.0,0,Female,[70:75),1409
2050.0,1,Female,[75:80),990
2050.0,0,Female,[75:80),990
2039.0,1,Male,[0:5),6127
2039.0,0,Male,[0:5),6127
2039.0,1,Male,[0:200),62373
2039.0,0,Male,[0:200),62373
2039.0,1,Male,[5:10),6018
2039.0,0,Male,[5:10),6018
2039.0,1,Male,[10:15),6200
2039.0,0,Male,[10:15),6200
2039.0,1,Male,[15:20),5974
2039.0,0,Male,[15:20),5974
2039.0,1,Male,[20:25),5680
2039.0,0,Male,[20:25),5680
