Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6270
2048.0,0,Male,[0:5),6270
2048.0,1,Male,[0:200),69444
2048.0,0,Male,[0:200),69444
2048.0,1,Male,[5:10),6073
2048.0,0,Male,[5:10),6073
2048.0,1,Male,[10:15),6225
2048.0,0,Male,[10:15),6225
2048.0,1,Male,[15:20),6067
2048.0,0,Male,[15:20),6067
2048.0,1,Male,[20:25),6053
2048.0,0,Male,[20:25),6053
2048.0,1,Male,[25:30),5890
2048.0,0,Male,[25:30),5890
2048.0,1,Male,[30:35),5501
2048.0,0,Male,[30:35),5501
2048.0,1,Male,[35:40),5122
2048.0,0,Male,[35:40),5122
2048.0,1,Male,[40:45),4695
2048.0,0,Male,[40:45),4695
2048.0,1,Male,[45:50),4299
2048.0,0,Male,[45:50),4299
2048.0,1,Male,[50:55),3984
2048.0,0,Male,[50:55),3984
2048.0,1,Male,[55:60),3434
2048.0,0,Male,[55:60),3434
2048.0,1,Male,[60:65),2547
2048.0,0,Male,[60:65),2547
2048.0,1,Male,[65:70),1606
2048.0,0,Male,[65:70),1606
2048.0,1,Male,[70:75),899
2048.0,0,Male,[70:75),899
2048.0,1,Male,[75:80),468
2048.0,0,Male,[75:80),468
2048.0,1,Female,[0:5),6232
2048.0,0,Female,[0:5),6232
2048.0,1,Female,[0:200),74176
2048.0,0,Female,[0:200),74176
2048.0,1,Female,[5:10),6092
2048.0,0,Female,[5:10),6092
2048.0,1,Female,[10:15),6233
2048.0,0,Female,[10:15),6233
2048.0,1,Female,[15:20),6228
2048.0,0,Female,[15:20),6228
2048.0,1,Female,[20:25),6159
2048.0,0,Female,[20:25),6159
2048.0,1,Female,[25:30),5878
2048.0,0,Female,[25:30),5878
2048.0,1,Female,[30:35),5795
2048.0,0,Female,[30:35),5795
2048.0,1,Female,[35:40),5300
2048.0,0,Female,[35:40),5300
2048.0,1,Female,[40:45),4950
2048.0,0,Female,[40:45),4950
2048.0,1,Female,[45:50),4696
2048.0,0,Female,[45:50),4696
2048.0,1,Female,[50:55),4332
2048.0,0,Female,[50:55),4332
2048.0,1,Female,[55:60),3949
2048.0,0,Female,[55:60),3949
2048.0,1,Female,[60:65),3071
2048.0,0,Female,[60:65),3071
2048.0,1,Female,[65:70),2032
2048.0,0,Female,[65:70),2032
2048.0,1,Female,[70:75),1311
2048.0,0,Female,[70:75),1311
2048.0,1,Female,[75:80),950
2048.0,0,Female,[75:80),950
2049.0,1,Male,[0:5),6182
2049.0,0,Male,[0:5),6182
2049.0,1,Male,[0:200),70074
2049.0,0,Male,[0:200),70074
2049.0,1,Male,[5:10),6089
2049.0,0,Male,[5:10),6089
2049.0,1,Male,[10:15),6214
2049.0,0,Male,[10:15),6214
2049.0,1,Male,[15:20),6124
2049.0,0,Male,[15:20),6124
2049.0,1,Male,[20:25),6020
2049.0,0,Male,[20:25),6020
2049.0,1,Male,[25:30),5905
2049.0,0,Male,[25:30),5905
2049.0,1,Male,[30:35),5633
2049.0,0,Male,[30:35),5633
2049.0,1,Male,[35:40),5110
2049.0,0,Male,[35:40),5110
2049.0,1,Male,[40:45),4832
2049.0,0,Male,[40:45),4832
2049.0,1,Male,[45:50),4338
2049.0,0,Male,[45:50),4338
2049.0,1,Male,[50:55),4008
2049.0,0,Male,[50:55),4008
2049.0,1,Male,[55:60),3486
2049.0,0,Male,[55:60),3486
2049.0,1,Male,[60:65),2637
2049.0,0,Male,[60:65),2637
2049.0,1,Male,[65:70),1712
2049.0,0,Male,[65:70),1712
2049.0,1,Male,[70:75),977
2049.0,0,Male,[70:75),977
2049.0,1,Male,[75:80),492
2049.0,0,Male,[75:80),492
2049.0,1,Female,[0:5),6145
2049.0,0,Female,[0:5),6145
2049.0,1,Female,[0:200),74885
2049.0,0,Female,[0:200),74885
2049.0,1,Female,[5:10),6138
2049.0,0,Female,[5:10),6138
2049.0,1,Female,[10:15),6210
2049.0,0,Female,[10:15),6210
2049.0,1,Female,[15:20),6129
2049.0,0,Female,[15:20),6129
2049.0,1,Female,[20:25),6215
2049.0,0,Female,[20:25),6215
2049.0,1,Female,[25:30),5926
2049.0,0,Female,[25:30),5926
2049.0,1,Female,[30:35),5813
2049.0,0,Female,[30:35),5813
2049.0,1,Female,[35:40),5373
2049.0,0,Female,[35:40),5373
2049.0,1,Female,[40:45),5064
2049.0,0,Female,[40:45),5064
2049.0,1,Female,[45:50),4681
2049.0,0,Female,[45:50),4681
2049.0,1,Female,[50:55),4381
2049.0,0,Female,[50:55),4381
2049.0,1,Female,[55:60),4055
2049.0,0,Female,[55:60),4055
2049.0,1,Female,[60:65),3223
2049.0,0,Female,[60:65),3223
2049.0,1,Female,[65:70),2211
2049.0,0,Female,[65:70),2211
2049.0,1,Female,[70:75),1358
2049.0,0,Female,[70:75),1358
2049.0,1,Female,[75:80),949
2049.0,0,Female,[75:80),949
2050.0,1,Male,[0:5),6256
2050.0,0,Male,[0:5),6256
2050.0,1,Male,[0:200),70734
2050.0,0,Male,[0:200),70734
2050.0,1,Male,[5:10),6043
2050.0,0,Male,[5:10),6043
2050.0,1,Male,[10:15),6206
2050.0,0,Male,[10:15),6206
2050.0,1,Male,[15:20),6090
2050.0,0,Male,[15:20),6090
2050.0,1,Male,[20:25),6036
2050.0,0,Male,[20:25),6036
2050.0,1,Male,[25:30),5963
2050.0,0,Male,[25:30),5963
2050.0,1,Male,[30:35),5655
2050.0,0,Male,[30:35),5655
