Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6143
2048.0,0,Male,[0:5),6143
2048.0,1,Male,[0:200),67698
2048.0,0,Male,[0:200),67698
2048.0,1,Male,[5:10),5893
2048.0,0,Male,[5:10),5893
2048.0,1,Male,[10:15),6074
2048.0,0,Male,[10:15),6074
2048.0,1,Male,[15:20),5967
2048.0,0,Male,[15:20),5967
2048.0,1,Male,[20:25),5877
2048.0,0,Male,[20:25),5877
2048.0,1,Male,[25:30),5619
2048.0,0,Male,[25:30),5619
2048.0,1,Male,[30:35),5383
2048.0,0,Male,[30:35),5383
2048.0,1,Male,[35:40),5037
2048.0,0,Male,[35:40),5037
2048.0,1,Male,[40:45),4539
2048.0,0,Male,[40:45),4539
2048.0,1,Male,[45:50),4234
2048.0,0,Male,[45:50),4234
2048.0,1,Male,[50:55),3819
2048.0,0,Male,[50:55),3819
2048.0,1,Male,[55:60),3340
2048.0,0,Male,[55:60),3340
2048.0,1,Male,[60:65),2542
2048.0,0,Male,[60:65),2542
2048.0,1,Male,[65:70),1552
2048.0,0,Male,[65:70),1552
2048.0,1,Male,[70:75),855
2048.0,0,Male,[70:75),855
2048.0,1,Male,[75:80),492
2048.0,0,Male,[75:80),492
2048.0,1,Female,[0:5),6071
2048.0,0,Female,[0:5),6071
2048.0,1,Female,[0:200),72505
2048.0,0,Female,[0:200),72505
2048.0,1,Female,[5:10),5984
2048.0,0,Female,[5:10),5984
2048.0,1,Female,[10:15),6191
2048.0,0,Female,[10:15),6191
2048.0,1,Female,[15:20),6060
2048.0,0,Female,[15:20),6060
2048.0,1,Female,[20:25),6057
2048.0,0,Female,[20:25),6057
2048.0,1,Female,[25:30),5887
2048.0,0,Female,[25:30),5887
2048.0,1,Female,[30:35),5550
2048.0,0,Female,[30:35),5550
2048.0,1,Female,[35:40),5083
2048.0,0,Female,[35:40),5083
2048.0,1,Female,[40:45),4836
2048.0,0,Female,[40:45),4836
2048.0,1,Female,[45:50),4476
2048.0,0,Female,[45:50),4476
2048.0,1,Female,[50:55),4329
2048.0,0,Female,[50:55),4329
2048.0,1,Female,[55:60),3890
2048.0,0,Female,[55:60),3890
2048.0,1,Female,[60:65),3092
2048.0,0,Female,[60:65),3092
2048.0,1,Female,[65:70),1879
2048.0,0,Female,[65:70),1879
2048.0,1,Female,[70:75),1310
2048.0,0,Female,[70:75),1310
2048.0,1,Female,[75:80),908
2048.0,0,Female,[75:80),908
2049.0,1,Male,[0:5),6118
2049.0,0,Male,[0:5),6118
2049.0,1,Male,[0:200),68372
2049.0,0,Male,[0:200),68372
2049.0,1,Male,[5:10),5905
2049.0,0,Male,[5:10),5905
2049.0,1,Male,[10:15),6078
2049.0,0,Male,[10:15),6078
2049.0,1,Male,[15:20),5947
2049.0,0,Male,[15:20),5947
2049.0,1,Male,[20:25),5903
2049.0,0,Male,[20:25),5903
2049.0,1,Male,[25:30),5668
2049.0,0,Male,[25:30),5668
2049.0,1,Male,[30:35),5458
2049.0,0,Male,[30:35),5458
2049.0,1,Male,[35:40),5059
2049.0,0,Male,[35:40),5059
2049.0,1,Male,[40:45),4610
2049.0,0,Male,[40:45),4610
2049.0,1,Male,[45:50),4257
2049.0,0,Male,[45:50),4257
2049.0,1,Male,[50:55),3877
2049.0,0,Male,[50:55),3877
2049.0,1,Male,[55:60),3390
2049.0,0,Male,[55:60),3390
2049.0,1,Male,[60:65),2697
2049.0,0,Male,[60:65),2697
2049.0,1,Male,[65:70),1636
2049.0,0,Male,[65:70),1636
2049.0,1,Male,[70:75),902
2049.0,0,Male,[70:75),902
2049.0,1,Male,[75:80),522
2049.0,0,Male,[75:80),522
2049.0,1,Female,[0:5),6015
2049.0,0,Female,[0:5),6015
2049.0,1,Female,[0:200),73271
2049.0,0,Female,[0:200),73271
2049.0,1,Female,[5:10),6004
2049.0,0,Female,[5:10),6004
2049.0,1,Female,[10:15),6187
2049.0,0,Female,[10:15),6187
2049.0,1,Female,[15:20),6055
2049.0,0,Female,[15:20),6055
2049.0,1,Female,[20:25),6076
