Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5923
2048.0,0,Male,[0:5),5923
2048.0,1,Male,[0:200),66944
2048.0,0,Male,[0:200),66944
2048.0,1,Male,[5:10),5875
2048.0,0,Male,[5:10),5875
2048.0,1,Male,[10:15),6046
2048.0,0,Male,[10:15),6046
2048.0,1,Male,[15:20),5862
2048.0,0,Male,[15:20),5862
2048.0,1,Male,[20:25),5854
2048.0,0,Male,[20:25),5854
2048.0,1,Male,[25:30),5521
2048.0,0,Male,[25:30),5521
2048.0,1,Male,[30:35),5349
2048.0,0,Male,[30:35),5349
2048.0,1,Male,[35:40),5016
2048.0,0,Male,[35:40),5016
2048.0,1,Male,[40:45),4575
2048.0,0,Male,[40:45),4575
2048.0,1,Male,[45:50),4080
2048.0,0,Male,[45:50),4080
2048.0,1,Male,[50:55),3777
2048.0,0,Male,[50:55),3777
2048.0,1,Male,[55:60),3338
2048.0,0,Male,[55:60),3338
2048.0,1,Male,[60:65),2544
2048.0,0,Male,[60:65),2544
2048.0,1,Male,[65:70),1554
2048.0,0,Male,[65:70),1554
2048.0,1,Male,[70:75),867
2048.0,0,Male,[70:75),867
2048.0,1,Male,[75:80),473
2048.0,0,Male,[75:80),473
2048.0,1,Female,[0:5),6060
2048.0,0,Female,[0:5),6060
2048.0,1,Female,[0:200),71614
2048.0,0,Female,[0:200),71614
2048.0,1,Female,[5:10),6051
2048.0,0,Female,[5:10),6051
2048.0,1,Female,[10:15),6108
2048.0,0,Female,[10:15),6108
2048.0,1,Female,[15:20),5950
2048.0,0,Female,[15:20),5950
2048.0,1,Female,[20:25),5855
2048.0,0,Female,[20:25),5855
2048.0,1,Female,[25:30),5728
2048.0,0,Female,[25:30),5728
2048.0,1,Female,[30:35),5487
2048.0,0,Female,[30:35),5487
2048.0,1,Female,[35:40),5175
2048.0,0,Female,[35:40),5175
2048.0,1,Female,[40:45),4852
2048.0,0,Female,[40:45),4852
2048.0,1,Female,[45:50),4378
2048.0,0,Female,[45:50),4378
2048.0,1,Female,[50:55),4254
2048.0,0,Female,[50:55),4254
2048.0,1,Female,[55:60),3838
2048.0,0,Female,[55:60),3838
2048.0,1,Female,[60:65),2972
2048.0,0,Female,[60:65),2972
2048.0,1,Female,[65:70),1925
2048.0,0,Female,[65:70),1925
2048.0,1,Female,[70:75),1259
2048.0,0,Female,[70:75),1259
2048.0,1,Female,[75:80),847
2048.0,0,Female,[75:80),847
2049.0,1,Male,[0:5),5888
2049.0,0,Male,[0:5),5888
2049.0,1,Male,[0:200),67553
2049.0,0,Male,[0:200),67553
2049.0,1,Male,[5:10),5892
2049.0,0,Male,[5:10),5892
2049.0,1,Male,[10:15),6012
2049.0,0,Male,[10:15),6012
2049.0,1,Male,[15:20),5858
2049.0,0,Male,[15:20),5858
2049.0,1,Male,[20:25),5864
2049.0,0,Male,[20:25),5864
2049.0,1,Male,[25:30),5610
2049.0,0,Male,[25:30),5610
2049.0,1,Male,[30:35),5379
2049.0,0,Male,[30:35),5379
2049.0,1,Male,[35:40),5060
2049.0,0,Male,[35:40),5060
2049.0,1,Male,[40:45),4669
2049.0,0,Male,[40:45),4669
2049.0,1,Male,[45:50),4072
2049.0,0,Male,[45:50),4072
2049.0,1,Male,[50:55),3809
2049.0,0,Male,[50:55),3809
2049.0,1,Male,[55:60),3353
2049.0,0,Male,[55:60),3353
2049.0,1,Male,[60:65),2682
2049.0,0,Male,[60:65),2682
2049.0,1,Male,[65:70),1681
2049.0,0,Male,[65:70),1681
2049.0,1,Male,[70:75),936
2049.0,0,Male,[70:75),936
2049.0,1,Male,[75:80),484
2049.0,0,Male,[75:80),484
2049.0,1,Female,[0:5),6016
2049.0,0,Female,[0:5),6016
2049.0,1,Female,[0:200),72352
2049.0,0,Female,[0:200),72352
2049.0,1,Female,[5:10),5995
2049.0,0,Female,[5:10),5995
2049.0,1,Female,[10:15),6168
2049.0,0,Female,[10:15),6168
2049.0,1,Female,[15:20),5962
2049.0,0,Female,[15:20),5962
2049.0,1,Female,[20:25),5845
2049.0,0,Female,[20:25),5845
2049.0,1,Female,[25:30),5736
2049.0,0,Female,[25:30),5736
2049.0,1,Female,[30:35),5617
2049.0,0,Female,[30:35),5617
2049.0,1,Female,[35:40),5180
2049.0,0,Female,[35:40),5180
2049.0,1,Female,[40:45),4931
2049.0,0,Female,[40:45),4931
2049.0,1,Female,[45:50),4422
2049.0,0,Female,[45:50),4422
2049.0,1,Female,[50:55),4222
2049.0,0,Female,[50:55),4222
2049.0,1,Female,[55:60),3952
2049.0,0,Female,[55:60),3952
2049.0,1,Female,[60:65),3143
2049.0,0,Female,[60:65),3143
2049.0,1,Female,[65:70),2068
2049.0,0,Female,[65:70),2068
2049.0,1,Female,[70:75),1328
2049.0,0,Female,[70:75),1328
2049.0,1,Female,[75:80),873
2049.0,0,Female,[75:80),873
2050.0,1,Male,[0:5),5900
2050.0,0,Male,[0:5),5900
2050.0,1,Male,[0:200),68167
2050.0,0,Male,[0:200),68167
2050.0,1,Male,[5:10),5903
2050.0,0,Male,[5:10),5903
2050.0,1,Male,[10:15),5997
2050.0,0,Male,[10:15),5997
2050.0,1,Male,[15:20),5866
2050.0,0,Male,[15:20),5866
2050.0,1,Male,[20:25),5938
2050.0,0,Male,[20:25),5938
2050.0,1,Male,[25:30),5558
2050.0,0,Male,[25:30),5558
2050.0,1,Male,[30:35),5417
2050.0,0,Male,[30:35),5417
2050.0,1,Male,[35:40),5129
2050.0,0,Male,[35:40),5129
2050.0,1,Male,[40:45),4705
2050.0,0,Male,[40:45),4705
2050.0,1,Male,[45:50),4169
2050.0,0,Male,[45:50),4169
2050.0,1,Male,[50:55),3830
2050.0,0,Male,[50:55),3830
2050.0,1,Male,[55:60),3388
2050.0,0,Male,[55:60),3388
2050.0,1,Male,[60:65),2789
2050.0,0,Male,[60:65),2789
2050.0,1,Male,[65:70),1791
