Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6202
2048.0,0,Male,[0:5),6202
2048.0,1,Male,[0:200),69118
2048.0,0,Male,[0:200),69118
2048.0,1,Male,[5:10),6043
2048.0,0,Male,[5:10),6043
2048.0,1,Male,[10:15),6139
2048.0,0,Male,[10:15),6139
2048.0,1,Male,[15:20),6216
2048.0,0,Male,[15:20),6216
2048.0,1,Male,[20:25),6090
2048.0,0,Male,[20:25),6090
2048.0,1,Male,[25:30),5770
2048.0,0,Male,[25:30),5770
2048.0,1,Male,[30:35),5493
2048.0,0,Male,[30:35),5493
2048.0,1,Male,[35:40),5086
2048.0,0,Male,[35:40),5086
2048.0,1,Male,[40:45),4620
2048.0,0,Male,[40:45),4620
2048.0,1,Male,[45:50),4160
2048.0,0,Male,[45:50),4160
2048.0,1,Male,[50:55),4048
2048.0,0,Male,[50:55),4048
2048.0,1,Male,[55:60),3451
2048.0,0,Male,[55:60),3451
2048.0,1,Male,[60:65),2589
2048.0,0,Male,[60:65),2589
2048.0,1,Male,[65:70),1593
2048.0,0,Male,[65:70),1593
2048.0,1,Male,[70:75),868
2048.0,0,Male,[70:75),868
2048.0,1,Male,[75:80),452
2048.0,0,Male,[75:80),452
2048.0,1,Female,[0:5),6219
2048.0,0,Female,[0:5),6219
2048.0,1,Female,[0:200),73740
2048.0,0,Female,[0:200),73740
2048.0,1,Female,[5:10),6038
2048.0,0,Female,[5:10),6038
2048.0,1,Female,[10:15),6331
2048.0,0,Female,[10:15),6331
2048.0,1,Female,[15:20),6083
2048.0,0,Female,[15:20),6083
2048.0,1,Female,[20:25),6201
2048.0,0,Female,[20:25),6201
2048.0,1,Female,[25:30),5852
2048.0,0,Female,[25:30),5852
2048.0,1,Female,[30:35),5604
2048.0,0,Female,[30:35),5604
2048.0,1,Female,[35:40),5360
2048.0,0,Female,[35:40),5360
2048.0,1,Female,[40:45),4970
2048.0,0,Female,[40:45),4970
2048.0,1,Female,[45:50),4586
2048.0,0,Female,[45:50),4586
2048.0,1,Female,[50:55),4447
2048.0,0,Female,[50:55),4447
2048.0,1,Female,[55:60),3875
2048.0,0,Female,[55:60),3875
2048.0,1,Female,[60:65),3034
2048.0,0,Female,[60:65),3034
2048.0,1,Female,[65:70),2031
2048.0,0,Female,[65:70),2031
2048.0,1,Female,[70:75),1311
2048.0,0,Female,[70:75),1311
2048.0,1,Female,[75:80),921
2048.0,0,Female,[75:80),921
2049.0,1,Male,[0:5),6206
2049.0,0,Male,[0:5),6206
2049.0,1,Male,[0:200),69782
2049.0,0,Male,[0:200),69782
2049.0,1,Male,[5:10),6064
2049.0,0,Male,[5:10),6064
2049.0,1,Male,[10:15),6128
2049.0,0,Male,[10:15),6128
2049.0,1,Male,[15:20),6194
2049.0,0,Male,[15:20),6194
2049.0,1,Male,[20:25),6188
2049.0,0,Male,[20:25),6188
2049.0,1,Male,[25:30),5774
2049.0,0,Male,[25:30),5774
2049.0,1,Male,[30:35),5565
2049.0,0,Male,[30:35),5565
2049.0,1,Male,[35:40),5148
2049.0,0,Male,[35:40),5148
2049.0,1,Male,[40:45),4688
2049.0,0,Male,[40:45),4688
2049.0,1,Male,[45:50),4246
2049.0,0,Male,[45:50),4246
2049.0,1,Male,[50:55),3986
2049.0,0,Male,[50:55),3986
2049.0,1,Male,[55:60),3516
2049.0,0,Male,[55:60),3516
2049.0,1,Male,[60:65),2682
2049.0,0,Male,[60:65),2682
2049.0,1,Male,[65:70),1708
2049.0,0,Male,[65:70),1708
2049.0,1,Male,[70:75),910
2049.0,0,Male,[70:75),910
2049.0,1,Male,[75:80),461
2049.0,0,Male,[75:80),461
2049.0,1,Female,[0:5),6168
2049.0,0,Female,[0:5),6168
2049.0,1,Female,[0:200),74486
