Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6246
2048.0,0,Male,[0:5),6246
2048.0,1,Male,[0:200),69214
2048.0,0,Male,[0:200),69214
2048.0,1,Male,[5:10),5923
2048.0,0,Male,[5:10),5923
2048.0,1,Male,[10:15),6258
2048.0,0,Male,[10:15),6258
2048.0,1,Male,[15:20),6077
2048.0,0,Male,[15:20),6077
2048.0,1,Male,[20:25),5992
2048.0,0,Male,[20:25),5992
2048.0,1,Male,[25:30),5709
2048.0,0,Male,[25:30),5709
2048.0,1,Male,[30:35),5512
2048.0,0,Male,[30:35),5512
2048.0,1,Male,[35:40),5111
2048.0,0,Male,[35:40),5111
2048.0,1,Male,[40:45),4817
2048.0,0,Male,[40:45),4817
2048.0,1,Male,[45:50),4311
2048.0,0,Male,[45:50),4311
2048.0,1,Male,[50:55),3967
2048.0,0,Male,[50:55),3967
2048.0,1,Male,[55:60),3463
2048.0,0,Male,[55:60),3463
2048.0,1,Male,[60:65),2604
2048.0,0,Male,[60:65),2604
2048.0,1,Male,[65:70),1597
2048.0,0,Male,[65:70),1597
2048.0,1,Male,[70:75),869
2048.0,0,Male,[70:75),869
2048.0,1,Male,[75:80),458
2048.0,0,Male,[75:80),458
2048.0,1,Female,[0:5),6191
2048.0,0,Female,[0:5),6191
2048.0,1,Female,[0:200),73740
2048.0,0,Female,[0:200),73740
2048.0,1,Female,[5:10),6118
2048.0,0,Female,[5:10),6118
2048.0,1,Female,[10:15),6274
2048.0,0,Female,[10:15),6274
2048.0,1,Female,[15:20),6109
2048.0,0,Female,[15:20),6109
2048.0,1,Female,[20:25),6090
2048.0,0,Female,[20:25),6090
2048.0,1,Female,[25:30),5943
2048.0,0,Female,[25:30),5943
2048.0,1,Female,[30:35),5614
2048.0,0,Female,[30:35),5614
2048.0,1,Female,[35:40),5324
2048.0,0,Female,[35:40),5324
2048.0,1,Female,[40:45),5003
2048.0,0,Female,[40:45),5003
2048.0,1,Female,[45:50),4531
2048.0,0,Female,[45:50),4531
2048.0,1,Female,[50:55),4408
2048.0,0,Female,[50:55),4408
2048.0,1,Female,[55:60),3823
2048.0,0,Female,[55:60),3823
2048.0,1,Female,[60:65),2965
2048.0,0,Female,[60:65),2965
2048.0,1,Female,[65:70),2071
2048.0,0,Female,[65:70),2071
2048.0,1,Female,[70:75),1414
2048.0,0,Female,[70:75),1414
2048.0,1,Female,[75:80),944
2048.0,0,Female,[75:80),944
2049.0,1,Male,[0:5),6203
2049.0,0,Male,[0:5),6203
2049.0,1,Male,[0:200),69820
2049.0,0,Male,[0:200),69820
2049.0,1,Male,[5:10),5955
2049.0,0,Male,[5:10),5955
2049.0,1,Male,[10:15),6264
2049.0,0,Male,[10:15),6264
2049.0,1,Male,[15:20),6016
2049.0,0,Male,[15:20),6016
2049.0,1,Male,[20:25),6010
2049.0,0,Male,[20:25),6010
2049.0,1,Male,[25:30),5826
2049.0,0,Male,[25:30),5826
2049.0,1,Male,[30:35),5553
2049.0,0,Male,[30:35),5553
2049.0,1,Male,[35:40),5118
2049.0,0,Male,[35:40),5118
2049.0,1,Male,[40:45),4869
2049.0,0,Male,[40:45),4869
2049.0,1,Male,[45:50),4332
2049.0,0,Male,[45:50),4332
2049.0,1,Male,[50:55),4008
2049.0,0,Male,[50:55),4008
2049.0,1,Male,[55:60),3524
2049.0,0,Male,[55:60),3524
2049.0,1,Male,[60:65),2728
2049.0,0,Male,[60:65),2728
2049.0,1,Male,[65:70),1682
2049.0,0,Male,[65:70),1682
2049.0,1,Male,[70:75),930
2049.0,0,Male,[70:75),930
2049.0,1,Male,[75:80),475
2049.0,0,Male,[75:80),475
2049.0,1,Female,[0:5),6170
2049.0,0,Female,[0:5),6170
2049.0,1,Female,[0:200),74575
2049.0,0,Female,[0:200),74575
2049.0,1,Female,[5:10),6142
2049.0,0,Female,[5:10),6142
2049.0,1,Female,[10:15),6289
2049.0,0,Female,[10:15),6289
2049.0,1,Female,[15:20),6054
2049.0,0,Female,[15:20),6054
2049.0,1,Female,[20:25),6181
2049.0,0,Female,[20:25),6181
2049.0,1,Female,[25:30),5920
2049.0,0,Female,[25:30),5920
2049.0,1,Female,[30:35),5671
2049.0,0,Female,[30:35),5671
2049.0,1,Female,[35:40),5394
2049.0,0,Female,[35:40),5394
2049.0,1,Female,[40:45),5059
2049.0,0,Female,[40:45),5059
2049.0,1,Female,[45:50),4588
2049.0,0,Female,[45:50),4588
2049.0,1,Female,[50:55),4450
2049.0,0,Female,[50:55),4450
2049.0,1,Female,[55:60),3931
2049.0,0,Female,[55:60),3931
2049.0,1,Female,[60:65),3129
2049.0,0,Female,[60:65),3129
2049.0,1,Female,[65:70),2164
2049.0,0,Female,[65:70),2164
2049.0,1,Female,[70:75),1463
2049.0,0,Female,[70:75),1463
2049.0,1,Female,[75:80),982
2049.0,0,Female,[75:80),982
2050.0,1,Male,[0:5),6175
2050.0,0,Male,[0:5),6175
2050.0,1,Male,[0:200),70509
2050.0,0,Male,[0:200),70509
2050.0,1,Male,[5:10),6021
2050.0,0,Male,[5:10),6021
2050.0,1,Male,[10:15),6220
2050.0,0,Male,[10:15),6220
2050.0,1,Male,[15:20),6064
2050.0,0,Male,[15:20),6064
2050.0,1,Male,[20:25),5998
