Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6202
2048.0,0,Male,[0:5),6202
2048.0,1,Male,[0:200),69081
2048.0,0,Male,[0:200),69081
2048.0,1,Male,[5:10),5943
2048.0,0,Male,[5:10),5943
2048.0,1,Male,[10:15),6191
2048.0,0,Male,[10:15),6191
2048.0,1,Male,[15:20),6110
2048.0,0,Male,[15:20),6110
2048.0,1,Male,[20:25),5980
2048.0,0,Male,[20:25),5980
2048.0,1,Male,[25:30),5744
2048.0,0,Male,[25:30),5744
2048.0,1,Male,[30:35),5606
2048.0,0,Male,[30:35),5606
2048.0,1,Male,[35:40),5186
2048.0,0,Male,[35:40),5186
2048.0,1,Male,[40:45),4755
2048.0,0,Male,[40:45),4755
2048.0,1,Male,[45:50),4210
2048.0,0,Male,[45:50),4210
2048.0,1,Male,[50:55),3905
2048.0,0,Male,[50:55),3905
2048.0,1,Male,[55:60),3428
2048.0,0,Male,[55:60),3428
2048.0,1,Male,[60:65),2500
2048.0,0,Male,[60:65),2500
2048.0,1,Male,[65:70),1604
2048.0,0,Male,[65:70),1604
2048.0,1,Male,[70:75),928
2048.0,0,Male,[70:75),928
2048.0,1,Male,[75:80),492
2048.0,0,Male,[75:80),492
2048.0,1,Female,[0:5),6330
2048.0,0,Female,[0:5),6330
2048.0,1,Female,[0:200),74268
2048.0,0,Female,[0:200),74268
2048.0,1,Female,[5:10),6249
2048.0,0,Female,[5:10),6249
2048.0,1,Female,[10:15),6281
2048.0,0,Female,[10:15),6281
2048.0,1,Female,[15:20),6035
2048.0,0,Female,[15:20),6035
2048.0,1,Female,[20:25),6115
2048.0,0,Female,[20:25),6115
2048.0,1,Female,[25:30),5946
2048.0,0,Female,[25:30),5946
2048.0,1,Female,[30:35),5726
2048.0,0,Female,[30:35),5726
2048.0,1,Female,[35:40),5486
2048.0,0,Female,[35:40),5486
2048.0,1,Female,[40:45),4913
2048.0,0,Female,[40:45),4913
2048.0,1,Female,[45:50),4484
2048.0,0,Female,[45:50),4484
2048.0,1,Female,[50:55),4407
2048.0,0,Female,[50:55),4407
2048.0,1,Female,[55:60),3974
2048.0,0,Female,[55:60),3974
2048.0,1,Female,[60:65),3090
2048.0,0,Female,[60:65),3090
2048.0,1,Female,[65:70),2067
2048.0,0,Female,[65:70),2067
2048.0,1,Female,[70:75),1329
2048.0,0,Female,[70:75),1329
2048.0,1,Female,[75:80),930
2048.0,0,Female,[75:80),930
2049.0,1,Male,[0:5),6214
2049.0,0,Male,[0:5),6214
2049.0,1,Male,[0:200),69750
2049.0,0,Male,[0:200),69750
2049.0,1,Male,[5:10),5937
2049.0,0,Male,[5:10),5937
2049.0,1,Male,[10:15),6162
2049.0,0,Male,[10:15),6162
2049.0,1,Male,[15:20),6157
2049.0,0,Male,[15:20),6157
2049.0,1,Male,[20:25),5934
2049.0,0,Male,[20:25),5934
2049.0,1,Male,[25:30),5798
2049.0,0,Male,[25:30),5798
2049.0,1,Male,[30:35),5630
2049.0,0,Male,[30:35),5630
2049.0,1,Male,[35:40),5314
2049.0,0,Male,[35:40),5314
2049.0,1,Male,[40:45),4723
2049.0,0,Male,[40:45),4723
2049.0,1,Male,[45:50),4329
2049.0,0,Male,[45:50),4329
2049.0,1,Male,[50:55),3925
2049.0,0,Male,[50:55),3925
2049.0,1,Male,[55:60),3536
2049.0,0,Male,[55:60),3536
2049.0,1,Male,[60:65),2581
2049.0,0,Male,[60:65),2581
2049.0,1,Male,[65:70),1667
2049.0,0,Male,[65:70),1667
2049.0,1,Male,[70:75),1016
2049.0,0,Male,[70:75),1016
2049.0,1,Male,[75:80),505
2049.0,0,Male,[75:80),505
2049.0,1,Female,[0:5),6253
2049.0,0,Female,[0:5),6253
2049.0,1,Female,[0:200),75078
