Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6125
2048.0,0,Male,[0:5),6125
2048.0,1,Male,[0:200),70427
2048.0,0,Male,[0:200),70427
2048.0,1,Male,[5:10),6204
2048.0,0,Male,[5:10),6204
2048.0,1,Male,[10:15),6295
2048.0,0,Male,[10:15),6295
2048.0,1,Male,[15:20),6182
2048.0,0,Male,[15:20),6182
2048.0,1,Male,[20:25),6062
2048.0,0,Male,[20:25),6062
2048.0,1,Male,[25:30),5881
2048.0,0,Male,[25:30),5881
2048.0,1,Male,[30:35),5682
2048.0,0,Male,[30:35),5682
2048.0,1,Male,[35:40),5387
2048.0,0,Male,[35:40),5387
2048.0,1,Male,[40:45),4810
2048.0,0,Male,[40:45),4810
2048.0,1,Male,[45:50),4205
2048.0,0,Male,[45:50),4205
2048.0,1,Male,[50:55),4117
2048.0,0,Male,[50:55),4117
2048.0,1,Male,[55:60),3513
2048.0,0,Male,[55:60),3513
2048.0,1,Male,[60:65),2660
2048.0,0,Male,[60:65),2660
2048.0,1,Male,[65:70),1658
2048.0,0,Male,[65:70),1658
2048.0,1,Male,[70:75),896
2048.0,0,Male,[70:75),896
2048.0,1,Male,[75:80),451
2048.0,0,Male,[75:80),451
2048.0,1,Female,[0:5),6336
2048.0,0,Female,[0:5),6336
2048.0,1,Female,[0:200),74719
2048.0,0,Female,[0:200),74719
2048.0,1,Female,[5:10),6132
2048.0,0,Female,[5:10),6132
2048.0,1,Female,[10:15),6413
2048.0,0,Female,[10:15),6413
2048.0,1,Female,[15:20),6050
2048.0,0,Female,[15:20),6050
2048.0,1,Female,[20:25),6064
2048.0,0,Female,[20:25),6064
2048.0,1,Female,[25:30),5884
2048.0,0,Female,[25:30),5884
2048.0,1,Female,[30:35),5869
2048.0,0,Female,[30:35),5869
2048.0,1,Female,[35:40),5416
2048.0,0,Female,[35:40),5416
2048.0,1,Female,[40:45),4975
2048.0,0,Female,[40:45),4975
2048.0,1,Female,[45:50),4623
2048.0,0,Female,[45:50),4623
2048.0,1,Female,[50:55),4496
2048.0,0,Female,[50:55),4496
2048.0,1,Female,[55:60),4054
2048.0,0,Female,[55:60),4054
2048.0,1,Female,[60:65),3047
2048.0,0,Female,[60:65),3047
2048.0,1,Female,[65:70),2077
2048.0,0,Female,[65:70),2077
2048.0,1,Female,[70:75),1327
2048.0,0,Female,[70:75),1327
2048.0,1,Female,[75:80),1015
2048.0,0,Female,[75:80),1015
2049.0,1,Male,[0:5),6087
2049.0,0,Male,[0:5),6087
2049.0,1,Male,[0:200),71039
2049.0,0,Male,[0:200),71039
2049.0,1,Male,[5:10),6176
2049.0,0,Male,[5:10),6176
2049.0,1,Male,[10:15),6309
2049.0,0,Male,[10:15),6309
2049.0,1,Male,[15:20),6137
2049.0,0,Male,[15:20),6137
2049.0,1,Male,[20:25),6111
2049.0,0,Male,[20:25),6111
2049.0,1,Male,[25:30),5899
2049.0,0,Male,[25:30),5899
2049.0,1,Male,[30:35),5784
2049.0,0,Male,[30:35),5784
2049.0,1,Male,[35:40),5356
2049.0,0,Male,[35:40),5356
2049.0,1,Male,[40:45),4901
2049.0,0,Male,[40:45),4901
2049.0,1,Male,[45:50),4306
2049.0,0,Male,[45:50),4306
2049.0,1,Male,[50:55),4103
2049.0,0,Male,[50:55),4103
2049.0,1,Male,[55:60),3546
2049.0,0,Male,[55:60),3546
2049.0,1,Male,[60:65),2794
2049.0,0,Male,[60:65),2794
2049.0,1,Male,[65:70),1767
2049.0,0,Male,[65:70),1767
2049.0,1,Male,[70:75),957
2049.0,0,Male,[70:75),957
2049.0,1,Male,[75:80),491
2049.0,0,Male,[75:80),491
2049.0,1,Female,[0:5),6337
2049.0,0,Female,[0:5),6337
2049.0,1,Female,[0:200),75597
2049.0,0,Female,[0:200),75597
2049.0,1,Female,[5:10),6176
2049.0,0,Female,[5:10),6176
2049.0,1,Female,[10:15),6452
2049.0,0,Female,[10:15),6452
2049.0,1,Female,[15:20),6024
2049.0,0,Female,[15:20),6024
2049.0,1,Female,[20:25),6038
2049.0,0,Female,[20:25),6038
2049.0,1,Female,[25:30),5848
2049.0,0,Female,[25:30),5848
2049.0,1,Female,[30:35),5930
2049.0,0,Female,[30:35),5930
2049.0,1,Female,[35:40),5524
2049.0,0,Female,[35:40),5524
2049.0,1,Female,[40:45),5066
2049.0,0,Female,[40:45),5066
2049.0,1,Female,[45:50),4629
2049.0,0,Female,[45:50),4629
2049.0,1,Female,[50:55),4562
2049.0,0,Female,[50:55),4562
2049.0,1,Female,[55:60),4109
2049.0,0,Female,[55:60),4109
2049.0,1,Female,[60:65),3231
2049.0,0,Female,[60:65),3231
2049.0,1,Female,[65:70),2245
2049.0,0,Female,[65:70),2245
2049.0,1,Female,[70:75),1382
2049.0,0,Female,[70:75),1382
2049.0,1,Female,[75:80),1042
2049.0,0,Female,[75:80),1042
2050.0,1,Male,[0:5),6078
