Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0056615981882885795
2048.0,0,Male,[15:20),0.0056615981882885795
2048.0,1,Male,[20:25),0.01979544704717915
2048.0,0,Male,[20:25),0.01979544704717915
2048.0,1,Male,[25:30),0.04778098962761435
2048.0,0,Male,[25:30),0.04778098962761435
2048.0,1,Male,[30:35),0.0908130939809926
2048.0,0,Male,[30:35),0.0908130939809926
2048.0,1,Male,[35:40),0.13625394468164098
2048.0,0,Male,[35:40),0.13625394468164098
2048.0,1,Male,[40:45),0.18232848232848234
2048.0,0,Male,[40:45),0.18232848232848234
2048.0,1,Male,[45:50),0.25850178359096315
2048.0,0,Male,[45:50),0.25850178359096315
2048.0,1,Male,[50:55),0.3543842603837746
2048.0,0,Male,[50:55),0.3543842603837746
2048.0,1,Male,[55:60),0.43381725021349277
2048.0,0,Male,[55:60),0.43381725021349277
2048.0,1,Male,[60:65),0.5413533834586466
2048.0,0,Male,[60:65),0.5413533834586466
2048.0,1,Male,[65:200),0.5956416464891041
2048.0,0,Male,[65:200),0.5956416464891041
2048.0,1,Female,[15:20),0.03355371900826446
2048.0,0,Female,[15:20),0.03355371900826446
2048.0,1,Female,[20:25),0.09366754617414248
2048.0,0,Female,[20:25),0.09366754617414248
2048.0,1,Female,[25:30),0.14972807613868117
2048.0,0,Female,[25:30),0.14972807613868117
2048.0,1,Female,[30:35),0.20446413358323395
2048.0,0,Female,[30:35),0.20446413358323395
2048.0,1,Female,[35:40),0.2749261447562777
2048.0,0,Female,[35:40),0.2749261447562777
2048.0,1,Female,[40:45),0.32944723618090455
2048.0,0,Female,[40:45),0.32944723618090455
2048.0,1,Female,[45:50),0.39238589660393686
2048.0,0,Female,[45:50),0.39238589660393686
2048.0,1,Female,[50:55),0.4735320284697509
2048.0,0,Female,[50:55),0.4735320284697509
2048.0,1,Female,[55:60),0.5564874198322645
2048.0,0,Female,[55:60),0.5564874198322645
2048.0,1,Female,[60:65),0.6288152280932064
2048.0,0,Female,[60:65),0.6288152280932064
2048.0,1,Female,[65:200),0.5733208955223881
2048.0,0,Female,[65:200),0.5733208955223881
2049.0,1,Male,[15:20),0.005703112269838683
2049.0,0,Male,[15:20),0.005703112269838683
2049.0,1,Male,[20:25),0.019309441989854362
2049.0,0,Male,[20:25),0.019309441989854362
2049.0,1,Male,[25:30),0.04695711137480929
2049.0,0,Male,[25:30),0.04695711137480929
2049.0,1,Male,[30:35),0.0869640387275242
2049.0,0,Male,[30:35),0.0869640387275242
2049.0,1,Male,[35:40),0.13330843913368184
2049.0,0,Male,[35:40),0.13330843913368184
2049.0,1,Male,[40:45),0.1838400326463987
2049.0,0,Male,[40:45),0.1838400326463987
2049.0,1,Male,[45:50),0.24965164886205296
2049.0,0,Male,[45:50),0.24965164886205296
2049.0,1,Male,[50:55),0.3419449183524251
2049.0,0,Male,[50:55),0.3419449183524251
2049.0,1,Male,[55:60),0.42385786802030456
2049.0,0,Male,[55:60),0.42385786802030456
2049.0,1,Male,[60:65),0.5261274158911954
2049.0,0,Male,[60:65),0.5261274158911954
2049.0,1,Male,[65:200),0.5985835694050992
2049.0,0,Male,[65:200),0.5985835694050992
2049.0,1,Female,[15:20),0.033200531208499334
2049.0,0,Female,[15:20),0.033200531208499334
2049.0,1,Female,[20:25),0.09241470685657502
2049.0,0,Female,[20:25),0.09241470685657502
2049.0,1,Female,[25:30),0.14740082079343364
2049.0,0,Female,[25:30),0.14740082079343364
2049.0,1,Female,[30:35),0.19983136593591905
2049.0,0,Female,[30:35),0.19983136593591905
2049.0,1,Female,[35:40),0.2671976828385228
2049.0,0,Female,[35:40),0.2671976828385228
2049.0,1,Female,[40:45),0.32273983418870905
2049.0,0,Female,[40:45),0.32273983418870905
2049.0,1,Female,[45:50),0.3836681788723266
2049.0,0,Female,[45:50),0.3836681788723266
2049.0,1,Female,[50:55),0.4622972380534853
2049.0,0,Female,[50:55),0.4622972380534853
2049.0,1,Female,[55:60),0.5422243854952543
2049.0,0,Female,[55:60),0.5422243854952543
2049.0,1,Female,[60:65),0.6202414113277623
2049.0,0,Female,[60:65),0.6202414113277623
2049.0,1,Female,[65:200),0.5875506965261859
2049.0,0,Female,[65:200),0.5875506965261859
2050.0,1,Male,[15:20),0.003924775143090761
2050.0,0,Male,[15:20),0.003924775143090761
2050.0,1,Male,[20:25),0.018913676042677012
2050.0,0,Male,[20:25),0.018913676042677012
2050.0,1,Male,[25:30),0.04823747680890538
2050.0,0,Male,[25:30),0.04823747680890538
2050.0,1,Male,[30:35),0.08402489626556017
2050.0,0,Male,[30:35),0.08402489626556017
2050.0,1,Male,[35:40),0.132681306514117
2050.0,0,Male,[35:40),0.132681306514117
2050.0,1,Male,[40:45),0.18351383874849578
2050.0,0,Male,[40:45),0.18351383874849578
2050.0,1,Male,[45:50),0.23538886332259548
2050.0,0,Male,[45:50),0.23538886332259548
2050.0,1,Male,[50:55),0.3279727095516569
2050.0,0,Male,[50:55),0.3279727095516569
2050.0,1,Male,[55:60),0.4201845121610288
2050.0,0,Male,[55:60),0.4201845121610288
2050.0,1,Male,[60:65),0.5150478796169631
2050.0,0,Male,[60:65),0.5150478796169631
2050.0,1,Male,[65:200),0.5919678714859438
2050.0,0,Male,[65:200),0.5919678714859438
2050.0,1,Female,[15:20),0.03135774092923986
2050.0,0,Female,[15:20),0.03135774092923986
2050.0,1,Female,[20:25),0.09564785702465663
2050.0,0,Female,[20:25),0.09564785702465663
2050.0,1,Female,[25:30),0.1463456577815993
2050.0,0,Female,[25:30),0.1463456577815993
2050.0,1,Female,[30:35),0.19557992688600864
