Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6068
2048.0,0,Male,[0:5),6068
2048.0,1,Male,[0:200),68664
2048.0,0,Male,[0:200),68664
2048.0,1,Male,[5:10),5954
2048.0,0,Male,[5:10),5954
2048.0,1,Male,[10:15),6172
2048.0,0,Male,[10:15),6172
2048.0,1,Male,[15:20),5980
2048.0,0,Male,[15:20),5980
2048.0,1,Male,[20:25),5985
2048.0,0,Male,[20:25),5985
2048.0,1,Male,[25:30),5780
2048.0,0,Male,[25:30),5780
2048.0,1,Male,[30:35),5394
2048.0,0,Male,[30:35),5394
2048.0,1,Male,[35:40),5112
2048.0,0,Male,[35:40),5112
2048.0,1,Male,[40:45),4681
2048.0,0,Male,[40:45),4681
2048.0,1,Male,[45:50),4270
2048.0,0,Male,[45:50),4270
2048.0,1,Male,[50:55),4035
2048.0,0,Male,[50:55),4035
2048.0,1,Male,[55:60),3414
2048.0,0,Male,[55:60),3414
2048.0,1,Male,[60:65),2533
2048.0,0,Male,[60:65),2533
2048.0,1,Male,[65:70),1573
2048.0,0,Male,[65:70),1573
2048.0,1,Male,[70:75),923
2048.0,0,Male,[70:75),923
2048.0,1,Male,[75:80),489
2048.0,0,Male,[75:80),489
2048.0,1,Female,[0:5),6159
2048.0,0,Female,[0:5),6159
2048.0,1,Female,[0:200),73282
2048.0,0,Female,[0:200),73282
2048.0,1,Female,[5:10),5974
2048.0,0,Female,[5:10),5974
2048.0,1,Female,[10:15),6329
2048.0,0,Female,[10:15),6329
2048.0,1,Female,[15:20),6009
2048.0,0,Female,[15:20),6009
2048.0,1,Female,[20:25),5903
2048.0,0,Female,[20:25),5903
2048.0,1,Female,[25:30),5821
2048.0,0,Female,[25:30),5821
2048.0,1,Female,[30:35),5620
2048.0,0,Female,[30:35),5620
2048.0,1,Female,[35:40),5355
2048.0,0,Female,[35:40),5355
2048.0,1,Female,[40:45),4921
2048.0,0,Female,[40:45),4921
2048.0,1,Female,[45:50),4543
2048.0,0,Female,[45:50),4543
2048.0,1,Female,[50:55),4435
2048.0,0,Female,[50:55),4435
2048.0,1,Female,[55:60),3859
2048.0,0,Female,[55:60),3859
2048.0,1,Female,[60:65),2945
2048.0,0,Female,[60:65),2945
2048.0,1,Female,[65:70),2079
2048.0,0,Female,[65:70),2079
2048.0,1,Female,[70:75),1353
2048.0,0,Female,[70:75),1353
2048.0,1,Female,[75:80),1021
2048.0,0,Female,[75:80),1021
2049.0,1,Male,[0:5),6007
2049.0,0,Male,[0:5),6007
2049.0,1,Male,[0:200),69304
2049.0,0,Male,[0:200),69304
2049.0,1,Male,[5:10),5976
2049.0,0,Male,[5:10),5976
2049.0,1,Male,[10:15),6126
2049.0,0,Male,[10:15),6126
2049.0,1,Male,[15:20),6040
2049.0,0,Male,[15:20),6040
2049.0,1,Male,[20:25),5957
2049.0,0,Male,[20:25),5957
2049.0,1,Male,[25:30),5807
2049.0,0,Male,[25:30),5807
2049.0,1,Male,[30:35),5480
2049.0,0,Male,[30:35),5480
2049.0,1,Male,[35:40),5188
2049.0,0,Male,[35:40),5188
2049.0,1,Male,[40:45),4737
2049.0,0,Male,[40:45),4737
2049.0,1,Male,[45:50),4331
2049.0,0,Male,[45:50),4331
2049.0,1,Male,[50:55),4092
2049.0,0,Male,[50:55),4092
2049.0,1,Male,[55:60),3431
2049.0,0,Male,[55:60),3431
2049.0,1,Male,[60:65),2665
2049.0,0,Male,[60:65),2665
2049.0,1,Male,[65:70),1696
2049.0,0,Male,[65:70),1696
2049.0,1,Male,[70:75),952
2049.0,0,Male,[70:75),952
2049.0,1,Male,[75:80),498
2049.0,0,Male,[75:80),498
2049.0,1,Female,[0:5),6135
2049.0,0,Female,[0:5),6135
2049.0,1,Female,[0:200),74034
2049.0,0,Female,[0:200),74034
2049.0,1,Female,[5:10),6059
2049.0,0,Female,[5:10),6059
2049.0,1,Female,[10:15),6236
2049.0,0,Female,[10:15),6236
2049.0,1,Female,[15:20),6057
2049.0,0,Female,[15:20),6057
2049.0,1,Female,[20:25),5907
2049.0,0,Female,[20:25),5907
2049.0,1,Female,[25:30),5828
2049.0,0,Female,[25:30),5828
2049.0,1,Female,[30:35),5656
2049.0,0,Female,[30:35),5656
2049.0,1,Female,[35:40),5369
2049.0,0,Female,[35:40),5369
2049.0,1,Female,[40:45),5054
2049.0,0,Female,[40:45),5054
2049.0,1,Female,[45:50),4590
2049.0,0,Female,[45:50),4590
2049.0,1,Female,[50:55),4374
2049.0,0,Female,[50:55),4374
2049.0,1,Female,[55:60),3992
2049.0,0,Female,[55:60),3992
2049.0,1,Female,[60:65),3132
2049.0,0,Female,[60:65),3132
2049.0,1,Female,[65:70),2217
2049.0,0,Female,[65:70),2217
2049.0,1,Female,[70:75),1399
2049.0,0,Female,[70:75),1399
2049.0,1,Female,[75:80),1003
2049.0,0,Female,[75:80),1003
2050.0,1,Male,[0:5),5987
2050.0,0,Male,[0:5),5987
2050.0,1,Male,[0:200),69879
2050.0,0,Male,[0:200),69879
2050.0,1,Male,[5:10),5972
2050.0,0,Male,[5:10),5972
2050.0,1,Male,[10:15),6122
2050.0,0,Male,[10:15),6122
2050.0,1,Male,[15:20),5957
2050.0,0,Male,[15:20),5957
2050.0,1,Male,[20:25),5952
2050.0,0,Male,[20:25),5952
2050.0,1,Male,[25:30),5895
2050.0,0,Male,[25:30),5895
2050.0,1,Male,[30:35),5514
2050.0,0,Male,[30:35),5514
2050.0,1,Male,[35:40),5269
2050.0,0,Male,[35:40),5269
2050.0,1,Male,[40:45),4841
2050.0,0,Male,[40:45),4841
2050.0,1,Male,[45:50),4371
2050.0,0,Male,[45:50),4371
2050.0,1,Male,[50:55),4071
2050.0,0,Male,[50:55),4071
2050.0,1,Male,[55:60),3431
2050.0,0,Male,[55:60),3431
2050.0,1,Male,[60:65),2816
2050.0,0,Male,[60:65),2816
2050.0,1,Male,[65:70),1818
2050.0,0,Male,[65:70),1818
2050.0,1,Male,[70:75),1008
2050.0,0,Male,[70:75),1008
2050.0,1,Male,[75:80),528
2050.0,0,Male,[75:80),528
2050.0,1,Female,[0:5),6184
2050.0,0,Female,[0:5),6184
2050.0,1,Female,[0:200),74894
2050.0,0,Female,[0:200),74894
2050.0,1,Female,[5:10),6026
2050.0,0,Female,[5:10),6026
2050.0,1,Female,[10:15),6227
2050.0,0,Female,[10:15),6227
2050.0,1,Female,[15:20),6164
2050.0,0,Female,[15:20),6164
2050.0,1,Female,[20:25),5849
2050.0,0,Female,[20:25),5849
2050.0,1,Female,[25:30),5848
2050.0,0,Female,[25:30),5848
2050.0,1,Female,[30:35),5723
2050.0,0,Female,[30:35),5723
2050.0,1,Female,[35:40),5429
2050.0,0,Female,[35:40),5429
2050.0,1,Female,[40:45),5060
2050.0,0,Female,[40:45),5060
2050.0,1,Female,[45:50),4684
2050.0,0,Female,[45:50),4684
2050.0,1,Female,[50:55),4381
2050.0,0,Female,[50:55),4381
2050.0,1,Female,[55:60),4046
2050.0,0,Female,[55:60),4046
2050.0,1,Female,[60:65),3330
2050.0,0,Female,[60:65),3330
2050.0,1,Female,[65:70),2366
2050.0,0,Female,[65:70),2366
2050.0,1,Female,[70:75),1489
2050.0,0,Female,[70:75),1489
2050.0,1,Female,[75:80),1029
2050.0,0,Female,[75:80),1029
2039.0,1,Male,[0:5),6117
2039.0,0,Male,[0:5),6117
2039.0,1,Male,[0:200),62176
2039.0,0,Male,[0:200),62176
2039.0,1,Male,[5:10),5968
2039.0,0,Male,[5:10),5968
2039.0,1,Male,[10:15),6148
2039.0,0,Male,[10:15),6148
2039.0,1,Male,[15:20),6006
2039.0,0,Male,[15:20),6006
2039.0,1,Male,[20:25),5599
2039.0,0,Male,[20:25),5599
2039.0,1,Male,[25:30),5237
2039.0,0,Male,[25:30),5237
2039.0,1,Male,[30:35),4921
2039.0,0,Male,[30:35),4921
2039.0,1,Male,[35:40),4561
2039.0,0,Male,[35:40),4561
2039.0,1,Male,[40:45),4391
2039.0,0,Male,[40:45),4391
2039.0,1,Male,[45:50),3939
2039.0,0,Male,[45:50),3939
2039.0,1,Male,[50:55),3361
2039.0,0,Male,[50:55),3361
2039.0,1,Male,[55:60),2301
2039.0,0,Male,[55:60),2301
2039.0,1,Male,[60:65),1548
2039.0,0,Male,[60:65),1548
2039.0,1,Male,[65:70),1036
2039.0,0,Male,[65:70),1036
