Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6222
2048.0,0,Male,[0:5),6222
2048.0,1,Male,[0:200),69305
2048.0,0,Male,[0:200),69305
2048.0,1,Male,[5:10),5995
2048.0,0,Male,[5:10),5995
2048.0,1,Male,[10:15),6133
2048.0,0,Male,[10:15),6133
2048.0,1,Male,[15:20),6253
2048.0,0,Male,[15:20),6253
2048.0,1,Male,[20:25),5924
2048.0,0,Male,[20:25),5924
2048.0,1,Male,[25:30),5888
2048.0,0,Male,[25:30),5888
2048.0,1,Male,[30:35),5575
2048.0,0,Male,[30:35),5575
2048.0,1,Male,[35:40),5094
2048.0,0,Male,[35:40),5094
2048.0,1,Male,[40:45),4582
2048.0,0,Male,[40:45),4582
2048.0,1,Male,[45:50),4309
2048.0,0,Male,[45:50),4309
2048.0,1,Male,[50:55),3978
2048.0,0,Male,[50:55),3978
2048.0,1,Male,[55:60),3463
2048.0,0,Male,[55:60),3463
2048.0,1,Male,[60:65),2615
2048.0,0,Male,[60:65),2615
2048.0,1,Male,[65:70),1538
2048.0,0,Male,[65:70),1538
2048.0,1,Male,[70:75),930
2048.0,0,Male,[70:75),930
2048.0,1,Male,[75:80),504
2048.0,0,Male,[75:80),504
2048.0,1,Female,[0:5),6190
2048.0,0,Female,[0:5),6190
2048.0,1,Female,[0:200),73604
2048.0,0,Female,[0:200),73604
2048.0,1,Female,[5:10),6004
2048.0,0,Female,[5:10),6004
2048.0,1,Female,[10:15),6371
2048.0,0,Female,[10:15),6371
2048.0,1,Female,[15:20),6130
2048.0,0,Female,[15:20),6130
2048.0,1,Female,[20:25),6018
2048.0,0,Female,[20:25),6018
2048.0,1,Female,[25:30),5876
2048.0,0,Female,[25:30),5876
2048.0,1,Female,[30:35),5653
2048.0,0,Female,[30:35),5653
2048.0,1,Female,[35:40),5233
2048.0,0,Female,[35:40),5233
2048.0,1,Female,[40:45),4972
2048.0,0,Female,[40:45),4972
2048.0,1,Female,[45:50),4563
2048.0,0,Female,[45:50),4563
2048.0,1,Female,[50:55),4416
2048.0,0,Female,[50:55),4416
2048.0,1,Female,[55:60),3853
2048.0,0,Female,[55:60),3853
2048.0,1,Female,[60:65),3085
2048.0,0,Female,[60:65),3085
2048.0,1,Female,[65:70),2046
2048.0,0,Female,[65:70),2046
2048.0,1,Female,[70:75),1341
2048.0,0,Female,[70:75),1341
2048.0,1,Female,[75:80),924
2048.0,0,Female,[75:80),924
2049.0,1,Male,[0:5),6163
2049.0,0,Male,[0:5),6163
2049.0,1,Male,[0:200),69984
2049.0,0,Male,[0:200),69984
2049.0,1,Male,[5:10),6016
2049.0,0,Male,[5:10),6016
2049.0,1,Male,[10:15),6157
2049.0,0,Male,[10:15),6157
2049.0,1,Male,[15:20),6231
