Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6177
2048.0,0,Male,[0:5),6177
2048.0,1,Male,[0:200),68902
2048.0,0,Male,[0:200),68902
2048.0,1,Male,[5:10),5990
2048.0,0,Male,[5:10),5990
2048.0,1,Male,[10:15),6276
2048.0,0,Male,[10:15),6276
2048.0,1,Male,[15:20),5984
2048.0,0,Male,[15:20),5984
2048.0,1,Male,[20:25),6009
2048.0,0,Male,[20:25),6009
2048.0,1,Male,[25:30),5818
2048.0,0,Male,[25:30),5818
2048.0,1,Male,[30:35),5604
2048.0,0,Male,[30:35),5604
2048.0,1,Male,[35:40),5165
2048.0,0,Male,[35:40),5165
2048.0,1,Male,[40:45),4704
2048.0,0,Male,[40:45),4704
2048.0,1,Male,[45:50),4121
2048.0,0,Male,[45:50),4121
2048.0,1,Male,[50:55),3918
2048.0,0,Male,[50:55),3918
2048.0,1,Male,[55:60),3379
2048.0,0,Male,[55:60),3379
2048.0,1,Male,[60:65),2565
2048.0,0,Male,[60:65),2565
2048.0,1,Male,[65:70),1550
2048.0,0,Male,[65:70),1550
2048.0,1,Male,[70:75),882
2048.0,0,Male,[70:75),882
2048.0,1,Male,[75:80),482
2048.0,0,Male,[75:80),482
2048.0,1,Female,[0:5),6278
2048.0,0,Female,[0:5),6278
2048.0,1,Female,[0:200),74085
2048.0,0,Female,[0:200),74085
2048.0,1,Female,[5:10),6132
2048.0,0,Female,[5:10),6132
2048.0,1,Female,[10:15),6319
2048.0,0,Female,[10:15),6319
2048.0,1,Female,[15:20),6150
2048.0,0,Female,[15:20),6150
2048.0,1,Female,[20:25),6032
2048.0,0,Female,[20:25),6032
2048.0,1,Female,[25:30),5873
2048.0,0,Female,[25:30),5873
2048.0,1,Female,[30:35),5728
2048.0,0,Female,[30:35),5728
2048.0,1,Female,[35:40),5414
2048.0,0,Female,[35:40),5414
2048.0,1,Female,[40:45),4944
2048.0,0,Female,[40:45),4944
2048.0,1,Female,[45:50),4521
2048.0,0,Female,[45:50),4521
2048.0,1,Female,[50:55),4450
2048.0,0,Female,[50:55),4450
2048.0,1,Female,[55:60),4001
2048.0,0,Female,[55:60),4001
2048.0,1,Female,[60:65),3022
2048.0,0,Female,[60:65),3022
2048.0,1,Female,[65:70),2027
2048.0,0,Female,[65:70),2027
2048.0,1,Female,[70:75),1299
2048.0,0,Female,[70:75),1299
2048.0,1,Female,[75:80),962
2048.0,0,Female,[75:80),962
2049.0,1,Male,[0:5),6139
2049.0,0,Male,[0:5),6139
2049.0,1,Male,[0:200),69515
2049.0,0,Male,[0:200),69515
2049.0,1,Male,[5:10),6017
2049.0,0,Male,[5:10),6017
2049.0,1,Male,[10:15),6260
2049.0,0,Male,[10:15),6260
2049.0,1,Male,[15:20),6035
2049.0,0,Male,[15:20),6035
2049.0,1,Male,[20:25),6002
2049.0,0,Male,[20:25),6002
2049.0,1,Male,[25:30),5792
2049.0,0,Male,[25:30),5792
2049.0,1,Male,[30:35),5672
2049.0,0,Male,[30:35),5672
2049.0,1,Male,[35:40),5232
2049.0,0,Male,[35:40),5232
2049.0,1,Male,[40:45),4799
2049.0,0,Male,[40:45),4799
2049.0,1,Male,[45:50),4183
2049.0,0,Male,[45:50),4183
2049.0,1,Male,[50:55),3918
2049.0,0,Male,[50:55),3918
2049.0,1,Male,[55:60),3401
2049.0,0,Male,[55:60),3401
2049.0,1,Male,[60:65),2706
2049.0,0,Male,[60:65),2706
2049.0,1,Male,[65:70),1635
2049.0,0,Male,[65:70),1635
2049.0,1,Male,[70:75),925
2049.0,0,Male,[70:75),925
2049.0,1,Male,[75:80),496
2049.0,0,Male,[75:80),496
2049.0,1,Female,[0:5),6198
2049.0,0,Female,[0:5),6198
2049.0,1,Female,[0:200),74899
2049.0,0,Female,[0:200),74899
2049.0,1,Female,[5:10),6183
2049.0,0,Female,[5:10),6183
2049.0,1,Female,[10:15),6313
2049.0,0,Female,[10:15),6313
2049.0,1,Female,[15:20),6170
2049.0,0,Female,[15:20),6170
2049.0,1,Female,[20:25),6051
2049.0,0,Female,[20:25),6051
2049.0,1,Female,[25:30),5852
2049.0,0,Female,[25:30),5852
2049.0,1,Female,[30:35),5818
2049.0,0,Female,[30:35),5818
2049.0,1,Female,[35:40),5475
2049.0,0,Female,[35:40),5475
2049.0,1,Female,[40:45),5068
2049.0,0,Female,[40:45),5068
2049.0,1,Female,[45:50),4541
2049.0,0,Female,[45:50),4541
2049.0,1,Female,[50:55),4480
2049.0,0,Female,[50:55),4480
2049.0,1,Female,[55:60),4084
2049.0,0,Female,[55:60),4084
2049.0,1,Female,[60:65),3163
2049.0,0,Female,[60:65),3163
2049.0,1,Female,[65:70),2168
2049.0,0,Female,[65:70),2168
2049.0,1,Female,[70:75),1376
2049.0,0,Female,[70:75),1376
2049.0,1,Female,[75:80),967
2049.0,0,Female,[75:80),967
2050.0,1,Male,[0:5),6153
2050.0,0,Male,[0:5),6153
2050.0,1,Male,[0:200),70123
2050.0,0,Male,[0:200),70123
2050.0,1,Male,[5:10),6009
2050.0,0,Male,[5:10),6009
2050.0,1,Male,[10:15),6182
2050.0,0,Male,[10:15),6182
2050.0,1,Male,[15:20),6076
2050.0,0,Male,[15:20),6076
2050.0,1,Male,[20:25),6025
2050.0,0,Male,[20:25),6025
2050.0,1,Male,[25:30),5780
2050.0,0,Male,[25:30),5780
2050.0,1,Male,[30:35),5709
2050.0,0,Male,[30:35),5709
2050.0,1,Male,[35:40),5316
2050.0,0,Male,[35:40),5316
2050.0,1,Male,[40:45),4872
2050.0,0,Male,[40:45),4872
2050.0,1,Male,[45:50),4256
2050.0,0,Male,[45:50),4256
2050.0,1,Male,[50:55),3925
2050.0,0,Male,[50:55),3925
2050.0,1,Male,[55:60),3452
2050.0,0,Male,[55:60),3452
2050.0,1,Male,[60:65),2783
2050.0,0,Male,[60:65),2783
2050.0,1,Male,[65:70),1782
2050.0,0,Male,[65:70),1782
2050.0,1,Male,[70:75),960
2050.0,0,Male,[70:75),960
2050.0,1,Male,[75:80),526
2050.0,0,Male,[75:80),526
2050.0,1,Female,[0:5),6217
