Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.005681818181818182
2048.0,0,Male,[15:20),0.005681818181818182
2048.0,1,Male,[20:25),0.01963721085039108
2048.0,0,Male,[20:25),0.01963721085039108
2048.0,1,Male,[25:30),0.052251632863526985
2048.0,0,Male,[25:30),0.052251632863526985
2048.0,1,Male,[30:35),0.09939329050678088
2048.0,0,Male,[30:35),0.09939329050678088
2048.0,1,Male,[35:40),0.1335914811229429
2048.0,0,Male,[35:40),0.1335914811229429
2048.0,1,Male,[40:45),0.18558673469387754
2048.0,0,Male,[40:45),0.18558673469387754
2048.0,1,Male,[45:50),0.23659305993690852
2048.0,0,Male,[45:50),0.23659305993690852
2048.0,1,Male,[50:55),0.3560490045941807
2048.0,0,Male,[50:55),0.3560490045941807
2048.0,1,Male,[55:60),0.4294169872743415
2048.0,0,Male,[55:60),0.4294169872743415
2048.0,1,Male,[60:65),0.5372319688109162
2048.0,0,Male,[60:65),0.5372319688109162
2048.0,1,Male,[65:200),0.5980576441102757
2048.0,0,Male,[65:200),0.5980576441102757
2048.0,1,Female,[15:20),0.03528455284552846
2048.0,0,Female,[15:20),0.03528455284552846
2048.0,1,Female,[20:25),0.10726127320954908
2048.0,0,Female,[20:25),0.10726127320954908
2048.0,1,Female,[25:30),0.1622680061297463
2048.0,0,Female,[25:30),0.1622680061297463
2048.0,1,Female,[30:35),0.22398743016759776
2048.0,0,Female,[30:35),0.22398743016759776
2048.0,1,Female,[35:40),0.2748429996305874
2048.0,0,Female,[35:40),0.2748429996305874
2048.0,1,Female,[40:45),0.32625404530744334
2048.0,0,Female,[40:45),0.32625404530744334
2048.0,1,Female,[45:50),0.38088918380889186
2048.0,0,Female,[45:50),0.38088918380889186
2048.0,1,Female,[50:55),0.470561797752809
2048.0,0,Female,[50:55),0.470561797752809
2048.0,1,Female,[55:60),0.5511122219445139
2048.0,0,Female,[55:60),0.5511122219445139
2048.0,1,Female,[60:65),0.6393117140966248
2048.0,0,Female,[60:65),0.6393117140966248
2048.0,1,Female,[65:200),0.5914575751771691
2048.0,0,Female,[65:200),0.5914575751771691
2049.0,1,Male,[15:20),0.004971002485501243
2049.0,0,Male,[15:20),0.004971002485501243
2049.0,1,Male,[20:25),0.01882705764745085
2049.0,0,Male,[20:25),0.01882705764745085
2049.0,1,Male,[25:30),0.05300414364640884
2049.0,0,Male,[25:30),0.05300414364640884
2049.0,1,Male,[30:35),0.09732016925246827
2049.0,0,Male,[30:35),0.09732016925246827
2049.0,1,Male,[35:40),0.13092507645259938
2049.0,0,Male,[35:40),0.13092507645259938
2049.0,1,Male,[40:45),0.18378828922692228
2049.0,0,Male,[40:45),0.18378828922692228
2049.0,1,Male,[45:50),0.2240019125029883
2049.0,0,Male,[45:50),0.2240019125029883
2049.0,1,Male,[50:55),0.33996937212863704
2049.0,0,Male,[50:55),0.33996937212863704
2049.0,1,Male,[55:60),0.419288444575125
2049.0,0,Male,[55:60),0.419288444575125
2049.0,1,Male,[60:65),0.5273466371027347
2049.0,0,Male,[60:65),0.5273466371027347
2049.0,1,Male,[65:200),0.5989877939863054
2049.0,0,Male,[65:200),0.5989877939863054
2049.0,1,Female,[15:20),0.03387358184764992
2049.0,0,Female,[15:20),0.03387358184764992
2049.0,1,Female,[20:25),0.10543711783176335
2049.0,0,Female,[20:25),0.10543711783176335
2049.0,1,Female,[25:30),0.16045796308954205
2049.0,0,Female,[25:30),0.16045796308954205
2049.0,1,Female,[30:35),0.21794431075971124
2049.0,0,Female,[30:35),0.21794431075971124
2049.0,1,Female,[35:40),0.27050228310502283
2049.0,0,Female,[35:40),0.27050228310502283
2049.0,1,Female,[40:45),0.32202052091554856
2049.0,0,Female,[40:45),0.32202052091554856
2049.0,1,Female,[45:50),0.37678925346839903
2049.0,0,Female,[45:50),0.37678925346839903
2049.0,1,Female,[50:55),0.4578125
2049.0,0,Female,[50:55),0.4578125
2049.0,1,Female,[55:60),0.5381978452497551
2049.0,0,Female,[55:60),0.5381978452497551
2049.0,1,Female,[60:65),0.6184002529244388
2049.0,0,Female,[60:65),0.6184002529244388
2049.0,1,Female,[65:200),0.6053061966200255
2049.0,0,Female,[65:200),0.6053061966200255
2050.0,1,Male,[15:20),0.004279131007241606
2050.0,0,Male,[15:20),0.004279131007241606
2050.0,1,Male,[20:25),0.017925311203319503
