Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6079
2048.0,0,Male,[0:5),6079
2048.0,1,Male,[0:200),68777
2048.0,0,Male,[0:200),68777
2048.0,1,Male,[5:10),6003
2048.0,0,Male,[5:10),6003
2048.0,1,Male,[10:15),6152
2048.0,0,Male,[10:15),6152
2048.0,1,Male,[15:20),6121
2048.0,0,Male,[15:20),6121
2048.0,1,Male,[20:25),6092
2048.0,0,Male,[20:25),6092
2048.0,1,Male,[25:30),5711
2048.0,0,Male,[25:30),5711
2048.0,1,Male,[30:35),5490
2048.0,0,Male,[30:35),5490
2048.0,1,Male,[35:40),5187
2048.0,0,Male,[35:40),5187
2048.0,1,Male,[40:45),4620
2048.0,0,Male,[40:45),4620
2048.0,1,Male,[45:50),4163
2048.0,0,Male,[45:50),4163
2048.0,1,Male,[50:55),4068
2048.0,0,Male,[50:55),4068
2048.0,1,Male,[55:60),3420
2048.0,0,Male,[55:60),3420
2048.0,1,Male,[60:65),2513
2048.0,0,Male,[60:65),2513
2048.0,1,Male,[65:70),1522
2048.0,0,Male,[65:70),1522
2048.0,1,Male,[70:75),867
2048.0,0,Male,[70:75),867
2048.0,1,Male,[75:80),465
2048.0,0,Male,[75:80),465
2048.0,1,Female,[0:5),6040
2048.0,0,Female,[0:5),6040
2048.0,1,Female,[0:200),73688
2048.0,0,Female,[0:200),73688
2048.0,1,Female,[5:10),6065
2048.0,0,Female,[5:10),6065
2048.0,1,Female,[10:15),6265
2048.0,0,Female,[10:15),6265
2048.0,1,Female,[15:20),6218
2048.0,0,Female,[15:20),6218
2048.0,1,Female,[20:25),6141
2048.0,0,Female,[20:25),6141
2048.0,1,Female,[25:30),5766
2048.0,0,Female,[25:30),5766
2048.0,1,Female,[30:35),5604
2048.0,0,Female,[30:35),5604
2048.0,1,Female,[35:40),5359
2048.0,0,Female,[35:40),5359
2048.0,1,Female,[40:45),4914
2048.0,0,Female,[40:45),4914
2048.0,1,Female,[45:50),4717
2048.0,0,Female,[45:50),4717
2048.0,1,Female,[50:55),4374
2048.0,0,Female,[50:55),4374
2048.0,1,Female,[55:60),3923
2048.0,0,Female,[55:60),3923
2048.0,1,Female,[60:65),2933
2048.0,0,Female,[60:65),2933
2048.0,1,Female,[65:70),1999
2048.0,0,Female,[65:70),1999
2048.0,1,Female,[70:75),1426
2048.0,0,Female,[70:75),1426
2048.0,1,Female,[75:80),961
2048.0,0,Female,[75:80),961
2049.0,1,Male,[0:5),6132
2049.0,0,Male,[0:5),6132
2049.0,1,Male,[0:200),69456
2049.0,0,Male,[0:200),69456
2049.0,1,Male,[5:10),5889
2049.0,0,Male,[5:10),5889
2049.0,1,Male,[10:15),6233
2049.0,0,Male,[10:15),6233
2049.0,1,Male,[15:20),6111
2049.0,0,Male,[15:20),6111
2049.0,1,Male,[20:25),6000
2049.0,0,Male,[20:25),6000
2049.0,1,Male,[25:30),5816
2049.0,0,Male,[25:30),5816
2049.0,1,Male,[30:35),5634
2049.0,0,Male,[30:35),5634
2049.0,1,Male,[35:40),5137
2049.0,0,Male,[35:40),5137
2049.0,1,Male,[40:45),4721
2049.0,0,Male,[40:45),4721
2049.0,1,Male,[45:50),4190
2049.0,0,Male,[45:50),4190
2049.0,1,Male,[50:55),4078
2049.0,0,Male,[50:55),4078
2049.0,1,Male,[55:60),3473
2049.0,0,Male,[55:60),3473
2049.0,1,Male,[60:65),2681
2049.0,0,Male,[60:65),2681
2049.0,1,Male,[65:70),1602
2049.0,0,Male,[65:70),1602
2049.0,1,Male,[70:75),928
2049.0,0,Male,[70:75),928
2049.0,1,Male,[75:80),499
2049.0,0,Male,[75:80),499
2049.0,1,Female,[0:5),6106
2049.0,0,Female,[0:5),6106
2049.0,1,Female,[0:200),74490
2049.0,0,Female,[0:200),74490
2049.0,1,Female,[5:10),5979
2049.0,0,Female,[5:10),5979
2049.0,1,Female,[10:15),6310
2049.0,0,Female,[10:15),6310
2049.0,1,Female,[15:20),6169
2049.0,0,Female,[15:20),6169
2049.0,1,Female,[20:25),6109
2049.0,0,Female,[20:25),6109
2049.0,1,Female,[25:30),5843
2049.0,0,Female,[25:30),5843
2049.0,1,Female,[30:35),5707
2049.0,0,Female,[30:35),5707
2049.0,1,Female,[35:40),5372
