Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6004
2048.0,0,Male,[0:5),6004
2048.0,1,Male,[0:200),66729
2048.0,0,Male,[0:200),66729
2048.0,1,Male,[5:10),5811
2048.0,0,Male,[5:10),5811
2048.0,1,Male,[10:15),6053
2048.0,0,Male,[10:15),6053
2048.0,1,Male,[15:20),5778
2048.0,0,Male,[15:20),5778
2048.0,1,Male,[20:25),5874
2048.0,0,Male,[20:25),5874
2048.0,1,Male,[25:30),5511
2048.0,0,Male,[25:30),5511
2048.0,1,Male,[30:35),5291
2048.0,0,Male,[30:35),5291
2048.0,1,Male,[35:40),4862
2048.0,0,Male,[35:40),4862
2048.0,1,Male,[40:45),4677
2048.0,0,Male,[40:45),4677
2048.0,1,Male,[45:50),4056
2048.0,0,Male,[45:50),4056
2048.0,1,Male,[50:55),3795
2048.0,0,Male,[50:55),3795
2048.0,1,Male,[55:60),3285
2048.0,0,Male,[55:60),3285
2048.0,1,Male,[60:65),2518
2048.0,0,Male,[60:65),2518
2048.0,1,Male,[65:70),1550
2048.0,0,Male,[65:70),1550
2048.0,1,Male,[70:75),900
2048.0,0,Male,[70:75),900
2048.0,1,Male,[75:80),487
2048.0,0,Male,[75:80),487
2048.0,1,Female,[0:5),5991
2048.0,0,Female,[0:5),5991
2048.0,1,Female,[0:200),71293
2048.0,0,Female,[0:200),71293
2048.0,1,Female,[5:10),5829
2048.0,0,Female,[5:10),5829
2048.0,1,Female,[10:15),6026
2048.0,0,Female,[10:15),6026
2048.0,1,Female,[15:20),5926
2048.0,0,Female,[15:20),5926
2048.0,1,Female,[20:25),6094
2048.0,0,Female,[20:25),6094
2048.0,1,Female,[25:30),5729
2048.0,0,Female,[25:30),5729
2048.0,1,Female,[30:35),5448
2048.0,0,Female,[30:35),5448
2048.0,1,Female,[35:40),5107
2048.0,0,Female,[35:40),5107
2048.0,1,Female,[40:45),4818
2048.0,0,Female,[40:45),4818
2048.0,1,Female,[45:50),4414
2048.0,0,Female,[45:50),4414
2048.0,1,Female,[50:55),4191
2048.0,0,Female,[50:55),4191
2048.0,1,Female,[55:60),3725
2048.0,0,Female,[55:60),3725
2048.0,1,Female,[60:65),2977
2048.0,0,Female,[60:65),2977
2048.0,1,Female,[65:70),1986
2048.0,0,Female,[65:70),1986
2048.0,1,Female,[70:75),1317
2048.0,0,Female,[70:75),1317
2048.0,1,Female,[75:80),852
2048.0,0,Female,[75:80),852
2049.0,1,Male,[0:5),5925
2049.0,0,Male,[0:5),5925
2049.0,1,Male,[0:200),67286
2049.0,0,Male,[0:200),67286
2049.0,1,Male,[5:10),5833
2049.0,0,Male,[5:10),5833
2049.0,1,Male,[10:15),5998
2049.0,0,Male,[10:15),5998
2049.0,1,Male,[15:20),5853
2049.0,0,Male,[15:20),5853
2049.0,1,Male,[20:25),5828
2049.0,0,Male,[20:25),5828
2049.0,1,Male,[25:30),5549
2049.0,0,Male,[25:30),5549
2049.0,1,Male,[30:35),5334
2049.0,0,Male,[30:35),5334
2049.0,1,Male,[35:40),4980
2049.0,0,Male,[35:40),4980
2049.0,1,Male,[40:45),4706
2049.0,0,Male,[40:45),4706
2049.0,1,Male,[45:50),4111
2049.0,0,Male,[45:50),4111
2049.0,1,Male,[50:55),3811
2049.0,0,Male,[50:55),3811
2049.0,1,Male,[55:60),3369
2049.0,0,Male,[55:60),3369
2049.0,1,Male,[60:65),2613
2049.0,0,Male,[60:65),2613
2049.0,1,Male,[65:70),1616
2049.0,0,Male,[65:70),1616
2049.0,1,Male,[70:75),957
2049.0,0,Male,[70:75),957
2049.0,1,Male,[75:80),510
2049.0,0,Male,[75:80),510
2049.0,1,Female,[0:5),6000
2049.0,0,Female,[0:5),6000
2049.0,1,Female,[0:200),72118
2049.0,0,Female,[0:200),72118
2049.0,1,Female,[5:10),5874
2049.0,0,Female,[5:10),5874
2049.0,1,Female,[10:15),6006
2049.0,0,Female,[10:15),6006
2049.0,1,Female,[15:20),5904
2049.0,0,Female,[15:20),5904
2049.0,1,Female,[20:25),6066
2049.0,0,Female,[20:25),6066
2049.0,1,Female,[25:30),5797
2049.0,0,Female,[25:30),5797
2049.0,1,Female,[30:35),5515
2049.0,0,Female,[30:35),5515
2049.0,1,Female,[35:40),5136
2049.0,0,Female,[35:40),5136
2049.0,1,Female,[40:45),4902
2049.0,0,Female,[40:45),4902
2049.0,1,Female,[45:50),4421
2049.0,0,Female,[45:50),4421
2049.0,1,Female,[50:55),4285
2049.0,0,Female,[50:55),4285
2049.0,1,Female,[55:60),3760
2049.0,0,Female,[55:60),3760
2049.0,1,Female,[60:65),3142
2049.0,0,Female,[60:65),3142
2049.0,1,Female,[65:70),2149
2049.0,0,Female,[65:70),2149
2049.0,1,Female,[70:75),1385
2049.0,0,Female,[70:75),1385
