Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6079
2048.0,0,Male,[0:5),6079
2048.0,1,Male,[0:200),68891
2048.0,0,Male,[0:200),68891
2048.0,1,Male,[5:10),6057
2048.0,0,Male,[5:10),6057
2048.0,1,Male,[10:15),6246
2048.0,0,Male,[10:15),6246
2048.0,1,Male,[15:20),6190
2048.0,0,Male,[15:20),6190
2048.0,1,Male,[20:25),5947
2048.0,0,Male,[20:25),5947
2048.0,1,Male,[25:30),5841
2048.0,0,Male,[25:30),5841
2048.0,1,Male,[30:35),5540
2048.0,0,Male,[30:35),5540
2048.0,1,Male,[35:40),4982
2048.0,0,Male,[35:40),4982
2048.0,1,Male,[40:45),4692
2048.0,0,Male,[40:45),4692
2048.0,1,Male,[45:50),4189
2048.0,0,Male,[45:50),4189
2048.0,1,Male,[50:55),4019
2048.0,0,Male,[50:55),4019
2048.0,1,Male,[55:60),3347
2048.0,0,Male,[55:60),3347
2048.0,1,Male,[60:65),2493
2048.0,0,Male,[60:65),2493
2048.0,1,Male,[65:70),1646
2048.0,0,Male,[65:70),1646
2048.0,1,Male,[70:75),844
2048.0,0,Male,[70:75),844
2048.0,1,Male,[75:80),494
2048.0,0,Male,[75:80),494
2048.0,1,Female,[0:5),6171
2048.0,0,Female,[0:5),6171
2048.0,1,Female,[0:200),73707
2048.0,0,Female,[0:200),73707
2048.0,1,Female,[5:10),6159
2048.0,0,Female,[5:10),6159
2048.0,1,Female,[10:15),6240
2048.0,0,Female,[10:15),6240
2048.0,1,Female,[15:20),6119
2048.0,0,Female,[15:20),6119
2048.0,1,Female,[20:25),6033
2048.0,0,Female,[20:25),6033
2048.0,1,Female,[25:30),5877
2048.0,0,Female,[25:30),5877
2048.0,1,Female,[30:35),5715
2048.0,0,Female,[30:35),5715
2048.0,1,Female,[35:40),5421
2048.0,0,Female,[35:40),5421
2048.0,1,Female,[40:45),4830
2048.0,0,Female,[40:45),4830
2048.0,1,Female,[45:50),4573
2048.0,0,Female,[45:50),4573
2048.0,1,Female,[50:55),4414
2048.0,0,Female,[50:55),4414
2048.0,1,Female,[55:60),3970
2048.0,0,Female,[55:60),3970
2048.0,1,Female,[60:65),2911
2048.0,0,Female,[60:65),2911
2048.0,1,Female,[65:70),2022
2048.0,0,Female,[65:70),2022
2048.0,1,Female,[70:75),1313
2048.0,0,Female,[70:75),1313
2048.0,1,Female,[75:80),943
2048.0,0,Female,[75:80),943
2049.0,1,Male,[0:5),6008
2049.0,0,Male,[0:5),6008
2049.0,1,Male,[0:200),69492
2049.0,0,Male,[0:200),69492
2049.0,1,Male,[5:10),6062
2049.0,0,Male,[5:10),6062
2049.0,1,Male,[10:15),6276
2049.0,0,Male,[10:15),6276
2049.0,1,Male,[15:20),6167
2049.0,0,Male,[15:20),6167
2049.0,1,Male,[20:25),5948
2049.0,0,Male,[20:25),5948
2049.0,1,Male,[25:30),5874
2049.0,0,Male,[25:30),5874
2049.0,1,Male,[30:35),5603
2049.0,0,Male,[30:35),5603
2049.0,1,Male,[35:40),5060
2049.0,0,Male,[35:40),5060
2049.0,1,Male,[40:45),4745
2049.0,0,Male,[40:45),4745
2049.0,1,Male,[45:50),4237
2049.0,0,Male,[45:50),4237
2049.0,1,Male,[50:55),4080
2049.0,0,Male,[50:55),4080
2049.0,1,Male,[55:60),3405
2049.0,0,Male,[55:60),3405
2049.0,1,Male,[60:65),2603
2049.0,0,Male,[60:65),2603
2049.0,1,Male,[65:70),1742
2049.0,0,Male,[65:70),1742
2049.0,1,Male,[70:75),878
2049.0,0,Male,[70:75),878
2049.0,1,Male,[75:80),494
2049.0,0,Male,[75:80),494
2049.0,1,Female,[0:5),6184
2049.0,0,Female,[0:5),6184
2049.0,1,Female,[0:200),74539
2049.0,0,Female,[0:200),74539
2049.0,1,Female,[5:10),6137
2049.0,0,Female,[5:10),6137
2049.0,1,Female,[10:15),6330
2049.0,0,Female,[10:15),6330
2049.0,1,Female,[15:20),6070
2049.0,0,Female,[15:20),6070
2049.0,1,Female,[20:25),6048
2049.0,0,Female,[20:25),6048
2049.0,1,Female,[25:30),5873
2049.0,0,Female,[25:30),5873
2049.0,1,Female,[30:35),5820
2049.0,0,Female,[30:35),5820
2049.0,1,Female,[35:40),5431
