Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.005331179321486268
2048.0,0,Male,[15:20),0.005331179321486268
2048.0,1,Male,[20:25),0.02051454514881453
2048.0,0,Male,[20:25),0.02051454514881453
2048.0,1,Male,[25:30),0.05632597158020887
2048.0,0,Male,[25:30),0.05632597158020887
2048.0,1,Male,[30:35),0.09584837545126354
2048.0,0,Male,[30:35),0.09584837545126354
2048.0,1,Male,[35:40),0.12745885186672018
2048.0,0,Male,[35:40),0.12745885186672018
2048.0,1,Male,[40:45),0.18584825234441602
2048.0,0,Male,[40:45),0.18584825234441602
2048.0,1,Male,[45:50),0.26092146096920504
2048.0,0,Male,[45:50),0.26092146096920504
2048.0,1,Male,[50:55),0.33764618064195073
2048.0,0,Male,[50:55),0.33764618064195073
2048.0,1,Male,[55:60),0.4490588586794144
2048.0,0,Male,[55:60),0.4490588586794144
2048.0,1,Male,[60:65),0.5350982751704774
2048.0,0,Male,[60:65),0.5350982751704774
2048.0,1,Male,[65:200),0.5830529213826858
2048.0,0,Male,[65:200),0.5830529213826858
2048.0,1,Female,[15:20),0.04069292368033992
2048.0,0,Female,[15:20),0.04069292368033992
2048.0,1,Female,[20:25),0.12365324051052544
2048.0,0,Female,[20:25),0.12365324051052544
2048.0,1,Female,[25:30),0.17525948613238046
2048.0,0,Female,[25:30),0.17525948613238046
2048.0,1,Female,[30:35),0.21819772528433945
2048.0,0,Female,[30:35),0.21819772528433945
2048.0,1,Female,[35:40),0.2689540675152186
2048.0,0,Female,[35:40),0.2689540675152186
2048.0,1,Female,[40:45),0.3188405797101449
2048.0,0,Female,[40:45),0.3188405797101449
2048.0,1,Female,[45:50),0.3901158976601793
2048.0,0,Female,[45:50),0.3901158976601793
2048.0,1,Female,[50:55),0.46714997734481195
2048.0,0,Female,[50:55),0.46714997734481195
2048.0,1,Female,[55:60),0.5458438287153652
2048.0,0,Female,[55:60),0.5458438287153652
2048.0,1,Female,[60:65),0.6228100309172105
2048.0,0,Female,[60:65),0.6228100309172105
2048.0,1,Female,[65:200),0.5646568069776261
2048.0,0,Female,[65:200),0.5646568069776261
2049.0,1,Male,[15:20),0.005351062104751094
2049.0,0,Male,[15:20),0.005351062104751094
2049.0,1,Male,[20:25),0.02034297242770679
2049.0,0,Male,[20:25),0.02034297242770679
2049.0,1,Male,[25:30),0.05311542390194075
2049.0,0,Male,[25:30),0.05311542390194075
2049.0,1,Male,[30:35),0.0942352311261824
2049.0,0,Male,[30:35),0.0942352311261824
2049.0,1,Male,[35:40),0.12786561264822136
2049.0,0,Male,[35:40),0.12786561264822136
2049.0,1,Male,[40:45),0.1810326659641728
2049.0,0,Male,[40:45),0.1810326659641728
2049.0,1,Male,[45:50),0.25112107623318386
2049.0,0,Male,[45:50),0.25112107623318386
2049.0,1,Male,[50:55),0.3348039215686274
2049.0,0,Male,[50:55),0.3348039215686274
2049.0,1,Male,[55:60),0.42143906020558003
2049.0,0,Male,[55:60),0.42143906020558003
2049.0,1,Male,[60:65),0.5293891663465232
2049.0,0,Male,[60:65),0.5293891663465232
2049.0,1,Male,[65:200),0.5858644859813084
2049.0,0,Male,[65:200),0.5858644859813084
2049.0,1,Female,[15:20),0.03739703459637562
2049.0,0,Female,[15:20),0.03739703459637562
2049.0,1,Female,[20:25),0.12152777777777778
2049.0,0,Female,[20:25),0.12152777777777778
2049.0,1,Female,[25:30),0.1784437255235825
2049.0,0,Female,[25:30),0.1784437255235825
2049.0,1,Female,[30:35),0.2168384879725086
2049.0,0,Female,[30:35),0.2168384879725086
2049.0,1,Female,[35:40),0.25851592708525134
2049.0,0,Female,[35:40),0.25851592708525134
2049.0,1,Female,[40:45),0.32242521582011646
2049.0,0,Female,[40:45),0.32242521582011646
2049.0,1,Female,[45:50),0.38000880669308673
2049.0,0,Female,[45:50),0.38000880669308673
2049.0,1,Female,[50:55),0.4506630703528883
2049.0,0,Female,[50:55),0.4506630703528883
2049.0,1,Female,[55:60),0.5316953316953317
2049.0,0,Female,[55:60),0.5316953316953317
2049.0,1,Female,[60:65),0.6138198256377139
2049.0,0,Female,[60:65),0.6138198256377139
2049.0,1,Female,[65:200),0.5767205374977301
2049.0,0,Female,[65:200),0.5767205374977301
2050.0,1,Male,[15:20),0.0045721750489875895
2050.0,0,Male,[15:20),0.0045721750489875895
2050.0,1,Male,[20:25),0.020465890183028287
2050.0,0,Male,[20:25),0.020465890183028287
2050.0,1,Male,[25:30),0.050645819170632225
2050.0,0,Male,[25:30),0.050645819170632225
2050.0,1,Male,[30:35),0.09253996447602131
2050.0,0,Male,[30:35),0.09253996447602131
2050.0,1,Male,[35:40),0.12507271669575334
2050.0,0,Male,[35:40),0.12507271669575334
2050.0,1,Male,[40:45),0.176123180763552
2050.0,0,Male,[40:45),0.176123180763552
2050.0,1,Male,[45:50),0.2417683628827999
2050.0,0,Male,[45:50),0.2417683628827999
2050.0,1,Male,[50:55),0.32146389713155293
2050.0,0,Male,[50:55),0.32146389713155293
2050.0,1,Male,[55:60),0.4120343839541547
2050.0,0,Male,[55:60),0.4120343839541547
2050.0,1,Male,[60:65),0.5102850956333453
2050.0,0,Male,[60:65),0.5102850956333453
2050.0,1,Male,[65:200),0.5929620393460793
2050.0,0,Male,[65:200),0.5929620393460793
2050.0,1,Female,[15:20),0.03547022453628376
2050.0,0,Female,[15:20),0.03547022453628376
2050.0,1,Female,[20:25),0.11668882978723404
2050.0,0,Female,[20:25),0.11668882978723404
2050.0,1,Female,[25:30),0.17886178861788618
2050.0,0,Female,[25:30),0.17886178861788618
2050.0,1,Female,[30:35),0.21634615384615385
2050.0,0,Female,[30:35),0.21634615384615385
2050.0,1,Female,[35:40),0.25253807106598986
2050.0,0,Female,[35:40),0.25253807106598986
2050.0,1,Female,[40:45),0.3159653952025167
2050.0,0,Female,[40:45),0.3159653952025167
2050.0,1,Female,[45:50),0.37669027688345136
2050.0,0,Female,[45:50),0.37669027688345136
2050.0,1,Female,[50:55),0.4311989100817439
2050.0,0,Female,[50:55),0.4311989100817439
2050.0,1,Female,[55:60),0.5173956262425448
2050.0,0,Female,[55:60),0.5173956262425448
2050.0,1,Female,[60:65),0.5970641102456561
2050.0,0,Female,[60:65),0.5970641102456561
2050.0,1,Female,[65:200),0.5889728615596015
2050.0,0,Female,[65:200),0.5889728615596015
2011.5,1,Male,[15:20),0.01866552242008153
2011.5,0,Male,[15:20),0.01866552242008153
2011.5,1,Male,[20:25),0.09233568342051399
2011.5,0,Male,[20:25),0.09233568342051399
