Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5941
2048.0,0,Male,[0:5),5941
2048.0,1,Male,[0:200),68940
2048.0,0,Male,[0:200),68940
2048.0,1,Male,[5:10),6129
2048.0,0,Male,[5:10),6129
2048.0,1,Male,[10:15),6141
2048.0,0,Male,[10:15),6141
2048.0,1,Male,[15:20),6082
2048.0,0,Male,[15:20),6082
2048.0,1,Male,[20:25),6032
2048.0,0,Male,[20:25),6032
2048.0,1,Male,[25:30),5725
2048.0,0,Male,[25:30),5725
2048.0,1,Male,[30:35),5518
2048.0,0,Male,[30:35),5518
2048.0,1,Male,[35:40),5164
2048.0,0,Male,[35:40),5164
2048.0,1,Male,[40:45),4698
2048.0,0,Male,[40:45),4698
2048.0,1,Male,[45:50),4237
2048.0,0,Male,[45:50),4237
2048.0,1,Male,[50:55),3974
2048.0,0,Male,[50:55),3974
2048.0,1,Male,[55:60),3513
2048.0,0,Male,[55:60),3513
2048.0,1,Male,[60:65),2536
2048.0,0,Male,[60:65),2536
2048.0,1,Male,[65:70),1565
2048.0,0,Male,[65:70),1565
2048.0,1,Male,[70:75),896
2048.0,0,Male,[70:75),896
2048.0,1,Male,[75:80),472
2048.0,0,Male,[75:80),472
2048.0,1,Female,[0:5),6095
2048.0,0,Female,[0:5),6095
2048.0,1,Female,[0:200),73272
2048.0,0,Female,[0:200),73272
2048.0,1,Female,[5:10),6001
2048.0,0,Female,[5:10),6001
2048.0,1,Female,[10:15),6282
2048.0,0,Female,[10:15),6282
2048.0,1,Female,[15:20),6084
2048.0,0,Female,[15:20),6084
2048.0,1,Female,[20:25),6019
2048.0,0,Female,[20:25),6019
2048.0,1,Female,[25:30),5734
2048.0,0,Female,[25:30),5734
2048.0,1,Female,[30:35),5649
2048.0,0,Female,[30:35),5649
2048.0,1,Female,[35:40),5249
2048.0,0,Female,[35:40),5249
2048.0,1,Female,[40:45),4895
2048.0,0,Female,[40:45),4895
2048.0,1,Female,[45:50),4713
2048.0,0,Female,[45:50),4713
2048.0,1,Female,[50:55),4424
2048.0,0,Female,[50:55),4424
2048.0,1,Female,[55:60),3826
2048.0,0,Female,[55:60),3826
2048.0,1,Female,[60:65),2983
2048.0,0,Female,[60:65),2983
2048.0,1,Female,[65:70),2126
2048.0,0,Female,[65:70),2126
2048.0,1,Female,[70:75),1294
2048.0,0,Female,[70:75),1294
2048.0,1,Female,[75:80),958
2048.0,0,Female,[75:80),958
2049.0,1,Male,[0:5),5978
2049.0,0,Male,[0:5),5978
2049.0,1,Male,[0:200),69552
2049.0,0,Male,[0:200),69552
2049.0,1,Male,[5:10),6022
2049.0,0,Male,[5:10),6022
2049.0,1,Male,[10:15),6218
2049.0,0,Male,[10:15),6218
2049.0,1,Male,[15:20),5978
2049.0,0,Male,[15:20),5978
2049.0,1,Male,[20:25),6073
2049.0,0,Male,[20:25),6073
2049.0,1,Male,[25:30),5725
2049.0,0,Male,[25:30),5725
2049.0,1,Male,[30:35),5667
2049.0,0,Male,[30:35),5667
2049.0,1,Male,[35:40),5140
2049.0,0,Male,[35:40),5140
2049.0,1,Male,[40:45),4795
2049.0,0,Male,[40:45),4795
2049.0,1,Male,[45:50),4259
2049.0,0,Male,[45:50),4259
2049.0,1,Male,[50:55),4040
2049.0,0,Male,[50:55),4040
