Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6093
2048.0,0,Male,[0:5),6093
2048.0,1,Male,[0:200),68701
2048.0,0,Male,[0:200),68701
2048.0,1,Male,[5:10),6187
2048.0,0,Male,[5:10),6187
2048.0,1,Male,[10:15),6165
2048.0,0,Male,[10:15),6165
2048.0,1,Male,[15:20),6048
2048.0,0,Male,[15:20),6048
2048.0,1,Male,[20:25),5902
2048.0,0,Male,[20:25),5902
2048.0,1,Male,[25:30),5841
2048.0,0,Male,[25:30),5841
2048.0,1,Male,[30:35),5428
2048.0,0,Male,[30:35),5428
2048.0,1,Male,[35:40),5036
2048.0,0,Male,[35:40),5036
2048.0,1,Male,[40:45),4534
2048.0,0,Male,[40:45),4534
2048.0,1,Male,[45:50),4251
2048.0,0,Male,[45:50),4251
2048.0,1,Male,[50:55),3902
2048.0,0,Male,[50:55),3902
2048.0,1,Male,[55:60),3421
2048.0,0,Male,[55:60),3421
2048.0,1,Male,[60:65),2613
2048.0,0,Male,[60:65),2613
2048.0,1,Male,[65:70),1614
2048.0,0,Male,[65:70),1614
2048.0,1,Male,[70:75),857
2048.0,0,Male,[70:75),857
2048.0,1,Male,[75:80),492
2048.0,0,Male,[75:80),492
2048.0,1,Female,[0:5),6095
2048.0,0,Female,[0:5),6095
2048.0,1,Female,[0:200),73889
2048.0,0,Female,[0:200),73889
2048.0,1,Female,[5:10),6086
2048.0,0,Female,[5:10),6086
2048.0,1,Female,[10:15),6274
2048.0,0,Female,[10:15),6274
2048.0,1,Female,[15:20),6265
2048.0,0,Female,[15:20),6265
2048.0,1,Female,[20:25),6148
2048.0,0,Female,[20:25),6148
2048.0,1,Female,[25:30),5978
2048.0,0,Female,[25:30),5978
2048.0,1,Female,[30:35),5561
2048.0,0,Female,[30:35),5561
2048.0,1,Female,[35:40),5337
2048.0,0,Female,[35:40),5337
2048.0,1,Female,[40:45),5001
2048.0,0,Female,[40:45),5001
2048.0,1,Female,[45:50),4662
2048.0,0,Female,[45:50),4662
2048.0,1,Female,[50:55),4371
2048.0,0,Female,[50:55),4371
2048.0,1,Female,[55:60),3976
2048.0,0,Female,[55:60),3976
2048.0,1,Female,[60:65),2941
2048.0,0,Female,[60:65),2941
2048.0,1,Female,[65:70),1990
2048.0,0,Female,[65:70),1990
2048.0,1,Female,[70:75),1367
2048.0,0,Female,[70:75),1367
2048.0,1,Female,[75:80),935
2048.0,0,Female,[75:80),935
2049.0,1,Male,[0:5),6066
2049.0,0,Male,[0:5),6066
2049.0,1,Male,[0:200),69335
2049.0,0,Male,[0:200),69335
2049.0,1,Male,[5:10),6183
2049.0,0,Male,[5:10),6183
2049.0,1,Male,[10:15),6158
2049.0,0,Male,[10:15),6158
2049.0,1,Male,[15:20),6060
2049.0,0,Male,[15:20),6060
2049.0,1,Male,[20:25),5957
2049.0,0,Male,[20:25),5957
2049.0,1,Male,[25:30),5817
2049.0,0,Male,[25:30),5817
2049.0,1,Male,[30:35),5486
2049.0,0,Male,[30:35),5486
2049.0,1,Male,[35:40),5084
2049.0,0,Male,[35:40),5084
2049.0,1,Male,[40:45),4674
2049.0,0,Male,[40:45),4674
2049.0,1,Male,[45:50),4223
2049.0,0,Male,[45:50),4223
2049.0,1,Male,[50:55),3943
2049.0,0,Male,[50:55),3943
2049.0,1,Male,[55:60),3514
2049.0,0,Male,[55:60),3514
2049.0,1,Male,[60:65),2685
2049.0,0,Male,[60:65),2685
2049.0,1,Male,[65:70),1712
2049.0,0,Male,[65:70),1712
2049.0,1,Male,[70:75),934
2049.0,0,Male,[70:75),934
2049.0,1,Male,[75:80),516
2049.0,0,Male,[75:80),516
2049.0,1,Female,[0:5),6128
2049.0,0,Female,[0:5),6128
2049.0,1,Female,[0:200),74700
2049.0,0,Female,[0:200),74700
2049.0,1,Female,[5:10),6070
2049.0,0,Female,[5:10),6070
2049.0,1,Female,[10:15),6251
2049.0,0,Female,[10:15),6251
2049.0,1,Female,[15:20),6190
2049.0,0,Female,[15:20),6190
2049.0,1,Female,[20:25),6217
2049.0,0,Female,[20:25),6217
2049.0,1,Female,[25:30),6021
2049.0,0,Female,[25:30),6021
2049.0,1,Female,[30:35),5665
2049.0,0,Female,[30:35),5665
2049.0,1,Female,[35:40),5329
2049.0,0,Female,[35:40),5329
2049.0,1,Female,[40:45),5086
2049.0,0,Female,[40:45),5086
2049.0,1,Female,[45:50),4715
2049.0,0,Female,[45:50),4715
2049.0,1,Female,[50:55),4379
2049.0,0,Female,[50:55),4379
2049.0,1,Female,[55:60),4036
2049.0,0,Female,[55:60),4036
2049.0,1,Female,[60:65),3165
2049.0,0,Female,[60:65),3165
2049.0,1,Female,[65:70),2125
2049.0,0,Female,[65:70),2125
2049.0,1,Female,[70:75),1409
2049.0,0,Female,[70:75),1409
2049.0,1,Female,[75:80),967
2049.0,0,Female,[75:80),967
2050.0,1,Male,[0:5),6075
2050.0,0,Male,[0:5),6075
2050.0,1,Male,[0:200),69964
2050.0,0,Male,[0:200),69964
2050.0,1,Male,[5:10),6173
2050.0,0,Male,[5:10),6173
2050.0,1,Male,[10:15),6090
2050.0,0,Male,[10:15),6090
2050.0,1,Male,[15:20),6063
2050.0,0,Male,[15:20),6063
2050.0,1,Male,[20:25),5970
2050.0,0,Male,[20:25),5970
2050.0,1,Male,[25:30),5837
2050.0,0,Male,[25:30),5837
2050.0,1,Male,[30:35),5615
2050.0,0,Male,[30:35),5615
2050.0,1,Male,[35:40),5139
2050.0,0,Male,[35:40),5139
2050.0,1,Male,[40:45),4714
2050.0,0,Male,[40:45),4714
2050.0,1,Male,[45:50),4281
2050.0,0,Male,[45:50),4281
2050.0,1,Male,[50:55),3954
2050.0,0,Male,[50:55),3954
2050.0,1,Male,[55:60),3541
2050.0,0,Male,[55:60),3541
2050.0,1,Male,[60:65),2807
2050.0,0,Male,[60:65),2807
2050.0,1,Male,[65:70),1804
2050.0,0,Male,[65:70),1804
2050.0,1,Male,[70:75),1016
2050.0,0,Male,[70:75),1016
2050.0,1,Male,[75:80),543
2050.0,0,Male,[75:80),543
2050.0,1,Female,[0:5),6169
2050.0,0,Female,[0:5),6169
2050.0,1,Female,[0:200),75541
2050.0,0,Female,[0:200),75541
2050.0,1,Female,[5:10),6018
2050.0,0,Female,[5:10),6018
2050.0,1,Female,[10:15),6235
2050.0,0,Female,[10:15),6235
2050.0,1,Female,[15:20),6236
2050.0,0,Female,[15:20),6236
2050.0,1,Female,[20:25),6191
2050.0,0,Female,[20:25),6191
2050.0,1,Female,[25:30),6043
2050.0,0,Female,[25:30),6043
2050.0,1,Female,[30:35),5755
2050.0,0,Female,[30:35),5755
2050.0,1,Female,[35:40),5375
2050.0,0,Female,[35:40),5375
2050.0,1,Female,[40:45),5141
2050.0,0,Female,[40:45),5141
2050.0,1,Female,[45:50),4737
2050.0,0,Female,[45:50),4737
2050.0,1,Female,[50:55),4490
2050.0,0,Female,[50:55),4490
2050.0,1,Female,[55:60),4022
2050.0,0,Female,[55:60),4022
2050.0,1,Female,[60:65),3371
2050.0,0,Female,[60:65),3371
2050.0,1,Female,[65:70),2274
2050.0,0,Female,[65:70),2274
2050.0,1,Female,[70:75),1488
2050.0,0,Female,[70:75),1488
2050.0,1,Female,[75:80),998
2050.0,0,Female,[75:80),998
2039.0,1,Male,[0:5),6126
2039.0,0,Male,[0:5),6126
2039.0,1,Male,[0:200),62040
2039.0,0,Male,[0:200),62040
2039.0,1,Male,[5:10),6013
2039.0,0,Male,[5:10),6013
2039.0,1,Male,[10:15),6154
2039.0,0,Male,[10:15),6154
2039.0,1,Male,[15:20),6026
2039.0,0,Male,[15:20),6026
2039.0,1,Male,[20:25),5597
2039.0,0,Male,[20:25),5597
2039.0,1,Male,[25:30),5156
2039.0,0,Male,[25:30),5156
2039.0,1,Male,[30:35),4871
2039.0,0,Male,[30:35),4871
2039.0,1,Male,[35:40),4481
2039.0,0,Male,[35:40),4481
2039.0,1,Male,[40:45),4236
2039.0,0,Male,[40:45),4236
2039.0,1,Male,[45:50),4020
2039.0,0,Male,[45:50),4020
2039.0,1,Male,[50:55),3370
2039.0,0,Male,[50:55),3370
2039.0,1,Male,[55:60),2331
2039.0,0,Male,[55:60),2331
2039.0,1,Male,[60:65),1519
2039.0,0,Male,[60:65),1519
2039.0,1,Male,[65:70),1044
2039.0,0,Male,[65:70),1044
2039.0,1,Male,[70:75),650
2039.0,0,Male,[70:75),650
2039.0,1,Male,[75:80),317
2039.0,0,Male,[75:80),317
2039.0,1,Female,[0:5),6196
2039.0,0,Female,[0:5),6196
2039.0,1,Female,[0:200),65983
2039.0,0,Female,[0:200),65983
2039.0,1,Female,[5:10),6137
