Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6384
2048.0,0,Male,[0:5),6384
2048.0,1,Male,[0:200),70460
2048.0,0,Male,[0:200),70460
2048.0,1,Male,[5:10),6185
2048.0,0,Male,[5:10),6185
2048.0,1,Male,[10:15),6247
2048.0,0,Male,[10:15),6247
2048.0,1,Male,[15:20),6140
2048.0,0,Male,[15:20),6140
2048.0,1,Male,[20:25),5950
2048.0,0,Male,[20:25),5950
2048.0,1,Male,[25:30),5814
2048.0,0,Male,[25:30),5814
2048.0,1,Male,[30:35),5606
2048.0,0,Male,[30:35),5606
2048.0,1,Male,[35:40),5278
2048.0,0,Male,[35:40),5278
2048.0,1,Male,[40:45),4730
2048.0,0,Male,[40:45),4730
2048.0,1,Male,[45:50),4386
2048.0,0,Male,[45:50),4386
2048.0,1,Male,[50:55),4157
2048.0,0,Male,[50:55),4157
2048.0,1,Male,[55:60),3592
2048.0,0,Male,[55:60),3592
2048.0,1,Male,[60:65),2627
2048.0,0,Male,[60:65),2627
2048.0,1,Male,[65:70),1607
2048.0,0,Male,[65:70),1607
2048.0,1,Male,[70:75),914
2048.0,0,Male,[70:75),914
2048.0,1,Male,[75:80),537
2048.0,0,Male,[75:80),537
2048.0,1,Female,[0:5),6309
2048.0,0,Female,[0:5),6309
2048.0,1,Female,[0:200),75123
2048.0,0,Female,[0:200),75123
2048.0,1,Female,[5:10),6130
2048.0,0,Female,[5:10),6130
2048.0,1,Female,[10:15),6427
2048.0,0,Female,[10:15),6427
2048.0,1,Female,[15:20),6263
2048.0,0,Female,[15:20),6263
2048.0,1,Female,[20:25),6229
2048.0,0,Female,[20:25),6229
2048.0,1,Female,[25:30),6022
2048.0,0,Female,[25:30),6022
2048.0,1,Female,[30:35),5725
2048.0,0,Female,[30:35),5725
2048.0,1,Female,[35:40),5401
2048.0,0,Female,[35:40),5401
2048.0,1,Female,[40:45),5046
2048.0,0,Female,[40:45),5046
2048.0,1,Female,[45:50),4643
2048.0,0,Female,[45:50),4643
2048.0,1,Female,[50:55),4456
2048.0,0,Female,[50:55),4456
2048.0,1,Female,[55:60),4051
2048.0,0,Female,[55:60),4051
2048.0,1,Female,[60:65),3088
2048.0,0,Female,[60:65),3088
2048.0,1,Female,[65:70),2053
2048.0,0,Female,[65:70),2053
2048.0,1,Female,[70:75),1336
2048.0,0,Female,[70:75),1336
2048.0,1,Female,[75:80),976
2048.0,0,Female,[75:80),976
2049.0,1,Male,[0:5),6323
2049.0,0,Male,[0:5),6323
2049.0,1,Male,[0:200),71083
2049.0,0,Male,[0:200),71083
2049.0,1,Male,[5:10),6230
2049.0,0,Male,[5:10),6230
2049.0,1,Male,[10:15),6253
2049.0,0,Male,[10:15),6253
2049.0,1,Male,[15:20),6129
2049.0,0,Male,[15:20),6129
2049.0,1,Male,[20:25),5990
2049.0,0,Male,[20:25),5990
2049.0,1,Male,[25:30),5808
2049.0,0,Male,[25:30),5808
2049.0,1,Male,[30:35),5723
2049.0,0,Male,[30:35),5723
2049.0,1,Male,[35:40),5223
2049.0,0,Male,[35:40),5223
2049.0,1,Male,[40:45),4914
2049.0,0,Male,[40:45),4914
2049.0,1,Male,[45:50),4359
2049.0,0,Male,[45:50),4359
2049.0,1,Male,[50:55),4161
2049.0,0,Male,[50:55),4161
2049.0,1,Male,[55:60),3613
2049.0,0,Male,[55:60),3613
2049.0,1,Male,[60:65),2796
2049.0,0,Male,[60:65),2796
2049.0,1,Male,[65:70),1709
2049.0,0,Male,[65:70),1709
2049.0,1,Male,[70:75),987
2049.0,0,Male,[70:75),987
2049.0,1,Male,[75:80),550
2049.0,0,Male,[75:80),550
2049.0,1,Female,[0:5),6201
2049.0,0,Female,[0:5),6201
2049.0,1,Female,[0:200),75916
2049.0,0,Female,[0:200),75916
2049.0,1,Female,[5:10),6134
2049.0,0,Female,[5:10),6134
2049.0,1,Female,[10:15),6485
2049.0,0,Female,[10:15),6485
2049.0,1,Female,[15:20),6207
2049.0,0,Female,[15:20),6207
2049.0,1,Female,[20:25),6305
2049.0,0,Female,[20:25),6305
2049.0,1,Female,[25:30),5999
2049.0,0,Female,[25:30),5999
2049.0,1,Female,[30:35),5834
2049.0,0,Female,[30:35),5834
2049.0,1,Female,[35:40),5418
2049.0,0,Female,[35:40),5418
2049.0,1,Female,[40:45),5171
2049.0,0,Female,[40:45),5171
2049.0,1,Female,[45:50),4682
2049.0,0,Female,[45:50),4682
2049.0,1,Female,[50:55),4397
2049.0,0,Female,[50:55),4397
2049.0,1,Female,[55:60),4183
2049.0,0,Female,[55:60),4183
2049.0,1,Female,[60:65),3259
2049.0,0,Female,[60:65),3259
2049.0,1,Female,[65:70),2230
2049.0,0,Female,[65:70),2230
2049.0,1,Female,[70:75),1385
2049.0,0,Female,[70:75),1385
2049.0,1,Female,[75:80),1016
2049.0,0,Female,[75:80),1016
2050.0,1,Male,[0:5),6284
2050.0,0,Male,[0:5),6284
2050.0,1,Male,[0:200),71753
2050.0,0,Male,[0:200),71753
2050.0,1,Male,[5:10),6261
2050.0,0,Male,[5:10),6261
2050.0,1,Male,[10:15),6243
2050.0,0,Male,[10:15),6243
2050.0,1,Male,[15:20),6180
2050.0,0,Male,[15:20),6180
2050.0,1,Male,[20:25),5986
2050.0,0,Male,[20:25),5986
2050.0,1,Male,[25:30),5826
2050.0,0,Male,[25:30),5826
2050.0,1,Male,[30:35),5745
2050.0,0,Male,[30:35),5745
2050.0,1,Male,[35:40),5283
2050.0,0,Male,[35:40),5283
2050.0,1,Male,[40:45),5062
2050.0,0,Male,[40:45),5062
2050.0,1,Male,[45:50),4391
2050.0,0,Male,[45:50),4391
2050.0,1,Male,[50:55),4124
2050.0,0,Male,[50:55),4124
2050.0,1,Male,[55:60),3671
2050.0,0,Male,[55:60),3671
2050.0,1,Male,[60:65),2917
2050.0,0,Male,[60:65),2917
2050.0,1,Male,[65:70),1833
2050.0,0,Male,[65:70),1833
2050.0,1,Male,[70:75),1030
2050.0,0,Male,[70:75),1030
2050.0,1,Male,[75:80),576
2050.0,0,Male,[75:80),576
2050.0,1,Female,[0:5),6211
2050.0,0,Female,[0:5),6211
2050.0,1,Female,[0:200),76750
2050.0,0,Female,[0:200),76750
2050.0,1,Female,[5:10),6171
2050.0,0,Female,[5:10),6171
2050.0,1,Female,[10:15),6401
2050.0,0,Female,[10:15),6401
2050.0,1,Female,[15:20),6246
2050.0,0,Female,[15:20),6246
2050.0,1,Female,[20:25),6294
2050.0,0,Female,[20:25),6294
2050.0,1,Female,[25:30),6047
2050.0,0,Female,[25:30),6047
2050.0,1,Female,[30:35),5856
2050.0,0,Female,[30:35),5856
2050.0,1,Female,[35:40),5515
2050.0,0,Female,[35:40),5515
2050.0,1,Female,[40:45),5243
2050.0,0,Female,[40:45),5243
2050.0,1,Female,[45:50),4708
2050.0,0,Female,[45:50),4708
2050.0,1,Female,[50:55),4447
2050.0,0,Female,[50:55),4447
2050.0,1,Female,[55:60),4204
2050.0,0,Female,[55:60),4204
2050.0,1,Female,[60:65),3468
2050.0,0,Female,[60:65),3468
2050.0,1,Female,[65:70),2363
2050.0,0,Female,[65:70),2363
2050.0,1,Female,[70:75),1477
2050.0,0,Female,[70:75),1477
2050.0,1,Female,[75:80),1040
2050.0,0,Female,[75:80),1040
2039.0,1,Male,[0:5),6232
2039.0,0,Male,[0:5),6232
2039.0,1,Male,[0:200),63502
2039.0,0,Male,[0:200),63502
2039.0,1,Male,[5:10),6072
2039.0,0,Male,[5:10),6072
2039.0,1,Male,[10:15),6172
2039.0,0,Male,[10:15),6172
2039.0,1,Male,[15:20),6000
2039.0,0,Male,[15:20),6000
2039.0,1,Male,[20:25),5839
2039.0,0,Male,[20:25),5839
2039.0,1,Male,[25:30),5296
2039.0,0,Male,[25:30),5296
2039.0,1,Male,[30:35),5121
2039.0,0,Male,[30:35),5121
2039.0,1,Male,[35:40),4621
2039.0,0,Male,[35:40),4621
2039.0,1,Male,[40:45),4436
2039.0,0,Male,[40:45),4436
2039.0,1,Male,[45:50),4150
2039.0,0,Male,[45:50),4150
2039.0,1,Male,[50:55),3485
2039.0,0,Male,[50:55),3485
2039.0,1,Male,[55:60),2356
2039.0,0,Male,[55:60),2356
2039.0,1,Male,[60:65),1599
2039.0,0,Male,[60:65),1599
2039.0,1,Male,[65:70),1019
2039.0,0,Male,[65:70),1019
2039.0,1,Male,[70:75),646
2039.0,0,Male,[70:75),646
2039.0,1,Male,[75:80),318
2039.0,0,Male,[75:80),318
2039.0,1,Female,[0:5),6418
2039.0,0,Female,[0:5),6418
