Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5992
2048.0,0,Male,[0:5),5992
2048.0,1,Male,[0:200),67985
2048.0,0,Male,[0:200),67985
2048.0,1,Male,[5:10),5732
2048.0,0,Male,[5:10),5732
2048.0,1,Male,[10:15),6131
2048.0,0,Male,[10:15),6131
2048.0,1,Male,[15:20),5996
2048.0,0,Male,[15:20),5996
2048.0,1,Male,[20:25),5974
2048.0,0,Male,[20:25),5974
2048.0,1,Male,[25:30),5773
2048.0,0,Male,[25:30),5773
2048.0,1,Male,[30:35),5366
2048.0,0,Male,[30:35),5366
2048.0,1,Male,[35:40),5137
2048.0,0,Male,[35:40),5137
2048.0,1,Male,[40:45),4765
2048.0,0,Male,[40:45),4765
2048.0,1,Male,[45:50),4167
2048.0,0,Male,[45:50),4167
2048.0,1,Male,[50:55),3845
2048.0,0,Male,[50:55),3845
2048.0,1,Male,[55:60),3349
2048.0,0,Male,[55:60),3349
2048.0,1,Male,[60:65),2445
2048.0,0,Male,[60:65),2445
2048.0,1,Male,[65:70),1554
2048.0,0,Male,[65:70),1554
2048.0,1,Male,[70:75),924
2048.0,0,Male,[70:75),924
2048.0,1,Male,[75:80),528
2048.0,0,Male,[75:80),528
2048.0,1,Female,[0:5),5961
2048.0,0,Female,[0:5),5961
2048.0,1,Female,[0:200),72271
2048.0,0,Female,[0:200),72271
2048.0,1,Female,[5:10),5862
2048.0,0,Female,[5:10),5862
2048.0,1,Female,[10:15),6191
2048.0,0,Female,[10:15),6191
2048.0,1,Female,[15:20),6113
2048.0,0,Female,[15:20),6113
2048.0,1,Female,[20:25),6005
2048.0,0,Female,[20:25),6005
2048.0,1,Female,[25:30),5731
2048.0,0,Female,[25:30),5731
2048.0,1,Female,[30:35),5552
2048.0,0,Female,[30:35),5552
2048.0,1,Female,[35:40),5144
2048.0,0,Female,[35:40),5144
2048.0,1,Female,[40:45),4802
2048.0,0,Female,[40:45),4802
2048.0,1,Female,[45:50),4508
2048.0,0,Female,[45:50),4508
2048.0,1,Female,[50:55),4326
2048.0,0,Female,[50:55),4326
2048.0,1,Female,[55:60),3911
2048.0,0,Female,[55:60),3911
2048.0,1,Female,[60:65),2986
2048.0,0,Female,[60:65),2986
2048.0,1,Female,[65:70),1990
2048.0,0,Female,[65:70),1990
2048.0,1,Female,[70:75),1307
