Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6237
2048.0,0,Male,[0:5),6237
2048.0,1,Male,[0:200),70448
2048.0,0,Male,[0:200),70448
2048.0,1,Male,[5:10),6057
2048.0,0,Male,[5:10),6057
2048.0,1,Male,[10:15),6235
2048.0,0,Male,[10:15),6235
2048.0,1,Male,[15:20),6214
2048.0,0,Male,[15:20),6214
2048.0,1,Male,[20:25),5961
2048.0,0,Male,[20:25),5961
2048.0,1,Male,[25:30),5849
2048.0,0,Male,[25:30),5849
2048.0,1,Male,[30:35),5749
2048.0,0,Male,[30:35),5749
2048.0,1,Male,[35:40),5407
2048.0,0,Male,[35:40),5407
2048.0,1,Male,[40:45),4727
2048.0,0,Male,[40:45),4727
2048.0,1,Male,[45:50),4464
2048.0,0,Male,[45:50),4464
2048.0,1,Male,[50:55),4122
2048.0,0,Male,[50:55),4122
2048.0,1,Male,[55:60),3552
2048.0,0,Male,[55:60),3552
2048.0,1,Male,[60:65),2557
2048.0,0,Male,[60:65),2557
2048.0,1,Male,[65:70),1656
2048.0,0,Male,[65:70),1656
2048.0,1,Male,[70:75),899
2048.0,0,Male,[70:75),899
2048.0,1,Male,[75:80),470
2048.0,0,Male,[75:80),470
2048.0,1,Female,[0:5),6417
2048.0,0,Female,[0:5),6417
2048.0,1,Female,[0:200),75512
2048.0,0,Female,[0:200),75512
2048.0,1,Female,[5:10),6322
2048.0,0,Female,[5:10),6322
2048.0,1,Female,[10:15),6231
2048.0,0,Female,[10:15),6231
2048.0,1,Female,[15:20),6271
2048.0,0,Female,[15:20),6271
2048.0,1,Female,[20:25),6204
2048.0,0,Female,[20:25),6204
2048.0,1,Female,[25:30),6042
2048.0,0,Female,[25:30),6042
2048.0,1,Female,[30:35),5796
2048.0,0,Female,[30:35),5796
2048.0,1,Female,[35:40),5387
2048.0,0,Female,[35:40),5387
2048.0,1,Female,[40:45),5081
2048.0,0,Female,[40:45),5081
2048.0,1,Female,[45:50),4654
2048.0,0,Female,[45:50),4654
2048.0,1,Female,[50:55),4497
2048.0,0,Female,[50:55),4497
2048.0,1,Female,[55:60),4099
2048.0,0,Female,[55:60),4099
2048.0,1,Female,[60:65),3143
2048.0,0,Female,[60:65),3143
2048.0,1,Female,[65:70),2149
2048.0,0,Female,[65:70),2149
2048.0,1,Female,[70:75),1362
2048.0,0,Female,[70:75),1362
2048.0,1,Female,[75:80),936
2048.0,0,Female,[75:80),936
2049.0,1,Male,[0:5),6292
2049.0,0,Male,[0:5),6292
2049.0,1,Male,[0:200),71121
2049.0,0,Male,[0:200),71121
2049.0,1,Male,[5:10),6000
2049.0,0,Male,[5:10),6000
2049.0,1,Male,[10:15),6232
2049.0,0,Male,[10:15),6232
2049.0,1,Male,[15:20),6196
2049.0,0,Male,[15:20),6196
2049.0,1,Male,[20:25),6040
2049.0,0,Male,[20:25),6040
2049.0,1,Male,[25:30),5815
2049.0,0,Male,[25:30),5815
2049.0,1,Male,[30:35),5844
2049.0,0,Male,[30:35),5844
2049.0,1,Male,[35:40),5447
2049.0,0,Male,[35:40),5447
2049.0,1,Male,[40:45),4812
2049.0,0,Male,[40:45),4812
2049.0,1,Male,[45:50),4468
2049.0,0,Male,[45:50),4468
2049.0,1,Male,[50:55),4229
2049.0,0,Male,[50:55),4229
2049.0,1,Male,[55:60),3561
2049.0,0,Male,[55:60),3561
2049.0,1,Male,[60:65),2732
2049.0,0,Male,[60:65),2732
2049.0,1,Male,[65:70),1695
2049.0,0,Male,[65:70),1695
2049.0,1,Male,[70:75),956
2049.0,0,Male,[70:75),956
2049.0,1,Male,[75:80),510
2049.0,0,Male,[75:80),510
2049.0,1,Female,[0:5),6328
2049.0,0,Female,[0:5),6328
2049.0,1,Female,[0:200),76255
2049.0,0,Female,[0:200),76255
2049.0,1,Female,[5:10),6367
2049.0,0,Female,[5:10),6367
2049.0,1,Female,[10:15),6281
2049.0,0,Female,[10:15),6281
2049.0,1,Female,[15:20),6194
2049.0,0,Female,[15:20),6194
2049.0,1,Female,[20:25),6240
2049.0,0,Female,[20:25),6240
2049.0,1,Female,[25:30),6080
2049.0,0,Female,[25:30),6080
2049.0,1,Female,[30:35),5835
2049.0,0,Female,[30:35),5835
2049.0,1,Female,[35:40),5453
2049.0,0,Female,[35:40),5453
2049.0,1,Female,[40:45),5122
2049.0,0,Female,[40:45),5122
2049.0,1,Female,[45:50),4681
2049.0,0,Female,[45:50),4681
2049.0,1,Female,[50:55),4544
2049.0,0,Female,[50:55),4544
2049.0,1,Female,[55:60),4157
2049.0,0,Female,[55:60),4157
2049.0,1,Female,[60:65),3362
2049.0,0,Female,[60:65),3362
2049.0,1,Female,[65:70),2249
2049.0,0,Female,[65:70),2249
2049.0,1,Female,[70:75),1442
2049.0,0,Female,[70:75),1442
2049.0,1,Female,[75:80),965
2049.0,0,Female,[75:80),965
2050.0,1,Male,[0:5),6273
2050.0,0,Male,[0:5),6273
2050.0,1,Male,[0:200),71752
2050.0,0,Male,[0:200),71752
2050.0,1,Male,[5:10),5979
2050.0,0,Male,[5:10),5979
2050.0,1,Male,[10:15),6250
2050.0,0,Male,[10:15),6250
2050.0,1,Male,[15:20),6153
2050.0,0,Male,[15:20),6153
2050.0,1,Male,[20:25),6070
2050.0,0,Male,[20:25),6070
2050.0,1,Male,[25:30),5828
2050.0,0,Male,[25:30),5828
2050.0,1,Male,[30:35),5887
2050.0,0,Male,[30:35),5887
2050.0,1,Male,[35:40),5489
2050.0,0,Male,[35:40),5489
2050.0,1,Male,[40:45),4957
2050.0,0,Male,[40:45),4957
2050.0,1,Male,[45:50),4495
2050.0,0,Male,[45:50),4495
2050.0,1,Male,[50:55),4212
2050.0,0,Male,[50:55),4212
2050.0,1,Male,[55:60),3569
2050.0,0,Male,[55:60),3569
2050.0,1,Male,[60:65),2910
2050.0,0,Male,[60:65),2910
2050.0,1,Male,[65:70),1831
2050.0,0,Male,[65:70),1831
2050.0,1,Male,[70:75),1009
2050.0,0,Male,[70:75),1009
2050.0,1,Male,[75:80),539
2050.0,0,Male,[75:80),539
2050.0,1,Female,[0:5),6303
2050.0,0,Female,[0:5),6303
2050.0,1,Female,[0:200),77096
2050.0,0,Female,[0:200),77096
2050.0,1,Female,[5:10),6369
2050.0,0,Female,[5:10),6369
2050.0,1,Female,[10:15),6331
2050.0,0,Female,[10:15),6331
2050.0,1,Female,[15:20),6216
2050.0,0,Female,[15:20),6216
2050.0,1,Female,[20:25),6187
2050.0,0,Female,[20:25),6187
2050.0,1,Female,[25:30),6040
2050.0,0,Female,[25:30),6040
2050.0,1,Female,[30:35),6001
2050.0,0,Female,[30:35),6001
2050.0,1,Female,[35:40),5421
2050.0,0,Female,[35:40),5421
2050.0,1,Female,[40:45),5232
2050.0,0,Female,[40:45),5232
2050.0,1,Female,[45:50),4711
2050.0,0,Female,[45:50),4711
2050.0,1,Female,[50:55),4550
2050.0,0,Female,[50:55),4550
2050.0,1,Female,[55:60),4238
2050.0,0,Female,[55:60),4238
2050.0,1,Female,[60:65),3557
2050.0,0,Female,[60:65),3557
2050.0,1,Female,[65:70),2422
2050.0,0,Female,[65:70),2422
2050.0,1,Female,[70:75),1495
2050.0,0,Female,[70:75),1495
2050.0,1,Female,[75:80),1013
2050.0,0,Female,[75:80),1013
2039.0,1,Male,[0:5),6184
2039.0,0,Male,[0:5),6184
2039.0,1,Male,[0:200),63856
2039.0,0,Male,[0:200),63856
2039.0,1,Male,[5:10),6154
2039.0,0,Male,[5:10),6154
2039.0,1,Male,[10:15),6215
2039.0,0,Male,[10:15),6215
2039.0,1,Male,[15:20),6023
2039.0,0,Male,[15:20),6023
2039.0,1,Male,[20:25),5943
2039.0,0,Male,[20:25),5943
2039.0,1,Male,[25:30),5522
2039.0,0,Male,[25:30),5522
2039.0,1,Male,[30:35),5028
2039.0,0,Male,[30:35),5028
2039.0,1,Male,[35:40),4701
2039.0,0,Male,[35:40),4701
2039.0,1,Male,[40:45),4543
2039.0,0,Male,[40:45),4543
2039.0,1,Male,[45:50),4082
2039.0,0,Male,[45:50),4082
2039.0,1,Male,[50:55),3401
2039.0,0,Male,[50:55),3401
2039.0,1,Male,[55:60),2395
2039.0,0,Male,[55:60),2395
2039.0,1,Male,[60:65),1607
2039.0,0,Male,[60:65),1607
2039.0,1,Male,[65:70),1023
2039.0,0,Male,[65:70),1023
2039.0,1,Male,[70:75),596
2039.0,0,Male,[70:75),596
2039.0,1,Male,[75:80),290
2039.0,0,Male,[75:80),290
2039.0,1,Female,[0:5),6229
2039.0,0,Female,[0:5),6229
2039.0,1,Female,[0:200),67144
2039.0,0,Female,[0:200),67144
