Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6124
2048.0,0,Male,[0:5),6124
2048.0,1,Male,[0:200),68878
2048.0,0,Male,[0:200),68878
2048.0,1,Male,[5:10),5999
2048.0,0,Male,[5:10),5999
2048.0,1,Male,[10:15),6064
2048.0,0,Male,[10:15),6064
2048.0,1,Male,[15:20),6062
2048.0,0,Male,[15:20),6062
2048.0,1,Male,[20:25),5971
2048.0,0,Male,[20:25),5971
2048.0,1,Male,[25:30),5800
2048.0,0,Male,[25:30),5800
2048.0,1,Male,[30:35),5657
2048.0,0,Male,[30:35),5657
2048.0,1,Male,[35:40),5053
2048.0,0,Male,[35:40),5053
2048.0,1,Male,[40:45),4783
2048.0,0,Male,[40:45),4783
2048.0,1,Male,[45:50),4153
2048.0,0,Male,[45:50),4153
2048.0,1,Male,[50:55),3963
2048.0,0,Male,[50:55),3963
2048.0,1,Male,[55:60),3501
2048.0,0,Male,[55:60),3501
2048.0,1,Male,[60:65),2512
2048.0,0,Male,[60:65),2512
2048.0,1,Male,[65:70),1591
2048.0,0,Male,[65:70),1591
2048.0,1,Male,[70:75),917
2048.0,0,Male,[70:75),917
2048.0,1,Male,[75:80),465
2048.0,0,Male,[75:80),465
2048.0,1,Female,[0:5),6115
2048.0,0,Female,[0:5),6115
2048.0,1,Female,[0:200),73063
2048.0,0,Female,[0:200),73063
2048.0,1,Female,[5:10),5911
2048.0,0,Female,[5:10),5911
2048.0,1,Female,[10:15),6195
2048.0,0,Female,[10:15),6195
2048.0,1,Female,[15:20),6009
2048.0,0,Female,[15:20),6009
2048.0,1,Female,[20:25),6094
2048.0,0,Female,[20:25),6094
2048.0,1,Female,[25:30),5861
2048.0,0,Female,[25:30),5861
2048.0,1,Female,[30:35),5597
2048.0,0,Female,[30:35),5597
2048.0,1,Female,[35:40),5291
2048.0,0,Female,[35:40),5291
2048.0,1,Female,[40:45),4753
2048.0,0,Female,[40:45),4753
2048.0,1,Female,[45:50),4708
2048.0,0,Female,[45:50),4708
2048.0,1,Female,[50:55),4403
2048.0,0,Female,[50:55),4403
2048.0,1,Female,[55:60),3881
2048.0,0,Female,[55:60),3881
2048.0,1,Female,[60:65),2951
2048.0,0,Female,[60:65),2951
2048.0,1,Female,[65:70),2087
2048.0,0,Female,[65:70),2087
2048.0,1,Female,[70:75),1380
2048.0,0,Female,[70:75),1380
2048.0,1,Female,[75:80),900
2048.0,0,Female,[75:80),900
2049.0,1,Male,[0:5),6078
2049.0,0,Male,[0:5),6078
2049.0,1,Male,[0:200),69470
2049.0,0,Male,[0:200),69470
2049.0,1,Male,[5:10),5982
2049.0,0,Male,[5:10),5982
2049.0,1,Male,[10:15),6091
2049.0,0,Male,[10:15),6091
2049.0,1,Male,[15:20),6083
2049.0,0,Male,[15:20),6083
2049.0,1,Male,[20:25),5973
2049.0,0,Male,[20:25),5973
2049.0,1,Male,[25:30),5799
2049.0,0,Male,[25:30),5799
2049.0,1,Male,[30:35),5694
2049.0,0,Male,[30:35),5694
2049.0,1,Male,[35:40),5101
2049.0,0,Male,[35:40),5101
2049.0,1,Male,[40:45),4859
2049.0,0,Male,[40:45),4859
2049.0,1,Male,[45:50),4256
2049.0,0,Male,[45:50),4256
