Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004289013526888816
2048.0,0,Male,[15:20),0.004289013526888816
2048.0,1,Male,[20:25),0.0177524702729861
2048.0,0,Male,[20:25),0.0177524702729861
2048.0,1,Male,[25:30),0.04275862068965517
2048.0,0,Male,[25:30),0.04275862068965517
2048.0,1,Male,[30:35),0.08096164044546579
2048.0,0,Male,[30:35),0.08096164044546579
2048.0,1,Male,[35:40),0.12843855135563031
2048.0,0,Male,[35:40),0.12843855135563031
2048.0,1,Male,[40:45),0.1645410830022998
2048.0,0,Male,[40:45),0.1645410830022998
2048.0,1,Male,[45:50),0.23693715386467615
2048.0,0,Male,[45:50),0.23693715386467615
2048.0,1,Male,[50:55),0.33383800151400456
2048.0,0,Male,[50:55),0.33383800151400456
2048.0,1,Male,[55:60),0.4218794630105684
2048.0,0,Male,[55:60),0.4218794630105684
2048.0,1,Male,[60:65),0.5306528662420382
2048.0,0,Male,[60:65),0.5306528662420382
2048.0,1,Male,[65:200),0.6069221260815822
2048.0,0,Male,[65:200),0.6069221260815822
2048.0,1,Female,[15:20),0.03344982526210684
2048.0,0,Female,[15:20),0.03344982526210684
2048.0,1,Female,[20:25),0.10699048244174598
2048.0,0,Female,[20:25),0.10699048244174598
2048.0,1,Female,[25:30),0.15441051015185123
2048.0,0,Female,[25:30),0.15441051015185123
2048.0,1,Female,[30:35),0.21172056458817223
2048.0,0,Female,[30:35),0.21172056458817223
2048.0,1,Female,[35:40),0.2594972594972595
2048.0,0,Female,[35:40),0.2594972594972595
2048.0,1,Female,[40:45),0.312434252051336
2048.0,0,Female,[40:45),0.312434252051336
2048.0,1,Female,[45:50),0.3963466440101954
2048.0,0,Female,[45:50),0.3963466440101954
2048.0,1,Female,[50:55),0.456052691346809
2048.0,0,Female,[50:55),0.456052691346809
2048.0,1,Female,[55:60),0.5787168255604226
2048.0,0,Female,[55:60),0.5787168255604226
2048.0,1,Female,[60:65),0.6231785835310064
2048.0,0,Female,[60:65),0.6231785835310064
2048.0,1,Female,[65:200),0.6084246316584813
2048.0,0,Female,[65:200),0.6084246316584813
2049.0,1,Male,[15:20),0.0034522439585730723
2049.0,0,Male,[15:20),0.0034522439585730723
2049.0,1,Male,[20:25),0.01808136614766449
2049.0,0,Male,[20:25),0.01808136614766449
2049.0,1,Male,[25:30),0.04483531643386791
2049.0,0,Male,[25:30),0.04483531643386791
2049.0,1,Male,[30:35),0.08061116965226554
2049.0,0,Male,[30:35),0.08061116965226554
2049.0,1,Male,[35:40),0.12056459517741619
2049.0,0,Male,[35:40),0.12056459517741619
2049.0,1,Male,[40:45),0.16649516361391234
2049.0,0,Male,[40:45),0.16649516361391234
2049.0,1,Male,[45:50),0.22885338345864661
2049.0,0,Male,[45:50),0.22885338345864661
2049.0,1,Male,[50:55),0.3193743693239152
2049.0,0,Male,[50:55),0.3193743693239152
2049.0,1,Male,[55:60),0.40875497441728254
2049.0,0,Male,[55:60),0.40875497441728254
2049.0,1,Male,[60:65),0.5221507004922378
2049.0,0,Male,[60:65),0.5221507004922378
2049.0,1,Male,[65:200),0.6059457883998834
2049.0,0,Male,[65:200),0.6059457883998834
2049.0,1,Female,[15:20),0.031281198003327786
2049.0,0,Female,[15:20),0.031281198003327786
2049.0,1,Female,[20:25),0.10344264969815631
2049.0,0,Female,[20:25),0.10344264969815631
2049.0,1,Female,[25:30),0.15327355777364235
2049.0,0,Female,[25:30),0.15327355777364235
2049.0,1,Female,[30:35),0.2099290780141844
2049.0,0,Female,[30:35),0.2099290780141844
2049.0,1,Female,[35:40),0.2621488230827639
2049.0,0,Female,[35:40),0.2621488230827639
2049.0,1,Female,[40:45),0.2951254334081175
2049.0,0,Female,[40:45),0.2951254334081175
2049.0,1,Female,[45:50),0.38874625588361145
2049.0,0,Female,[45:50),0.38874625588361145
2049.0,1,Female,[50:55),0.4500223114680946
2049.0,0,Female,[50:55),0.4500223114680946
2049.0,1,Female,[55:60),0.5606758832565284
2049.0,0,Female,[55:60),0.5606758832565284
2049.0,1,Female,[60:65),0.6119636705292828
2049.0,0,Female,[60:65),0.6119636705292828
2049.0,1,Female,[65:200),0.6190994916485113
2049.0,0,Female,[65:200),0.6190994916485113
2050.0,1,Male,[15:20),0.00384165692333389
2050.0,0,Male,[15:20),0.00384165692333389
2050.0,1,Male,[20:25),0.016855807743658212
2050.0,0,Male,[20:25),0.016855807743658212
2050.0,1,Male,[25:30),0.04419795221843004
2050.0,0,Male,[25:30),0.04419795221843004
2050.0,1,Male,[30:35),0.07931762223003869
2050.0,0,Male,[30:35),0.07931762223003869
2050.0,1,Male,[35:40),0.12165775401069519
2050.0,0,Male,[35:40),0.12165775401069519
2050.0,1,Male,[40:45),0.16450829623634156
2050.0,0,Male,[40:45),0.16450829623634156
2050.0,1,Male,[45:50),0.21846011131725418
2050.0,0,Male,[45:50),0.21846011131725418
2050.0,1,Male,[50:55),0.2942084942084942
2050.0,0,Male,[50:55),0.2942084942084942
2050.0,1,Male,[55:60),0.40388404165493946
2050.0,0,Male,[55:60),0.40388404165493946
2050.0,1,Male,[60:65),0.5150665732305536
2050.0,0,Male,[60:65),0.5150665732305536
2050.0,1,Male,[65:200),0.604252968793151
2050.0,0,Male,[65:200),0.604252968793151
2050.0,1,Female,[15:20),0.030183077684314694
2050.0,0,Female,[15:20),0.030183077684314694
2050.0,1,Female,[20:25),0.10455367417392734
2050.0,0,Female,[20:25),0.10455367417392734
2050.0,1,Female,[25:30),0.15174506828528073
2050.0,0,Female,[25:30),0.15174506828528073
2050.0,1,Female,[30:35),0.2072790294627383
2050.0,0,Female,[30:35),0.2072790294627383
2050.0,1,Female,[35:40),0.25910390848427073
2050.0,0,Female,[35:40),0.25910390848427073
2050.0,1,Female,[40:45),0.2921482662415305
2050.0,0,Female,[40:45),0.2921482662415305
2050.0,1,Female,[45:50),0.3774962422160189
2050.0,0,Female,[45:50),0.3774962422160189
2050.0,1,Female,[50:55),0.43605546995377503
2050.0,0,Female,[50:55),0.43605546995377503
2050.0,1,Female,[55:60),0.5401641382740612
2050.0,0,Female,[55:60),0.5401641382740612
2050.0,1,Female,[60:65),0.6097122302158273
2050.0,0,Female,[60:65),0.6097122302158273
2050.0,1,Female,[65:200),0.6226972540841154
2050.0,0,Female,[65:200),0.6226972540841154
2011.5,1,Male,[15:20),0.015411330583894075
2011.5,0,Male,[15:20),0.015411330583894075
2011.5,1,Male,[20:25),0.07783611047706003
2011.5,0,Male,[20:25),0.07783611047706003
2011.5,1,Male,[25:30),0.21420674405749032
2011.5,0,Male,[25:30),0.21420674405749032
2011.5,1,Male,[30:35),0.3419744318181818
2011.5,0,Male,[30:35),0.3419744318181818
2011.5,1,Male,[35:40),0.41582336706531736
2011.5,0,Male,[35:40),0.41582336706531736
2011.5,1,Male,[40:45),0.4576566125290023
2011.5,0,Male,[40:45),0.4576566125290023
2011.5,1,Male,[45:50),0.3713207547169811
2011.5,0,Male,[45:50),0.3713207547169811
2011.5,1,Male,[50:55),0.26367461430575034
2011.5,0,Male,[50:55),0.26367461430575034
2011.5,1,Male,[55:60),0.188715953307393
2011.5,0,Male,[55:60),0.188715953307393
2011.5,1,Male,[60:65),0.12783505154639174
2011.5,0,Male,[60:65),0.12783505154639174
2011.5,1,Male,[65:200),0.09252217997465145
2011.5,0,Male,[65:200),0.09252217997465145
2011.5,1,Female,[15:20),0.08609411268200043
2011.5,0,Female,[15:20),0.08609411268200043
2011.5,1,Female,[20:25),0.29339686861810754
2011.5,0,Female,[20:25),0.29339686861810754
2011.5,1,Female,[25:30),0.4453855140186916
2011.5,0,Female,[25:30),0.4453855140186916
2011.5,1,Female,[30:35),0.5347352609838528
2011.5,0,Female,[30:35),0.5347352609838528
2011.5,1,Female,[35:40),0.5072463768115942
2011.5,0,Female,[35:40),0.5072463768115942
2011.5,1,Female,[40:45),0.4284893739230327
2011.5,0,Female,[40:45),0.4284893739230327
2011.5,1,Female,[45:50),0.31921824104234525
2011.5,0,Female,[45:50),0.31921824104234525
2011.5,1,Female,[50:55),0.2418379685610641
2011.5,0,Female,[50:55),0.2418379685610641
2011.5,1,Female,[55:60),0.1634304207119741
2011.5,0,Female,[55:60),0.1634304207119741
2011.5,1,Female,[60:65),0.14028776978417265
2011.5,0,Female,[60:65),0.14028776978417265
2011.5,1,Female,[65:200),0.06477197620621282
2011.5,0,Female,[65:200),0.06477197620621282
2016.5,1,Male,[15:20),0.017156337122024447
2016.5,0,Male,[15:20),0.017156337122024447
2016.5,1,Male,[20:25),0.04878048780487805
2016.5,0,Male,[20:25),0.04878048780487805
2016.5,1,Male,[25:30),0.17124585504500237
2016.5,0,Male,[25:30),0.17124585504500237
2016.5,1,Male,[30:35),0.28879432624113477
2016.5,0,Male,[30:35),0.28879432624113477
2016.5,1,Male,[35:40),0.3939855348306053
2016.5,0,Male,[35:40),0.3939855348306053
2016.5,1,Male,[40:45),0.4504824784154393
2016.5,0,Male,[40:45),0.4504824784154393
2016.5,1,Male,[45:50),0.4644736842105263
2016.5,0,Male,[45:50),0.4644736842105263
2016.5,1,Male,[50:55),0.3502581755593804
2016.5,0,Male,[50:55),0.3502581755593804
2016.5,1,Male,[55:60),0.2508532423208191
2016.5,0,Male,[55:60),0.2508532423208191
2016.5,1,Male,[60:65),0.19813519813519814
2016.5,0,Male,[60:65),0.19813519813519814
2016.5,1,Male,[65:200),0.12325581395348838
2016.5,0,Male,[65:200),0.12325581395348838
2016.5,1,Female,[15:20),0.07784552845528456
2016.5,0,Female,[15:20),0.07784552845528456
2016.5,1,Female,[20:25),0.2357845233005558
2016.5,0,Female,[20:25),0.2357845233005558
2016.5,1,Female,[25:30),0.40841054882394867
2016.5,0,Female,[25:30),0.40841054882394867
2016.5,1,Female,[30:35),0.5090361445783133
2016.5,0,Female,[30:35),0.5090361445783133
2016.5,1,Female,[35:40),0.5636878285483219
2016.5,0,Female,[35:40),0.5636878285483219
2016.5,1,Female,[40:45),0.5196232339089482
2016.5,0,Female,[40:45),0.5196232339089482
2016.5,1,Female,[45:50),0.43026891807379614
2016.5,0,Female,[45:50),0.43026891807379614
2016.5,1,Female,[50:55),0.315058986814712
2016.5,0,Female,[50:55),0.315058986814712
2016.5,1,Female,[55:60),0.24551724137931036
