Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6050
2048.0,0,Male,[0:5),6050
2048.0,1,Male,[0:200),68308
2048.0,0,Male,[0:200),68308
2048.0,1,Male,[5:10),5889
2048.0,0,Male,[5:10),5889
2048.0,1,Male,[10:15),6130
2048.0,0,Male,[10:15),6130
2048.0,1,Male,[15:20),5922
2048.0,0,Male,[15:20),5922
2048.0,1,Male,[20:25),5690
2048.0,0,Male,[20:25),5690
2048.0,1,Male,[25:30),5671
2048.0,0,Male,[25:30),5671
2048.0,1,Male,[30:35),5520
2048.0,0,Male,[30:35),5520
2048.0,1,Male,[35:40),5247
2048.0,0,Male,[35:40),5247
2048.0,1,Male,[40:45),4638
2048.0,0,Male,[40:45),4638
2048.0,1,Male,[45:50),4293
2048.0,0,Male,[45:50),4293
2048.0,1,Male,[50:55),3995
2048.0,0,Male,[50:55),3995
2048.0,1,Male,[55:60),3495
2048.0,0,Male,[55:60),3495
2048.0,1,Male,[60:65),2526
2048.0,0,Male,[60:65),2526
2048.0,1,Male,[65:70),1588
2048.0,0,Male,[65:70),1588
2048.0,1,Male,[70:75),878
2048.0,0,Male,[70:75),878
2048.0,1,Male,[75:80),471
2048.0,0,Male,[75:80),471
2048.0,1,Female,[0:5),6222
2048.0,0,Female,[0:5),6222
2048.0,1,Female,[0:200),73214
2048.0,0,Female,[0:200),73214
2048.0,1,Female,[5:10),5994
2048.0,0,Female,[5:10),5994
2048.0,1,Female,[10:15),6181
2048.0,0,Female,[10:15),6181
2048.0,1,Female,[15:20),6035
2048.0,0,Female,[15:20),6035
2048.0,1,Female,[20:25),5980
2048.0,0,Female,[20:25),5980
2048.0,1,Female,[25:30),5948
2048.0,0,Female,[25:30),5948
2048.0,1,Female,[30:35),5597
2048.0,0,Female,[30:35),5597
2048.0,1,Female,[35:40),5296
2048.0,0,Female,[35:40),5296
2048.0,1,Female,[40:45),4836
2048.0,0,Female,[40:45),4836
2048.0,1,Female,[45:50),4555
2048.0,0,Female,[45:50),4555
2048.0,1,Female,[50:55),4344
2048.0,0,Female,[50:55),4344
2048.0,1,Female,[55:60),3936
2048.0,0,Female,[55:60),3936
2048.0,1,Female,[60:65),2949
2048.0,0,Female,[60:65),2949
2048.0,1,Female,[65:70),2084
2048.0,0,Female,[65:70),2084
2048.0,1,Female,[70:75),1386
2048.0,0,Female,[70:75),1386
2048.0,1,Female,[75:80),920
2048.0,0,Female,[75:80),920
2049.0,1,Male,[0:5),6060
2049.0,0,Male,[0:5),6060
2049.0,1,Male,[0:200),68943
2049.0,0,Male,[0:200),68943
2049.0,1,Male,[5:10),5854
2049.0,0,Male,[5:10),5854
2049.0,1,Male,[10:15),6103
2049.0,0,Male,[10:15),6103
2049.0,1,Male,[15:20),6017
2049.0,0,Male,[15:20),6017
2049.0,1,Male,[20:25),5715
2049.0,0,Male,[20:25),5715
2049.0,1,Male,[25:30),5648
2049.0,0,Male,[25:30),5648
2049.0,1,Male,[30:35),5585
2049.0,0,Male,[30:35),5585
2049.0,1,Male,[35:40),5207
2049.0,0,Male,[35:40),5207
2049.0,1,Male,[40:45),4767
2049.0,0,Male,[40:45),4767
2049.0,1,Male,[45:50),4308
2049.0,0,Male,[45:50),4308
2049.0,1,Male,[50:55),4052
2049.0,0,Male,[50:55),4052
2049.0,1,Male,[55:60),3514
2049.0,0,Male,[55:60),3514
2049.0,1,Male,[60:65),2724
2049.0,0,Male,[60:65),2724
2049.0,1,Male,[65:70),1659
2049.0,0,Male,[65:70),1659
2049.0,1,Male,[70:75),929
2049.0,0,Male,[70:75),929
2049.0,1,Male,[75:80),496
2049.0,0,Male,[75:80),496
2049.0,1,Female,[0:5),6268
2049.0,0,Female,[0:5),6268
2049.0,1,Female,[0:200),74044
2049.0,0,Female,[0:200),74044
2049.0,1,Female,[5:10),5987
2049.0,0,Female,[5:10),5987
2049.0,1,Female,[10:15),6165
2049.0,0,Female,[10:15),6165
2049.0,1,Female,[15:20),6025
2049.0,0,Female,[15:20),6025
2049.0,1,Female,[20:25),6013
2049.0,0,Female,[20:25),6013
2049.0,1,Female,[25:30),5927
2049.0,0,Female,[25:30),5927
2049.0,1,Female,[30:35),5725
2049.0,0,Female,[30:35),5725
2049.0,1,Female,[35:40),5355
2049.0,0,Female,[35:40),5355
2049.0,1,Female,[40:45),4893
2049.0,0,Female,[40:45),4893
2049.0,1,Female,[45:50),4552
2049.0,0,Female,[45:50),4552
2049.0,1,Female,[50:55),4397
2049.0,0,Female,[50:55),4397
2049.0,1,Female,[55:60),4009
2049.0,0,Female,[55:60),4009
2049.0,1,Female,[60:65),3133
2049.0,0,Female,[60:65),3133
2049.0,1,Female,[65:70),2208
2049.0,0,Female,[65:70),2208
2049.0,1,Female,[70:75),1454
2049.0,0,Female,[70:75),1454
2049.0,1,Female,[75:80),950
2049.0,0,Female,[75:80),950
2050.0,1,Male,[0:5),6093
2050.0,0,Male,[0:5),6093
2050.0,1,Male,[0:200),69595
2050.0,0,Male,[0:200),69595
2050.0,1,Male,[5:10),5770
2050.0,0,Male,[5:10),5770
2050.0,1,Male,[10:15),6157
2050.0,0,Male,[10:15),6157
2050.0,1,Male,[15:20),6017
2050.0,0,Male,[15:20),6017
2050.0,1,Male,[20:25),5762
2050.0,0,Male,[20:25),5762
2050.0,1,Male,[25:30),5641
2050.0,0,Male,[25:30),5641
2050.0,1,Male,[30:35),5575
2050.0,0,Male,[30:35),5575
2050.0,1,Male,[35:40),5263
2050.0,0,Male,[35:40),5263
2050.0,1,Male,[40:45),4885
2050.0,0,Male,[40:45),4885
2050.0,1,Male,[45:50),4389
2050.0,0,Male,[45:50),4389
2050.0,1,Male,[50:55),4063
2050.0,0,Male,[50:55),4063
2050.0,1,Male,[55:60),3528
2050.0,0,Male,[55:60),3528
2050.0,1,Male,[60:65),2855
2050.0,0,Male,[60:65),2855
2050.0,1,Male,[65:70),1794
2050.0,0,Male,[65:70),1794
2050.0,1,Male,[70:75),964
2050.0,0,Male,[70:75),964
2050.0,1,Male,[75:80),519
2050.0,0,Male,[75:80),519
2050.0,1,Female,[0:5),6314
2050.0,0,Female,[0:5),6314
2050.0,1,Female,[0:200),74887
2050.0,0,Female,[0:200),74887
2050.0,1,Female,[5:10),5998
2050.0,0,Female,[5:10),5998
2050.0,1,Female,[10:15),6148
2050.0,0,Female,[10:15),6148
2050.0,1,Female,[15:20),6022
2050.0,0,Female,[15:20),6022
2050.0,1,Female,[20:25),6027
2050.0,0,Female,[20:25),6027
2050.0,1,Female,[25:30),5918
2050.0,0,Female,[25:30),5918
2050.0,1,Female,[30:35),5840
2050.0,0,Female,[30:35),5840
2050.0,1,Female,[35:40),5377
2050.0,0,Female,[35:40),5377
2050.0,1,Female,[40:45),5013
2050.0,0,Female,[40:45),5013
2050.0,1,Female,[45:50),4528
2050.0,0,Female,[45:50),4528
2050.0,1,Female,[50:55),4467
2050.0,0,Female,[50:55),4467
2050.0,1,Female,[55:60),4035
2050.0,0,Female,[55:60),4035
2050.0,1,Female,[60:65),3335
2050.0,0,Female,[60:65),3335
2050.0,1,Female,[65:70),2317
2050.0,0,Female,[65:70),2317
2050.0,1,Female,[70:75),1537
2050.0,0,Female,[70:75),1537
2050.0,1,Female,[75:80),983
2050.0,0,Female,[75:80),983
2039.0,1,Male,[0:5),6084
2039.0,0,Male,[0:5),6084
2039.0,1,Male,[0:200),61921
2039.0,0,Male,[0:200),61921
2039.0,1,Male,[5:10),5930
2039.0,0,Male,[5:10),5930
2039.0,1,Male,[10:15),5910
2039.0,0,Male,[10:15),5910
2039.0,1,Male,[15:20),5830
2039.0,0,Male,[15:20),5830
2039.0,1,Male,[20:25),5715
2039.0,0,Male,[20:25),5715
2039.0,1,Male,[25:30),5297
2039.0,0,Male,[25:30),5297
2039.0,1,Male,[30:35),4953
2039.0,0,Male,[30:35),4953
2039.0,1,Male,[35:40),4577
2039.0,0,Male,[35:40),4577
2039.0,1,Male,[40:45),4338
2039.0,0,Male,[40:45),4338
2039.0,1,Male,[45:50),4028
2039.0,0,Male,[45:50),4028
2039.0,1,Male,[50:55),3382
2039.0,0,Male,[50:55),3382
2039.0,1,Male,[55:60),2292
2039.0,0,Male,[55:60),2292
2039.0,1,Male,[60:65),1476
2039.0,0,Male,[60:65),1476
2039.0,1,Male,[65:70),996
2039.0,0,Male,[65:70),996
2039.0,1,Male,[70:75),660
2039.0,0,Male,[70:75),660
2039.0,1,Male,[75:80),314
2039.0,0,Male,[75:80),314
2039.0,1,Female,[0:5),6093
2039.0,0,Female,[0:5),6093
2039.0,1,Female,[0:200),65363
2039.0,0,Female,[0:200),65363
2039.0,1,Female,[5:10),5972
2039.0,0,Female,[5:10),5972
2039.0,1,Female,[10:15),6189
2039.0,0,Female,[10:15),6189
2039.0,1,Female,[15:20),6062
2039.0,0,Female,[15:20),6062
2039.0,1,Female,[20:25),5822
2039.0,0,Female,[20:25),5822
2039.0,1,Female,[25:30),5345
2039.0,0,Female,[25:30),5345
2039.0,1,Female,[30:35),4978
2039.0,0,Female,[30:35),4978
2039.0,1,Female,[35:40),4681
2039.0,0,Female,[35:40),4681
2039.0,1,Female,[40:45),4532
2039.0,0,Female,[40:45),4532
2039.0,1,Female,[45:50),4284
2039.0,0,Female,[45:50),4284
2039.0,1,Female,[50:55),3505
2039.0,0,Female,[50:55),3505
2039.0,1,Female,[55:60),2521
2039.0,0,Female,[55:60),2521
2039.0,1,Female,[60:65),1819
2039.0,0,Female,[60:65),1819
2039.0,1,Female,[65:70),1338
2039.0,0,Female,[65:70),1338
2039.0,1,Female,[70:75),1091
2039.0,0,Female,[70:75),1091
2039.0,1,Female,[75:80),645
2039.0,0,Female,[75:80),645
2040.0,1,Male,[0:5),6142
2040.0,0,Male,[0:5),6142
2040.0,1,Male,[0:200),62809
2040.0,0,Male,[0:200),62809
2040.0,1,Male,[5:10),5956
2040.0,0,Male,[5:10),5956
2040.0,1,Male,[10:15),5934
2040.0,0,Male,[10:15),5934
2040.0,1,Male,[15:20),5829
2040.0,0,Male,[15:20),5829
2040.0,1,Male,[20:25),5722
2040.0,0,Male,[20:25),5722
2040.0,1,Male,[25:30),5325
2040.0,0,Male,[25:30),5325
2040.0,1,Male,[30:35),5083
2040.0,0,Male,[30:35),5083
2040.0,1,Male,[35:40),4648
2040.0,0,Male,[35:40),4648
2040.0,1,Male,[40:45),4358
2040.0,0,Male,[40:45),4358
2040.0,1,Male,[45:50),4033
2040.0,0,Male,[45:50),4033
2040.0,1,Male,[50:55),3562
2040.0,0,Male,[50:55),3562
2040.0,1,Male,[55:60),2467
2040.0,0,Male,[55:60),2467
2040.0,1,Male,[60:65),1538
2040.0,0,Male,[60:65),1538
2040.0,1,Male,[65:70),1029
2040.0,0,Male,[65:70),1029
2040.0,1,Male,[70:75),697
2040.0,0,Male,[70:75),697
2040.0,1,Male,[75:80),348
2040.0,0,Male,[75:80),348
2040.0,1,Female,[0:5),6071
2040.0,0,Female,[0:5),6071
2040.0,1,Female,[0:200),66302
2040.0,0,Female,[0:200),66302
2040.0,1,Female,[5:10),5944
2040.0,0,Female,[5:10),5944
2040.0,1,Female,[10:15),6225
2040.0,0,Female,[10:15),6225
2040.0,1,Female,[15:20),6082
2040.0,0,Female,[15:20),6082
2040.0,1,Female,[20:25),5905
2040.0,0,Female,[20:25),5905
2040.0,1,Female,[25:30),5364
2040.0,0,Female,[25:30),5364
2040.0,1,Female,[30:35),5096
2040.0,0,Female,[30:35),5096
2040.0,1,Female,[35:40),4659
2040.0,0,Female,[35:40),4659
2040.0,1,Female,[40:45),4609
2040.0,0,Female,[40:45),4609
2040.0,1,Female,[45:50),4292
2040.0,0,Female,[45:50),4292
2040.0,1,Female,[50:55),3734
