Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5991
2048.0,0,Male,[0:5),5991
2048.0,1,Male,[0:200),68497
2048.0,0,Male,[0:200),68497
2048.0,1,Male,[5:10),5962
2048.0,0,Male,[5:10),5962
2048.0,1,Male,[10:15),6207
2048.0,0,Male,[10:15),6207
2048.0,1,Male,[15:20),6122
2048.0,0,Male,[15:20),6122
2048.0,1,Male,[20:25),6142
2048.0,0,Male,[20:25),6142
2048.0,1,Male,[25:30),5605
2048.0,0,Male,[25:30),5605
2048.0,1,Male,[30:35),5378
2048.0,0,Male,[30:35),5378
2048.0,1,Male,[35:40),5198
2048.0,0,Male,[35:40),5198
2048.0,1,Male,[40:45),4629
2048.0,0,Male,[40:45),4629
2048.0,1,Male,[45:50),4250
2048.0,0,Male,[45:50),4250
2048.0,1,Male,[50:55),3971
2048.0,0,Male,[50:55),3971
2048.0,1,Male,[55:60),3332
2048.0,0,Male,[55:60),3332
2048.0,1,Male,[60:65),2534
2048.0,0,Male,[60:65),2534
2048.0,1,Male,[65:70),1501
2048.0,0,Male,[65:70),1501
2048.0,1,Male,[70:75),901
2048.0,0,Male,[70:75),901
2048.0,1,Male,[75:80),481
2048.0,0,Male,[75:80),481
2048.0,1,Female,[0:5),6102
2048.0,0,Female,[0:5),6102
2048.0,1,Female,[0:200),73056
2048.0,0,Female,[0:200),73056
2048.0,1,Female,[5:10),6057
2048.0,0,Female,[5:10),6057
2048.0,1,Female,[10:15),6258
2048.0,0,Female,[10:15),6258
2048.0,1,Female,[15:20),5977
2048.0,0,Female,[15:20),5977
2048.0,1,Female,[20:25),6046
2048.0,0,Female,[20:25),6046
2048.0,1,Female,[25:30),5707
2048.0,0,Female,[25:30),5707
2048.0,1,Female,[30:35),5683
2048.0,0,Female,[30:35),5683
2048.0,1,Female,[35:40),5353
2048.0,0,Female,[35:40),5353
2048.0,1,Female,[40:45),4852
2048.0,0,Female,[40:45),4852
2048.0,1,Female,[45:50),4602
2048.0,0,Female,[45:50),4602
2048.0,1,Female,[50:55),4355
2048.0,0,Female,[50:55),4355
2048.0,1,Female,[55:60),3927
2048.0,0,Female,[55:60),3927
2048.0,1,Female,[60:65),2859
2048.0,0,Female,[60:65),2859
2048.0,1,Female,[65:70),1958
2048.0,0,Female,[65:70),1958
2048.0,1,Female,[70:75),1383
2048.0,0,Female,[70:75),1383
2048.0,1,Female,[75:80),985
2048.0,0,Female,[75:80),985
2049.0,1,Male,[0:5),6081
2049.0,0,Male,[0:5),6081
2049.0,1,Male,[0:200),69220
2049.0,0,Male,[0:200),69220
2049.0,1,Male,[5:10),5967
2049.0,0,Male,[5:10),5967
2049.0,1,Male,[10:15),6180
2049.0,0,Male,[10:15),6180
2049.0,1,Male,[15:20),6104
2049.0,0,Male,[15:20),6104
2049.0,1,Male,[20:25),6117
2049.0,0,Male,[20:25),6117
2049.0,1,Male,[25:30),5745
2049.0,0,Male,[25:30),5745
2049.0,1,Male,[30:35),5419
2049.0,0,Male,[30:35),5419
2049.0,1,Male,[35:40),5136
2049.0,0,Male,[35:40),5136
2049.0,1,Male,[40:45),4801
2049.0,0,Male,[40:45),4801
2049.0,1,Male,[45:50),4245
2049.0,0,Male,[45:50),4245
2049.0,1,Male,[50:55),4023
2049.0,0,Male,[50:55),4023
2049.0,1,Male,[55:60),3439
2049.0,0,Male,[55:60),3439
2049.0,1,Male,[60:65),2619
2049.0,0,Male,[60:65),2619
2049.0,1,Male,[65:70),1601
2049.0,0,Male,[65:70),1601
2049.0,1,Male,[70:75),920
2049.0,0,Male,[70:75),920
2049.0,1,Male,[75:80),502
2049.0,0,Male,[75:80),502
2049.0,1,Female,[0:5),6147
2049.0,0,Female,[0:5),6147
2049.0,1,Female,[0:200),73852
2049.0,0,Female,[0:200),73852
2049.0,1,Female,[5:10),5968
2049.0,0,Female,[5:10),5968
2049.0,1,Female,[10:15),6306
2049.0,0,Female,[10:15),6306
2049.0,1,Female,[15:20),6009
2049.0,0,Female,[15:20),6009
2049.0,1,Female,[20:25),6021
2049.0,0,Female,[20:25),6021
2049.0,1,Female,[25:30),5782
2049.0,0,Female,[25:30),5782
2049.0,1,Female,[30:35),5721
2049.0,0,Female,[30:35),5721
2049.0,1,Female,[35:40),5347
2049.0,0,Female,[35:40),5347
2049.0,1,Female,[40:45),4987
2049.0,0,Female,[40:45),4987
2049.0,1,Female,[45:50),4550
2049.0,0,Female,[45:50),4550
2049.0,1,Female,[50:55),4409
2049.0,0,Female,[50:55),4409
2049.0,1,Female,[55:60),4019
2049.0,0,Female,[55:60),4019
2049.0,1,Female,[60:65),3076
2049.0,0,Female,[60:65),3076
2049.0,1,Female,[65:70),2047
2049.0,0,Female,[65:70),2047
2049.0,1,Female,[70:75),1467
2049.0,0,Female,[70:75),1467
2049.0,1,Female,[75:80),1000
2049.0,0,Female,[75:80),1000
2050.0,1,Male,[0:5),6134
2050.0,0,Male,[0:5),6134
2050.0,1,Male,[0:200),69881
2050.0,0,Male,[0:200),69881
2050.0,1,Male,[5:10),5871
2050.0,0,Male,[5:10),5871
2050.0,1,Male,[10:15),6231
2050.0,0,Male,[10:15),6231
2050.0,1,Male,[15:20),6041
2050.0,0,Male,[15:20),6041
2050.0,1,Male,[20:25),6163
