Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.005227049983665469
2048.0,0,Male,[15:20),0.005227049983665469
2048.0,1,Male,[20:25),0.01872354281992836
2048.0,0,Male,[20:25),0.01872354281992836
2048.0,1,Male,[25:30),0.042105263157894736
2048.0,0,Male,[25:30),0.042105263157894736
2048.0,1,Male,[30:35),0.08014131647452584
2048.0,0,Male,[30:35),0.08014131647452584
2048.0,1,Male,[35:40),0.1275490573297422
2048.0,0,Male,[35:40),0.1275490573297422
2048.0,1,Male,[40:45),0.17692806221646143
2048.0,0,Male,[40:45),0.17692806221646143
2048.0,1,Male,[45:50),0.24188235294117647
2048.0,0,Male,[45:50),0.24188235294117647
2048.0,1,Male,[50:55),0.35381515990934276
2048.0,0,Male,[50:55),0.35381515990934276
2048.0,1,Male,[55:60),0.4345738295318127
2048.0,0,Male,[55:60),0.4345738295318127
2048.0,1,Male,[60:65),0.5394632991318075
2048.0,0,Male,[60:65),0.5394632991318075
2048.0,1,Male,[65:200),0.595088161209068
2048.0,0,Male,[65:200),0.595088161209068
2048.0,1,Female,[15:20),0.023088505939434498
2048.0,0,Female,[15:20),0.023088505939434498
2048.0,1,Female,[20:25),0.08104531921931855
2048.0,0,Female,[20:25),0.08104531921931855
2048.0,1,Female,[25:30),0.14508498335377606
2048.0,0,Female,[25:30),0.14508498335377606
2048.0,1,Female,[30:35),0.20200598275558684
2048.0,0,Female,[30:35),0.20200598275558684
2048.0,1,Female,[35:40),0.271062955352139
2048.0,0,Female,[35:40),0.271062955352139
2048.0,1,Female,[40:45),0.3227535037098104
2048.0,0,Female,[40:45),0.3227535037098104
2048.0,1,Female,[45:50),0.418948283355063
2048.0,0,Female,[45:50),0.418948283355063
2048.0,1,Female,[50:55),0.5065442020665901
2048.0,0,Female,[50:55),0.5065442020665901
2048.0,1,Female,[55:60),0.5716832187420423
2048.0,0,Female,[55:60),0.5716832187420423
2048.0,1,Female,[60:65),0.6554739419377404
2048.0,0,Female,[60:65),0.6554739419377404
2048.0,1,Female,[65:200),0.6015536187949981
2048.0,0,Female,[65:200),0.6015536187949981
2049.0,1,Male,[15:20),0.0045871559633027525
2049.0,0,Male,[15:20),0.0045871559633027525
2049.0,1,Male,[20:25),0.018473107732548635
2049.0,0,Male,[20:25),0.018473107732548635
2049.0,1,Male,[25:30),0.04299390774586597
2049.0,0,Male,[25:30),0.04299390774586597
2049.0,1,Male,[30:35),0.08230300793504336
2049.0,0,Male,[30:35),0.08230300793504336
2049.0,1,Male,[35:40),0.12305295950155763
2049.0,0,Male,[35:40),0.12305295950155763
2049.0,1,Male,[40:45),0.1701728806498646
2049.0,0,Male,[40:45),0.1701728806498646
2049.0,1,Male,[45:50),0.23580683156654889
2049.0,0,Male,[45:50),0.23580683156654889
2049.0,1,Male,[50:55),0.3276162068108377
2049.0,0,Male,[50:55),0.3276162068108377
2049.0,1,Male,[55:60),0.43268391974411163
2049.0,0,Male,[55:60),0.43268391974411163
2049.0,1,Male,[60:65),0.526536846124475
2049.0,0,Male,[60:65),0.526536846124475
2049.0,1,Male,[65:200),0.5992822966507177
2049.0,0,Male,[65:200),0.5992822966507177
2049.0,1,Female,[15:20),0.022799134631386254
2049.0,0,Female,[15:20),0.022799134631386254
2049.0,1,Female,[20:25),0.0802192326856004
2049.0,0,Female,[20:25),0.0802192326856004
2049.0,1,Female,[25:30),0.14441369768246282
2049.0,0,Female,[25:30),0.14441369768246282
2049.0,1,Female,[30:35),0.19716832721552177
2049.0,0,Female,[30:35),0.19716832721552177
2049.0,1,Female,[35:40),0.26220310454460444
2049.0,0,Female,[35:40),0.26220310454460444
2049.0,1,Female,[40:45),0.3212352115500301
2049.0,0,Female,[40:45),0.3212352115500301
2049.0,1,Female,[45:50),0.4032967032967033
2049.0,0,Female,[45:50),0.4032967032967033
2049.0,1,Female,[50:55),0.4889997731911998
2049.0,0,Female,[50:55),0.4889997731911998
2049.0,1,Female,[55:60),0.5620801194326946
2049.0,0,Female,[55:60),0.5620801194326946
2049.0,1,Female,[60:65),0.6440182054616385
2049.0,0,Female,[60:65),0.6440182054616385
2049.0,1,Female,[65:200),0.6152450090744102
2049.0,0,Female,[65:200),0.6152450090744102
2050.0,1,Male,[15:20),0.005462671743088892
2050.0,0,Male,[15:20),0.005462671743088892
2050.0,1,Male,[20:25),0.017686191789712803
2050.0,0,Male,[20:25),0.017686191789712803
2050.0,1,Male,[25:30),0.04256791832496972
2050.0,0,Male,[25:30),0.04256791832496972
2050.0,1,Male,[30:35),0.08155834698707445
2050.0,0,Male,[30:35),0.08155834698707445
2050.0,1,Male,[35:40),0.11497584541062802
2050.0,0,Male,[35:40),0.11497584541062802
2050.0,1,Male,[40:45),0.1754993885038728
2050.0,0,Male,[40:45),0.1754993885038728
2050.0,1,Male,[45:50),0.22008897213767267
2050.0,0,Male,[45:50),0.22008897213767267
2050.0,1,Male,[50:55),0.31275100401606426
2050.0,0,Male,[50:55),0.31275100401606426
2050.0,1,Male,[55:60),0.4207850889579215
2050.0,0,Male,[55:60),0.4207850889579215
2050.0,1,Male,[60:65),0.5064841498559077
2050.0,0,Male,[60:65),0.5064841498559077
2050.0,1,Male,[65:200),0.602957906712173
2050.0,0,Male,[65:200),0.602957906712173
2050.0,1,Female,[15:20),0.022795341098169716
2050.0,0,Female,[15:20),0.022795341098169716
2050.0,1,Female,[20:25),0.07730923694779117
2050.0,0,Female,[20:25),0.07730923694779117
2050.0,1,Female,[25:30),0.13645761543762921
2050.0,0,Female,[25:30),0.13645761543762921
2050.0,1,Female,[30:35),0.20182853199931
2050.0,0,Female,[30:35),0.20182853199931
2050.0,1,Female,[35:40),0.2551698670605613
2050.0,0,Female,[35:40),0.2551698670605613
2050.0,1,Female,[40:45),0.3140316205533597
2050.0,0,Female,[40:45),0.3140316205533597
2050.0,1,Female,[45:50),0.3912949328713729
2050.0,0,Female,[45:50),0.3912949328713729
2050.0,1,Female,[50:55),0.47765617875057
2050.0,0,Female,[50:55),0.47765617875057
2050.0,1,Female,[55:60),0.555419021872696
2050.0,0,Female,[55:60),0.555419021872696
2050.0,1,Female,[60:65),0.6258025068786304
2050.0,0,Female,[60:65),0.6258025068786304
2050.0,1,Female,[65:200),0.6240731160544921
2050.0,0,Female,[65:200),0.6240731160544921
2011.5,1,Male,[15:20),0.025908900961136648
2011.5,0,Male,[15:20),0.025908900961136648
2011.5,1,Male,[20:25),0.09595724907063197
2011.5,0,Male,[20:25),0.09595724907063197
2011.5,1,Male,[25:30),0.24170480549199086
2011.5,0,Male,[25:30),0.24170480549199086
2011.5,1,Male,[30:35),0.35769372016158646
2011.5,0,Male,[30:35),0.35769372016158646
2011.5,1,Male,[35:40),0.42386258124419685
2011.5,0,Male,[35:40),0.42386258124419685
2011.5,1,Male,[40:45),0.447887323943662
2011.5,0,Male,[40:45),0.447887323943662
2011.5,1,Male,[45:50),0.3712230215827338
2011.5,0,Male,[45:50),0.3712230215827338
2011.5,1,Male,[50:55),0.24647887323943662
2011.5,0,Male,[50:55),0.24647887323943662
2011.5,1,Male,[55:60),0.21384928716904278
2011.5,0,Male,[55:60),0.21384928716904278
2011.5,1,Male,[60:65),0.16705882352941176
2011.5,0,Male,[60:65),0.16705882352941176
2011.5,1,Male,[65:200),0.10507246376811594
2011.5,0,Male,[65:200),0.10507246376811594
2011.5,1,Female,[15:20),0.10151642796967145
2011.5,0,Female,[15:20),0.10151642796967145
2011.5,1,Female,[20:25),0.28694080433800273
2011.5,0,Female,[20:25),0.28694080433800273
2011.5,1,Female,[25:30),0.45692771084337347
2011.5,0,Female,[25:30),0.45692771084337347
2011.5,1,Female,[30:35),0.5223354231974922
2011.5,0,Female,[30:35),0.5223354231974922
2011.5,1,Female,[35:40),0.5075685903500473
2011.5,0,Female,[35:40),0.5075685903500473
2011.5,1,Female,[40:45),0.4328274311410905
2011.5,0,Female,[40:45),0.4328274311410905
2011.5,1,Female,[45:50),0.33093994778067887
2011.5,0,Female,[45:50),0.33093994778067887
2011.5,1,Female,[50:55),0.23451910408432147
2011.5,0,Female,[50:55),0.23451910408432147
2011.5,1,Female,[55:60),0.18811881188118812
2011.5,0,Female,[55:60),0.18811881188118812
2011.5,1,Female,[60:65),0.12062937062937062
2011.5,0,Female,[60:65),0.12062937062937062
2011.5,1,Female,[65:200),0.09142857142857143
2011.5,0,Female,[65:200),0.09142857142857143
2016.5,1,Male,[15:20),0.02201524132091448
2016.5,0,Male,[15:20),0.02201524132091448
2016.5,1,Male,[20:25),0.07058075455701568
2016.5,0,Male,[20:25),0.07058075455701568
2016.5,1,Male,[25:30),0.1782178217821782
2016.5,0,Male,[25:30),0.1782178217821782
2016.5,1,Male,[30:35),0.3178455164249778
2016.5,0,Male,[30:35),0.3178455164249778
2016.5,1,Male,[35:40),0.4074220292143703
2016.5,0,Male,[35:40),0.4074220292143703
2016.5,1,Male,[40:45),0.46230366492146596
2016.5,0,Male,[40:45),0.46230366492146596
2016.5,1,Male,[45:50),0.45095541401273886
2016.5,0,Male,[45:50),0.45095541401273886
2016.5,1,Male,[50:55),0.3415233415233415
2016.5,0,Male,[50:55),0.3415233415233415
2016.5,1,Male,[55:60),0.23154362416107382
2016.5,0,Male,[55:60),0.23154362416107382
2016.5,1,Male,[60:65),0.22439024390243903
2016.5,0,Male,[60:65),0.22439024390243903
2016.5,1,Male,[65:200),0.14
2016.5,0,Male,[65:200),0.14
2016.5,1,Female,[15:20),0.08750792644261256
2016.5,0,Female,[15:20),0.08750792644261256
2016.5,1,Female,[20:25),0.24327784891165172
2016.5,0,Female,[20:25),0.24327784891165172
2016.5,1,Female,[25:30),0.3998100664767331
2016.5,0,Female,[25:30),0.3998100664767331
2016.5,1,Female,[30:35),0.5243445692883895
2016.5,0,Female,[30:35),0.5243445692883895
2016.5,1,Female,[35:40),0.5598991172761665
2016.5,0,Female,[35:40),0.5598991172761665
2016.5,1,Female,[40:45),0.524547803617571
2016.5,0,Female,[40:45),0.524547803617571
2016.5,1,Female,[45:50),0.4387254901960784
2016.5,0,Female,[45:50),0.4387254901960784
2016.5,1,Female,[50:55),0.32357043235704325
2016.5,0,Female,[50:55),0.32357043235704325
2016.5,1,Female,[55:60),0.22238586156111928
2016.5,0,Female,[55:60),0.22238586156111928
2016.5,1,Female,[60:65),0.1882998171846435
2016.5,0,Female,[60:65),0.1882998171846435
2016.5,1,Female,[65:200),0.10045961917268549
2016.5,0,Female,[65:200),0.10045961917268549
2021.5,1,Male,[15:20),0.023892893923789908
2021.5,0,Male,[15:20),0.023892893923789908
2021.5,1,Male,[20:25),0.048159246575342464
2021.5,0,Male,[20:25),0.048159246575342464
2021.5,1,Male,[25:30),0.12876290925071412
2021.5,0,Male,[25:30),0.12876290925071412
2021.5,1,Male,[30:35),0.22733953944145027
2021.5,0,Male,[30:35),0.22733953944145027
2021.5,1,Male,[35:40),0.3583975346687211
2021.5,0,Male,[35:40),0.3583975346687211
2021.5,1,Male,[40:45),0.45534223706176963
2021.5,0,Male,[40:45),0.45534223706176963
2021.5,1,Male,[45:50),0.4888143176733781
2021.5,0,Male,[45:50),0.4888143176733781
2021.5,1,Male,[50:55),0.46963562753036436
2021.5,0,Male,[50:55),0.46963562753036436
2021.5,1,Male,[55:60),0.35418583256669733
2021.5,0,Male,[55:60),0.35418583256669733
2021.5,1,Male,[60:65),0.248565965583174
2021.5,0,Male,[60:65),0.248565965583174
2021.5,1,Male,[65:200),0.19320843091334894
2021.5,0,Male,[65:200),0.19320843091334894
2021.5,1,Female,[15:20),0.07009439646515364
2021.5,0,Female,[15:20),0.07009439646515364
2021.5,1,Female,[20:25),0.18963310580204779
2021.5,0,Female,[20:25),0.18963310580204779
2021.5,1,Female,[25:30),0.3234453966161283
2021.5,0,Female,[25:30),0.3234453966161283
2021.5,1,Female,[30:35),0.4613187336348488
2021.5,0,Female,[30:35),0.4613187336348488
2021.5,1,Female,[35:40),0.5658692185007974
2021.5,0,Female,[35:40),0.5658692185007974
2021.5,1,Female,[40:45),0.5967951494153313
2021.5,0,Female,[40:45),0.5967951494153313
2021.5,1,Female,[45:50),0.5511515800749867
2021.5,0,Female,[45:50),0.5511515800749867
2021.5,1,Female,[50:55),0.450347881087919
2021.5,0,Female,[50:55),0.450347881087919
2021.5,1,Female,[55:60),0.3340840840840841
2021.5,0,Female,[55:60),0.3340840840840841
2021.5,1,Female,[60:65),0.2356687898089172
2021.5,0,Female,[60:65),0.2356687898089172
2021.5,1,Female,[65:200),0.1379746835443038
2021.5,0,Female,[65:200),0.1379746835443038
2007.5,1,Male,[15:20),0.02043990224394579
2007.5,0,Male,[15:20),0.02043990224394579
2007.5,1,Male,[20:25),0.10784313725490197
2007.5,0,Male,[20:25),0.10784313725490197
2007.5,1,Male,[25:30),0.24085576259489302
2007.5,0,Male,[25:30),0.24085576259489302
2007.5,1,Male,[30:35),0.36693548387096775
2007.5,0,Male,[30:35),0.36693548387096775
2007.5,1,Male,[35:40),0.3940556088207095
2007.5,0,Male,[35:40),0.3940556088207095
2007.5,1,Male,[40:45),0.40398550724637683
2007.5,0,Male,[40:45),0.40398550724637683
2007.5,1,Male,[45:50),0.315
2007.5,0,Male,[45:50),0.315
2007.5,1,Male,[50:55),0.18666666666666668
2007.5,0,Male,[50:55),0.18666666666666668
2007.5,1,Male,[55:60),0.1706422018348624
2007.5,0,Male,[55:60),0.1706422018348624
2007.5,1,Male,[60:65),0.16993464052287582
2007.5,0,Male,[60:65),0.16993464052287582
2007.5,1,Male,[65:200),0.09975062344139651
2007.5,0,Male,[65:200),0.09975062344139651
2007.5,1,Female,[15:20),0.10174606596249192
2007.5,0,Female,[15:20),0.10174606596249192
2007.5,1,Female,[20:25),0.31368872220733995
2007.5,0,Female,[20:25),0.31368872220733995
2007.5,1,Female,[25:30),0.44436693407743283
2007.5,0,Female,[25:30),0.44436693407743283
2007.5,1,Female,[30:35),0.4677685950413223
2007.5,0,Female,[30:35),0.4677685950413223
2007.5,1,Female,[35:40),0.4258188824662813
2007.5,0,Female,[35:40),0.4258188824662813
2007.5,1,Female,[40:45),0.3627175743964065
2007.5,0,Female,[40:45),0.3627175743964065
2007.5,1,Female,[45:50),0.28220255653883974
2007.5,0,Female,[45:50),0.28220255653883974
2007.5,1,Female,[50:55),0.21185185185185185
2007.5,0,Female,[50:55),0.21185185185185185
2007.5,1,Female,[55:60),0.10461538461538461
2007.5,0,Female,[55:60),0.10461538461538461
2007.5,1,Female,[60:65),0.11376146788990826
2007.5,0,Female,[60:65),0.11376146788990826
2007.5,1,Female,[65:200),0.08339483394833948
2007.5,0,Female,[65:200),0.08339483394833948
1981.0,1,Male,[15:20),0.0
1981.0,0,Male,[15:20),0.0
1981.0,1,Male,[20:25),0.0
1981.0,0,Male,[20:25),0.0
1981.0,1,Male,[25:30),0.0
1981.0,0,Male,[25:30),0.0
1981.0,1,Male,[30:35),0.0
1981.0,0,Male,[30:35),0.0
1981.0,1,Male,[35:40),0.0
1981.0,0,Male,[35:40),0.0
1981.0,1,Male,[40:45),0.0
1981.0,0,Male,[40:45),0.0
1981.0,1,Male,[45:50),0.0
1981.0,0,Male,[45:50),0.0
1981.0,1,Male,[50:55),0.0
1981.0,0,Male,[50:55),0.0
1981.0,1,Male,[55:60),0.0
1981.0,0,Male,[55:60),0.0
1981.0,1,Male,[60:65),0.0
1981.0,0,Male,[60:65),0.0
1981.0,1,Male,[65:200),0.0
1981.0,0,Male,[65:200),0.0
1981.0,1,Female,[15:20),0.0
1981.0,0,Female,[15:20),0.0
1981.0,1,Female,[20:25),0.0
1981.0,0,Female,[20:25),0.0
1981.0,1,Female,[25:30),0.0
1981.0,0,Female,[25:30),0.0
1981.0,1,Female,[30:35),0.0
1981.0,0,Female,[30:35),0.0
1981.0,1,Female,[35:40),0.0
1981.0,0,Female,[35:40),0.0
1981.0,1,Female,[40:45),0.0
1981.0,0,Female,[40:45),0.0
1981.0,1,Female,[45:50),0.0
1981.0,0,Female,[45:50),0.0
1981.0,1,Female,[50:55),0.0
1981.0,0,Female,[50:55),0.0
1981.0,1,Female,[55:60),0.0
1981.0,0,Female,[55:60),0.0
1981.0,1,Female,[60:65),0.0
1981.0,0,Female,[60:65),0.0
1981.0,1,Female,[65:200),0.0
1981.0,0,Female,[65:200),0.0
1982.0,1,Male,[15:20),0.0
1982.0,0,Male,[15:20),0.0
1982.0,1,Male,[20:25),0.0
