Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6357
2048.0,0,Male,[0:5),6357
2048.0,1,Male,[0:200),69465
2048.0,0,Male,[0:200),69465
2048.0,1,Male,[5:10),5902
2048.0,0,Male,[5:10),5902
2048.0,1,Male,[10:15),6134
2048.0,0,Male,[10:15),6134
2048.0,1,Male,[15:20),6111
2048.0,0,Male,[15:20),6111
2048.0,1,Male,[20:25),5967
2048.0,0,Male,[20:25),5967
2048.0,1,Male,[25:30),5908
2048.0,0,Male,[25:30),5908
2048.0,1,Male,[30:35),5543
2048.0,0,Male,[30:35),5543
2048.0,1,Male,[35:40),5192
2048.0,0,Male,[35:40),5192
2048.0,1,Male,[40:45),4593
2048.0,0,Male,[40:45),4593
2048.0,1,Male,[45:50),4404
2048.0,0,Male,[45:50),4404
2048.0,1,Male,[50:55),4000
2048.0,0,Male,[50:55),4000
2048.0,1,Male,[55:60),3463
2048.0,0,Male,[55:60),3463
2048.0,1,Male,[60:65),2621
2048.0,0,Male,[60:65),2621
2048.0,1,Male,[65:70),1627
2048.0,0,Male,[65:70),1627
2048.0,1,Male,[70:75),867
2048.0,0,Male,[70:75),867
2048.0,1,Male,[75:80),482
2048.0,0,Male,[75:80),482
2048.0,1,Female,[0:5),6110
2048.0,0,Female,[0:5),6110
2048.0,1,Female,[0:200),74035
2048.0,0,Female,[0:200),74035
2048.0,1,Female,[5:10),6186
2048.0,0,Female,[5:10),6186
2048.0,1,Female,[10:15),6143
2048.0,0,Female,[10:15),6143
2048.0,1,Female,[15:20),6151
2048.0,0,Female,[15:20),6151
2048.0,1,Female,[20:25),6075
2048.0,0,Female,[20:25),6075
2048.0,1,Female,[25:30),5991
2048.0,0,Female,[25:30),5991
2048.0,1,Female,[30:35),5775
2048.0,0,Female,[30:35),5775
2048.0,1,Female,[35:40),5320
2048.0,0,Female,[35:40),5320
2048.0,1,Female,[40:45),4906
2048.0,0,Female,[40:45),4906
2048.0,1,Female,[45:50),4663
2048.0,0,Female,[45:50),4663
2048.0,1,Female,[50:55),4363
2048.0,0,Female,[50:55),4363
2048.0,1,Female,[55:60),4110
2048.0,0,Female,[55:60),4110
2048.0,1,Female,[60:65),3041
2048.0,0,Female,[60:65),3041
2048.0,1,Female,[65:70),2045
2048.0,0,Female,[65:70),2045
2048.0,1,Female,[70:75),1304
2048.0,0,Female,[70:75),1304
2048.0,1,Female,[75:80),931
2048.0,0,Female,[75:80),931
2049.0,1,Male,[0:5),6289
2049.0,0,Male,[0:5),6289
2049.0,1,Male,[0:200),70088
2049.0,0,Male,[0:200),70088
2049.0,1,Male,[5:10),5952
2049.0,0,Male,[5:10),5952
2049.0,1,Male,[10:15),6067
2049.0,0,Male,[10:15),6067
2049.0,1,Male,[15:20),6092
2049.0,0,Male,[15:20),6092
2049.0,1,Male,[20:25),5979
2049.0,0,Male,[20:25),5979
