Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6051
2048.0,0,Male,[0:5),6051
2048.0,1,Male,[0:200),68725
2048.0,0,Male,[0:200),68725
2048.0,1,Male,[5:10),5972
2048.0,0,Male,[5:10),5972
2048.0,1,Male,[10:15),6132
2048.0,0,Male,[10:15),6132
2048.0,1,Male,[15:20),6111
2048.0,0,Male,[15:20),6111
2048.0,1,Male,[20:25),6086
2048.0,0,Male,[20:25),6086
2048.0,1,Male,[25:30),5752
2048.0,0,Male,[25:30),5752
2048.0,1,Male,[30:35),5467
2048.0,0,Male,[30:35),5467
2048.0,1,Male,[35:40),5172
2048.0,0,Male,[35:40),5172
2048.0,1,Male,[40:45),4698
2048.0,0,Male,[40:45),4698
2048.0,1,Male,[45:50),4138
2048.0,0,Male,[45:50),4138
2048.0,1,Male,[50:55),3917
2048.0,0,Male,[50:55),3917
2048.0,1,Male,[55:60),3395
2048.0,0,Male,[55:60),3395
2048.0,1,Male,[60:65),2574
2048.0,0,Male,[60:65),2574
2048.0,1,Male,[65:70),1580
2048.0,0,Male,[65:70),1580
2048.0,1,Male,[70:75),889
2048.0,0,Male,[70:75),889
2048.0,1,Male,[75:80),474
2048.0,0,Male,[75:80),474
2048.0,1,Female,[0:5),6229
2048.0,0,Female,[0:5),6229
2048.0,1,Female,[0:200),73506
2048.0,0,Female,[0:200),73506
2048.0,1,Female,[5:10),6190
2048.0,0,Female,[5:10),6190
2048.0,1,Female,[10:15),6144
2048.0,0,Female,[10:15),6144
2048.0,1,Female,[15:20),6270
2048.0,0,Female,[15:20),6270
2048.0,1,Female,[20:25),6027
2048.0,0,Female,[20:25),6027
2048.0,1,Female,[25:30),5708
2048.0,0,Female,[25:30),5708
2048.0,1,Female,[30:35),5650
2048.0,0,Female,[30:35),5650
2048.0,1,Female,[35:40),5400
2048.0,0,Female,[35:40),5400
2048.0,1,Female,[40:45),4872
2048.0,0,Female,[40:45),4872
2048.0,1,Female,[45:50),4505
2048.0,0,Female,[45:50),4505
2048.0,1,Female,[50:55),4423
2048.0,0,Female,[50:55),4423
2048.0,1,Female,[55:60),3939
2048.0,0,Female,[55:60),3939
2048.0,1,Female,[60:65),2967
2048.0,0,Female,[60:65),2967
2048.0,1,Female,[65:70),2046
2048.0,0,Female,[65:70),2046
2048.0,1,Female,[70:75),1333
2048.0,0,Female,[70:75),1333
2048.0,1,Female,[75:80),909
2048.0,0,Female,[75:80),909
2049.0,1,Male,[0:5),6077
2049.0,0,Male,[0:5),6077
2049.0,1,Male,[0:200),69395
2049.0,0,Male,[0:200),69395
2049.0,1,Male,[5:10),5952
2049.0,0,Male,[5:10),5952
2049.0,1,Male,[10:15),6114
2049.0,0,Male,[10:15),6114
2049.0,1,Male,[15:20),6094
2049.0,0,Male,[15:20),6094
2049.0,1,Male,[20:25),6123
2049.0,0,Male,[20:25),6123
2049.0,1,Male,[25:30),5739
2049.0,0,Male,[25:30),5739
2049.0,1,Male,[30:35),5605
2049.0,0,Male,[30:35),5605
2049.0,1,Male,[35:40),5190
2049.0,0,Male,[35:40),5190
2049.0,1,Male,[40:45),4798
2049.0,0,Male,[40:45),4798
2049.0,1,Male,[45:50),4187
2049.0,0,Male,[45:50),4187
2049.0,1,Male,[50:55),3896
2049.0,0,Male,[50:55),3896
2049.0,1,Male,[55:60),3465
2049.0,0,Male,[55:60),3465
2049.0,1,Male,[60:65),2707
2049.0,0,Male,[60:65),2707
2049.0,1,Male,[65:70),1682
2049.0,0,Male,[65:70),1682
2049.0,1,Male,[70:75),919
2049.0,0,Male,[70:75),919
2049.0,1,Male,[75:80),506
2049.0,0,Male,[75:80),506
2049.0,1,Female,[0:5),6235
2049.0,0,Female,[0:5),6235
2049.0,1,Female,[0:200),74346
2049.0,0,Female,[0:200),74346
2049.0,1,Female,[5:10),6191
2049.0,0,Female,[5:10),6191
2049.0,1,Female,[10:15),6209
2049.0,0,Female,[10:15),6209
2049.0,1,Female,[15:20),6167
2049.0,0,Female,[15:20),6167
2049.0,1,Female,[20:25),6149
2049.0,0,Female,[20:25),6149
2049.0,1,Female,[25:30),5720
2049.0,0,Female,[25:30),5720
2049.0,1,Female,[30:35),5664
2049.0,0,Female,[30:35),5664
2049.0,1,Female,[35:40),5442
2049.0,0,Female,[35:40),5442
2049.0,1,Female,[40:45),4963
2049.0,0,Female,[40:45),4963
2049.0,1,Female,[45:50),4551
2049.0,0,Female,[45:50),4551
2049.0,1,Female,[50:55),4416
2049.0,0,Female,[50:55),4416
2049.0,1,Female,[55:60),4046
2049.0,0,Female,[55:60),4046
2049.0,1,Female,[60:65),3159
2049.0,0,Female,[60:65),3159
2049.0,1,Female,[65:70),2167
2049.0,0,Female,[65:70),2167
2049.0,1,Female,[70:75),1403
2049.0,0,Female,[70:75),1403
2049.0,1,Female,[75:80),912
2049.0,0,Female,[75:80),912
2050.0,1,Male,[0:5),6112
2050.0,0,Male,[0:5),6112
2050.0,1,Male,[0:200),70093
2050.0,0,Male,[0:200),70093
2050.0,1,Male,[5:10),5976
2050.0,0,Male,[5:10),5976
2050.0,1,Male,[10:15),6153
2050.0,0,Male,[10:15),6153
2050.0,1,Male,[15:20),6050
2050.0,0,Male,[15:20),6050
2050.0,1,Male,[20:25),6080
2050.0,0,Male,[20:25),6080
2050.0,1,Male,[25:30),5818
2050.0,0,Male,[25:30),5818
2050.0,1,Male,[30:35),5644
2050.0,0,Male,[30:35),5644
2050.0,1,Male,[35:40),5246
2050.0,0,Male,[35:40),5246
2050.0,1,Male,[40:45),4843
2050.0,0,Male,[40:45),4843
2050.0,1,Male,[45:50),4277
2050.0,0,Male,[45:50),4277
2050.0,1,Male,[50:55),3899
2050.0,0,Male,[50:55),3899
2050.0,1,Male,[55:60),3554
2050.0,0,Male,[55:60),3554
2050.0,1,Male,[60:65),2797
2050.0,0,Male,[60:65),2797
2050.0,1,Male,[65:70),1820
2050.0,0,Male,[65:70),1820
2050.0,1,Male,[70:75),947
2050.0,0,Male,[70:75),947
2050.0,1,Male,[75:80),524
2050.0,0,Male,[75:80),524
2050.0,1,Female,[0:5),6318
2050.0,0,Female,[0:5),6318
2050.0,1,Female,[0:200),75179
2050.0,0,Female,[0:200),75179
2050.0,1,Female,[5:10),6105
2050.0,0,Female,[5:10),6105
2050.0,1,Female,[10:15),6264
2050.0,0,Female,[10:15),6264
2050.0,1,Female,[15:20),6098
2050.0,0,Female,[15:20),6098
2050.0,1,Female,[20:25),6189
2050.0,0,Female,[20:25),6189
2050.0,1,Female,[25:30),5715
2050.0,0,Female,[25:30),5715
2050.0,1,Female,[30:35),5731
2050.0,0,Female,[30:35),5731
2050.0,1,Female,[35:40),5518
2050.0,0,Female,[35:40),5518
2050.0,1,Female,[40:45),5057
2050.0,0,Female,[40:45),5057
2050.0,1,Female,[45:50),4561
2050.0,0,Female,[45:50),4561
2050.0,1,Female,[50:55),4407
2050.0,0,Female,[50:55),4407
2050.0,1,Female,[55:60),4119
2050.0,0,Female,[55:60),4119
2050.0,1,Female,[60:65),3376
2050.0,0,Female,[60:65),3376
2050.0,1,Female,[65:70),2289
2050.0,0,Female,[65:70),2289
2050.0,1,Female,[70:75),1492
2050.0,0,Female,[70:75),1492
2050.0,1,Female,[75:80),975
2050.0,0,Female,[75:80),975
2039.0,1,Male,[0:5),6086
2039.0,0,Male,[0:5),6086
2039.0,1,Male,[0:200),62205
2039.0,0,Male,[0:200),62205
2039.0,1,Male,[5:10),6069
2039.0,0,Male,[5:10),6069
2039.0,1,Male,[10:15),6284
2039.0,0,Male,[10:15),6284
2039.0,1,Male,[15:20),5930
2039.0,0,Male,[15:20),5930
2039.0,1,Male,[20:25),5700
2039.0,0,Male,[20:25),5700
2039.0,1,Male,[25:30),5286
2039.0,0,Male,[25:30),5286
2039.0,1,Male,[30:35),5010
2039.0,0,Male,[30:35),5010
2039.0,1,Male,[35:40),4429
2039.0,0,Male,[35:40),4429
2039.0,1,Male,[40:45),4185
2039.0,0,Male,[40:45),4185
2039.0,1,Male,[45:50),4010
2039.0,0,Male,[45:50),4010
2039.0,1,Male,[50:55),3388
2039.0,0,Male,[50:55),3388
2039.0,1,Male,[55:60),2344
2039.0,0,Male,[55:60),2344
2039.0,1,Male,[60:65),1439
2039.0,0,Male,[60:65),1439
2039.0,1,Male,[65:70),997
2039.0,0,Male,[65:70),997
2039.0,1,Male,[70:75),586
2039.0,0,Male,[70:75),586
2039.0,1,Male,[75:80),317
2039.0,0,Male,[75:80),317
2039.0,1,Female,[0:5),6139
2039.0,0,Female,[0:5),6139
2039.0,1,Female,[0:200),65355
2039.0,0,Female,[0:200),65355
2039.0,1,Female,[5:10),6130
2039.0,0,Female,[5:10),6130
2039.0,1,Female,[10:15),6320
2039.0,0,Female,[10:15),6320
2039.0,1,Female,[15:20),5871
2039.0,0,Female,[15:20),5871
2039.0,1,Female,[20:25),5738
2039.0,0,Female,[20:25),5738
2039.0,1,Female,[25:30),5417
2039.0,0,Female,[25:30),5417
2039.0,1,Female,[30:35),5053
2039.0,0,Female,[30:35),5053
2039.0,1,Female,[35:40),4672
2039.0,0,Female,[35:40),4672
2039.0,1,Female,[40:45),4509
2039.0,0,Female,[40:45),4509
2039.0,1,Female,[45:50),4316
2039.0,0,Female,[45:50),4316
2039.0,1,Female,[50:55),3521
2039.0,0,Female,[50:55),3521
2039.0,1,Female,[55:60),2502
2039.0,0,Female,[55:60),2502
2039.0,1,Female,[60:65),1737
2039.0,0,Female,[60:65),1737
2039.0,1,Female,[65:70),1295
2039.0,0,Female,[65:70),1295
2039.0,1,Female,[70:75),994
2039.0,0,Female,[70:75),994
2039.0,1,Female,[75:80),653
2039.0,0,Female,[75:80),653
2040.0,1,Male,[0:5),6113
2040.0,0,Male,[0:5),6113
2040.0,1,Male,[0:200),62998
2040.0,0,Male,[0:200),62998
2040.0,1,Male,[5:10),6001
2040.0,0,Male,[5:10),6001
2040.0,1,Male,[10:15),6269
2040.0,0,Male,[10:15),6269
2040.0,1,Male,[15:20),6010
2040.0,0,Male,[15:20),6010
2040.0,1,Male,[20:25),5766
2040.0,0,Male,[20:25),5766
2040.0,1,Male,[25:30),5305
2040.0,0,Male,[25:30),5305
2040.0,1,Male,[30:35),5030
2040.0,0,Male,[30:35),5030
2040.0,1,Male,[35:40),4548
2040.0,0,Male,[35:40),4548
2040.0,1,Male,[40:45),4196
2040.0,0,Male,[40:45),4196
2040.0,1,Male,[45:50),4056
2040.0,0,Male,[45:50),4056
2040.0,1,Male,[50:55),3526
2040.0,0,Male,[50:55),3526
2040.0,1,Male,[55:60),2487
2040.0,0,Male,[55:60),2487
2040.0,1,Male,[60:65),1537
2040.0,0,Male,[60:65),1537
2040.0,1,Male,[65:70),1033
2040.0,0,Male,[65:70),1033
2040.0,1,Male,[70:75),621
2040.0,0,Male,[70:75),621
2040.0,1,Male,[75:80),362
2040.0,0,Male,[75:80),362
2040.0,1,Female,[0:5),6199
2040.0,0,Female,[0:5),6199
2040.0,1,Female,[0:200),66330
2040.0,0,Female,[0:200),66330
2040.0,1,Female,[5:10),6066
2040.0,0,Female,[5:10),6066
2040.0,1,Female,[10:15),6362
2040.0,0,Female,[10:15),6362
2040.0,1,Female,[15:20),5865
2040.0,0,Female,[15:20),5865
2040.0,1,Female,[20:25),5794
2040.0,0,Female,[20:25),5794
2040.0,1,Female,[25:30),5508
2040.0,0,Female,[25:30),5508
2040.0,1,Female,[30:35),5148
2040.0,0,Female,[30:35),5148
2040.0,1,Female,[35:40),4682
2040.0,0,Female,[35:40),4682
2040.0,1,Female,[40:45),4517
2040.0,0,Female,[40:45),4517
2040.0,1,Female,[45:50),4373
2040.0,0,Female,[45:50),4373
2040.0,1,Female,[50:55),3756
2040.0,0,Female,[50:55),3756
2040.0,1,Female,[55:60),2622
2040.0,0,Female,[55:60),2622
2040.0,1,Female,[60:65),1862
2040.0,0,Female,[60:65),1862
2040.0,1,Female,[65:70),1345
2040.0,0,Female,[65:70),1345
2040.0,1,Female,[70:75),1010
2040.0,0,Female,[70:75),1010
2040.0,1,Female,[75:80),730
2040.0,0,Female,[75:80),730
2041.0,1,Male,[0:5),6080
2041.0,0,Male,[0:5),6080
2041.0,1,Male,[0:200),63796
2041.0,0,Male,[0:200),63796
2041.0,1,Male,[5:10),6001
2041.0,0,Male,[5:10),6001
2041.0,1,Male,[10:15),6254
2041.0,0,Male,[10:15),6254
2041.0,1,Male,[15:20),6051
2041.0,0,Male,[15:20),6051
2041.0,1,Male,[20:25),5816
2041.0,0,Male,[20:25),5816
2041.0,1,Male,[25:30),5324
2041.0,0,Male,[25:30),5324
2041.0,1,Male,[30:35),5171
2041.0,0,Male,[30:35),5171
2041.0,1,Male,[35:40),4583
2041.0,0,Male,[35:40),4583
2041.0,1,Male,[40:45),4257
2041.0,0,Male,[40:45),4257
2041.0,1,Male,[45:50),4020
2041.0,0,Male,[45:50),4020
2041.0,1,Male,[50:55),3697
2041.0,0,Male,[50:55),3697
2041.0,1,Male,[55:60),2644
2041.0,0,Male,[55:60),2644
2041.0,1,Male,[60:65),1649
2041.0,0,Male,[60:65),1649
2041.0,1,Male,[65:70),1079
2041.0,0,Male,[65:70),1079
2041.0,1,Male,[70:75),643
2041.0,0,Male,[70:75),643
2041.0,1,Male,[75:80),372
2041.0,0,Male,[75:80),372
2041.0,1,Female,[0:5),6134
2041.0,0,Female,[0:5),6134
2041.0,1,Female,[0:200),67255
2041.0,0,Female,[0:200),67255
2041.0,1,Female,[5:10),6085
2041.0,0,Female,[5:10),6085
2041.0,1,Female,[10:15),6368
2041.0,0,Female,[10:15),6368
2041.0,1,Female,[15:20),5955
2041.0,0,Female,[15:20),5955
2041.0,1,Female,[20:25),5744
2041.0,0,Female,[20:25),5744
2041.0,1,Female,[25:30),5594
2041.0,0,Female,[25:30),5594
2041.0,1,Female,[30:35),5264
2041.0,0,Female,[30:35),5264
2041.0,1,Female,[35:40),4727
2041.0,0,Female,[35:40),4727
2041.0,1,Female,[40:45),4537
2041.0,0,Female,[40:45),4537
2041.0,1,Female,[45:50),4456
2041.0,0,Female,[45:50),4456
2041.0,1,Female,[50:55),3873
2041.0,0,Female,[50:55),3873
2041.0,1,Female,[55:60),2805
2041.0,0,Female,[55:60),2805
2041.0,1,Female,[60:65),1963
2041.0,0,Female,[60:65),1963
2041.0,1,Female,[65:70),1435
2041.0,0,Female,[65:70),1435
2041.0,1,Female,[70:75),1004
2041.0,0,Female,[70:75),1004
2041.0,1,Female,[75:80),784
2041.0,0,Female,[75:80),784
2042.0,1,Male,[0:5),6113
2042.0,0,Male,[0:5),6113
2042.0,1,Male,[0:200),64525
2042.0,0,Male,[0:200),64525
2042.0,1,Male,[5:10),5969
2042.0,0,Male,[5:10),5969
2042.0,1,Male,[10:15),6280
2042.0,0,Male,[10:15),6280
2042.0,1,Male,[15:20),6044
2042.0,0,Male,[15:20),6044
2042.0,1,Male,[20:25),5898
2042.0,0,Male,[20:25),5898
2042.0,1,Male,[25:30),5372
2042.0,0,Male,[25:30),5372
2042.0,1,Male,[30:35),5205
2042.0,0,Male,[30:35),5205
2042.0,1,Male,[35:40),4725
2042.0,0,Male,[35:40),4725
2042.0,1,Male,[40:45),4277
2042.0,0,Male,[40:45),4277
2042.0,1,Male,[45:50),4013
2042.0,0,Male,[45:50),4013
2042.0,1,Male,[50:55),3735
2042.0,0,Male,[50:55),3735
2042.0,1,Male,[55:60),2774
2042.0,0,Male,[55:60),2774
2042.0,1,Male,[60:65),1753
2042.0,0,Male,[60:65),1753
2042.0,1,Male,[65:70),1120
2042.0,0,Male,[65:70),1120
2042.0,1,Male,[70:75),686
2042.0,0,Male,[70:75),686
2042.0,1,Male,[75:80),372
2042.0,0,Male,[75:80),372
2042.0,1,Female,[0:5),6190
2042.0,0,Female,[0:5),6190
2042.0,1,Female,[0:200),68189
2042.0,0,Female,[0:200),68189
2042.0,1,Female,[5:10),6034
2042.0,0,Female,[5:10),6034
2042.0,1,Female,[10:15),6468
2042.0,0,Female,[10:15),6468
2042.0,1,Female,[15:20),5946
2042.0,0,Female,[15:20),5946
2042.0,1,Female,[20:25),5807
2042.0,0,Female,[20:25),5807
2042.0,1,Female,[25:30),5551
2042.0,0,Female,[25:30),5551
2042.0,1,Female,[30:35),5407
2042.0,0,Female,[30:35),5407
2042.0,1,Female,[35:40),4858
2042.0,0,Female,[35:40),4858
2042.0,1,Female,[40:45),4497
2042.0,0,Female,[40:45),4497
2042.0,1,Female,[45:50),4458
2042.0,0,Female,[45:50),4458
2042.0,1,Female,[50:55),4082
2042.0,0,Female,[50:55),4082
2042.0,1,Female,[55:60),2947
2042.0,0,Female,[55:60),2947
2042.0,1,Female,[60:65),2069
2042.0,0,Female,[60:65),2069
2042.0,1,Female,[65:70),1465
2042.0,0,Female,[65:70),1465
2042.0,1,Female,[70:75),1038
2042.0,0,Female,[70:75),1038
2042.0,1,Female,[75:80),804
2042.0,0,Female,[75:80),804
2043.0,1,Male,[0:5),6125
2043.0,0,Male,[0:5),6125
2043.0,1,Male,[0:200),65302
2043.0,0,Male,[0:200),65302
2043.0,1,Male,[5:10),5954
2043.0,0,Male,[5:10),5954
2043.0,1,Male,[10:15),6245
2043.0,0,Male,[10:15),6245
2043.0,1,Male,[15:20),6135
2043.0,0,Male,[15:20),6135
2043.0,1,Male,[20:25),5895
2043.0,0,Male,[20:25),5895
2043.0,1,Male,[25:30),5437
2043.0,0,Male,[25:30),5437
2043.0,1,Male,[30:35),5279
2043.0,0,Male,[30:35),5279
2043.0,1,Male,[35:40),4811
2043.0,0,Male,[35:40),4811
2043.0,1,Male,[40:45),4295
2043.0,0,Male,[40:45),4295
2043.0,1,Male,[45:50),4077
2043.0,0,Male,[45:50),4077
2043.0,1,Male,[50:55),3747
2043.0,0,Male,[50:55),3747
2043.0,1,Male,[55:60),2910
2043.0,0,Male,[55:60),2910
