Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6163
2048.0,0,Male,[0:5),6163
2048.0,1,Male,[0:200),68409
2048.0,0,Male,[0:200),68409
2048.0,1,Male,[5:10),5867
2048.0,0,Male,[5:10),5867
2048.0,1,Male,[10:15),6145
2048.0,0,Male,[10:15),6145
2048.0,1,Male,[15:20),6120
2048.0,0,Male,[15:20),6120
2048.0,1,Male,[20:25),5885
2048.0,0,Male,[20:25),5885
2048.0,1,Male,[25:30),5580
2048.0,0,Male,[25:30),5580
2048.0,1,Male,[30:35),5486
2048.0,0,Male,[30:35),5486
2048.0,1,Male,[35:40),4996
2048.0,0,Male,[35:40),4996
2048.0,1,Male,[40:45),4761
2048.0,0,Male,[40:45),4761
2048.0,1,Male,[45:50),4256
2048.0,0,Male,[45:50),4256
2048.0,1,Male,[50:55),3947
2048.0,0,Male,[50:55),3947
2048.0,1,Male,[55:60),3343
2048.0,0,Male,[55:60),3343
2048.0,1,Male,[60:65),2639
2048.0,0,Male,[60:65),2639
2048.0,1,Male,[65:70),1584
2048.0,0,Male,[65:70),1584
2048.0,1,Male,[70:75),895
2048.0,0,Male,[70:75),895
2048.0,1,Male,[75:80),453
2048.0,0,Male,[75:80),453
2048.0,1,Female,[0:5),6091
2048.0,0,Female,[0:5),6091
2048.0,1,Female,[0:200),72974
2048.0,0,Female,[0:200),72974
2048.0,1,Female,[5:10),5953
2048.0,0,Female,[5:10),5953
2048.0,1,Female,[10:15),6170
2048.0,0,Female,[10:15),6170
2048.0,1,Female,[15:20),6042
2048.0,0,Female,[15:20),6042
2048.0,1,Female,[20:25),6097
2048.0,0,Female,[20:25),6097
2048.0,1,Female,[25:30),5843
2048.0,0,Female,[25:30),5843
2048.0,1,Female,[30:35),5640
2048.0,0,Female,[30:35),5640
2048.0,1,Female,[35:40),5226
2048.0,0,Female,[35:40),5226
2048.0,1,Female,[40:45),4840
2048.0,0,Female,[40:45),4840
2048.0,1,Female,[45:50),4540
2048.0,0,Female,[45:50),4540
2048.0,1,Female,[50:55),4397
2048.0,0,Female,[50:55),4397
2048.0,1,Female,[55:60),3895
2048.0,0,Female,[55:60),3895
2048.0,1,Female,[60:65),2972
2048.0,0,Female,[60:65),2972
2048.0,1,Female,[65:70),2093
2048.0,0,Female,[65:70),2093
2048.0,1,Female,[70:75),1354
2048.0,0,Female,[70:75),1354
2048.0,1,Female,[75:80),922
2048.0,0,Female,[75:80),922
2049.0,1,Male,[0:5),6121
2049.0,0,Male,[0:5),6121
2049.0,1,Male,[0:200),68990
2049.0,0,Male,[0:200),68990
2049.0,1,Male,[5:10),5847
2049.0,0,Male,[5:10),5847
2049.0,1,Male,[10:15),6261
2049.0,0,Male,[10:15),6261
2049.0,1,Male,[15:20),6033
2049.0,0,Male,[15:20),6033
2049.0,1,Male,[20:25),5885
2049.0,0,Male,[20:25),5885
2049.0,1,Male,[25:30),5636
2049.0,0,Male,[25:30),5636
2049.0,1,Male,[30:35),5466
2049.0,0,Male,[30:35),5466
2049.0,1,Male,[35:40),5079
2049.0,0,Male,[35:40),5079
2049.0,1,Male,[40:45),4845
2049.0,0,Male,[40:45),4845
2049.0,1,Male,[45:50),4251
2049.0,0,Male,[45:50),4251
2049.0,1,Male,[50:55),4020
2049.0,0,Male,[50:55),4020
2049.0,1,Male,[55:60),3403
2049.0,0,Male,[55:60),3403
2049.0,1,Male,[60:65),2731
2049.0,0,Male,[60:65),2731
2049.0,1,Male,[65:70),1711
2049.0,0,Male,[65:70),1711
2049.0,1,Male,[70:75),922
2049.0,0,Male,[70:75),922
2049.0,1,Male,[75:80),483
2049.0,0,Male,[75:80),483
2049.0,1,Female,[0:5),6082
2049.0,0,Female,[0:5),6082
2049.0,1,Female,[0:200),73707
