Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6145
2048.0,0,Male,[0:5),6145
2048.0,1,Male,[0:200),69209
2048.0,0,Male,[0:200),69209
2048.0,1,Male,[5:10),6096
2048.0,0,Male,[5:10),6096
2048.0,1,Male,[10:15),6232
2048.0,0,Male,[10:15),6232
2048.0,1,Male,[15:20),6060
2048.0,0,Male,[15:20),6060
2048.0,1,Male,[20:25),6111
2048.0,0,Male,[20:25),6111
2048.0,1,Male,[25:30),5641
2048.0,0,Male,[25:30),5641
2048.0,1,Male,[30:35),5594
2048.0,0,Male,[30:35),5594
2048.0,1,Male,[35:40),5161
2048.0,0,Male,[35:40),5161
2048.0,1,Male,[40:45),4740
2048.0,0,Male,[40:45),4740
2048.0,1,Male,[45:50),4227
2048.0,0,Male,[45:50),4227
2048.0,1,Male,[50:55),4020
2048.0,0,Male,[50:55),4020
2048.0,1,Male,[55:60),3427
2048.0,0,Male,[55:60),3427
2048.0,1,Male,[60:65),2533
2048.0,0,Male,[60:65),2533
2048.0,1,Male,[65:70),1525
2048.0,0,Male,[65:70),1525
2048.0,1,Male,[70:75),905
2048.0,0,Male,[70:75),905
2048.0,1,Male,[75:80),499
2048.0,0,Male,[75:80),499
2048.0,1,Female,[0:5),6045
2048.0,0,Female,[0:5),6045
2048.0,1,Female,[0:200),73618
2048.0,0,Female,[0:200),73618
2048.0,1,Female,[5:10),6011
2048.0,0,Female,[5:10),6011
2048.0,1,Female,[10:15),6438
2048.0,0,Female,[10:15),6438
2048.0,1,Female,[15:20),6081
2048.0,0,Female,[15:20),6081
2048.0,1,Female,[20:25),5956
2048.0,0,Female,[20:25),5956
2048.0,1,Female,[25:30),5853
2048.0,0,Female,[25:30),5853
2048.0,1,Female,[30:35),5765
2048.0,0,Female,[30:35),5765
2048.0,1,Female,[35:40),5367
2048.0,0,Female,[35:40),5367
2048.0,1,Female,[40:45),5017
2048.0,0,Female,[40:45),5017
2048.0,1,Female,[45:50),4523
2048.0,0,Female,[45:50),4523
2048.0,1,Female,[50:55),4324
2048.0,0,Female,[50:55),4324
2048.0,1,Female,[55:60),3941
2048.0,0,Female,[55:60),3941
2048.0,1,Female,[60:65),3063
2048.0,0,Female,[60:65),3063
2048.0,1,Female,[65:70),2007
2048.0,0,Female,[65:70),2007
2048.0,1,Female,[70:75),1331
2048.0,0,Female,[70:75),1331
2048.0,1,Female,[75:80),946
2048.0,0,Female,[75:80),946
2049.0,1,Male,[0:5),6139
2049.0,0,Male,[0:5),6139
2049.0,1,Male,[0:200),69897
2049.0,0,Male,[0:200),69897
2049.0,1,Male,[5:10),6080
2049.0,0,Male,[5:10),6080
2049.0,1,Male,[10:15),6225
2049.0,0,Male,[10:15),6225
2049.0,1,Male,[15:20),6025
2049.0,0,Male,[15:20),6025
2049.0,1,Male,[20:25),6121
2049.0,0,Male,[20:25),6121
2049.0,1,Male,[25:30),5767
2049.0,0,Male,[25:30),5767
2049.0,1,Male,[30:35),5606
2049.0,0,Male,[30:35),5606
2049.0,1,Male,[35:40),5226
2049.0,0,Male,[35:40),5226
2049.0,1,Male,[40:45),4774
2049.0,0,Male,[40:45),4774
2049.0,1,Male,[45:50),4319
2049.0,0,Male,[45:50),4319
2049.0,1,Male,[50:55),4013
2049.0,0,Male,[50:55),4013
2049.0,1,Male,[55:60),3511
2049.0,0,Male,[55:60),3511
2049.0,1,Male,[60:65),2683
2049.0,0,Male,[60:65),2683
2049.0,1,Male,[65:70),1622
2049.0,0,Male,[65:70),1622
2049.0,1,Male,[70:75),924
2049.0,0,Male,[70:75),924
2049.0,1,Male,[75:80),533
2049.0,0,Male,[75:80),533
2049.0,1,Female,[0:5),6046
2049.0,0,Female,[0:5),6046
2049.0,1,Female,[0:200),74438
2049.0,0,Female,[0:200),74438
2049.0,1,Female,[5:10),6015
2049.0,0,Female,[5:10),6015
2049.0,1,Female,[10:15),6427
2049.0,0,Female,[10:15),6427
2049.0,1,Female,[15:20),6057
2049.0,0,Female,[15:20),6057
2049.0,1,Female,[20:25),6045
2049.0,0,Female,[20:25),6045
2049.0,1,Female,[25:30),5819
2049.0,0,Female,[25:30),5819
2049.0,1,Female,[30:35),5801
2049.0,0,Female,[30:35),5801
2049.0,1,Female,[35:40),5440
2049.0,0,Female,[35:40),5440
2049.0,1,Female,[40:45),5121
2049.0,0,Female,[40:45),5121
2049.0,1,Female,[45:50),4582
2049.0,0,Female,[45:50),4582
2049.0,1,Female,[50:55),4320
2049.0,0,Female,[50:55),4320
2049.0,1,Female,[55:60),4004
2049.0,0,Female,[55:60),4004
2049.0,1,Female,[60:65),3253
2049.0,0,Female,[60:65),3253
2049.0,1,Female,[65:70),2146
2049.0,0,Female,[65:70),2146
2049.0,1,Female,[70:75),1408
2049.0,0,Female,[70:75),1408
2049.0,1,Female,[75:80),980
