Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004455445544554455
2048.0,0,Male,[15:20),0.004455445544554455
2048.0,1,Male,[20:25),0.015873015873015872
2048.0,0,Male,[20:25),0.015873015873015872
2048.0,1,Male,[25:30),0.04041836553802517
2048.0,0,Male,[25:30),0.04041836553802517
2048.0,1,Male,[30:35),0.08276725062567036
2048.0,0,Male,[30:35),0.08276725062567036
2048.0,1,Male,[35:40),0.1288509978686301
2048.0,0,Male,[35:40),0.1288509978686301
2048.0,1,Male,[40:45),0.18713080168776372
2048.0,0,Male,[40:45),0.18713080168776372
2048.0,1,Male,[45:50),0.2543174828483558
2048.0,0,Male,[45:50),0.2543174828483558
2048.0,1,Male,[50:55),0.3492537313432836
2048.0,0,Male,[50:55),0.3492537313432836
2048.0,1,Male,[55:60),0.4397432156405019
2048.0,0,Male,[55:60),0.4397432156405019
2048.0,1,Male,[60:65),0.538491906829846
2048.0,0,Male,[60:65),0.538491906829846
2048.0,1,Male,[65:200),0.6021104903786468
2048.0,0,Male,[65:200),0.6021104903786468
2048.0,1,Female,[15:20),0.03223154086498931
2048.0,0,Female,[15:20),0.03223154086498931
2048.0,1,Female,[20:25),0.08680322364002686
2048.0,0,Female,[20:25),0.08680322364002686
2048.0,1,Female,[25:30),0.14932513241072953
2048.0,0,Female,[25:30),0.14932513241072953
2048.0,1,Female,[30:35),0.208326105810928
2048.0,0,Female,[30:35),0.208326105810928
2048.0,1,Female,[35:40),0.2806036892118502
2048.0,0,Female,[35:40),0.2806036892118502
2048.0,1,Female,[40:45),0.31612517440701615
2048.0,0,Female,[40:45),0.31612517440701615
2048.0,1,Female,[45:50),0.3875746186159629
2048.0,0,Female,[45:50),0.3875746186159629
2048.0,1,Female,[50:55),0.4720166512488437
2048.0,0,Female,[50:55),0.4720166512488437
2048.0,1,Female,[55:60),0.5546815529053539
2048.0,0,Female,[55:60),0.5546815529053539
2048.0,1,Female,[60:65),0.6464250734573947
2048.0,0,Female,[60:65),0.6464250734573947
2048.0,1,Female,[65:200),0.6083301490256018
2048.0,0,Female,[65:200),0.6083301490256018
2049.0,1,Male,[15:20),0.004481327800829876
2049.0,0,Male,[15:20),0.004481327800829876
2049.0,1,Male,[20:25),0.018134291782388498
2049.0,0,Male,[20:25),0.018134291782388498
2049.0,1,Male,[25:30),0.039015085833188835
2049.0,0,Male,[25:30),0.039015085833188835
2049.0,1,Male,[30:35),0.07884409561184445
2049.0,0,Male,[30:35),0.07884409561184445
2049.0,1,Male,[35:40),0.12916188289322617
2049.0,0,Male,[35:40),0.12916188289322617
2049.0,1,Male,[40:45),0.18328445747800587
2049.0,0,Male,[40:45),0.18328445747800587
2049.0,1,Male,[45:50),0.24403797175272054
2049.0,0,Male,[45:50),0.24403797175272054
2049.0,1,Male,[50:55),0.33341639671069023
2049.0,0,Male,[50:55),0.33341639671069023
2049.0,1,Male,[55:60),0.43434918826545144
2049.0,0,Male,[55:60),0.43434918826545144
2049.0,1,Male,[60:65),0.5203130823704808
2049.0,0,Male,[60:65),0.5203130823704808
2049.0,1,Male,[65:200),0.6056338028169014
2049.0,0,Male,[65:200),0.6056338028169014
2049.0,1,Female,[15:20),0.03301964668978042
2049.0,0,Female,[15:20),0.03301964668978042
2049.0,1,Female,[20:25),0.08668320926385442
2049.0,0,Female,[20:25),0.08668320926385442
2049.0,1,Female,[25:30),0.14710431345592026
2049.0,0,Female,[25:30),0.14710431345592026
2049.0,1,Female,[30:35),0.2068608860541286
2049.0,0,Female,[30:35),0.2068608860541286
2049.0,1,Female,[35:40),0.26801470588235293
2049.0,0,Female,[35:40),0.26801470588235293
2049.0,1,Female,[40:45),0.31204842804139815
2049.0,0,Female,[40:45),0.31204842804139815
2049.0,1,Female,[45:50),0.38192928852029684
2049.0,0,Female,[45:50),0.38192928852029684
2049.0,1,Female,[50:55),0.45902777777777776
2049.0,0,Female,[50:55),0.45902777777777776
2049.0,1,Female,[55:60),0.5422077922077922
2049.0,0,Female,[55:60),0.5422077922077922
2049.0,1,Female,[60:65),0.6366430986781433
2049.0,0,Female,[60:65),0.6366430986781433
2049.0,1,Female,[65:200),0.6163761801016703
2049.0,0,Female,[65:200),0.6163761801016703
2050.0,1,Male,[15:20),0.0034624896949711458
2050.0,0,Male,[15:20),0.0034624896949711458
2050.0,1,Male,[20:25),0.02065712426805465
2050.0,0,Male,[20:25),0.02065712426805465
2050.0,1,Male,[25:30),0.038328729281767955
2050.0,0,Male,[25:30),0.038328729281767955
2050.0,1,Male,[30:35),0.07785714285714286
2050.0,0,Male,[30:35),0.07785714285714286
2050.0,1,Male,[35:40),0.12825840574234984
2050.0,0,Male,[35:40),0.12825840574234984
2050.0,1,Male,[40:45),0.1775894149266074
2050.0,0,Male,[40:45),0.1775894149266074
2050.0,1,Male,[45:50),0.23497391698797912
2050.0,0,Male,[45:50),0.23497391698797912
2050.0,1,Male,[50:55),0.32098147220831247
2050.0,0,Male,[50:55),0.32098147220831247
2050.0,1,Male,[55:60),0.42305540011191944
2050.0,0,Male,[55:60),0.42305540011191944
2050.0,1,Male,[60:65),0.5109618104667609
