Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6343
2048.0,0,Male,[0:5),6343
2048.0,1,Male,[0:200),70700
2048.0,0,Male,[0:200),70700
2048.0,1,Male,[5:10),6119
2048.0,0,Male,[5:10),6119
2048.0,1,Male,[10:15),6355
2048.0,0,Male,[10:15),6355
2048.0,1,Male,[15:20),6372
2048.0,0,Male,[15:20),6372
2048.0,1,Male,[20:25),6154
2048.0,0,Male,[20:25),6154
2048.0,1,Male,[25:30),5995
2048.0,0,Male,[25:30),5995
2048.0,1,Male,[30:35),5561
2048.0,0,Male,[30:35),5561
2048.0,1,Male,[35:40),5120
2048.0,0,Male,[35:40),5120
2048.0,1,Male,[40:45),4777
2048.0,0,Male,[40:45),4777
2048.0,1,Male,[45:50),4342
2048.0,0,Male,[45:50),4342
2048.0,1,Male,[50:55),4082
2048.0,0,Male,[50:55),4082
2048.0,1,Male,[55:60),3535
2048.0,0,Male,[55:60),3535
2048.0,1,Male,[60:65),2648
2048.0,0,Male,[60:65),2648
2048.0,1,Male,[65:70),1618
2048.0,0,Male,[65:70),1618
2048.0,1,Male,[70:75),917
2048.0,0,Male,[70:75),917
2048.0,1,Male,[75:80),464
2048.0,0,Male,[75:80),464
2048.0,1,Female,[0:5),6459
2048.0,0,Female,[0:5),6459
2048.0,1,Female,[0:200),76374
2048.0,0,Female,[0:200),76374
2048.0,1,Female,[5:10),6275
2048.0,0,Female,[5:10),6275
2048.0,1,Female,[10:15),6588
2048.0,0,Female,[10:15),6588
2048.0,1,Female,[15:20),6358
2048.0,0,Female,[15:20),6358
2048.0,1,Female,[20:25),6296
2048.0,0,Female,[20:25),6296
2048.0,1,Female,[25:30),6072
2048.0,0,Female,[25:30),6072
2048.0,1,Female,[30:35),5913
2048.0,0,Female,[30:35),5913
2048.0,1,Female,[35:40),5546
2048.0,0,Female,[35:40),5546
2048.0,1,Female,[40:45),5064
2048.0,0,Female,[40:45),5064
2048.0,1,Female,[45:50),4621
2048.0,0,Female,[45:50),4621
2048.0,1,Female,[50:55),4636
2048.0,0,Female,[50:55),4636
2048.0,1,Female,[55:60),4025
2048.0,0,Female,[55:60),4025
2048.0,1,Female,[60:65),3159
2048.0,0,Female,[60:65),3159
2048.0,1,Female,[65:70),2081
2048.0,0,Female,[65:70),2081
2048.0,1,Female,[70:75),1339
2048.0,0,Female,[70:75),1339
2048.0,1,Female,[75:80),985
2048.0,0,Female,[75:80),985
2049.0,1,Male,[0:5),6319
2049.0,0,Male,[0:5),6319
2049.0,1,Male,[0:200),71308
2049.0,0,Male,[0:200),71308
2049.0,1,Male,[5:10),6162
2049.0,0,Male,[5:10),6162
2049.0,1,Male,[10:15),6279
2049.0,0,Male,[10:15),6279
2049.0,1,Male,[15:20),6338
2049.0,0,Male,[15:20),6338
2049.0,1,Male,[20:25),6208
2049.0,0,Male,[20:25),6208
2049.0,1,Male,[25:30),5987
2049.0,0,Male,[25:30),5987
2049.0,1,Male,[30:35),5650
2049.0,0,Male,[30:35),5650
2049.0,1,Male,[35:40),5191
2049.0,0,Male,[35:40),5191
2049.0,1,Male,[40:45),4881
2049.0,0,Male,[40:45),4881
2049.0,1,Male,[45:50),4362
2049.0,0,Male,[45:50),4362
2049.0,1,Male,[50:55),4088
2049.0,0,Male,[50:55),4088
2049.0,1,Male,[55:60),3609
2049.0,0,Male,[55:60),3609
2049.0,1,Male,[60:65),2735
2049.0,0,Male,[60:65),2735
2049.0,1,Male,[65:70),1738
2049.0,0,Male,[65:70),1738
2049.0,1,Male,[70:75),983
2049.0,0,Male,[70:75),983
2049.0,1,Male,[75:80),478
2049.0,0,Male,[75:80),478
2049.0,1,Female,[0:5),6431
2049.0,0,Female,[0:5),6431
2049.0,1,Female,[0:200),77273
2049.0,0,Female,[0:200),77273
2049.0,1,Female,[5:10),6338
2049.0,0,Female,[5:10),6338
2049.0,1,Female,[10:15),6544
2049.0,0,Female,[10:15),6544
2049.0,1,Female,[15:20),6391
2049.0,0,Female,[15:20),6391
2049.0,1,Female,[20:25),6259
2049.0,0,Female,[20:25),6259
2049.0,1,Female,[25:30),6185
2049.0,0,Female,[25:30),6185
2049.0,1,Female,[30:35),5939
2049.0,0,Female,[30:35),5939
2049.0,1,Female,[35:40),5616
2049.0,0,Female,[35:40),5616
2049.0,1,Female,[40:45),5172
2049.0,0,Female,[40:45),5172
2049.0,1,Female,[45:50),4656
2049.0,0,Female,[45:50),4656
2049.0,1,Female,[50:55),4604
2049.0,0,Female,[50:55),4604
2049.0,1,Female,[55:60),4161
2049.0,0,Female,[55:60),4161
2049.0,1,Female,[60:65),3315
2049.0,0,Female,[60:65),3315
2049.0,1,Female,[65:70),2221
2049.0,0,Female,[65:70),2221
2049.0,1,Female,[70:75),1419
2049.0,0,Female,[70:75),1419
2049.0,1,Female,[75:80),998
2049.0,0,Female,[75:80),998
2050.0,1,Male,[0:5),6369
2050.0,0,Male,[0:5),6369
2050.0,1,Male,[0:200),72096
2050.0,0,Male,[0:200),72096
2050.0,1,Male,[5:10),6212
2050.0,0,Male,[5:10),6212
2050.0,1,Male,[10:15),6297
2050.0,0,Male,[10:15),6297
2050.0,1,Male,[15:20),6248
2050.0,0,Male,[15:20),6248
2050.0,1,Male,[20:25),6199
2050.0,0,Male,[20:25),6199
2050.0,1,Male,[25:30),6106
2050.0,0,Male,[25:30),6106
2050.0,1,Male,[30:35),5703
2050.0,0,Male,[30:35),5703
2050.0,1,Male,[35:40),5263
2050.0,0,Male,[35:40),5263
2050.0,1,Male,[40:45),4892
2050.0,0,Male,[40:45),4892
2050.0,1,Male,[45:50),4418
2050.0,0,Male,[45:50),4418
2050.0,1,Male,[50:55),4146
2050.0,0,Male,[50:55),4146
2050.0,1,Male,[55:60),3636
2050.0,0,Male,[55:60),3636
2050.0,1,Male,[60:65),2890
2050.0,0,Male,[60:65),2890
2050.0,1,Male,[65:70),1866
2050.0,0,Male,[65:70),1866
2050.0,1,Male,[70:75),1039
2050.0,0,Male,[70:75),1039
2050.0,1,Male,[75:80),495
2050.0,0,Male,[75:80),495
2050.0,1,Female,[0:5),6390
2050.0,0,Female,[0:5),6390
2050.0,1,Female,[0:200),78080
2050.0,0,Female,[0:200),78080
2050.0,1,Female,[5:10),6361
2050.0,0,Female,[5:10),6361
2050.0,1,Female,[10:15),6507
2050.0,0,Female,[10:15),6507
2050.0,1,Female,[15:20),6459
2050.0,0,Female,[15:20),6459
2050.0,1,Female,[20:25),6206
2050.0,0,Female,[20:25),6206
2050.0,1,Female,[25:30),6246
2050.0,0,Female,[25:30),6246
2050.0,1,Female,[30:35),5923
2050.0,0,Female,[30:35),5923
2050.0,1,Female,[35:40),5690
2050.0,0,Female,[35:40),5690
2050.0,1,Female,[40:45),5318
2050.0,0,Female,[40:45),5318
2050.0,1,Female,[45:50),4703
2050.0,0,Female,[45:50),4703
2050.0,1,Female,[50:55),4538
2050.0,0,Female,[50:55),4538
