Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6036
2048.0,0,Male,[0:5),6036
2048.0,1,Male,[0:200),69467
2048.0,0,Male,[0:200),69467
2048.0,1,Male,[5:10),5941
2048.0,0,Male,[5:10),5941
2048.0,1,Male,[10:15),6115
2048.0,0,Male,[10:15),6115
2048.0,1,Male,[15:20),6255
2048.0,0,Male,[15:20),6255
2048.0,1,Male,[20:25),6043
2048.0,0,Male,[20:25),6043
2048.0,1,Male,[25:30),5802
2048.0,0,Male,[25:30),5802
2048.0,1,Male,[30:35),5535
2048.0,0,Male,[30:35),5535
2048.0,1,Male,[35:40),5207
2048.0,0,Male,[35:40),5207
2048.0,1,Male,[40:45),4782
2048.0,0,Male,[40:45),4782
2048.0,1,Male,[45:50),4227
2048.0,0,Male,[45:50),4227
2048.0,1,Male,[50:55),4049
2048.0,0,Male,[50:55),4049
2048.0,1,Male,[55:60),3473
2048.0,0,Male,[55:60),3473
2048.0,1,Male,[60:65),2619
2048.0,0,Male,[60:65),2619
2048.0,1,Male,[65:70),1681
2048.0,0,Male,[65:70),1681
2048.0,1,Male,[70:75),955
2048.0,0,Male,[70:75),955
2048.0,1,Male,[75:80),461
2048.0,0,Male,[75:80),461
2048.0,1,Female,[0:5),6369
2048.0,0,Female,[0:5),6369
2048.0,1,Female,[0:200),74509
2048.0,0,Female,[0:200),74509
2048.0,1,Female,[5:10),6119
2048.0,0,Female,[5:10),6119
2048.0,1,Female,[10:15),6261
2048.0,0,Female,[10:15),6261
2048.0,1,Female,[15:20),6216
2048.0,0,Female,[15:20),6216
2048.0,1,Female,[20:25),6075
2048.0,0,Female,[20:25),6075
2048.0,1,Female,[25:30),6012
2048.0,0,Female,[25:30),6012
2048.0,1,Female,[30:35),5707
2048.0,0,Female,[30:35),5707
2048.0,1,Female,[35:40),5410
2048.0,0,Female,[35:40),5410
2048.0,1,Female,[40:45),4926
2048.0,0,Female,[40:45),4926
2048.0,1,Female,[45:50),4561
2048.0,0,Female,[45:50),4561
2048.0,1,Female,[50:55),4444
2048.0,0,Female,[50:55),4444
2048.0,1,Female,[55:60),3891
2048.0,0,Female,[55:60),3891
2048.0,1,Female,[60:65),3107
2048.0,0,Female,[60:65),3107
2048.0,1,Female,[65:70),2128
2048.0,0,Female,[65:70),2128
2048.0,1,Female,[70:75),1391
2048.0,0,Female,[70:75),1391
2048.0,1,Female,[75:80),919
2048.0,0,Female,[75:80),919
2049.0,1,Male,[0:5),6019
2049.0,0,Male,[0:5),6019
2049.0,1,Male,[0:200),70102
2049.0,0,Male,[0:200),70102
2049.0,1,Male,[5:10),6040
2049.0,0,Male,[5:10),6040
2049.0,1,Male,[10:15),6078
2049.0,0,Male,[10:15),6078
2049.0,1,Male,[15:20),6217
2049.0,0,Male,[15:20),6217
2049.0,1,Male,[20:25),5996
2049.0,0,Male,[20:25),5996
2049.0,1,Male,[25:30),5870
2049.0,0,Male,[25:30),5870
2049.0,1,Male,[30:35),5647
2049.0,0,Male,[30:35),5647
2049.0,1,Male,[35:40),5165
2049.0,0,Male,[35:40),5165
2049.0,1,Male,[40:45),4893
2049.0,0,Male,[40:45),4893
2049.0,1,Male,[45:50),4324
2049.0,0,Male,[45:50),4324
2049.0,1,Male,[50:55),3985
2049.0,0,Male,[50:55),3985
2049.0,1,Male,[55:60),3571
2049.0,0,Male,[55:60),3571
2049.0,1,Male,[60:65),2787
2049.0,0,Male,[60:65),2787
2049.0,1,Male,[65:70),1722
2049.0,0,Male,[65:70),1722
2049.0,1,Male,[70:75),1009
2049.0,0,Male,[70:75),1009
2049.0,1,Male,[75:80),489
2049.0,0,Male,[75:80),489
2049.0,1,Female,[0:5),6393
2049.0,0,Female,[0:5),6393
2049.0,1,Female,[0:200),75316
2049.0,0,Female,[0:200),75316
2049.0,1,Female,[5:10),6071
2049.0,0,Female,[5:10),6071
2049.0,1,Female,[10:15),6291
2049.0,0,Female,[10:15),6291
2049.0,1,Female,[15:20),6200
2049.0,0,Female,[15:20),6200
2049.0,1,Female,[20:25),6108
2049.0,0,Female,[20:25),6108
2049.0,1,Female,[25:30),5980
2049.0,0,Female,[25:30),5980
2049.0,1,Female,[30:35),5820
2049.0,0,Female,[30:35),5820
2049.0,1,Female,[35:40),5456
2049.0,0,Female,[35:40),5456
2049.0,1,Female,[40:45),5001
2049.0,0,Female,[40:45),5001
2049.0,1,Female,[45:50),4591
2049.0,0,Female,[45:50),4591
2049.0,1,Female,[50:55),4507
2049.0,0,Female,[50:55),4507
2049.0,1,Female,[55:60),3965
2049.0,0,Female,[55:60),3965
2049.0,1,Female,[60:65),3275
2049.0,0,Female,[60:65),3275
2049.0,1,Female,[65:70),2221
2049.0,0,Female,[65:70),2221
2049.0,1,Female,[70:75),1494
2049.0,0,Female,[70:75),1494
2049.0,1,Female,[75:80),916
2049.0,0,Female,[75:80),916
2050.0,1,Male,[0:5),5961
2050.0,0,Male,[0:5),5961
2050.0,1,Male,[0:200),70677
2050.0,0,Male,[0:200),70677
2050.0,1,Male,[5:10),6015
2050.0,0,Male,[5:10),6015
2050.0,1,Male,[10:15),6138
2050.0,0,Male,[10:15),6138
2050.0,1,Male,[15:20),6200
2050.0,0,Male,[15:20),6200
2050.0,1,Male,[20:25),6018
2050.0,0,Male,[20:25),6018
2050.0,1,Male,[25:30),5859
2050.0,0,Male,[25:30),5859
2050.0,1,Male,[30:35),5739
2050.0,0,Male,[30:35),5739
2050.0,1,Male,[35:40),5188
2050.0,0,Male,[35:40),5188
2050.0,1,Male,[40:45),4968
2050.0,0,Male,[40:45),4968
2050.0,1,Male,[45:50),4393
2050.0,0,Male,[45:50),4393
2050.0,1,Male,[50:55),3973
2050.0,0,Male,[50:55),3973
2050.0,1,Male,[55:60),3619
2050.0,0,Male,[55:60),3619
2050.0,1,Male,[60:65),2903
2050.0,0,Male,[60:65),2903
2050.0,1,Male,[65:70),1826
2050.0,0,Male,[65:70),1826
2050.0,1,Male,[70:75),1046
2050.0,0,Male,[70:75),1046
2050.0,1,Male,[75:80),516
2050.0,0,Male,[75:80),516
2050.0,1,Female,[0:5),6314
2050.0,0,Female,[0:5),6314
2050.0,1,Female,[0:200),76149
2050.0,0,Female,[0:200),76149
2050.0,1,Female,[5:10),6210
