Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.004796163069544364
2048.0,0,Male,[15:20),0.004796163069544364
2048.0,1,Male,[20:25),0.015058745656131061
2048.0,0,Male,[20:25),0.015058745656131061
2048.0,1,Male,[25:30),0.04446742502585315
2048.0,0,Male,[25:30),0.04446742502585315
2048.0,1,Male,[30:35),0.07786811201445348
2048.0,0,Male,[30:35),0.07786811201445348
2048.0,1,Male,[35:40),0.12790474361436527
2048.0,0,Male,[35:40),0.12790474361436527
2048.0,1,Male,[40:45),0.1905060644081974
2048.0,0,Male,[40:45),0.1905060644081974
2048.0,1,Male,[45:50),0.23610125384433403
2048.0,0,Male,[45:50),0.23610125384433403
2048.0,1,Male,[50:55),0.34922203013089653
2048.0,0,Male,[50:55),0.34922203013089653
2048.0,1,Male,[55:60),0.43305499568096745
2048.0,0,Male,[55:60),0.43305499568096745
2048.0,1,Male,[60:65),0.5078274150439099
2048.0,0,Male,[60:65),0.5078274150439099
2048.0,1,Male,[65:200),0.5861661247413539
2048.0,0,Male,[65:200),0.5861661247413539
2048.0,1,Female,[15:20),0.0324967824967825
2048.0,0,Female,[15:20),0.0324967824967825
2048.0,1,Female,[20:25),0.0959670781893004
2048.0,0,Female,[20:25),0.0959670781893004
2048.0,1,Female,[25:30),0.15768463073852296
2048.0,0,Female,[25:30),0.15768463073852296
2048.0,1,Female,[30:35),0.2034343788330121
2048.0,0,Female,[30:35),0.2034343788330121
2048.0,1,Female,[35:40),0.25748613678373383
2048.0,0,Female,[35:40),0.25748613678373383
2048.0,1,Female,[40:45),0.33049127080795776
2048.0,0,Female,[40:45),0.33049127080795776
2048.0,1,Female,[45:50),0.37513703135277354
2048.0,0,Female,[45:50),0.37513703135277354
2048.0,1,Female,[50:55),0.4471197119711971
2048.0,0,Female,[50:55),0.4471197119711971
2048.0,1,Female,[55:60),0.5224877923413004
2048.0,0,Female,[55:60),0.5224877923413004
2048.0,1,Female,[60:65),0.6083038300611522
2048.0,0,Female,[60:65),0.6083038300611522
2048.0,1,Female,[65:200),0.5566438735908334
