Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6437
2048.0,0,Male,[0:5),6437
2048.0,1,Male,[0:200),71727
2048.0,0,Male,[0:200),71727
2048.0,1,Male,[5:10),6257
2048.0,0,Male,[5:10),6257
2048.0,1,Male,[10:15),6558
2048.0,0,Male,[10:15),6558
2048.0,1,Male,[15:20),6205
2048.0,0,Male,[15:20),6205
2048.0,1,Male,[20:25),6277
2048.0,0,Male,[20:25),6277
2048.0,1,Male,[25:30),6026
2048.0,0,Male,[25:30),6026
2048.0,1,Male,[30:35),5776
2048.0,0,Male,[30:35),5776
2048.0,1,Male,[35:40),5357
2048.0,0,Male,[35:40),5357
2048.0,1,Male,[40:45),4787
2048.0,0,Male,[40:45),4787
2048.0,1,Male,[45:50),4382
2048.0,0,Male,[45:50),4382
2048.0,1,Male,[50:55),4099
2048.0,0,Male,[50:55),4099
2048.0,1,Male,[55:60),3558
2048.0,0,Male,[55:60),3558
2048.0,1,Male,[60:65),2680
2048.0,0,Male,[60:65),2680
2048.0,1,Male,[65:70),1616
2048.0,0,Male,[65:70),1616
2048.0,1,Male,[70:75),913
2048.0,0,Male,[70:75),913
2048.0,1,Male,[75:80),494
2048.0,0,Male,[75:80),494
2048.0,1,Female,[0:5),6611
2048.0,0,Female,[0:5),6611
2048.0,1,Female,[0:200),77311
2048.0,0,Female,[0:200),77311
2048.0,1,Female,[5:10),6465
2048.0,0,Female,[5:10),6465
2048.0,1,Female,[10:15),6301
2048.0,0,Female,[10:15),6301
2048.0,1,Female,[15:20),6419
2048.0,0,Female,[15:20),6419
2048.0,1,Female,[20:25),6370
2048.0,0,Female,[20:25),6370
2048.0,1,Female,[25:30),6225
2048.0,0,Female,[25:30),6225
2048.0,1,Female,[30:35),6057
2048.0,0,Female,[30:35),6057
2048.0,1,Female,[35:40),5529
2048.0,0,Female,[35:40),5529
2048.0,1,Female,[40:45),5112
2048.0,0,Female,[40:45),5112
2048.0,1,Female,[45:50),4690
2048.0,0,Female,[45:50),4690
2048.0,1,Female,[50:55),4691
2048.0,0,Female,[50:55),4691
2048.0,1,Female,[55:60),4171
2048.0,0,Female,[55:60),4171
2048.0,1,Female,[60:65),3170
2048.0,0,Female,[60:65),3170
2048.0,1,Female,[65:70),2002
2048.0,0,Female,[65:70),2002
2048.0,1,Female,[70:75),1396
2048.0,0,Female,[70:75),1396
2048.0,1,Female,[75:80),1083
2048.0,0,Female,[75:80),1083
2049.0,1,Male,[0:5),6312
2049.0,0,Male,[0:5),6312
2049.0,1,Male,[0:200),72364
2049.0,0,Male,[0:200),72364
2049.0,1,Male,[5:10),6348
2049.0,0,Male,[5:10),6348
2049.0,1,Male,[10:15),6474
2049.0,0,Male,[10:15),6474
2049.0,1,Male,[15:20),6274
2049.0,0,Male,[15:20),6274
2049.0,1,Male,[20:25),6191
2049.0,0,Male,[20:25),6191
2049.0,1,Male,[25:30),6107
2049.0,0,Male,[25:30),6107
2049.0,1,Male,[30:35),5870
2049.0,0,Male,[30:35),5870
2049.0,1,Male,[35:40),5405
2049.0,0,Male,[35:40),5405
2049.0,1,Male,[40:45),4922
2049.0,0,Male,[40:45),4922
2049.0,1,Male,[45:50),4335
2049.0,0,Male,[45:50),4335
2049.0,1,Male,[50:55),4194
2049.0,0,Male,[50:55),4194
2049.0,1,Male,[55:60),3594
2049.0,0,Male,[55:60),3594
2049.0,1,Male,[60:65),2822
2049.0,0,Male,[60:65),2822
2049.0,1,Male,[65:70),1682
2049.0,0,Male,[65:70),1682
2049.0,1,Male,[70:75),988
2049.0,0,Male,[70:75),988
2049.0,1,Male,[75:80),528
2049.0,0,Male,[75:80),528
2049.0,1,Female,[0:5),6465
2049.0,0,Female,[0:5),6465
2049.0,1,Female,[0:200),78086
2049.0,0,Female,[0:200),78086
2049.0,1,Female,[5:10),6498
2049.0,0,Female,[5:10),6498
2049.0,1,Female,[10:15),6372
2049.0,0,Female,[10:15),6372
2049.0,1,Female,[15:20),6390
2049.0,0,Female,[15:20),6390
2049.0,1,Female,[20:25),6349
2049.0,0,Female,[20:25),6349
2049.0,1,Female,[25:30),6229
2049.0,0,Female,[25:30),6229
2049.0,1,Female,[30:35),6142
2049.0,0,Female,[30:35),6142
2049.0,1,Female,[35:40),5577
2049.0,0,Female,[35:40),5577
2049.0,1,Female,[40:45),5250
2049.0,0,Female,[40:45),5250
2049.0,1,Female,[45:50),4742
2049.0,0,Female,[45:50),4742
2049.0,1,Female,[50:55),4719
2049.0,0,Female,[50:55),4719
2049.0,1,Female,[55:60),4193
2049.0,0,Female,[55:60),4193
2049.0,1,Female,[60:65),3385
2049.0,0,Female,[60:65),3385
2049.0,1,Female,[65:70),2145
2049.0,0,Female,[65:70),2145
2049.0,1,Female,[70:75),1441
2049.0,0,Female,[70:75),1441
2049.0,1,Female,[75:80),1086
2049.0,0,Female,[75:80),1086
2050.0,1,Male,[0:5),6391
2050.0,0,Male,[0:5),6391
2050.0,1,Male,[0:200),73078
2050.0,0,Male,[0:200),73078
2050.0,1,Male,[5:10),6288
2050.0,0,Male,[5:10),6288
2050.0,1,Male,[10:15),6554
2050.0,0,Male,[10:15),6554
2050.0,1,Male,[15:20),6191
2050.0,0,Male,[15:20),6191
2050.0,1,Male,[20:25),6208
2050.0,0,Male,[20:25),6208
2050.0,1,Male,[25:30),6123
2050.0,0,Male,[25:30),6123
2050.0,1,Male,[30:35),5933
2050.0,0,Male,[30:35),5933
2050.0,1,Male,[35:40),5466
2050.0,0,Male,[35:40),5466
2050.0,1,Male,[40:45),4976
2050.0,0,Male,[40:45),4976
