Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6019
2048.0,0,Male,[0:5),6019
2048.0,1,Male,[0:200),68126
2048.0,0,Male,[0:200),68126
2048.0,1,Male,[5:10),5862
2048.0,0,Male,[5:10),5862
2048.0,1,Male,[10:15),6090
2048.0,0,Male,[10:15),6090
2048.0,1,Male,[15:20),5881
2048.0,0,Male,[15:20),5881
2048.0,1,Male,[20:25),5962
2048.0,0,Male,[20:25),5962
2048.0,1,Male,[25:30),5754
2048.0,0,Male,[25:30),5754
2048.0,1,Male,[30:35),5381
2048.0,0,Male,[30:35),5381
2048.0,1,Male,[35:40),5187
2048.0,0,Male,[35:40),5187
2048.0,1,Male,[40:45),4589
2048.0,0,Male,[40:45),4589
2048.0,1,Male,[45:50),4276
2048.0,0,Male,[45:50),4276
2048.0,1,Male,[50:55),3999
2048.0,0,Male,[50:55),3999
2048.0,1,Male,[55:60),3368
2048.0,0,Male,[55:60),3368
2048.0,1,Male,[60:65),2531
2048.0,0,Male,[60:65),2531
2048.0,1,Male,[65:70),1535
2048.0,0,Male,[65:70),1535
2048.0,1,Male,[70:75),902
2048.0,0,Male,[70:75),902
2048.0,1,Male,[75:80),477
2048.0,0,Male,[75:80),477
2048.0,1,Female,[0:5),6030
2048.0,0,Female,[0:5),6030
2048.0,1,Female,[0:200),72455
2048.0,0,Female,[0:200),72455
2048.0,1,Female,[5:10),5946
2048.0,0,Female,[5:10),5946
2048.0,1,Female,[10:15),6175
2048.0,0,Female,[10:15),6175
2048.0,1,Female,[15:20),5986
2048.0,0,Female,[15:20),5986
2048.0,1,Female,[20:25),5857
2048.0,0,Female,[20:25),5857
2048.0,1,Female,[25:30),5640
2048.0,0,Female,[25:30),5640
2048.0,1,Female,[30:35),5667
2048.0,0,Female,[30:35),5667
2048.0,1,Female,[35:40),5337
2048.0,0,Female,[35:40),5337
2048.0,1,Female,[40:45),4883
2048.0,0,Female,[40:45),4883
2048.0,1,Female,[45:50),4509
2048.0,0,Female,[45:50),4509
2048.0,1,Female,[50:55),4305
2048.0,0,Female,[50:55),4305
2048.0,1,Female,[55:60),3918
2048.0,0,Female,[55:60),3918
2048.0,1,Female,[60:65),3114
2048.0,0,Female,[60:65),3114
2048.0,1,Female,[65:70),1956
2048.0,0,Female,[65:70),1956
2048.0,1,Female,[70:75),1311
2048.0,0,Female,[70:75),1311
2048.0,1,Female,[75:80),936
2048.0,0,Female,[75:80),936
2049.0,1,Male,[0:5),6040
2049.0,0,Male,[0:5),6040
2049.0,1,Male,[0:200),68782
2049.0,0,Male,[0:200),68782
2049.0,1,Male,[5:10),5817
2049.0,0,Male,[5:10),5817
2049.0,1,Male,[10:15),6110
2049.0,0,Male,[10:15),6110
2049.0,1,Male,[15:20),5865
2049.0,0,Male,[15:20),5865
2049.0,1,Male,[20:25),5909
2049.0,0,Male,[20:25),5909
2049.0,1,Male,[25:30),5783
2049.0,0,Male,[25:30),5783
2049.0,1,Male,[30:35),5522
2049.0,0,Male,[30:35),5522
2049.0,1,Male,[35:40),5103
2049.0,0,Male,[35:40),5103
2049.0,1,Male,[40:45),4794
2049.0,0,Male,[40:45),4794
2049.0,1,Male,[45:50),4289
2049.0,0,Male,[45:50),4289
2049.0,1,Male,[50:55),4049
2049.0,0,Male,[50:55),4049
2049.0,1,Male,[55:60),3457
2049.0,0,Male,[55:60),3457
2049.0,1,Male,[60:65),2630
2049.0,0,Male,[60:65),2630
2049.0,1,Male,[65:70),1615
2049.0,0,Male,[65:70),1615
