Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.0028906648529161707
2048.0,0,Male,[15:20),0.0028906648529161707
2048.0,1,Male,[20:25),0.017276081851727607
2048.0,0,Male,[20:25),0.017276081851727607
2048.0,1,Male,[25:30),0.04257907542579075
2048.0,0,Male,[25:30),0.04257907542579075
2048.0,1,Male,[30:35),0.07879576286935513
2048.0,0,Male,[30:35),0.07879576286935513
2048.0,1,Male,[35:40),0.12203585887796414
2048.0,0,Male,[35:40),0.12203585887796414
2048.0,1,Male,[40:45),0.17607321856613642
2048.0,0,Male,[40:45),0.17607321856613642
2048.0,1,Male,[45:50),0.21983161833489243
2048.0,0,Male,[45:50),0.21983161833489243
2048.0,1,Male,[50:55),0.32633158289572395
2048.0,0,Male,[50:55),0.32633158289572395
2048.0,1,Male,[55:60),0.4168646080760095
2048.0,0,Male,[55:60),0.4168646080760095
2048.0,1,Male,[60:65),0.5191623864085342
2048.0,0,Male,[60:65),0.5191623864085342
2048.0,1,Male,[65:200),0.5937403160830492
2048.0,0,Male,[65:200),0.5937403160830492
2048.0,1,Female,[15:20),0.028566655529568993
2048.0,0,Female,[15:20),0.028566655529568993
2048.0,1,Female,[20:25),0.08400204883045928
2048.0,0,Female,[20:25),0.08400204883045928
2048.0,1,Female,[25:30),0.14326241134751774
2048.0,0,Female,[25:30),0.14326241134751774
2048.0,1,Female,[30:35),0.18351861655196752
2048.0,0,Female,[30:35),0.18351861655196752
2048.0,1,Female,[35:40),0.24957841483979765
2048.0,0,Female,[35:40),0.24957841483979765
2048.0,1,Female,[40:45),0.31005529387671515
2048.0,0,Female,[40:45),0.31005529387671515
2048.0,1,Female,[45:50),0.38323353293413176
2048.0,0,Female,[45:50),0.38323353293413176
2048.0,1,Female,[50:55),0.45574912891986064
2048.0,0,Female,[50:55),0.45574912891986064
2048.0,1,Female,[55:60),0.565339458907606
2048.0,0,Female,[55:60),0.565339458907606
2048.0,1,Female,[60:65),0.6268464996788696
2048.0,0,Female,[60:65),0.6268464996788696
2048.0,1,Female,[65:200),0.6051493710691824
2048.0,0,Female,[65:200),0.6051493710691824
2049.0,1,Male,[15:20),0.00392156862745098
2049.0,0,Male,[15:20),0.00392156862745098
2049.0,1,Male,[20:25),0.014892536808258588
2049.0,0,Male,[20:25),0.014892536808258588
2049.0,1,Male,[25:30),0.040809268545737507
2049.0,0,Male,[25:30),0.040809268545737507
2049.0,1,Male,[30:35),0.07877580586743933
2049.0,0,Male,[30:35),0.07877580586743933
2049.0,1,Male,[35:40),0.11953752694493436
2049.0,0,Male,[35:40),0.11953752694493436
2049.0,1,Male,[40:45),0.172090112640801
2049.0,0,Male,[40:45),0.172090112640801
2049.0,1,Male,[45:50),0.2149685241314992
2049.0,0,Male,[45:50),0.2149685241314992
2049.0,1,Male,[50:55),0.3166213879970363
2049.0,0,Male,[50:55),0.3166213879970363
2049.0,1,Male,[55:60),0.4052646803586925
2049.0,0,Male,[55:60),0.4052646803586925
2049.0,1,Male,[60:65),0.5114068441064639
2049.0,0,Male,[60:65),0.5114068441064639
2049.0,1,Male,[65:200),0.5887521968365553
2049.0,0,Male,[65:200),0.5887521968365553
2049.0,1,Female,[15:20),0.029190992493744787
2049.0,0,Female,[15:20),0.029190992493744787
2049.0,1,Female,[20:25),0.08361658735554045
2049.0,0,Female,[20:25),0.08361658735554045
2049.0,1,Female,[25:30),0.13930523717157467
