Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6136
2048.0,0,Male,[0:5),6136
2048.0,1,Male,[0:200),68197
2048.0,0,Male,[0:200),68197
2048.0,1,Male,[5:10),5891
2048.0,0,Male,[5:10),5891
2048.0,1,Male,[10:15),6186
2048.0,0,Male,[10:15),6186
2048.0,1,Male,[15:20),5830
2048.0,0,Male,[15:20),5830
2048.0,1,Male,[20:25),5904
2048.0,0,Male,[20:25),5904
2048.0,1,Male,[25:30),5705
2048.0,0,Male,[25:30),5705
2048.0,1,Male,[30:35),5447
2048.0,0,Male,[30:35),5447
2048.0,1,Male,[35:40),5058
2048.0,0,Male,[35:40),5058
2048.0,1,Male,[40:45),4730
2048.0,0,Male,[40:45),4730
2048.0,1,Male,[45:50),4231
2048.0,0,Male,[45:50),4231
2048.0,1,Male,[50:55),3943
2048.0,0,Male,[50:55),3943
2048.0,1,Male,[55:60),3400
2048.0,0,Male,[55:60),3400
2048.0,1,Male,[60:65),2484
2048.0,0,Male,[60:65),2484
2048.0,1,Male,[65:70),1566
2048.0,0,Male,[65:70),1566
2048.0,1,Male,[70:75),897
2048.0,0,Male,[70:75),897
2048.0,1,Male,[75:80),483
2048.0,0,Male,[75:80),483
2048.0,1,Female,[0:5),6281
2048.0,0,Female,[0:5),6281
2048.0,1,Female,[0:200),73647
2048.0,0,Female,[0:200),73647
2048.0,1,Female,[5:10),5936
2048.0,0,Female,[5:10),5936
2048.0,1,Female,[10:15),6445
2048.0,0,Female,[10:15),6445
2048.0,1,Female,[15:20),6098
2048.0,0,Female,[15:20),6098
2048.0,1,Female,[20:25),6098
2048.0,0,Female,[20:25),6098
2048.0,1,Female,[25:30),5955
2048.0,0,Female,[25:30),5955
2048.0,1,Female,[30:35),5592
2048.0,0,Female,[30:35),5592
2048.0,1,Female,[35:40),5284
2048.0,0,Female,[35:40),5284
2048.0,1,Female,[40:45),4945
2048.0,0,Female,[40:45),4945
2048.0,1,Female,[45:50),4544
2048.0,0,Female,[45:50),4544
2048.0,1,Female,[50:55),4368
2048.0,0,Female,[50:55),4368
2048.0,1,Female,[55:60),3806
2048.0,0,Female,[55:60),3806
2048.0,1,Female,[60:65),3045
2048.0,0,Female,[60:65),3045
2048.0,1,Female,[65:70),2073
2048.0,0,Female,[65:70),2073
2048.0,1,Female,[70:75),1321
2048.0,0,Female,[70:75),1321
2048.0,1,Female,[75:80),901
2048.0,0,Female,[75:80),901
2049.0,1,Male,[0:5),6088
2049.0,0,Male,[0:5),6088
2049.0,1,Male,[0:200),68819
2049.0,0,Male,[0:200),68819
2049.0,1,Male,[5:10),5929
2049.0,0,Male,[5:10),5929
2049.0,1,Male,[10:15),6101
2049.0,0,Male,[10:15),6101
2049.0,1,Male,[15:20),5992
2049.0,0,Male,[15:20),5992
2049.0,1,Male,[20:25),5813
2049.0,0,Male,[20:25),5813
2049.0,1,Male,[25:30),5726
2049.0,0,Male,[25:30),5726
2049.0,1,Male,[30:35),5541
2049.0,0,Male,[30:35),5541
2049.0,1,Male,[35:40),5104
2049.0,0,Male,[35:40),5104
2049.0,1,Male,[40:45),4818
2049.0,0,Male,[40:45),4818
