Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6073
2048.0,0,Male,[0:5),6073
2048.0,1,Male,[0:200),67670
2048.0,0,Male,[0:200),67670
2048.0,1,Male,[5:10),5972
2048.0,0,Male,[5:10),5972
2048.0,1,Male,[10:15),5952
2048.0,0,Male,[10:15),5952
2048.0,1,Male,[15:20),5813
2048.0,0,Male,[15:20),5813
2048.0,1,Male,[20:25),5856
2048.0,0,Male,[20:25),5856
2048.0,1,Male,[25:30),5753
2048.0,0,Male,[25:30),5753
2048.0,1,Male,[30:35),5320
2048.0,0,Male,[30:35),5320
2048.0,1,Male,[35:40),5184
2048.0,0,Male,[35:40),5184
2048.0,1,Male,[40:45),4573
2048.0,0,Male,[40:45),4573
2048.0,1,Male,[45:50),4195
2048.0,0,Male,[45:50),4195
2048.0,1,Male,[50:55),3933
2048.0,0,Male,[50:55),3933
2048.0,1,Male,[55:60),3315
2048.0,0,Male,[55:60),3315
2048.0,1,Male,[60:65),2493
2048.0,0,Male,[60:65),2493
2048.0,1,Male,[65:70),1538
2048.0,0,Male,[65:70),1538
2048.0,1,Male,[70:75),898
2048.0,0,Male,[70:75),898
2048.0,1,Male,[75:80),507
2048.0,0,Male,[75:80),507
2048.0,1,Female,[0:5),5933
2048.0,0,Female,[0:5),5933
2048.0,1,Female,[0:200),71822
2048.0,0,Female,[0:200),71822
2048.0,1,Female,[5:10),5924
2048.0,0,Female,[5:10),5924
2048.0,1,Female,[10:15),6111
2048.0,0,Female,[10:15),6111
2048.0,1,Female,[15:20),5913
2048.0,0,Female,[15:20),5913
2048.0,1,Female,[20:25),5917
2048.0,0,Female,[20:25),5917
2048.0,1,Female,[25:30),5762
2048.0,0,Female,[25:30),5762
2048.0,1,Female,[30:35),5506
2048.0,0,Female,[30:35),5506
2048.0,1,Female,[35:40),5226
2048.0,0,Female,[35:40),5226
2048.0,1,Female,[40:45),4783
2048.0,0,Female,[40:45),4783
2048.0,1,Female,[45:50),4501
2048.0,0,Female,[45:50),4501
2048.0,1,Female,[50:55),4251
2048.0,0,Female,[50:55),4251
2048.0,1,Female,[55:60),3928
2048.0,0,Female,[55:60),3928
2048.0,1,Female,[60:65),2989
2048.0,0,Female,[60:65),2989
2048.0,1,Female,[65:70),1991
2048.0,0,Female,[65:70),1991
2048.0,1,Female,[70:75),1269
2048.0,0,Female,[70:75),1269
2048.0,1,Female,[75:80),925
2048.0,0,Female,[75:80),925
2049.0,1,Male,[0:5),6028
2049.0,0,Male,[0:5),6028
2049.0,1,Male,[0:200),68283
2049.0,0,Male,[0:200),68283
2049.0,1,Male,[5:10),5930
2049.0,0,Male,[5:10),5930
2049.0,1,Male,[10:15),6026
2049.0,0,Male,[10:15),6026
2049.0,1,Male,[15:20),5757
2049.0,0,Male,[15:20),5757
2049.0,1,Male,[20:25),5917
2049.0,0,Male,[20:25),5917
2049.0,1,Male,[25:30),5781
2049.0,0,Male,[25:30),5781
2049.0,1,Male,[30:35),5378
2049.0,0,Male,[30:35),5378
2049.0,1,Male,[35:40),5242
2049.0,0,Male,[35:40),5242
2049.0,1,Male,[40:45),4623
2049.0,0,Male,[40:45),4623
2049.0,1,Male,[45:50),4231
2049.0,0,Male,[45:50),4231
2049.0,1,Male,[50:55),3957
2049.0,0,Male,[50:55),3957
2049.0,1,Male,[55:60),3405
2049.0,0,Male,[55:60),3405
2049.0,1,Male,[60:65),2592
2049.0,0,Male,[60:65),2592
2049.0,1,Male,[65:70),1666
2049.0,0,Male,[65:70),1666
2049.0,1,Male,[70:75),937
2049.0,0,Male,[70:75),937
2049.0,1,Male,[75:80),495
2049.0,0,Male,[75:80),495
2049.0,1,Female,[0:5),5977
2049.0,0,Female,[0:5),5977
2049.0,1,Female,[0:200),72602
2049.0,0,Female,[0:200),72602
2049.0,1,Female,[5:10),5860
2049.0,0,Female,[5:10),5860
2049.0,1,Female,[10:15),6127
2049.0,0,Female,[10:15),6127
2049.0,1,Female,[15:20),5870
2049.0,0,Female,[15:20),5870
2049.0,1,Female,[20:25),5918
2049.0,0,Female,[20:25),5918
2049.0,1,Female,[25:30),5818
2049.0,0,Female,[25:30),5818
2049.0,1,Female,[30:35),5542
2049.0,0,Female,[30:35),5542
2049.0,1,Female,[35:40),5240
2049.0,0,Female,[35:40),5240
2049.0,1,Female,[40:45),4952
2049.0,0,Female,[40:45),4952
2049.0,1,Female,[45:50),4459
2049.0,0,Female,[45:50),4459
2049.0,1,Female,[50:55),4335
2049.0,0,Female,[50:55),4335
2049.0,1,Female,[55:60),3976
2049.0,0,Female,[55:60),3976
2049.0,1,Female,[60:65),3153
2049.0,0,Female,[60:65),3153
2049.0,1,Female,[65:70),2142
2049.0,0,Female,[65:70),2142
2049.0,1,Female,[70:75),1363
2049.0,0,Female,[70:75),1363
2049.0,1,Female,[75:80),918
2049.0,0,Female,[75:80),918
2050.0,1,Male,[0:5),6006
2050.0,0,Male,[0:5),6006
2050.0,1,Male,[0:200),68905
2050.0,0,Male,[0:200),68905
2050.0,1,Male,[5:10),5912
2050.0,0,Male,[5:10),5912
2050.0,1,Male,[10:15),6055
2050.0,0,Male,[10:15),6055
2050.0,1,Male,[15:20),5806
2050.0,0,Male,[15:20),5806
2050.0,1,Male,[20:25),5824
2050.0,0,Male,[20:25),5824
2050.0,1,Male,[25:30),5785
2050.0,0,Male,[25:30),5785
2050.0,1,Male,[30:35),5515
2050.0,0,Male,[30:35),5515
2050.0,1,Male,[35:40),5240
2050.0,0,Male,[35:40),5240
2050.0,1,Male,[40:45),4745
2050.0,0,Male,[40:45),4745
2050.0,1,Male,[45:50),4295
