Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.005848959229313607
2048.0,0,Male,[15:20),0.005848959229313607
2048.0,1,Male,[20:25),0.021004098360655737
2048.0,0,Male,[20:25),0.021004098360655737
2048.0,1,Male,[25:30),0.051972883712845475
2048.0,0,Male,[25:30),0.051972883712845475
2048.0,1,Male,[30:35),0.08984962406015037
2048.0,0,Male,[30:35),0.08984962406015037
2048.0,1,Male,[35:40),0.15181327160493827
2048.0,0,Male,[35:40),0.15181327160493827
2048.0,1,Male,[40:45),0.18893505357533347
2048.0,0,Male,[40:45),0.18893505357533347
2048.0,1,Male,[45:50),0.24171632896305126
2048.0,0,Male,[45:50),0.24171632896305126
2048.0,1,Male,[50:55),0.35545385202135776
2048.0,0,Male,[50:55),0.35545385202135776
2048.0,1,Male,[55:60),0.4377073906485671
2048.0,0,Male,[55:60),0.4377073906485671
2048.0,1,Male,[60:65),0.5507420778178901
2048.0,0,Male,[60:65),0.5507420778178901
2048.0,1,Male,[65:200),0.6170475602223595
2048.0,0,Male,[65:200),0.6170475602223595
2048.0,1,Female,[15:20),0.034838491459496024
2048.0,0,Female,[15:20),0.034838491459496024
2048.0,1,Female,[20:25),0.1171201622443806
2048.0,0,Female,[20:25),0.1171201622443806
2048.0,1,Female,[25:30),0.18083998611593197
2048.0,0,Female,[25:30),0.18083998611593197
2048.0,1,Female,[30:35),0.23192880494006538
2048.0,0,Female,[30:35),0.23192880494006538
2048.0,1,Female,[35:40),0.2831993876769996
2048.0,0,Female,[35:40),0.2831993876769996
2048.0,1,Female,[40:45),0.33075475642901947
2048.0,0,Female,[40:45),0.33075475642901947
2048.0,1,Female,[45:50),0.40924239057987116
2048.0,0,Female,[45:50),0.40924239057987116
2048.0,1,Female,[50:55),0.48341566690190546
2048.0,0,Female,[50:55),0.48341566690190546
2048.0,1,Female,[55:60),0.5860488798370672
2048.0,0,Female,[55:60),0.5860488798370672
2048.0,1,Female,[60:65),0.6617597858815657
2048.0,0,Female,[60:65),0.6617597858815657
2048.0,1,Female,[65:200),0.6258369436786136
2048.0,0,Female,[65:200),0.6258369436786136
2049.0,1,Male,[15:20),0.004168837936425221
2049.0,0,Male,[15:20),0.004168837936425221
2049.0,1,Male,[20:25),0.02264661145850938
2049.0,0,Male,[20:25),0.02264661145850938
2049.0,1,Male,[25:30),0.052932018681888945
2049.0,0,Male,[25:30),0.052932018681888945
2049.0,1,Male,[30:35),0.08888062476757158
2049.0,0,Male,[30:35),0.08888062476757158
2049.0,1,Male,[35:40),0.1423120946203739
2049.0,0,Male,[35:40),0.1423120946203739
2049.0,1,Male,[40:45),0.18775686783473935
2049.0,0,Male,[40:45),0.18775686783473935
2049.0,1,Male,[45:50),0.2358780430158355
2049.0,0,Male,[45:50),0.2358780430158355
2049.0,1,Male,[50:55),0.33965125094768767
2049.0,0,Male,[50:55),0.33965125094768767
2049.0,1,Male,[55:60),0.4328928046989721
2049.0,0,Male,[55:60),0.4328928046989721
2049.0,1,Male,[60:65),0.535108024691358
2049.0,0,Male,[60:65),0.535108024691358
2049.0,1,Male,[65:200),0.6168032786885246
2049.0,0,Male,[65:200),0.6168032786885246
2049.0,1,Female,[15:20),0.03730834752981261
2049.0,0,Female,[15:20),0.03730834752981261
2049.0,1,Female,[20:25),0.1108482595471443
2049.0,0,Female,[20:25),0.1108482595471443
2049.0,1,Female,[25:30),0.18013062908215882
2049.0,0,Female,[25:30),0.18013062908215882
2049.0,1,Female,[30:35),0.22681342475640562
2049.0,0,Female,[30:35),0.22681342475640562
2049.0,1,Female,[35:40),0.28110687022900765
2049.0,0,Female,[35:40),0.28110687022900765
2049.0,1,Female,[40:45),0.324313408723748
2049.0,0,Female,[40:45),0.324313408723748
2049.0,1,Female,[45:50),0.3944830679524557
2049.0,0,Female,[45:50),0.3944830679524557
2049.0,1,Female,[50:55),0.47151095732410614
2049.0,0,Female,[50:55),0.47151095732410614
2049.0,1,Female,[55:60),0.5674044265593562
2049.0,0,Female,[55:60),0.5674044265593562
2049.0,1,Female,[60:65),0.653663177925785
2049.0,0,Female,[60:65),0.653663177925785
2049.0,1,Female,[65:200),0.6383255813953488
2049.0,0,Female,[65:200),0.6383255813953488
2050.0,1,Male,[15:20),0.0037891836031691355
2050.0,0,Male,[15:20),0.0037891836031691355
2050.0,1,Male,[20:25),0.021291208791208792
2050.0,0,Male,[20:25),0.021291208791208792
2050.0,1,Male,[25:30),0.05064822817631806
2050.0,0,Male,[25:30),0.05064822817631806
2050.0,1,Male,[30:35),0.09229374433363553
2050.0,0,Male,[30:35),0.09229374433363553
2050.0,1,Male,[35:40),0.13587786259541984
2050.0,0,Male,[35:40),0.13587786259541984
2050.0,1,Male,[40:45),0.18314014752370916
2050.0,0,Male,[40:45),0.18314014752370916
2050.0,1,Male,[45:50),0.2351571594877765
2050.0,0,Male,[45:50),0.2351571594877765
2050.0,1,Male,[50:55),0.3249363867684478
2050.0,0,Male,[50:55),0.3249363867684478
2050.0,1,Male,[55:60),0.42372389791183296
2050.0,0,Male,[55:60),0.42372389791183296
